muchos	Muchos	DI0MP0	mucho
dias	días	NCMP000	día
ca	ha	VMIP3S0	haber
que	que	CS	que
Le	le	PP3CSD00	le
escribi	escribí	VMIS1S0	escribir
otra	otra	PI0FS000	otro
avisandole	avisándole	VMG0000+PP3CSD00	avisar+le
lo	lo	DA0NS0	el
que	que	PR0CN000	que
le	le	PP3CSD00	le
convenia	convenía	VMII0S0	convenir
si	si	CS	si
estimava	estimaba	VMII0S0	estimar
de	de	SPS00	de
vivir	vivir	VMN0000	vivir
y	y	CC	y
me	me	PP1CS000	me
parese	parece	VMIP3S0	parecer
que	que	CS	que
no	no	RN	no
a	ha	VAIP3S0	haber
cho	hecho	VMP0000	hacer
caso	caso	NCMS000	caso
	.	Fp	.
agora	Ahora	RG	ahora
le	le	PP3CSD00	le
escrivo	escribo	VMIP1S0	escribir
esta	ésta	PD0FS000	este
y	y	CC	y
le	le	PP3CSD00	le
voto	voto	VMIP1S0	votar
a	a	SPS00	a
dios	Dios	NP00000	dios
que	que	CS	que
	,	Fc	,
si	si	CS	si
dentro	dentro	RG	dentro
del	del	SPS00+DA0MS0	de+el
mes	mes	NCMS000	mes
que	que	PR0CN000	que
estamos	estamos	VMIP1P0	estar
no	no	RN	no
dega	deja	VMIP3S0	dejar
el	el	DA0MS0	el
cargo	cargo	NCMS000	cargo
del	del	SPS00+DA0MS0	de+el
tinientado	tenientado	NCMS000	tenientado
	,	Fc	,
le	le	PP3CSD00	le
a	ha	VMIP3S0	haber
de	de	SPS00	de
costar	costar	VMN0000	costar
la	la	DA0FS0	el
vida	vida	NCFS000	vida
aunque	aunque	CS	aunque
sepa	sepa	VMSP0S0	saber
dalle	darle	VMN0000+PP3CSD00	dar+le
a	a	SPS00	a
fuego	fuego	NCMS000	fuego
en	en	SPS00	en
buestra	vuestra	DP2FSP	vuestro
mesma	misma	AQ0FS0	mismo
casa	casa	NCFS000	casa
	,	Fc	,
porque	porque	CS	porque
assi	así	RG	así
conbiene	conviene	VMIP3S0	convenir
a	a	SPS00	a
quien	quien	PR0CS000	quien
me	me	PP1CS000	me
lo	lo	PP3CNA00	lo
ca	ha	VAIP3S0	haber
mandado	mandado	VMP0000	mandar
mi	mí	PP1CSO00	mí
	.	Fp	.
y	Y	CC	y
	,	Fc	,
ansi	así	RG	así
	,	Fc	,
si	si	CS	si
os	os	PP2CP000	os
resolveis	resolvéis	VMIP2P0	resolver
hasello	hacerlo	VMN0000+PP3CNA00	hacer+lo
areis	haréis	VMIF2P0	hacer
una	una	Z	1
crus	cruz	NCFS000	cruz
en	en	SPS00	en
la	la	DA0FS0	el
plasa	plaza	NCFS000	plaza
de	de	SPS00	de
lesera	Lécera	NP00000	lécera
con	con	SPS00	con
un	un	DI0MS0	uno
carvo	carbón	NCMS000	carbón
luego	luego	RG	luego
en	en	SPS00	en
resibiendo	recibiendo	VMG0000	recibir
esta	ésta	PD0FS000	este
	.	Fp	.
y	Y	CC	y
procurad	procurad	VMM02P0	procurar
que	que	CS	que
se	se	P00CN000	se
bea	vea	VMSP0S0	ver
bien	bien	RG	bien
	,	Fc	,
porque	porque	CS	porque
sera	será	VSIF3S0	ser
a	a	SPS00	a
buestra	vuestra	DP2FSP	vuestro
costa	costa	NCFS000	costa
	,	Fc	,
dandoos	dándoos	VMG0000+PP2CP000	dar+os
de	de	SPS00	de
tienpo	tiempo	NCMS000	tiempo
para	para	SPS00	para
negosiarlo	negociarlo	VMN0000+PP3CNA00	negociar+lo
con	con	SPS00	con
quien	quien	PR0CS000	quien
os	os	PP2CP000	os
covenga	convenga	VMSP0S0	convenir
por	por	SPS00	por
todo	todo	DI0MS0	todo
este	este	DD0MS0	este
mes	mes	NCMS000	mes
de	de	SPS00	de
febrero	febrero	NCMS000	febrero
	.	Fp	.
de	De	SPS00	de
bal	Vall	NP00000	vall
de	de	SPS00	de
amposta	Amposta	NP00000	amposta
	,	Fc	,
a	a	SPS00	a
dos	dos	Z	2
de	de	SPS00	de
mil	mil	Z	1000
seiscientos	seiscientos	Z	600
y	y	CC	y
xisiete	diecisiete	Z	17
	.	Fp	.
buestro	Vuestro	DP2MSP	vuestro
amigo	amigo	NCMS000	amigo
	,	Fc	,
pues	pues	CS	pues
alarga	alarga	VMIP3S0	alargar
buestra	vuestra	DP2FSP	vuestro
bida	vida	NCFS000	vida
