Jamas	Jamás	RG	jamás
dubde	dudé	VMIS1S0	dudar
de	de	SPS00	de
la	la	DA0FS0	el
merçed	merced	NCFS000	merced
que	que	PR0CN000	que
V	vuestra	DP2FSP	vuestro
Pd	paternidad	NP00000	paternidad
me	me	PP1CS000	me
haçe	hace	VMIP3S0	hacer
porque	porque	CS	porque
eso	eso	PD0NN000	eso
fuera	fuera	VSSI0S0	ser
haçerme	hacerme	VMN0000+PP1CS000	hacer+me
agrabio	agravio	NCMS000	agravio
a	a	SPS00	a
mi	mí	PP1CSO00	mí
mesmo	mismo	AQ0MS0	mismo
y	y	CC	y
desmentir	desmentir	VMN0000	desmentir
a	a	SPS00	a
mi	mi	DP1CSS	mi
coraçon	corazón	NCMS000	corazón
	,	Fc	,
que	que	PR0CN000	que
me	me	PP1CS000	me
asegura	asegura	VMIP3S0	asegurar
d	de	SPS00	de
eso	eso	PD0NN000	eso
y	y	CC	y
de	de	SPS00	de
que	que	CS	que
V	vuestra	DP2FSP	vuestro
Pd	paternidad	NP00000	paternidad
es	es	VSIP3S0	ser
el	el	DA0MS0	el
mismo	mismo	AQ0MS0	mismo
para	para	SPS00	para
haçerme	hacerme	VMN0000+PP1CS000	hacer+me
merçed	merced	NCFS000	merced
	.	Fp	.
y	Y	CC	y
quando	cuando	PA000000	cuando
de	de	SPS00	de
mi	mi	DP1CSS	mi
parte	parte	NCFS000	parte
no	no	RN	no
tubiera	tuviera	VMSI0S0	tener
esta	esta	DD0FS0	este
seguridad	seguridad	NCFS000	seguridad
	,	Fc	,
las	las	DA0FP0	el
otras	otras	PI0FP000	otro
que	que	PR0CN000	que
siempre	siempre	RG	siempre
me	me	PP1CS000	me
ha	ha	VAIP3S0	haber
hecho	hecho	VMP0000	hacer
y	y	CC	y
haçe	hace	VMIP3S0	hacer
lo	lo	PP3CNA00	lo
muestran	muestran	VMIP3P0	mostrar
bien	bien	RG	bien
claro	claro	RG	claro
.	.	Fp	.
el	El	DA0MS0	el
sermon	sermón	NCMS000	sermón
resçivi	recibí	VMIS1S0	recibir
y	y	CC	y
es	es	VSIP3S0	ser
tal	tal	RC	tal
y	y	CC	y
tan	tan	RC	tan
bueno	bueno	AQ0MS0	bueno
que	que	CS	que
luego	luego	RG	luego
se	se	P00CN000	se
ha	ha	VMIP3S0	haber
de	de	SPS00	de
conoscer	conocer	VMN0000	conocer
no	no	RN	no
ser	ser	VSN0000	ser
mio	mío	PX1MS0S0	mío
	.	Fp	.
con	Con	SPS00	con
todo	todo	PI0MS000	todo
	,	Fc	,
piensso	pienso	VMIP1S0	pensar
predicarle	predicarle	VMN0000+PP3CSD00	predicar+le
ut	ut	PA000000	ut
iaçet	iacet	VMIP3S0	iacere
y	y	CC	y
en	en	SPS00	en
nombre	nombre	NCMS000	nombre
de	de	SPS00	de
V	vuestra	DP2FSP	vuestro
Pd	paternidad	NP00000	paternidad
hechar	echar	VMN0000	echar
la	la	DA0FS0	el
red	red	NCFS000	red
	.	Fp	.
tengo	Tengo	VMIP1S0	tener
muy	muy	RQ	muy
por	por	SPS00	por
sin	sin	SPS00	sin
dubda	duda	NCFS000	duda
asombraria	asombraría	VMIC0S0	asombrar
a	a	SPS00	a
toledo	Toledo	NP00000	toledo
y	y	CC	y
a	a	SPS00	a
todo	todo	DI0MS0	todo
el	el	DA0MS0	el
mundo	mundo	NCMS000	mundo
	,	Fc	,
porque	porque	CS	porque
semejantes	semejantes	AQ0CP0	semejante
cossas	cosas	NCFP000	cosa
jamas	jamás	RG	jamás
se	se	P00CN000	se
han	han	VAIP3P0	haber
predicado	predicado	VMP0000	predicar
en	en	SPS00	en
el	el	DA0MS0	el
mundo	mundo	NCMS000	mundo
ni	ni	CCN	ni
se	se	P00CN000	se
han	han	VAIP3P0	haber
oido	oído	VMP0000	oír
en	en	SPS00	en
pulpito	púlpito	NCMS000	púlpito
	.	Fp	.
ge	Guarde	VMSP0S0	guardar
Dios	Dios	NP00000	dios
a	a	SPS00	a
V	vuestra	DP2FSP	vuestro
Pd	paternidad	NP00000	paternidad
por	por	SPS00	por
tanta	tanta	DI0FS0	tanto
merçed	merced	NCFS000	merced
	,	Fc	,
que	que	CS	que
no	no	RN	no
se	sé	VMIP1S0	saber
como	cómo	PA000000	cómo
poderla	poderla	VMN0000+PP3FSA00	poder+lo
servir	servir	VMN0000	servir
	.	Fp	.
deme	Deme	VMSP0S0+PP1CS000	dar+me
su	Su	DP3CS0	su
magestad	Majestad	NP00000	majestad
lugar	lugar	NCMS000	lugar
para	para	SPS00	para
ello	ello	PD0NN000	ello
	.	Fp	.
biene	Viene	VMIP3S0	venir
muy	muy	RQ	muy
bien	bien	RG	bien
enmendado	enmendado	VMP00SM	enmendar
y	y	CC	y
assi	así	RG	así
estimo	estimo	VMIP1S0	estimar
el	el	DA0MS0	el
sermon	sermón	NCMS000	sermón
y	y	CC	y
el	el	DA0MS0	el
trabajo	trabajo	NCMS000	trabajo
de	de	SPS00	de
corregirle	corregirle	VMN0000+PP3CSA00	corregir+le
sobre	sobre	SPS00	sobre
mis	mis	DP1CPS	mi
ojos	ojos	NCMP000	ojo
.	.	Fp	.
Las	Las	DA0FP0	el
advertençias	advertencias	NCFP000	advertencia
son	son	VSIP3P0	ser
muy	muy	RQ	muy
de	de	SPS00	de
V	vuestra	DP2FSP	vuestro
Pd	paternidad	NP00000	paternidad
y	y	CC	y
de	de	SPS00	de
mucha	mucha	DI0FS0	mucho
importançia	importancia	NCFS000	importancia
y	y	CC	y
piensso	pienso	VMIP1S0	pensar
seguirlas	seguirlas	VMN0000+PP3FPA00	seguir+lo
sin	sin	SPS00	sin
falta	falta	NCFS000	falta
	.	Fp	.
al	Al	SPS00+DA0MS0	a+el
fin	fin	NCMS000	fin
no	no	RN	no
se	se	P00CN000	se
contenta	contenta	VMIP3S0	contentar
V	vuestra	DP2FSP	vuestro
Pd	paternidad	NP00000	paternidad
con	con	SPS00	con
darme	darme	VMN0000+PP1CS000	dar+me
que	qué	PT0CN000	qué
predicar	predicar	VMN0000	predicar
tan	tan	RC	tan
apurado	apurado	VMP00SM	apurar
y	y	CC	y
bueno	bueno	AQ0MS0	bueno
	,	Fc	,
sino	sino	CC	sino
que	que	CS	que
aun	aun	RG	aun
lo	lo	DA0NS0	el
que	que	PR0CN000	que
yo	yo	PP1CSN00	yo
tengo	tengo	VMIP1S0	tener
de	de	SPS00	de
poner	poner	VMN0000	poner
de	de	SPS00	de
mi	mi	DP1CSS	mi
cassa	casa	NCFS000	casa
	,	Fc	,
que	que	PR0CN000	que
es	es	VSIP3S0	ser
el	el	DA0MS0	el
modo	modo	NCMS000	modo
	,	Fc	,
tambien	también	RG	también
me	me	PP1CS000	me
le	le	PP3CSA00	le
imbia	envía	VMIP3S0	enviar
	.	Fp	.
yo	Yo	PP1CSN00	yo
le	le	PP3CSA00	le
siguire	seguiré	VMIF1S0	seguir
sin	sin	SPS00	sin
falta	falta	NCFS000	falta
.	.	Fp	.
en	En	SPS00	en
lo	lo	DA0NS0	el
que	que	PR0CN000	que
V	vuestra	DP2FSP	vuestro
Pd	paternidad	NP00000	paternidad
me	me	PP1CS000	me
manda	manda	VMIP3S0	mandar
açerca	acerca	RG	acerca
de	de	SPS00	de
lo	lo	DA0NS0	el
que	que	PR0CN000	que
pide	pide	VMIP3S0	pedir
el	el	DA0MS0	el
mo	maestro	NP00000	maestro
ortensio	Hortensio	NP00000	hortensio
	,	Fc	,
digo	digo	VMIP1S0	decir
que	que	CS	que
es	es	VSIP3S0	ser
cossa	cosa	NCFS000	cosa
tan	tan	RC	tan
poca	poca	DI0FS0	poco
que	que	CS	que
no	no	RN	no
habia	había	VMII0S0	haber
menester	menester	NCMS000	menester
V	vuestra	DP2FSP	vuestro
Pd	paternidad	NP00000	paternidad
mas	más	RC	más
de	de	SPS00	de
apuntarlo	apuntarlo	VMN0000+PP3CNA00	apuntar+lo
para	para	SPS00	para
que	que	CS	que
se	se	P00CN000	se
hiçiera	hiciera	VMSI0S0	hacer
al	al	SPS00+DA0MS0	a+el
punto	punto	NCMS000	punto
	.	Fp	.
y	Y	CC	y
assi	así	RG	así
no	no	RN	no
aguardo	aguardo	VMIP1S0	aguardar
otra	otra	DI0FS0	otro
cossa	cosa	NCFS000	cosa
mas	más	RC	más
de	de	SPS00	de
que	que	CS	que
benga	venga	VMSP0S0	venir
el	el	DA0MS0	el
Pe	padre	NCMS000	padre
Procurador	procurador	AQ0MS0	procurador
de	de	SPS00	de
captivos	cautivos	NCMP000	cautivo
para	para	SPS00	para
haçerle	hacerle	VMN0000+PP3CSD00	hacer+le
bolver	volver	VMN0000	volver
a	a	SPS00	a
que	que	CS	que
nombre	nombre	VMSP0S0	nombrar
por	por	SPS00	por
Juez	juez	NCMS000	juez
a	a	SPS00	a
don	don	NP00000	don
Lope	Lope	NP00000	lope
de	de	SPS00	de
Aldabe	Aldabe	NP00000	aldabe
	.	Fp	.
y	Y	CC	y
a	a	SPS00	a
saber	saber	VMN0000	saber
yo	yo	PP1CSN00	yo
donde	dónde	PA000000	dónde
anda	anda	VMIP3S0	andar
agora	ahora	RG	ahora
el	el	DA0MS0	el
procurador	procurador	NCMS000	procurador
	,	Fc	,
le	le	PP3CSD00	le
imbiara	enviara	VMSI0S0	enviar
el	el	DA0MS0	el
recado	recado	NCMS000	recado
para	para	SPS00	para
que	que	CS	que
luego	luego	RG	luego
Lo	lo	PP3MSA00	lo
pusiera	pusiera	VMSI0S0	poner
por	por	SPS00	por
la	la	DA0FS0	el
obra	obra	NCFS000	obra
	.	Fp	.
mas	Mas	CC	mas
no	no	RN	no
se	sé	VMIP1S0	saber
donde	dónde	PA000000	dónde
esta	está	VMIP3S0	estar
y	y	CC	y
assi	así	RG	así
me	me	PP1CS000	me
paresçe	parece	VMIP3S0	parecer
es	es	VSIP3S0	ser
diligençia	diligencia	NCFS000	diligencia
escusada	excusada	VMP00SF	excusar
	.	Fp	.
no	No	RN	no
puede	puede	VMIP3S0	poder
tardar	tardar	VMN0000	tardar
porque	porque	CS	porque
ha	ha	VMIP3S0	haber
mucho	mucho	RQ	mucho
que	que	CS	que
falta	falta	VMIP3S0	faltar
	.	Fp	.
en	En	SPS00	en
viniendo	viniendo	VMG0000	venir
se	se	P00CN000	se
hara	hará	VMIF3S0	hacer
al	al	SPS00+DA0MS0	a+el
punto	punto	NCMS000	punto
.	.	Fp	.
de	De	SPS00	de
la	la	DA0FS0	el
buena	buena	AQ0FS0	bueno
elecçion	elección	NCFS000	elección
que	que	PR0CN000	que
V	vuestra	DP2FSP	vuestro
Pd	paternidad	NP00000	paternidad
ha	ha	VAIP3S0	haber
hecho	hecho	VMP0000	hacer
de	de	SPS00	de
Vicario	vicario	NCMS000	vicario
en	en	SPS00	en
Po	Pedro	NP00000	pedro
de	de	SPS00	de
las	las	DA0FP0	el
Unçetas	Uncetas	NP00000	uncetas
me	me	PP1CS000	me
huelgo	huelgo	VMIP1S0	holgar
mucho	mucho	RQ	mucho
	,	Fc	,
que	que	CS	que
es	es	VSIP3S0	ser
hombre	hombre	NCMS000	hombre
de	de	SPS00	de
bien	bien	NCMS000	bien
a	a	SPS00	a
las	las	DA0FP0	el
derechas	derechas	NCFP000	derecha
	;	Fx	;
y	y	CC	y
tanbien	también	RG	también
pque	porque	CS	porque
al	al	SPS00+DA0MS0	a+el
fin	fin	NCMS000	fin
ha	ha	VAIP3S0	haber
aprobado	aprobado	VMP0000	aprobar
agora	ahora	RG	ahora
V	vuestra	DP2FSP	vuestro
Pd	paternidad	NP00000	paternidad
el	el	DA0MS0	el
paresçer	parecer	NCMS000	parecer
del	del	SPS00+DA0MS0	de+el
buen	buen	AQ0MS0	bueno
biejo	viejo	AQ0MS0	viejo
castañeda	Castañeda	NP00000	castañeda
	,	Fc	,
que	que	PR0CN000	que
