En	En	SPS00	en
el	el	DA0MS0	el
Alma	alma	NCFS000	alma
e	he	VAIP1S0	haber
sentido	sentido	VMP0000	sentir
que	que	CS	que
Vm	VM	NP00000	VM
no	no	RN	no
se	se	P00CN000	se
acuerde	acuerde	VMSP0S0	acordar
que	que	CS	que
le	le	PP3CSD00	le
desseo	deseo	VMIP1S0	desear
servir	servir	VMN0000	servir
Y	y	CC	y
que	que	CS	que
	,	Fc	,
haviendo	habiendo	VMG0000	haber
essa	esa	DD0FS0	ese
obligacion	obligación	NCFS000	obligación
Y	y	CC	y
que	que	CS	que
havendo	habiendo	VAG0000	haber
llegado	llegado	VMP0000	llegar
a	a	SPS00	a
la	La	DA0FS0	el
almolda	Almolda	NP00000	almolda
	,	Fc	,
no	no	RN	no
me	me	PP1CS000	me
haia	haya	VASP0S0	haber
querido	querido	VMP0000	querer
hazer	hacer	VMN0000	hacer
md	merced	NCFS000	merced
de	de	SPS00	de
mandarme	mandarme	VMN0000+PP1CS000	mandar+me
	.	Fp	.
havia	Había	VAII0S0	haber
determinado	determinado	VMP0000	determinar
de	de	SPS00	de
no	no	RN	no
escrebir	escribir	VMN0000	escribir
a	a	SPS00	a
Vm	VM	NP00000	VM
	,	Fc	,
pues	pues	CS	pues
Vm	VM	NP00000	VM
se	se	P00CN000	se
olbidaba	olvidaba	VMII0S0	olvidar
de	de	SPS00	de
l	la	DA0FS0	el
amistad	amistad	NCFS000	amistad
que	que	PR0CN000	que
havia	había	VMII0S0	haber
entre	entre	SPS00	entre
los	los	DA0MP0	el
dos	dos	Z	2
	,	Fc	,
Pero	pero	CC	pero
considerando	considerando	VMG0000	considerar
que	que	CS	que
	,	Fc	,
aunque	aunque	CS	aunque
por	por	SPS00	por
parte	parte	NCFS000	parte
de	de	SPS00	de
Vm	VM	NP00000	VM
haia	haya	VMSP0S0	haber
esse	ese	DD0MS0	ese
olbido	olvido	NCMS000	olvido
	,	Fc	,
de	de	SPS00	de
mi	mi	DP1CSS	mi
parte	parte	NCFS000	parte
no	no	RN	no
lo	lo	PP3MSA00	lo
esta	está	VMIP3S0	estar
	.	Fp	.
Hanme	Hanme	VAIP3P0+PP1CS000	haber+me
dicho	dicho	VMP0000	decir
ha	ha	VAIP3S0	haber
echo	hecho	VMP0000	hacer
Vm	VM	NP00000	VM
conducta	conducta	NCFS000	conducta
con	con	SPS00	con
los	los	DA0MP0	el
ss	señores	NCMP000	señor
jurados	jurados	NCMP000	jurado
d	de	SPS00	de
esta	esta	DD0FS0	este
Villa	villa	NCFS000	villa
	.	Fp	.
Yo	Yo	PP1CSN00	yo
creo	creo	VMIP1S0	creer
que	que	CS	que
sus	sus	DP3CP0	su
mdes	mercedes	NCFP000	merced
no	no	RN	no
se	se	P00CN000	se
deben	deben	VMIP3P0	deber
de	de	SPS00	de
acordar	acordar	VMN0000	acordar
que	que	CS	que
el	el	DA0MS0	el
cirujano	cirujano	NCCS000	cirujano
que	que	PR0CN000	que
tienen	tienen	VMIP3P0	tener
le	le	PP3CSD00	le
tienen	tienen	VMIP3P0	tener
conducido	conducido	VMP00SM	conducir
por	por	SPS00	por
quatro	cuatro	Z	4
Años	años	NCMP000	año
y	y	CC	y
que	que	CS	que
le	le	PP3CSD00	le
faltan	faltan	VMIP3P0	faltar
dos	dos	Z	2
por	por	SPS00	por
cumplir	cumplir	VMN0000	cumplir
)	.	Fp	.
Ni	Ni	CCN	ni
aun	aún	RG	aun
tanpoco	tampoco	RG	tampoco
se	se	PP3CN000	se
lo	lo	PP3CNA00	lo
habran	habrán	VAIF3P0	haber
dado	dado	VMP0000	dar
a	a	SPS00	a
Vm	VM	NP00000	VM
a	a	SPS00	a
entender	entender	VMN0000	entender
.	,	Fc	,
Que	que	CS	que
yo	yo	PP1CSN00	yo
crreo	creo	VMIP1S0	creer
bien	bien	RG	bien
de	de	SPS00	de
su	su	DP3CS0	su
buena	buena	AQ0FS0	bueno
naturaleza	naturaleza	NCFS000	naturaleza
de	de	SPS00	de
Vm	VM	NP00000	VM
	.	Fp	.
que	Que	CS	que
quando	cuando	PA000000	cuando
por	por	SPS00	por
algun	algún	DI0MS0	alguno
camino	camino	NCMS000	camino
lo	lo	PP3CNA00	lo
llegara	llegara	VMSI0S0	llegar
a	a	SPS00	a
entender	entender	VMN0000	entender
que	que	CS	que
	,	Fc	,
aunque	aunque	CS	aunque
estos	estos	DD0MP0	este
ss	señores	NCMP000	señor
le	le	PP3CSA00	le
conducieran	conducieran	VMSI3P0	conducir
a	a	SPS00	a
gusto	gusto	NCMS000	gusto
de	de	SPS00	de
todos	todos	PI0MP000	todo
y	y	CC	y
a	a	SPS00	a
Vm	VM	NP00000	VM
se	se	P00CN000	se
le	le	PP3CSD00	le
diera	diera	VMSI0S0	dar
de	de	SPS00	de
partido	partido	NCMS000	partido
mil	mil	Z	1000
ducados	ducados	NCMP000	ducado
a	a	SPS00	a
trueque	trueque	NCMS000	trueque
de	de	SPS00	de
que	que	CS	que
los	los	DA0MP0	el
de	de	SPS00	de
esta	esta	DD0FS0	este
villa	villa	NCFS000	villa
no	no	RN	no
faltaran	faltaran	VMSI3P0	faltar
a	a	SPS00	a
lo	lo	DA0NS0	el
que	que	PR0CN000	que
prometen	prometen	VMIP3P0	prometer
a	a	SPS00	a
los	los	DA0MP0	el
serbientes	sirvientes	NCMP000	sirviente
y	y	CC	y
que	que	CS	que
nadie	nadie	PI0NN00N	nadie
quexara	quejara	VMSI0S0	quejar
d	de	SPS00	de
ellos	ellos	PP3MP000	ellos
	,	Fc	,
con	con	SPS00	con
razon	razón	NCFS000	razón
no	no	RN	no
biniera	viniera	VMSI0S0	venir
Vm	VM	NP00000	VM
hazernos	hacernos	VMN0000+PP1CP000	hacer+nos
md	merced	NCFS000	merced
.	.	Fp	.
