Porque	Porque		
palabras	palabras		
no	no		
faltan	faltan		
respondo	respondo		
al	al		
recado	recado		
que	que		
se	se		
me	me		
ha	ha		
inviado	enviado		
con	con		
mi	mi		
Anto	Antonio		
Gil	Gil		
de	de		
Fanlo	Fanlo		
;	.		
digo	Digo		
	,		
pues	pues		
,	,		
que	que		
quantos	cuantos		
a	a		
las	las		
notas	notas		
de	de		
mi	mi		
marido	marido		
y	y		
a	a		
las	las		
demas	demás		
que	que		
por	por		
el	él		
me	me		
pertenecieren	pertenecieren		
	,		
como	como		
a	a		
mujer	mujer		
que	que		
ligitimamente	legítimamente		
lo	lo		
he	he		
sido	sido		
suia	suya		
	,		
y	y		
en	en		
los	los		
demas	demás		
bienes	bienes		
que	que		
me	me		
pertenecieren	pertenecieren		
,	,		
asi	así		
muebles	muebles		
como	como		
sitios	sitios		
,	,		
y	y		
en	en		
otras	otras		
cossas	cosas		
que	que		
remito	remito		
pra	para		
el	el		
fecho	fecho		
;	,		
no	no		
he	he		
de	de		
perder	perder		
mi	mi		
drecho	derecho		
,	.		
que	Que		
si	si		
de	de		
mano	mano		
poderossa	poderosa		
y	y		
engañossa	engañosa		
quisieron	quisieron		
jugar	jugar		
y	y		
burlarse	burlarse		
de	de		
mi	mí		
	,		
ha	ha		
de	de		
ver	ver		
el	el		
pueblo	pueblo		
y	y		
las	las		
jentes	gentes		
,	,		
que	que		
son	son		
las	las		
que	que		
han	han		
visto	visto		
las	las		
infamias	infamias		
que	que		
han	han		
hecho	hecho		
conmigo	conmigo		
como	como		
inumanos	inhumanos		
y	y		
malos	malos		
Chris-tianos	cristianos		
que	que		
se	se		
bolber	volver		
por	por		
mi	mí		
;	.		
no	No		
fue	fue		
victoria	victoria		
	,		
no	no		
	,		
engañar	engañar		
a	a		
una	una		
mujer	mujer		
aflijida	afligida		
y	y		
en	en		
medio	medio		
de	de		
la	la		
maior	mayor		
pena	pena		
y	y		
trabajo	trabajo		
que	que		
nues-tro	Nuestro		
señor	Señor		
me	me		
podia	podía		
dar	dar		
,	.		
no	No		
fue	fue		
victoria	victoria		
	,		
no	no		
;	,		
pues	pues		
esse	ese		
buelo	vuelo		
de	de		
engaño	engaño		
ha	ha		
de	de		
ser	ser		
para	para		
maior	mayor		
caida	caída		
y	y		
gloria	gloria		
mia	mía		
;	.		
Conmigo	Conmigo		
las	las		
han	han		
agora	ahora		
	,		
conmigo	conmigo		
las	las		
han	han		
	.		
al	Al		
procurador	procurador		
que	que		
lo	lo		
aconsejo	aconsejó		
y	y		
me	me		
vendio	vendió		
a	a		
mi	mí		
	,		
pues	pues		
le	le		
dio	dio		
el	el		
consejo	consejo		
	,		
que	que		
le	le		
de	dé		
el	el		
vençejo	vencejo		
,	.		
y	Y		
advierto	advierto		
que	que		
	,		
por	por		
qualquiera	cualquiera		
tribunal	tribunal		
que	que		
haia	haya		
de	de		
pender	pender		
mi	mi		
justicia	justicia		
,	,		
ni	ni		
me	me		
admira	admira		
ni	ni		
me	me		
espanta	espanta		
ni	ni		
aunque	aunque		
dure	dure		
siglos	siglos		
,	,		
que	que		
quanto	cuanto		
mas	más		
dure	dure		
(	(		
que	que		
esse	ése		
es	es		
su	su		
refrigerio	refrigerio		
)	)		
tendra	tendrá		
mas	más		
de	de		
que	que		
dar	dar		
quenta	cuenta		
,	.		
y	Y		
no	no		
se	se		
fie	fíe		
de	de		
que	que		
por	por		
los	los		
protocolos	protocolos		
no	no		
podre	podré		
saber	saber		
los	los		
actos	actos		
que	que		
ha	ha		
sacado	sacado		
,	,		
pues	pues		
se	sé		
que	que		
valen	valen		
mui	muy		
largos	largos		
ducados	ducados		
los	los		
provechos	provechos		
que	que		
ha	ha		
tenido	tenido		
de	de		
mis	mis		
notas	notas		
,	,		
que	que		
para	para		
todo	todo		
ai	hay		
remedio	remedio		
,	.		
y	Y		
pues	pues		
no	no		
valen	valen		
nada	nada		
las	las		
notas	notas		
de	de		
mi	mi		
marido	marido		
	,		
no	no		
son	son		
buenas	buenas		
para	para		
otri	otro		
que	que		
para	para		
mi	mí		
.	.		
el	El		
mal	mal		
de	de		
deçir	decir		
que	que		
la	la		
viña	viña		
no	no		
vale	vale		
nada	nada		
,	,		
quando	cuando		
se	se		
la	la		
mando	mandó		
a	a		
mi	mi		
marido	marido		
junta-mente	juntamente		
con	con		
el	el		
censal	censal		
de	de		
mil	mil		
escudos	escudos		
,	,		
que	que		
esta	está		
cargado	cargado		
sobre	sobre		
piedra	Piedra		
tajada	Tajada		
,	,		
era	era		
mui	muy		
buena	buena		
la	la		
viña	viña		
,	.		
ia	Ya		
entiende	entiende		
lo	lo		
que	que		
quiero	quiero		
deçir	decir		
si	si		
se	se		
la	la		
ha	ha		
dejado	dejado		
perder	perder		
	.		
ia	Ya		
le	le		
digo	digo		
que	que		
conmigo	conmigo		
las	las		
ha	ha		
	.		
Quien	Quien		
no	no		
me	me		
supo	supo		
estimar	estimar		
cordera	cordera		
me	me		
vera	verá		
leona	leona		
,	.		
y	Y		
aun	aun		
diciendoles	diciéndoles		
su	su		
naturaleça	naturaleza		
y	y		
lo	lo		
que	que		
no	no		
querran	querrán		
oir	oír		
por	por		
la	la		
plaça	plaza		
de	de		
la	La		
seo	Seo		
	,		
que	que		
no	no		
por	por		
rincones	rincones		
,	.		
y	Y		
sera	será		
publico	público		
y	y		
un	un		
poco	poco		
mas	más		
que	que		
el	el		
deçir	decir		
toda	toda		
essa	esa		
bil	vil		
canalla	canalla		
la	la		
venera	venera		
a	a		
mi	mi		
marido	marido		
por	por		
aver-se	haberse		
cassado	casado		
como	como		
io	yo		
;	.		
no	No		
sse	se		
la	la		
quitaron	quitaron		
estando	estando		
cassado	casado		
con	con		
y	y		
se	se		
la	la		
quitaran	quitarán		
por	por		
aver	haber		
mejorado	mejorado		
con	con		
tantas	tantas		
	.		
no	No		
se	se		
acontentaban	contentaban		
con	con		
robarme	robarme		
a	a		
toda	toda		
priessa	prisa		
mi	mi		
cassa	casa		
y	y		
acienda	hacienda		
	,		
sino	sino		
perderme	perderme		
el	el		
respeto	respeto		
en	en		
ella	ella		
;	.		
	¡		
pues	Pues		
quien	quién		
si	si		
no	no		
un	un		
villano	villano		
,	,		
rustico	rústico		
	,		
bastaje	bastaje		
	,		
hijo	hijo		
de	de		
una	una		
bil	vil		
gabacha	gabacha		
pissaubas	pisaúvas		
,	,		
bor-de	borde		
de	de		
quatro	cuatro		
costados	costados		
,	!		
y	Y		
esto	esto		
es	es		
lo	lo		
mejor	mejor		
que	que		
tiene	tiene		
	.		
mire	Mire		
quando	cuando		
io	yo		
le	le		
diga	diga		
las	las		
otras	otras		
berdades	verdades		
	,		
que	que		
tales	tales		
seran	serán		
,	.		
no	No		
es	es		
ançano	Anzano		
	,		
sino	sino		
ançañigo	Anzáñigo		
;	,		
pues	pues		
la	la		
mujer	mujer		
se	se		
la	la		
escogio	escogió		
a	a		
su	su		
modo	modo		
,	.		
que	Que		
no	no		
se	se		
oleran	olerán		
los	los		
ajos	ajos		
	,		
porque	porque		
tanbien	también		
es	es		
borda	borde		
asta	hasta		
la	la		
quarta	cuarta		
generacion	generación		
,	,		
hija	hija		
de	de		
un	un		
clerigo	clérigo		
,	.		
y	Y		
lo	lo		
mejor	mejor		
que	que		
tiene	tiene		
es	es		
esso	eso		
	,		
porque	porque		
la	la		
tal	tal		
sobredicha	sobredicha		
suegra	suegra		
de	de		
vuesanted	vuesanted		
es	es		
hija	hija		
de	de		
una	una		
buena	buena		
mujer	mujer		
,	,		
que	que		
fue	fue		
otra	otra		
segunda	segunda		
isabel	Isabel		
martinez	Martínez		
	.		
de	De		
tales	tales		
troncos	troncos		
que	qué		
tales	tales		
pueden	pueden		
ser	ser		
las	las		
ramas	ramas		
,	.		
consideresse	Considérese		
que	que		
bien	bien		
aparentado	aparentado		
esta	está		
	.		
esto	Esto		
es	es		
quanto	cuanto		
a	a		
esto	esto		
	.		
ia	Ya		
nos	nos		
veremos	veremos		
si	si		
dios	Dios		
es	es		
servido	servido		
,	.		
y	Y		
las	las		
obligaciones	obligaciones		
que	que		
le	le		
debo	debo		
no	no		
me	me		
lo	lo		
estorbaran	estorbarán		
;	,		
pues	pues		
a	a		
fuerça	fuerza		
de	de		
su	su		
mala	mala		
conciencia	conciencia		
diez	diez		
meses	meses		
ha	ha		
que	que		
se	se		
me	me		
sirve	sirve		
el	él		
i	y		
su	su		
suegro	suegro		
de	de		
mis	mis		
bienes	bienes		
,	.		
y	Y		
se	se		
ha	ha		
moblado	amueblado		
su	su		
cassa	casa		
,	.		
	¡		
sillas	Sillas		
de	de		
moscobia	Moscovia		
habia	había		
de	de		
menester	menester		
el	el		
bastaje	bastaje		
