albiertole	Adviértole	VMIP1S0+PP3CSD00	advertir+le
tenga	tenga	VMSP0S0	tener
por	por	SPS00	por
bien	bien	RG	bien
no	no	RN	no
ahordarse	acordarse	VMN0000+P00CN000	acordar+se
de	de	SPS00	de
mi	mí	PP1CSO00	mí
	,	Fc	,
porque	porque	CS	porque
le	le	PP3CSD00	le
esta	está	VMIP3S0	estar
mui	muy	RQ	muy
bien	bien	RG	bien
este	este	DD0MS0	este
partido	partido	NCMS000	partido
	.	Fp	.
i	Y	CC	y
si	si	CS	si
no	no	RN	no
lo	lo	PP3CNA00	lo
ace	hace	VMIP3S0	hacer
asi	así	RG	así
	,	Fc	,
nos	nos	PP1CP000	nos
oiran	oirán	VMIF3P0	oír
los	los	DA0MP0	el
sordos	sordos	NCMP000	sordo
i	y	CC	y
hitare	quitaré	VMIF1S0	quitar
el	el	DA0MS0	el
handado	candado	NCMS000	candado
que	que	PR0CN000	que
mi	mi	DP1CSS	mi
boha	boca	NCFS000	boca
tiene	tiene	VMIP3S0	tener
	,	Fc	,
cosa	cosa	NCFS000	cosa
que	que	PR0CN000	que
no	no	RN	no
le	le	PP3CSD00	le
estara	estará	VMIF3S0	estar
mui	muy	RQ	muy
bien	bien	RG	bien
	.	Fp	.
trate	Trate	VMSP0S0	tratar
de	de	SPS00	de
no	no	RN	no
ahordarse	acordarse	VMN0000+P00CN000	acordar+se
de	de	SPS00	de
mi	mí	PP1CSO00	mí
ni	ni	CCN	ni
benir	venir	VMN0000	venir
ni	ni	CCN	ni
enbiar	enviar	VMN0000	enviar
	,	Fc	,
que	que	CS	que
ia	ya	RG	ya
io	yo	PP1CSN00	yo
sali	salí	VMIS1S0	salir
de	de	SPS00	de
tutela	tutela	NCFS000	tutela
	.	Fp	.
i	Y	CC	y
tanta	tanta	DI0FS0	tanto
onra	honra	NCFS000	honra
guardela	guárdela	VMSP0S0+PP3FSA00	guardar+lo
para	para	SPS00	para
donde	donde	PA000000	donde
mas	más	RC	más
la	la	PP3FSA00	lo
a	ha	VMIP3S0	haber
de	de	SPS00	de
menester	menester	NCMS000	menester
	,	Fc	,
que	que	CS	que
por	por	SPS00	por
el	el	DA0MS0	el
poso	poso	NCMS000	poso
de	de	SPS00	de
mi	mi	DP1CSS	mi
madre	madre	NCFS000	madre
no	no	RN	no
a	ha	VMIP3S0	haber
de	de	SPS00	de
acer	hacer	VMN0000	hacer
mas	más	RC	más
infamias	infamias	NCFP000	infamia
conmigo	conmigo	SPS00+PP1CSO00	con+mí
	.	Fp	.
