rezebi	Recibí	VMIS1S0	recibir
las	las	DA0FP0	el
cartas	cartas	NCFP000	carta
	(	Fba	(
la	la	DA0FS0	el
del	del	SPS00+DA0MS0	de+el
sor	señor	NP00000	señor
don	don	NP00000	don
andres	Andrés	NP00000	andrés
de	de	SPS00	de
balenzuela	Valenzuela	NP00000	valenzuela
i	y	CC	y
la	la	DA0FS0	el
mia	mía	PX1FS0S0	mío
	)	Fbt	)
y	y	CC	y
el	el	DA0MS0	el
arrendamiento	arrendamiento	NCMS000	arrendamiento
del	del	SPS00+DA0MS0	de+el
cortijo	cortijo	NCMS000	cortijo
	.	Fp	.
enbiare	Enviaré	VMIF1S0	enviar
a	a	SPS00	a
llamar	llamar	VMN0000	llamar
a	a	SPS00	a
pedro	Pedro	NP00000	pedro
de	de	SPS00	de
angulo	Angulo	NP00000	angulo
	.	Fp	.
yo	Yo	PP1CSN00	yo
escrivire	escribiré	VMIF1S0	escribir
al	al	SPS00+DA0MS0	a+el
sor	señor	NP00000	señor
don	don	NP00000	don
andres	Andrés	NP00000	andrés
como	como	CS	como
qda	queda	VMIP3S0	quedar
en	en	SPS00	en
mi	mi	DP1CSS	mi
poder	poder	NCMS000	poder
el	el	DA0MS0	el
arrendamiento	arrendamiento	NCMS000	arrendamiento
i	y	CC	y
l	le	PP3CSD00	le
enbiare	enviaré	VMIF1S0	enviar
la	la	DA0FS0	el
carta	carta	NCFS000	carta
	.	Fp	.
y	Y	CC	y
pedro	Pedro	NP00000	pedro
de	de	SPS00	de
angulo	Angulo	NP00000	angulo
enviare	enviaré	VMIF1S0	enviar
para	para	SPS00	para
q	que	CS	que
me	me	PP1CS000	me
la	la	PP3FSA00	lo
enbie	envíe	VMSP0S0	enviar
con	con	SPS00	con
persona	persona	NCFS000	persona
q	que	PR0CN000	que
sea	sea	VSSP0S0	ser
zierta	cierta	AQ0FS0	cierto
	.	Fp	.
y	Y	CC	y
guardelo	guárdelo	VMIP3S0+PP3MSA00	guardar+lo
dios	Dios	NP00000	dios
munchos	muchos	DI0MP0	mucho
años	años	NCMP000	año
	.	Fp	.
i	Y	CC	y
si	si	CS	si
biniera	viniera	VMSI0S0	venir
a	a	SPS00	a
cordoba	Córdoba	NP00000	córdoba
me	me	PP1CS000	me
ara	hará	VMIF3S0	hacer
plazer	placer	NCMS000	placer
de	de	SPS00	de
berme	verme	VMN0000+PP1CS000	ver+me
	.	Fp	.
de	De	SPS00	de
cordoba	Córdoba	NP00000	córdoba
	,	Fc	,
y	y	CC	y
mayo	mayo	NCMS000	mayo
quinze	quince	Z	15
	.	Fp	.
doña	Doña	NP00000	don
Luysa	Luisa	NP00000	luisa
de	de	SPS00	de
cardenas	Cárdenas	NP00000	cárdenas
