Luego	Luego	RG	luego
que	que	CS	que
me	me	PP1CS000	me
dan	dan	VMIP3P0	dar
parte	parte	NCFS000	parte
de	de	SPS00	de
qualquiera	cualquiera	DI0CS0	cualquiera
cosa	cosa	NCFS000	cosa
	,	Fc	,
por	por	SPS00	por
menuda	menuda	AQ0FS0	menudo
que	que	CS	que
sea	sea	VSSP0S0	ser
y	y	CC	y
no	no	RN	no
sirba	sirva	VMSP0S0	servir
de	de	SPS00	de
otra	otra	PI0FS000	otro
que	que	CS	que
poner	poner	VMN0000	poner
trabajo	trabajo	NCMS000	trabajo
	,	Fc	,
le	le	PP3CSD00	le
doy	doy	VMIP1S0	dar
a	a	SPS00	a
VSa	VSa	NP00000	VSa
	,	Fc	,
aVisando	avisando	VMG0000	avisar
siempre	siempre	RG	siempre
como	como	CS	como
mejor	mejor	RC	mejor
puedo	puedo	VMIP1S0	poder
	,	Fc	,
con	con	SPS00	con
deseos	deseos	NCMP000	deseo
fidelissimos	fidelísimos	AQSMP0	fiel
de	de	SPS00	de
menor	menor	AQ0CS0	menor
sierbo	siervo	NCMS000	siervo
de	de	SPS00	de
VSa	VSa	NP00000	VSa
	,	Fc	,
A	a	SPS00	a
quiem	quien	PR0CS000	quien
siempre	siempre	RG	siempre
suppco	suplico	VMIP1S0	suplicar
se	se	P00CN000	se
sirba	sirva	VMSP0S0	servir
Reçebir	recibir	VMN0000	recibir
mi	mi	DP1CSS	mi
Voluntad	voluntad	NCFS000	voluntad
y	y	CC	y
perdonar	perdonar	VMN0000	perdonar
mis	mis	DP1CPS	mi
hieros	yerros	NCMP000	yerro
	.	Fp	.
yo	Yo	PP1CSN00	yo
procure	procuré	VMIS1S0	procurar
dar	dar	VMN0000	dar
quenta	cuenta	NCFS000	cuenta
A	a	SPS00	a
VSa	VSa	NP00000	VSa
de	de	SPS00	de
los	los	DA0MP0	el
Atrebimos	atrevimientos	NCMP000	atrevimiento
del	del	SPS00+DA0MS0	de+el
Alcalde	alcalde	NCMS000	alcalde
y	y	CC	y
de	de	SPS00	de
matias	Matías	NP00000	matías
	,	Fc	,
Juntamte	juntamente	RG	juntamente
con	con	SPS00	con
el	el	DA0MS0	el
ayuda	ayuda	NCFS000	ayuda
del	del	SPS00+DA0MS0	de+el
comisso	comisario	NCCS000	comisario
de	de	SPS00	de
yllana	Illana	NP00000	illana
	,	Fc	,
que	que	CS	que
fueron	fueron	VMIS3P0	ir
en	en	SPS00	en
tanto	tanto	DI0MS0	tanto
grado	grado	NCMS000	grado
que	que	CS	que
yo	yo	PP1CSN00	yo
me	me	PP1CS000	me
coRo	corro	VMIP1S0	correr
y	y	CC	y
lo	lo	PP3CNA00	lo
estoy	estoy	VMIP1S0	estar
de	de	SPS00	de
que	que	CS	que
saçerdote	sacerdote	NCMS000	sacerdote
que	que	PR0CN000	que
diçe	dice	VMIP3S0	decir
missa	misa	NCFS000	misa
hiçiera	hiciera	VMSI0S0	hacer
tal	tal	RC	tal
	,	Fc	,
Por	por	SPS00	por
mas	más	RC	más
amigo	amigo	NCMS000	amigo
que	que	CS	que
fuera	fuera	VSSI0S0	ser
el	el	DA0MS0	el
Reo	reo	NCMS000	reo
y	y	CC	y
mas	más	RC	más
Amistad	amistad	NCFS000	amistad
al	al	SPS00+DA0MS0	a+el
Alcalde	alcalde	NCMS000	alcalde
quisiera	quisiera	VMSI0S0	querer
haçer	hacer	VMN0000	hacer
	.	Fp	.
fuyme	Fuime	VMIS1S0+PP1CS000	ir+me
A	a	SPS00	a
posar	posar	VMN0000	posar
a	a	SPS00	a
casa	casa	NCFS000	casa
de	de	SPS00	de
Un	un	DI0MS0	uno
familiar	familiar	AQ0CS0	familiar
que	que	CS	que
es	es	VSIP3S0	ser
Alcalde	alcalde	NCMS000	alcalde
y	y	CC	y
persona	persona	NCFS000	persona
que	que	CS	que
d	de	SPS00	de
el	el	DA0MS0	el
caso	caso	NCMS000	caso
me	me	PP1CS000	me
abia	había	VAII0S0	haber
