Yo	Yo		
e	he		
recebido	recibido		
su	su		
carta	carta		
de	de		
Vm	VM		
	.		
y	Y		
a	a		
no	no		
tener	tener		
a	a		
mi	mi		
mujer	mujer		
enferma	enferma		
en	en		
la	la		
cama	cama		
	,		
asiguro	aseguro		
a	a		
Vm	VM		
no	no		
Uviera	hubiera		
dexado	dejado		
de	de		
yr	ir		
a	a		
Vesarselas	besárselas		
a	a		
Vm	VM		
y	y		
a	a		
sastifacer	satisfacer		
tan	tan		
gran	gran		
engaño	engaño		
como	como		
Vm	VM		
a	a		
mi	mí		
me	me		
a	ha		
escrito	escrito		
	,		
no	no		
teniendo	teniendo		
yo	yo		
culpa	culpa		
d	de		
ello	ello		
y	y		
no	no		
siendo	siendo		
asi	así		
y	y		
siendo	siendo		
tan	tan		
al	al		
contrario	contrario		
.	.		
suplicho	Suplico		
a	a		
Vm	VM		
	,		
pues	pues		
Vm	VM		
conoce	conoce		
mi	mi		
mala	mala		
letra	letra		
	,		
no	no		
se	se		
canse	canse		
de	de		
ler	leer		
esta	esta		
berdad	verdad		
y	y		
con	con		
ella	ella		
me	me		
ayude	ayude		
dios	Dios		
	.		
y	Y		
no	no		
crea	crea		
Vm	VM		
de	de		
mi	mí		
cosa	cosa		
que	que		
no	no		
sea	sea		
de	de		
onbre	hombre		
de	de		
bien	bien		
	.		
y	Y		
ansi	así		
	,		
sor	señor		
	,		
Vm	VM		
me	me		
dice	dice		
que	que		
por	por		
la	la		
aprension	aprensión		
de	de		
go	Jerónimo		
de	de		
ybarra	Ibarra		
se	se		
a	ha		
descubierto	descubierto		
mala	mala		
fe	fe		
mia	mía		
por	por		
aber	haber		
bendido	vendido		
yo	yo		
porciones	porciones		
de	de		
comanda	comanda		
antes	antes		
que	que		
Vendiera	vendiera		
a	a		
Vm	VM		
	,		
como	como		
tratamos	tratamos		
	.		
a	A		
eso	eso		
digo	digo		
	,		
señor	señor		
	,		
que	que		
no	no		
tengo	tengo		
ni	ni		
se	sé		
con	con		
que	qué		
palabras	palabras		
siertas	ciertas		
puedo	puedo		
decir	decir		
	,		
al	al		
contrario	contrario		
	,		
que	que		
nada	nada		
de	de		
lo	lo		
que	que		
Vm	VM		
me	me		
dice	dice		
es	es		
berdad	verdad		
y	y		
que	que		
go	Jerónimo		
de	de		
ybarra	Ibarra		
lleba	lleva		
y	y		
a	ha		
llebado	llevado		
alguna	alguna		
pasion	pasión		
en	en		
mi	mí		
si	si		
a	ha		
dicho	dicho		
tal	tal		
	;		
y	y		
que	que		
	,		
salbando	salvando		
a	a		
Vm	VM		
su	su		
persona	persona		
y	y		
acatamiento	acatamiento		
	,		
quien	quien		
a	a		
Vm	VM		
se	se		
lo	lo		
a	ha		
dicho	dicho		
puede	puede		
Vm	VM		
decirle	decirle		
de	de		
mi	mi		
parte	parte		
le	le		
a	ha		
mentido	mentido		
y	y		
que	que		
de	de		
la	la		
comanda	comanda		
yo	yo		
no	no		
e	he		
bendido	vendido		
porcion	porción		
ninguna	ninguna		
ni	ni		
aun	aun		
dicho	dicho		
la	la		
tenia	tenía		
a	a		
seys	seis		
personas	personas		
.	.		
Bien	Bien		
sabe	sabe		
Vm	VM		
que	que		
yo	yo		
en	en		
mis	mis		
cartas	cartas		
	.		
Vm	VM		
las	las		
debe	debe		
de	de		
tener	tener		
	.		
escribi	Escribí		
yo	yo		
señora	señora		
ana	Ana		
maria	María		
de	de		
agreda	Ágreda		
que	que		
yo	yo		
bendido	vendido		
tres	tres		
porciones	porciones		
de	de		
censal	censal		
en	en		
el	el		
	;		
a	a		
d	doña		
angela	Ángela		
requesenes	Requesenes		
	,		
benticincho	veinticinco		
libras	libras		
de	de		
pension	pensión		
	;		
