su	Su	DP3CS0	su
carta	carta	NCFS000	carta
de	de	SPS00	de
vm	VM	NP00000	VM
me	me	PP1CS000	me
trajo	trajo	VMIS3S0	traer
la	la	DA0FS0	el
condesa	condesa	NCFS000	condesa
de	de	SPS00	de
lemos	Lemos	NP00000	lemos
	.	Fp	.
y	Y	CC	y
syerto	cierto	RG	cierto
	,	Fc	,
sor	señor	NP00000	señor
	,	Fc	,
q	que	CS	que
no	no	RN	no
acavo	acabo	VMIP1S0	acabar
de	de	SPS00	de
entender	entender	VMN0000	entender
lo	lo	DA0NS0	el
q	que	PR0CN000	que
vm	VM	NP00000	VM
me	me	PP1CS000	me
dyze	dice	VMIP3S0	decir
ny	ni	CC	ni
lo	lo	DA0NS0	el
q	que	PR0CN000	que
a	ha	VAIP3S0	haber
entendydo	entendido	VMP0000	entender
de	de	SPS00	de
la	la	DA0FS0	el
mya	mía	PX1FS0S0	mío
	.	Fp	.
q	Que	CS	que
	,	Fc	,
anq	aunque	CS	aunque
me	me	PP1CS000	me
jure	juré	VMIS1S0	jurar
myllones	millones	NCMP000	millón
de	de	SPS00	de
juramentos	juramentos	NCMP000	juramento
	,	Fc	,
no	no	RN	no
puedo	puedo	VMIP1S0	poder
rresponder	responder	VMN0000	responder
a	a	SPS00	a
ellos	ellos	PP3MP000	ellos
porq	porque	CS	porque
como	como	CS	como
my	mi	DP1CSS	mi
yntento	intento	NCMS000	intento
fue	fue	VSIS3S0	ser
no	no	RN	no
mudar	mudar	VMN0000	mudar
de	de	SPS00	de
leguaje	lenguaje	NCMS000	lenguaje
ny	ni	CC	ni
con	con	SPS00	con
el	el	DA0MS0	el
pensamyento	pensamiento	NCMS000	pensamiento
no	no	RN	no
salyr	salir	VMN0000	salir
un	un	DI0MS0	uno
punto	punto	NCMS000	punto
de	de	SPS00	de
lo	lo	DA0NS0	el
q	que	PR0CN000	que
syenpre	siempre	RG	siempre
e	he	VAIP1S0	haber
dycho	dicho	VMP0000	decir
a	a	SPS00	a
vm	VM	NP00000	VM
	:	Fd	:
q	que	CS	que
le	le	PP3CSD00	le
quyero	quiero	VMIP1S0	querer
pagar	pagar	VMN0000	pagar
prynsypal	principal	AQ0CS0	principal
y	y	CC	y
corrydos	corridos	NCMP000	corrido
	.	Fp	.
y	Y	CC	y
por	por	SPS00	por
eso	eso	PD0NN000	eso
preguntava	preguntaba	VMII0S0	preguntar
a	a	SPS00	a
vm	VM	NP00000	VM
cuanto	cuánto	PT0MS000	cuánto
serya	sería	VSIC0S0	ser
lo	lo	DA0NS0	el
q	que	PR0CN000	que
se	se	P00CN000	se
devya	debía	VMII0S0	deber
d	de	SPS00	de
ellos	ellos	PP3MP000	ellos
con	con	SPS00	con
yntento	intento	NCMS000	intento
de	de	SPS00	de
pagarlo	pagarlo	VMN0000+PP3MSA00	pagar+lo
todo	todo	PI0MS000	todo
a	a	SPS00	a
vm	VM	NP00000	VM
	,	Fc	,
como	como	CS	como
tengo	tengo	VMIP1S0	tener
la	la	DA0FS0	el
oblygaçyón	obligación	NCFS000	obligación
	.	Fp	.
y	Y	CC	y
el	el	DA0MS0	el
dezyrle	decirle	VMN0000+PP3CSD00	decir+le
a	a	SPS00	a
vm	VM	NP00000	VM
q	que	CS	que
me	me	PP1CS000	me
avya	había	VMII0S0	haber
de	de	SPS00	de
esperar	esperar	VMN0000	esperar
por	por	SPS00	por
algo	algo	PI0CS000	algo
era	era	VSII0S0	ser
fuerza	fuerza	NCFS000	fuerza
	,	Fc	,
porq	porque	CS	porque
era	era	VSII0S0	ser
ynpusyble	imposible	AQ0CS0	imposible
luego	luego	RG	luego
poderlo	poderlo	VMN0000+PP3CNA00	poder+lo
yo	yo	PP1CSN00	yo
todo	todo	DI0MS0	todo
juntar	juntar	VMN0000	juntar
	.	Fp	.
vm	VM	NP00000	VM
este	esté	VMSP0S0	estar
sygurysymo	segurísimo	AQSMS0	seguro
q	que	CS	que
todo	todo	DI0MS0	todo
lo	lo	DA0NS0	el
mas	más	RC	más
q	que	PR0CN000	que
sea	sea	VSSP0S0	ser
pusyble	posible	AQ0CS0	posible
	(	Fba	(
y	y	CC	y
mas	más	RC	más
de	de	SPS00	de
lo	lo	DA0NS0	el
q	que	PR0CN000	que
lo	lo	PP3CNA00	lo
fuere	fuere	VSSF0S0	ser
	)	Fbt	)
e	he	VMIP1S0	haber
de	de	SPS00	de
hazer	hacer	VMN0000	hacer
con	con	SPS00	con
vm	VM	NP00000	VM
con	con	SPS00	con
las	las	DA0FP0	el
mayores	mayores	AQ0CP0	mayor
beras	veras	NCFP000	vera
q	que	PR0CN000	que
le	le	PP3CSD00	le
podre	podré	VMIF1S0	poder
encarezer	encarecer	VMN0000	encarecer
	.	Fp	.
y	Y	CC	y
ansy	así	RG	así
le	le	PP3CSD00	le
suplyco	suplico	VMIP1S0	suplicar
no	no	RN	no
le	le	PP3CSD00	le
de	dé	VMSP0S0	dar
nada	nada	RQ	nada
pena	pena	NCFS000	pena
	.	Fp	.
q	Que	CS	que
	,	Fc	,
en	en	SPS00	en
tenyendo	teniendo	VMG0000	tener
otra	otra	DI0FS0	otro
sentençya	sentencia	NCFS000	sentencia
de	de	SPS00	de
q	que	CS	que
el	el	DA0MS0	el
consyerto	concierto	NCMS000	concierto
de	de	SPS00	de
symon	Simón	NP00000	simón
sanly	Sanli	NP00000	sanli
no	no	RN	no
pase	pase	VMSP0S0	pasar
adelante	adelante	RG	adelante
	,	Fc	,
procurare	procuraré	VMIF1S0	procurar
luego	luego	RG	luego
dezyr	decir	VMN0000	decir
a	a	SPS00	a
vm	VM	NP00000	VM
todo	todo	DI0MS0	todo
el	el	DA0MS0	el
dynero	dinero	NCMS000	dinero
q	que	PR0CN000	que
le	le	PP3CSD00	le
podre	podré	VMIF1S0	poder
dar	dar	VMN0000	dar
	.	Fp	.
plega	Plega	VMSP0S0	placer
a	a	SPS00	a
dyos	Dios	NP00000	dios
q	que	CS	que
yo	yo	PP1CSN00	yo
pueda	pueda	VMSP0S0	poder
juntarlo	juntarlo	VMN0000+PP3MSA00	juntar+lo
de	de	SPS00	de
suerte	suerte	NCFS000	suerte
q	que	CS	que
vm	VM	NP00000	VM
qde	quede	VMSP0S0	quedar
muy	muy	RQ	muy
pagado	pagado	VMP00SM	pagar
e	y	CC	y
yo	yo	PP1CSN00	yo
muy	muy	RQ	muy
consolada	consolada	VMP00SF	consolar
de	de	SPS00	de
aber	haber	VAN0000	haber
echo	hecho	VMP0000	hacer
lo	lo	DA0NS0	el
q	que	PR0CN000	que
devo	debo	VMIP1S0	deber
y	y	CC	y
e	he	VAIP1S0	haber
ofrezydo	ofrecido	VMP0000	ofrecer
a	a	SPS00	a
vm	VM	NP00000	VM
	,	Fc	,
como	como	CS	como
lo	lo	PP3CNA00	lo
hago	hago	VMIP1S0	hacer
de	de	SPS00	de
nuebo	nuevo	AQ0MS0	nuevo
dyzyendole	diciéndole	VMG0000+PP3CSD00	decir+le
q	que	CS	que
a	a	SPS00	a
todos	todos	PI0MS000	todo
a	ha	VMIP3S0	haber
de	de	SPS00	de
ser	ser	VSN0000	ser
preferydo	preferido	VMP00SM	preferir
y	y	CC	y
pagado	pagado	VMP0000	pagar
prymero	primero	RG	primero
	.	Fp	.
la	La	DA0FS0	el
sentençya	sentencia	NCFS000	sentencia
q	que	PR0CN000	que
oy	hoy	RG	hoy
me	me	PP1CS000	me
an	han	VAIP3P0	haber
dado	dado	VMP0000	dar
a	ha	VAIP3S0	haber
sydo	sido	VSP0000	ser
q	que	CS	que
manda	manda	VMIP3S0	mandar
el	el	DA0MS0	el
Consejo	Consejo	NP00000	consejo
traer	traer	VMN0000	traer
aquy	aquí	RG	aquí
el	el	DA0MS0	el
dynero	dinero	NCMS000	dinero
asta	hasta	SPS00	hasta
q	que	CS	que
se	se	P00CN000	se
sentençye	sentencie	VMSP0S0	sentenciar
el	el	DA0MS0	el
consyerto	concierto	NCMS000	concierto
de	de	SPS00	de
symon	Simón	NP00000	simón
sanly	Sanli	NP00000	sanli
	.	Fp	.
y	Y	CC	y
ansy	así	RG	así
el	el	DA0MS0	el
mysmo	mismo	AQ0MS0	mismo
consejo	Consejo	NP00000	consejo
le	le	PP3CSD00	le
a	ha	VMIP3S0	haber
de	de	SPS00	de
deposytar	depositar	VMN0000	depositar
el	el	DA0MS0	el
dynero	dinero	NCMS000	dinero
	.	Fp	.
y	Y	CC	y
ansy	así	RG	así
apryeto	aprieto	VMIP1S0	apretar
el	el	DA0MS0	el
pleyto	pleito	NCMS000	pleito
	.	Fp	.
y	Y	CC	y
porq	porque	CS	porque
asta	hasta	SPS00	hasta
acavarlo	acabarlo	VMN0000+PP3MSA00	acabar+lo
no	no	RN	no
me	me	PP1CS000	me
daran	darán	VMIF3P0	dar
un	un	DI0MS0	uno
rreal	real	NCMS000	real
	,	Fc	,
vm	VM	NP00000	VM
no	no	RN	no
tyene	tiene	VMIP3S0	tener
q	que	CS	que
desasosegarse	desasosegarse	VMN0000+P00CN000	desasosegar+se
	,	Fc	,
q	que	CS	que
yo	yo	PP1CSN00	yo
e	he	VMIP1S0	haber
de	de	SPS00	de
cunplyr	cumplir	VMN0000	cumplir
con	con	SPS00	con
vm	VM	NP00000	VM
mejor	mejor	RC	mejor
q	que	CS	que
con	con	SPS00	con
todos	todos	DI0MP0	todo
juntos	juntos	AQ0MP0	junto
	.	Fp	.
y	Y	CC	y
sy	si	CS	si
vm	VM	NP00000	VM
despues	después	RG	después
fuere	fuere	VSSF0S0	ser
servydo	servido	VMP00SM	servir
de	de	SPS00	de
dar	dar	VMN0000	dar
buelta	vuelta	NCFS000	vuelta
por	por	SPS00	por
aca	acá	RG	acá
	,	Fc	,
a	ha	VMIP3S0	haber
llevar	llevar	VMN0000	llevar
todo	todo	DI0MS0	todo
el	el	DA0MS0	el
mas	más	RC	más
dynero	dinero	NCMS000	dinero
q	que	PR0CN000	que
pudyere	pudiere	VMSF0S0	poder
darle	darle	VMN0000+PP3CSD00	dar+le
y	y	CC	y
asygurar	asegurar	VMN0000	asegurar
el	el	DA0MS0	el
q	que	PR0CN000	que
me	me	PP1CS000	me
esperare	esperare	VMSF0S0	esperar
	,	Fc	,
q	que	CS	que
podrya	podría	VMIC0S0	poder
ser	ser	VSN0000	ser
no	no	RN	no
fuese	fuese	VSSI0S0	ser
menester	menester	NCMS000	menester
esto	esto	PD0NN000	esto
	.	Fp	.
y	Y	CC	y
crea	crea	VMSP0S0	creer
vm	VM	NP00000	VM
q	que	CS	que
de	de	SPS00	de
todas	todas	DI0FP0	todo
maneras	maneras	NCFP000	manera
lo	lo	PP3CNA00	lo
tyene	tiene	VMIP3S0	tener
syerto	cierto	AQ0MS0	cierto
y	y	CC	y
syguro	seguro	NCMS000	seguro
	,	Fc	,
mas	más	RC	más
dygolo	dígolo	VMIP1S0+PP3CNA00	decir+lo
por	por	SPS00	por
sy	si	CS	si
acaso	acaso	RG	acaso
quyjese	quisiese	VMSI0S0	querer
vm	VM	NP00000	VM
dar	dar	VMN0000	dar
buelta	vuelta	NCFS000	vuelta
por	por	SPS00	por
aca	acá	RG	acá
	,	Fc	,
q	que	CS	que
tendra	tendrá	VMIF3S0	tener
aquy	aquí	RG	aquí
esta	esta	DD0FS0	este
casa	casa	NCFS000	casa
con	con	SPS00	con
la	la	DA0FS0	el
buena	buena	AQ0FS0	bueno
boluntad	voluntad	NCFS000	voluntad
q	que	CS	que
devemos	debemos	VMIP1P0	deber
a	a	SPS00	a
la	la	DA0FS0	el
q	que	PR0CN000	que
vm	VM	NP00000	VM
syenpre	siempre	RG	siempre
nos	nos	PP1CP000	nos
a	ha	VAIP3S0	haber
tenydo	tenido	VMP0000	tener
de	de	SPS00	de
hazerme	hacerme	VMN0000+PP1CS000	hacer+me
m	merced	NCFS000	merced
	.	Fp	.
lo	Lo	DA0NS0	el
q	que	PR0CN000	que
yo	yo	PP1CSN00	yo
suplyco	suplico	VMIP1S0	suplicar
a	a	SPS00	a
vm	VM	NP00000	VM
es	es	VSIP3S0	ser
q	que	CS	que
este	esté	VMSP0S0	estar
syerto	cierto	AQ0MS0	cierto
q	que	CS	que
my	mi	DP1CSS	mi
lenguaje	lenguaje	NCMS000	lenguaje
no	no	RN	no
se	se	P00CN000	se
puede	puede	VMIP3S0	poder
mudar	mudar	VMN0000	mudar
	,	Fc	,
syno	sino	CC	sino
q	que	CS	que
le	le	PP3CSD00	le
e	he	VMIP1S0	haber
de	de	SPS00	de
pagar	pagar	VMN0000	pagar
como	como	CS	como
crystyana	cristiana	NCFS000	cristiano
y	y	CC	y
como	como	CS	como
quyen	quien	PR0CS000	quien
solo	sólo	RG	sólo
fyo	fio	NCMS000	fio
de	de	SPS00	de
my	mí	PP1CSO00	mí
su	su	DP3CS0	su
hazyenda	hacienda	NCFS000	hacienda
	.	Fp	.
y	Y	CC	y
sy	si	CS	si
vm	VM	NP00000	VM
lo	lo	PP3CNA00	lo
esta	está	VMIP3S0	estar
como	como	CS	como
syempre	siempre	RG	siempre
lo	lo	PP3CNA00	lo
a	ha	VAIP3S0	haber
estado	estado	VMP0000	estar
	,	Fc	,
ny	ni	CC	ni
pa	para	SPS00	para
asygurarla	asegurarla	VMN0000+PP3FSA00	asegurar+lo
ny	ni	CC	ni
pa	para	SPS00	para
cobrarla	cobrarla	VMN0000+PP3FSA00	cobrar+lo
no	no	RN	no
a	ha	VMIP3S0	haber
menester	menester	NCMS000	menester
benyr	venir	VMN0000	venir
por	por	SPS00	por
aca	acá	RG	acá
	,	Fc	,
syno	sino	CC	sino
entender	entender	VMN0000	entender
