qrido	Querido	VMP00SM	querer
mio	mío	DP1MSS	mío
de	de	SPS00	de
mi	mi	DP1CSS	mi
coracon	corazón	NCMS000	corazón
	.	Fp	.
me	Me	PP1CS000	me
alegrare	alegraré	VMIF1S0	alegrar
que	que	CS	que
esta	ésta	PD0FS000	este
te	te	PP2CS000	te
alle	halle	VMSP0S0	hallar
con	con	SPS00	con
la	la	DA0FS0	el
salud	salud	NCFS000	salud
que	que	PR0CN000	que
deseo	deseo	VMIP1S0	desear
	.	Fp	.
esta	Esta	DD0FS0	este
mañana	mañana	NCFS000	mañana
no	no	RN	no
te	te	PP2CS000	te
pude	pude	VMIS1S0	poder
d	de	SPS00	de
despachar	despachar	VMN0000	despachar
mas	más	RC	más
presto	presto	RG	presto
porque	porque	CS	porque
estaba	estaba	VMII0S0	estar
la	la	DA0FS0	el
señora	señora	NP00000	señor
abadesa	abadesa	NCFS000	abade
en	en	SPS00	en
misa	misa	NCFS000	misa
	.	Fp	.
mi	Mi	DP1CSS	mi
papel	papel	NCMS000	papel
estava	estaba	VMII0S0	estar
escrito	escrito	NCMS000	escrito
desde	desde	SPS00	desde
aier	ayer	RG	ayer
	.	Fp	.
y	Y	CC	y
timo	estimo	VMIP1S0	estimar
el	el	DA0MS0	el
rregalo	regalo	NCMS000	regalo
en	en	SPS00	en
ber	ver	VMN0000	ver
que	que	CS	que
estando	estando	VMG0000	estar
con	con	SPS00	con
el	el	DA0MS0	el
cuiado	cuidado	NCMS000	cuidado
te	te	PP2CS000	te
acordaste	acordaste	VMSP0S0	acordastar
de	de	SPS00	de
cunplil	cumplir	VMN0000	cumplir
con	con	SPS00	con
las	las	DA0FP0	el
atenciones	atenciones	NCFP000	atención
	,	Fc	,
que	que	CS	que
la	la	DA0FS0	el
señora	señora	NP00000	señor
abadesa	abadesa	NCFS000	abade
lo	lo	PP3CNA00	lo
estimado	estimado	VMP0000	estimar
micho	mucho	RQ	mucho
i	y	CC	y
a	ha	VAIP3S0	haber
dicho	dicho	VMP0000	decir
que	que	CS	que
con	con	SPS00	con
que	qué	PT0CN000	qué
se	se	P00CN000	se
paga	paga	VMIP3S0	pagar
tu	tu	DP2CSS	tu
cuiado	cuidado	NCMS000	cuidado
.	.	Fp	.
desde	Desde	SPS00	desde
que	que	CS	que
estubo	estuvo	VMIS3S0	estar
mi	mi	DP1CSS	mi
padere	padre	NCMS000	padre
no	no	RN	no
a	ha	VAIP3S0	haber
benido	venido	VMP0000	venir
nide	nadie	PI0NN00N	nadie
que	que	CS	que
aiga	haya	VASP0S0	haber
cabido	sabido	VMP0000	saber
	.	Fp	.
no	No	RN	no
tengo	tengo	VMIP1S0	tener
de	de	SPS00	de
q	que	CS	que
abisarte	avisarte	VMN0000+PP2CS000	avisar+te
	,	Fc	,
syno	sino	CC	sino
que	que	CS	que
dios	Dios	NP00000	dios
te	te	PP2CS000	te
me	me	PP1CS000	me
dege	deje	VMSP0S0	dejar
ber	ver	VMN0000	ver
para	para	SPS00	para
mi	mi	DP1CSS	mi
consuelo	consuelo	NCMS000	consuelo
	.	Fp	.
de	De	SPS00	de
doña	doña	NP00000	don
maria	María	NP00000	maría
de	de	SPS00	de
los	los	DA0MP0	el
rrelles	Reyes	NCMP000	rey
rrecibe	recibe	VMIP3S0	recibir
muchos	muchos	DI0MP0	mucho
rreqados	recados	NCMP000	recado
i	y	CC	y
de	de	SPS00	de
su	su	DP3CS0	su
seglar	seglar	AQ0CS0	seglar
dona	doña	NP00000	don
ysabel	Isabel	NP00000	isabel
de	de	SPS00	de
mendoca	Mendoza	NP00000	mendoza
	,	Fc	,
y	y	CC	y
a	a	SPS00	a
mi	mi	DP1CSS	mi
ermana	hermana	NP00000	hermano
doña	doña	NP00000	don
icidora	Isidora	NP00000	isidora
le	le	PP3CSD00	le
da	da	VMIP3S0	dar
mis	mis	DP1CPS	mi
memorias	memorias	NCFP000	memoria
de	de	SPS00	de
que	que	CS	que
las	las	PP3FPA00	lo
beas	veas	VMSP2S0	ver
	.	Fp	.
tu	Tu	DP2CSS	tu
esposa	esposa	NCFS000	esposo
	,	Fc	,
ynes	Inés	NP00000	inés
florencia	Florencia	NP00000	florencia
de	de	SPS00	de
mendoca	Mendoza	NP00000	mendoza
