Matando	Matando		
bamos	vamos		
de	de		
conponer	componer		
estos	estos		
negotios	negocios		
de	de		
mi	mi		
sra	señora		
doña	doña		
geronima	Gerónima		
	.		
no	No		
se	se		
fia	fía		
	.		
de	De		
ser	ser		
posible	posible		
	,		
pareze	parece		
por	por		
agora	ahora		
el	el		
mejor	mejor		
medio	medio		
que	que		
se	se		
rrecojiese	recogiese		
en	en		
algun	algún		
conbento	convento		
	.		
y	Y		
su	su		
md	merced		
diçe	dice		
q	que		
lo	lo		
ara	hará		
en	en		
el	el		
que	que		
mi	mi		
hermo	hermano		
le	le		
señalare	señalare		
	.		
no	No		
se	sé		
si	si		
bendra	vendrá		
	.		
en	En		
esto	esto		
	,		
de	de		
lo	lo		
que	que		
se	se		
fuere	fuere		
haziendo	haciendo		
avisare	avisaré		
a	a		
vm	VM		
.	.		
la	La		
Carta	carta		
pa	para		
yurremendi	Yurreamendi		
la	la		
encamine	encaminé		
como	como		
Vm	VM		
manda	manda		
	.		
y	Y		
la	la		
vi	vi		
y	y		
me	me		
pareze	parece		
que	que		
es	es		
nezesario	necesario		
tratarselo	tratárselo		
por	por		
aquel	aquel		
camino	camino		
	,		
pues	pues		
pa	para		
con	con		
todos	todos		
es	es		
siempre	siempre		
mejor	mejor		
el	el		
mas	más		
suabe	suave		
.	.		
A	A		
quien	quien		
yo	yo		
no	no		
acabo	acabo		
de	de		
entender	entender		
es	es		
a	a		
mi	mi		
herma	hermana		
	.		
y	Y		
deseo	deseo		
saber	saber		
con	con		
que	qué		
razon	razón		
se	se		
escusa	excusa		
de	de		
sacar	sacar		
de	de		
pila	pila		
la	la		
rrezien	recién		
nazida	nacida		
	.		
y	Y		
aUnque	aunque		
tengo	tengo		
algunas	algunas		
esperienzias	experiencias		
con	con		
que	que		
conozer	conocer		
para	para		
lo	lo		
poco	poco		
q	que		
nos	nos		
es	es		
a	a		
proposito	propósito		
	,		
no	no		
crei	creí		
que	que		
en	en		
lo	lo		
que	que		
la	la		
onrraba	honraba		
tanbien	también		
dejara	dejara		
de	de		
azerlo	hacerlo		
	.		
supco	Suplico		
a	a		
Vm	VM		
me	me		
avise	avise		
si	si		
tubo	tuvo		
ocasion	ocasión		
berdadera	verdadera		
con	con		
q	que		
escusarse	excusarse		
	;		
y	y		
de	de		
la	la		
manera	manera		
q	que		
de	de		
su	su		
parte	parte		
de	de		
Vm	VM		
y	y		
de	de		
la	la		
de	de		
mi	mi		
sobrina	sobrina		
se	se		
le	le		
propuso	propuso		
	;		
y	y		
si	si		
antes	antes		
se	se		
avia	había		
ablado	hablado		
algo	algo		
se	sobre		
ello	ello		
o	o		
si	si		
abian	habían		
tenido	tenido		
algun	algún		
enfado	enfado		
	.		
que	Que		
le	le		
prometo	prometo		
a	a		
Vm	VM		
que	que		
lo	lo		
e	he		
sentido	sentido		
sumamte	sumamente		
y	y		
por	por		
eso	eso		
deseo	deseo		
