Conpe	Compadre	NCMS000	compadre
y	y	CC	y
amigo	amigo	NP00000	amigo
de	de	SPS00	de
mi	mi	DP1CSS	mi
alma	alma	NCFS000	alma
:	.	Fp	.
esta	Ésta	PD0FS000	este
es	es	VSIP3S0	ser
inclusa	inclusa	AQ0FSP	incluso
de	de	SPS00	de
la	la	DA0FS0	el
otra	otra	PI0FS000	otro
que	que	PR0CN000	que
enbie	envié	VMIS1S0	enviar
por	por	SPS00	por
el	el	DA0MS0	el
Caxon	cajón	NCMS000	cajón
la	la	DA0FS0	el
via	vía	NCFS000	vía
del	del	SPS00+DA0MS0	de+el
golfo	golfo	NCMS000	golfo
abra	habrá	VMIF3S0	haber
tres	tres	Z	3
dias	días	NCMP000	día
,	.	Fp	.
y	Y	CC	y
agora	ahora	RG	ahora
acabo	acabo	VMIP1S0	acabar
de	de	SPS00	de
resebir	recibir	VMN0000	recibir
una	una	DI0FS0	uno
de	de	SPS00	de
vmd	VM	NP00000	VM
,	,	Fc	,
su	su	DP3CS0	su
fha	fecha	NCFS000	fecha
en	en	SPS00	en
Cadiz	Cádiz	NP00000	cádiz
e	y	CC	y
20	20	Z	20
de	de	SPS00	de
oce	octubre	NCMS000	octubre
,	,	Fc	,
que	que	CS	que
me	me	PP1CS000	me
abisa	avisa	VMIP3S0	avisar
de	de	SPS00	de
su	su	DP3CS0	su
salud	salud	NCFS000	salud
y	y	CC	y
buena	buena	AQ0FS0	bueno
llegada	llegada	NCFS000	llegada
	,	Fc	,
que	que	CS	que
fue	fue	VMIS3S0	ir
pa	para	SPS00	para
mi	mí	PP1CSO00	mí
de	de	SPS00	de
particular	particular	NCMS000	particular
gusto	gusto	NCMS000	gusto
,	.	Fp	.
Yo	Yo	PP1CSN00	yo
quedo	quedo	VMIP1S0	quedar
bueno	bueno	AQ0MS0	bueno
	,	Fc	,
a	a	SPS00	a
Dios	Dios	NP00000	dios
las	las	DA0FP0	el
gracias	gracias	NCFP000	gracia
,	;	Fx	;
la	la	DA0FS0	el
de	de	SPS00	de
su	su	DP3CS0	su
ssa	señoría	NP00000	señoría
y	y	CC	y
primo	primo	NCMS000	primo
de	de	SPS00	de
vmd	VM	NP00000	VM
es	es	VSIP3S0	ser
buena	buena	AQ0FS0	bueno
.	.	Fp	.
en	En	SPS00	en
el	el	DA0MS0	el
particular	particular	NCMS000	particular
de	de	SPS00	de
la	la	DA0FS0	el
dependena	dependencia	NCFS000	dependencia
de	de	SPS00	de
Don	don	NP00000	don
ferdo	Fernando	NP00000	fernando
	,	Fc	,
lo	lo	DA0NS0	el
que	que	PR0CN000	que
cobre	cobré	VMIS1S0	cobrar
fueron	fueron	VSIS3P0	ser
unas	unas	DI0FP0	uno
160	160	Z	160
libras	libras	NCFP000	libra
de	de	SPS00	de
ilo	hilo	NCMS000	hilo
de	de	SPS00	de
caracol	caracol	NCMS000	caracol
que	que	CS	que
a	a	SPS00	a
la	la	DA0FS0	el
ora	hora	NCFS000	hora
d	de	SPS00	de
esta	ésta	PD0FS000	este
no	no	RN	no
se	se	P00CN000	se
ha	ha	VAIP3S0	haber
podido	podido	VMP0000	poder
reducir	reducir	VMN0000	reducir
a	a	SPS00	a
los	los	DA0MP0	el
rs	reales	NCMP000	real
	.	Fp	.
y	Y	CC	y
esto	esto	PD0NN000	esto
fue	fue	VMIS3S0	ir
con	con	SPS00	con
grandissimas	grandísimas	AQSFP0	grande
pesadunbres	pesadumbres	NCFP000	pesadumbre
y	y	CC	y
abiendo	habiendo	VAG0000	haber
Yo	yo	PP1CSN00	yo
ido	ido	VMP0000	ir
a	a	SPS00	a
Nicoia	Nicoya	NP00000	nicoya
a	a	SPS00	a
quebrantarme	quebrantarme	VMN0000+PP1CS000	quebrantar+me
los	los	DA0MP0	el
guesos	huesos	NCMP000	hueso
	,	Fc	,
que	que	CS	que
lo	lo	PP3CNA00	lo
conmigo	conmigo	SPS00+PP1CSO00	con+mí
que	que	CS	que
bendria	vendría	VMIC0S0	venir
luego	luego	RG	luego
a	a	SPS00	a
gua	Guatemala	NP00000	guatemala
y	y	CC	y
me	me	PP1CS000	me
daria	daría	VMIC0S0	dar
satisfacon	satisfacción	NCFS000	satisfacción
al	al	SPS00+DA0MS0	a+el
resto	resto	NCMS000	resto
,	.	Fp	.
aora	Ahora	RG	ahora
se	se	P00CN000	se
ha	ha	VAIP3S0	haber
lebantado	levantado	VMP0000	levantar
con	con	SPS00	con
su	su	DP3CS0	su
ssa	señoría	NP00000	señoría
y	y	CC	y
con	con	SPS00	con
todos	todos	DI0MP0	todo
los	los	DA0MP0	el
demas	demás	NCMS000	demás
diciendo	diciendo	VMG0000	decir
que	que	CS	que
no	no	RN	no
tiene	tiene	VMIP3S0	tener
con	con	SPS00	con
que	qué	PT0CN000	qué
pagar	pagar	VMN0000	pagar
y	y	CC	y
que	que	CS	que
por	por	SPS00	por
eso	eso	PD0NN000	eso
no	no	RN	no
puede	puede	VMIP3S0	poder
benir	venir	VMN0000	venir
	.	Fp	.
aora	Ahora	RG	ahora
me	me	PP1CS000	me
hallo	hallo	VMIP1S0	hallar
con	con	SPS00	con
el	el	DA0MS0	el
pie	pie	NCMS000	pie
en	en	SPS00	en
el	el	DA0MS0	el
estribo	estribo	NCMS000	estribo
a	a	SPS00	a
buscarlo	buscarlo	VMN0000+PP3MSA00	buscar+lo
	,	Fc	,
que	que	CS	que
me	me	PP1CS000	me
han	han	VAIP3P0	haber
dicho	dicho	VMP0000	decir
que	que	CS	que
esta	está	VMIP3S0	estar
en	en	SPS00	en
granada	Granada	NP00000	granada
,	.	Fp	.
cobrare	Cobraré	VMIF1S0	cobrar
como	como	CS	como
quiera	quiera	VMSP0S0	querer
que	que	CS	que
fuere	fuere	VSSF0S0	ser
,	.	Fp	.
la	La	DA0FS0	el
remision	remisión	NCFS000	remisión
	,	Fc	,
si	si	CS	si
vmd	VM	NP00000	VM
no	no	RN	no
biniere	viniere	VMSF0S0	venir
	,	Fc	,
sera	será	VSIF3S0	ser
en	en	SPS00	en
la	la	DA0FS0	el
flota	flota	NCFS000	flota
prima	primera	AO0FS0	primero
	;	Fx	;
y	y	CC	y
si	si	CS	si
no	no	RN	no
fuere	fuere	VSSF0S0	ser
en	en	SPS00	en
ella	ella	PP3FS000	él
	,	Fc	,
lo	lo	PP3CNA00	lo
entregare	entregaré	VMIF1S0	entregar
a	a	SPS00	a
la	la	DA0FS0	el
persona	persona	NCFS000	persona
de	de	SPS00	de
mas	más	RC	más
satisfacion	satisfacción	NCFS000	satisfacción
que	que	PR0CN000	que
hallare	hallare	VMSF0S0	hallar
	,	Fc	,
porque	porque	CS	porque
en	en	SPS00	en
esta	esta	DD0FS0	este
ocason	ocasión	NCFS000	ocasión
no	no	RN	no
ha	ha	VAIP3S0	haber
sido	sido	VSP0000	ser
posible	posible	AQ0CS0	posible
recogerlo	recogerlo	VMN0000+PP3MSA00	recoger+lo
	,	Fc	,
que	que	CS	que
es	es	VSIP3S0	ser
lo	lo	DA0NS0	el
que	que	PR0CN000	que
me	me	PP1CS000	me
pesa	pesa	VMIP3S0	pesar
,	.	Fp	.
que	Que	CS	que
si	si	CS	si
Yo	yo	PP1CSN00	yo
me	me	PP1CS000	me
hallara	hallara	VMSI0S0	hallar
con	con	SPS00	con
ello	ello	PD0NN000	ello
o	o	CC	o
lo	lo	PP3CNA00	lo
hubiera	hubiera	VASI0S0	haber
podido	podido	VMP0000	poder
hallar	hallar	VMN0000	hallar
prestado	prestado	VMP00SM	prestar
	,	Fc	,
es	es	VSIP3S0	ser
cierto	cierto	AQ0MS0	cierto
que	que	CS	que
lo	lo	PP3CNA00	lo
hubiera	hubiera	VASI0S0	haber
remitido	remitido	VMP0000	remitir
,	,	Fc	,
siquiera	siquiera	RG	siquiera
porque	porque	CS	porque
corre	corre	VMIP3S0	correr
por	por	SPS00	por
mi	mi	DP1CSS	mi
mano	mano	NCFS000	mano
y	y	CC	y
se	sé	VMIP1S0	saber
la	la	DA0FS0	el
falta	falta	NCFS000	falta
que	que	PR0CN000	que
le	le	PP3CSD00	le
estara	estará	VMIF3S0	estar
hasiendo	haciendo	VMG0000	hacer
.	.	Fp	.
Don	Don	NP00000	don
Diego	Diego	NP00000	diego
rubin	Rubín	NP00000	rubín
a	a	SPS00	a
la	la	DA0FS0	el
fha	fecha	NCFS000	fecha
d	de	SPS00	de
esta	ésta	PD0FS000	este
sale	sale	VMIP3S0	salir
de	de	SPS00	de
este	este	DD0MS0	este
puerto	puerto	NCMS000	puerto
pa	para	SPS00	para
la	la	DA0FS0	el
bta	vuelta	NCFS000	vuelta
de	de	SPS00	de
la	La	DA0FS0	el
Abana	Habana	NP00000	habana
en	en	SPS00	en
conpañia	compañía	NCFS000	compañía
de	de	SPS00	de
la	la	DA0FS0	el
Nao	nao	NCFS000	nao
de	de	SPS00	de
rexo.	rexo.	NP00000	rexo.
pa	para	SPS00	para
bolber	volver	VMN0000	volver
a	a	SPS00	a
estas	estas	DD0FP0	este
Provas	provincias	NCFP000	provincia
desde	desde	SPS00	desde
la	La	DA0FS0	el
abana	Habana	NP00000	habana
	.	Fp	.
ablando	Hablando	VMG0000	hablar
con	con	SPS00	con
su	su	DP3CS0	su
ssa	señoría	NP00000	señoría
en	en	SPS00	en
este	este	DD0MS0	este
particular	particular	NCMS000	particular
me	me	PP1CS000	me
dijo	dijo	VMIS3S0	decir
que	que	CS	que
eso	eso	PD0NN000	eso
no	no	RN	no
tenia	tenía	VMII0S0	tener
forma	forma	NCFS000	forma
el	el	DA0MS0	el
reqojerlo	recogerlo	VMN0000+PP3MSA00	recoger+lo
hasta	hasta	SPS00	hasta
que	que	CS	que
bolbiera	volviera	VMSI0S0	volver
a	a	SPS00	a
estas	estas	DD0FP0	este
Provas	provincias	NCFP000	provincia
	.	Fp	.
estare	Estaré	VMIF1S0	estar
sienpre	siempre	RG	siempre
con	con	SPS00	con
el	el	DA0MS0	el
cuidado	cuidado	NCMS000	cuidado
de	de	SPS00	de
que	que	CS	que
se	se	P00CN000	se
ponga	ponga	VMSP0S0	poner
tanbien	también	RG	también
en	en	SPS00	en
cobro	cobro	NCMS000	cobro
lo	lo	DA0NS0	el
de	de	SPS00	de
rubi	Rubí	RG	rubí
	.	Fp	.
y	Y	CC	y
en	en	SPS00	en
la	la	DA0FS0	el
flota	flota	NCFS000	flota
	,	Fc	,
si	si	CS	si
vmd	VM	NP00000	VM
no	no	RN	no
biniere	viniere	VMSF0S0	venir
	,	Fc	,
podra	podrá	VMIF3S0	poder
remitir	remitir	VMN0000	remitir
orden	orden	NCMS000	orden
pa	para	SPS00	para
que	que	CS	que
lo	lo	PP3CNA00	lo
cobre	cobre	VMSP0S0	cobrar
su	su	DP3CS0	su
primo	primo	NCMS000	primo
de	de	SPS00	de
vmd	VM	NP00000	VM
	,	Fc	,
que	que	CS	que
Yo	yo	PP1CSN00	yo
le	le	PP3CSD00	le
asistire	asistiré	VMIF1S0	asistir
en	en	SPS00	en
todo	todo	PI0MS000	todo
como	como	CS	como
a	a	SPS00	a
quien	quien	PR0CS000	quien
miro	miro	VMIP1S0	mirar
la	la	DA0FS0	el
persona	persona	NCFS000	persona
misma	misma	AQ0FS0	mismo
de	de	SPS00	de
vmd	VM	NP00000	VM
.	.	Fp	.
en	En	SPS00	en
este	este	DD0MS0	este
mismo	mismo	AQ0MS0	mismo
dia	día	NCMS000	día
me	me	PP1CS000	me
parto	parto	VMIP1S0	partir
pa	para	SPS00	para
granada	Granada	NP00000	granada
	,	Fc	,
como	como	CS	como
tengo	tengo	VMIP1S0	tener
dicho	dicho	VMP00SM	decir
	,	Fc	,
y	y	CC	y
de	de	SPS00	de
alli	allí	RG	allí
me	me	PP1CS000	me
paso	paso	VMIP1S0	pasar
a	a	SPS00	a
las	las	DA0FP0	el
costas	costas	NCFP000	costa
de	de	SPS00	de
Guaiaquil	Guayaquil	NP00000	guayaquil
,	.	Fp	.
estare	Estaré	VMIF1S0	estar
de	de	SPS00	de
bta	vuelta	NCFS000	vuelta
de	de	SPS00	de
biaje	viaje	NCMS000	viaje
por	por	SPS00	por
sepe	septiembre	NCMS000	septiembre
en	en	SPS00	en
estas	estas	DD0FP0	este
Provas	provincias	NCFP000	provincia
	,	Fc	,
que	que	CS	que
sera	será	VSIF3S0	ser
la	la	DA0FS0	el
benida	venida	NCFS000	venida
de	de	SPS00	de
flota	flota	NCFS000	flota
	.	Fp	.
esto	Esto	PD0NN000	esto
hago	hago	VMIP1S0	hacer
por	por	SPS00	por
ser	ser	VSN0000	ser
el	el	DA0MS0	el
tpo	tiempo	NCMS000	tiempo
osioso	ocioso	AQ0MS0	ocioso
y	y	CC	y
por	por	SPS00	por
ber	ver	VMN0000	ver
si	si	CS	si
puedo	puedo	VMIP1S0	poder
1011	1011	Z	1011
ps	pesos	NCMP000	peso
pa	para	SPS00	para
irme	irme	VMN0000+PP1CS000	ir+me
a	a	SPS00	a
españa	España	NP00000	españa
	,	Fc	,
que	que	CS	que
es	es	VSIP3S0	ser
lo	lo	DA0NS0	el
que	que	PR0CN000	que
mas	más	RC	más
conbiene	conviene	VMIP3S0	convenir
	,	Fc	,
que	que	CS	que
el	el	DA0MS0	el
viaxe	viaje	NCMS000	viaje
no	no	RN	no
promete	promete	VMIP3S0	prometer
cosa	cosa	NCFS000	cosa
ninga	ninguna	DI0FS0	ninguno
menos	menos	RC	menos
,	.	Fp	.
es	Es	VSIP3S0	ser
voluntad	voluntad	NCFS000	voluntad
de	de	SPS00	de
su	su	DP3CS0	su
ssa	señoría	NP00000	señoría
el	el	DA0MS0	el
que	que	CS	que
Yo	yo	PP1CSN00	yo
lo	lo	PP3CNA00	lo
haga	haga	VMSP0S0	hacer
	,	Fc	,
que	que	CS	que
si	si	CS	si
no	no	RN	no
no	no	RN	no
lo	lo	PP3CNA00	lo
hisiera	hiciera	VMSI0S0	hacer
aunque	aunque	CS	aunque
me	me	PP1CS000	me
quedara	quedara	VMSI0S0	quedar
sin	sin	SPS00	sin
camisa	camisa	NCFS000	camisa
	.	Fp	.
y	Y	CC	y
porque	porque	CS	porque
a	a	SPS00	a
su	su	DP3CS0	su
primo	primo	NCMS000	primo
de	de	SPS00	de
vmd	VM	NP00000	VM
no	no	RN	no
le	le	PP3CSD00	le
han	han	VAIP3P0	haber
enbiado	enviado	VMP0000	enviar
succesor	sucesor	NCMS000	sucesor
a	a	SPS00	a
la	la	DA0FS0	el
ora	hora	NCFS000	hora
ba	va	VMIP3S0	ir
esta	ésta	PD0FS000	este
	.	Fp	.
y	Y	CC	y
el	el	DA0MS0	el
tpo	tiempo	NCMS000	tiempo
que	que	PR0CN000	que
gastare	gastare	VMSF0S0	gastar
en	en	SPS00	en
ese	ese	DD0MS0	ese
viaje	viaje	NCMS000	viaje
abra	habrá	VMIF3S0	haber
menester	menester	NCMS000	menester
gastar	gastar	VMN0000	gastar
pa	para	SPS00	para
salir	salir	VMN0000	salir
del	del	SPS00+DA0MS0	de+el
oficio	oficio	NCMS000	oficio
	,	Fc	,
que	que	CS	que
si	si	CS	si
hubiera	hubiera	VASI0S0	haber
salido	salido	VMP0000	salir
hisieramos	hiciéramos	VMSI1P0	hacer
los	los	DA0MP0	el
dos	dos	Z	2
el	el	DA0MS0	el
biaje	viaje	NCMS000	viaje
o	o	CC	o
yo	yo	PP1CSN00	yo
no	no	RN	no
lo	lo	PP3CNA00	lo
hisiera	hiciera	VMSI0S0	hacer
,	:	Fd	:
ya	ya	RG	ya
estamos	estamos	VMIP1P0	estar
despedidos	despedidos	VMP00PM	despeder
los	los	DA0MP0	el
dos	dos	Z	2
	.	Fp	.
y	Y	CC	y
Yo	yo	PP1CSN00	yo
me	me	PP1CS000	me
hallo	hallo	VMIP1S0	hallar
en	en	SPS00	en
este	este	DD0MS0	este
pueo	puerto	NCMS000	puerto
de	de	SPS00	de
amatitan	Amatitlán	NP00000	amatitlán
detenido	detenido	VMP00SM	detener
por	por	SPS00	por
la	la	DA0FS0	el
semana	Semana	NCFS000	semana
santa	Santa	NP00000	santo
	,	Fc	,
que	que	CS	que
mis	mis	DP1CPS	mi
cargas	cargas	NCFP000	carga
ia	ya	CC	ya
ban	van	VMIP3P0	ir
caminando	caminando	VMG0000	caminar
	.	Fp	.
boi	Voy	VMIP1S0	ir
mui	muy	RQ	muy
bie	bien	RG	bien
abiado	aviado	VMP00SM	aviar
porque	porque	CS	porque
mi	mi	DP1CSS	mi
amigo	amigo	NP00000	amigo
Don	don	NP00000	don
antonio	Antonio	NP00000	antonio
Galindo	Galindo	NP00000	galindo
me	me	PP1CS000	me
ha	ha	VAIP3S0	haber
aiudado	ayudado	VMP0000	ayudar
asta	hasta	SPS00	hasta
unos	unos	DI0MP0	uno
10U	10000	Z	10000
ps	pesos	NCMP000	peso
	.	Fp	.
mi	Mi	DP1CSS	mi
conpo	compañero	NCMS000	compañero
es	es	VSIP3S0	ser
un	un	DI0MS0	uno
cavo	caballero	NCMS000	caballero
de	de	SPS00	de
eziga	Écija	NP00000	écija
llamdo	llamado	VMP00SM	llamar
D	don	NP00000	don
Po	Pedro	NP00000	pedro
de	de	SPS00	de
Torres	Torres	NP00000	torres
que	que	CS	que
bino	vino	VMIS3S0	venir
