mas	más	RC	más
q	que	CS	que
escrevi	escribí	VMIS1S0	escribir
a	a	SPS00	a
vmd	VM	NP00000	VM
por	por	SPS00	por
via	vía	NCFS000	vía
de	de	SPS00	de
toledo	Toledo	NP00000	toledo
sinificandole	significándole	VMG0000+PP3CSD00	significar+le
la	la	DA0FS0	el
neçesidad	necesidad	NCFS000	necesidad
que	que	PR0CN000	que
tenia	tenía	VMII0S0	tener
de	de	SPS00	de
dineros	dineros	NCMP000	dinero
y	y	CC	y
que	que	CS	que
me	me	PP1CS000	me
enbiase	enviase	VMSI0S0	enviar
por	por	SPS00	por
via	vía	NCFS000	vía
de	de	SPS00	de
toledo	Toledo	NP00000	toledo
lo	lo	DA0NS0	el
que	que	PR0CN000	que
pudiese	pudiese	VMSI0S0	poder
	,	Fc	,
porq	porque	CS	porque
de	de	SPS00	de
no	no	RN	no
haçerlo	hacerlo	VMN0000+PP3CNA00	hacer+lo
enbiaria	enviaría	VMIC0S0	enviar
por	por	SPS00	por
ellos	ellos	PP3MP000	ellos
	.	Fp	.
al	Al	SPS00+DA0MS0	a+el
presente	presente	NCMS000	presente
tengo	tengo	VMIP1S0	tener
neçesidad	necesidad	NCFS000	necesidad
de	de	SPS00	de
mill	mil	Z	1000
y	y	CC	y
quinientos	quinientos	Z	500
rreales	reales	NCMP000	real
	.	Fp	.
vmd	VM	NP00000	VM
me	me	PP1CS000	me
la	la	PP3FSA00	lo
haga	haga	VMSP0S0	hacer
	,	Fc	,
q	que	CS	que
sera	será	VSIF3S0	ser
muy	muy	RQ	muy
grande	grande	AQ0CS0	grande
de	de	SPS00	de
vender	vender	VMN0000	vender
el	el	DA0MS0	el
trigo	trigo	NCMS000	trigo
y	y	CC	y
cevada	cebada	NCFS000	cebada
a	a	SPS00	a
como	como	CS	como
valiere	valiere	VMSF0S0	valer
y	y	CC	y
proveerme	proveerme	VMN0000+PP1CS000	proveer+me
hasta	hasta	SPS00	hasta
los	los	DA0MP0	el
mill	mil	Z	1000
y	y	CC	y
quinientos	quinientos	Z	500
rreales	reales	NCMP000	real
q	que	PR0CN000	que
he	he	VAIP1S0	haber
dicho	dicho	VMP0000	decir
	,	Fc	,
q	que	CS	que
en	en	SPS00	en
ello	ello	PD0NN000	ello
rescebire	recibiré	VMIF1S0	recibir
muy	muy	RQ	muy
particular	particular	AQ0CS0	particular
md	merced	NCFS000	merced
	.	Fp	.
el	El	DA0MS0	el
portador	portador	NCMS000	portador
	,	Fc	,
que	que	PR0CN000	que
se	se	P00CN000	se
diçe	dice	VMIP3S0	decir
Andres	Andrés	NP00000	andrés
garçia	García	NP00000	garcía
	,	Fc	,
no	no	RN	no
va	va	VMIP3S0	ir
a	a	SPS00	a
otro	otro	DI0MS0	otro
cosa	cosa	NCFS000	cosa
	.	Fp	.
vmd	VM	NP00000	VM
me	me	PP1CS000	me
la	la	PP3FSA00	lo
haga	haga	VMSP0S0	hacer
de	de	SPS00	de
despachar	despachar	VMN0000	despachar
con	con	SPS00	con
brevedad	brevedad	NCFS000	brevedad
	.	Fp	.
por	Por	SPS00	por
aca	acá	RG	acá
todos	todos	PI0MP000	todo
tenemos	tenemos	VMIP1P0	tener
salud	salud	NCFS000	salud
a	a	SPS00	a
servicio	servicio	NCMS000	servicio
de	de	SPS00	de
vmd	VM	NP00000	VM
	.	Fp	.
desela	Désela	VMM02S0+PP3CN000+PP3FSA00	dar+se+lo
nro	Nuestro	DP1MSP	nuestro
a	a	SPS00	a
vmd	VM	NP00000	VM
como	como	CS	como
deseo	deseo	VMIP1S0	desear
	.	Fp	.
de	De	SPS00	de
yepes	Yepes	NP00000	yepes
	,	Fc	,
y	y	CC	y
de	de	SPS00	de
febrero	febrero	NCMS000	febrero
24	24	Z	24
de	de	SPS00	de
1621	1621	Z	1621
	.	Fp	.
luis	Luis	NP00000	luis
alvarez	Álvarez	NP00000	álvarez
de	de	SPS00	de
aguila	Águila	NP00000	águila
suplico	Suplico	VMIP1S0	suplicar
a	a	SPS00	a
vmd	VM	NP00000	VM
no	no	RN	no
venga	venga	VMSP0S0	venir
sin	sin	SPS00	sin
ellos	ellos	PP3MP000	ellos
	.	Fp	.
