Don	Don	NP00000	don
Juan	Juan	NP00000	juan
	.	Fp	.
avisadme	Avisadme	VMM02P0+PP1CS000	avisar+me
quando	cuándo	PA000000	cuándo
llegastes	llegastes	VMIS2P0	llegar
	.	Fc	,
sy	Si	CS	si
aveis	habéis	VAIP2P0	haber
hallado	hallado	VMP0000	hallar
charruage	carruaje	NCMS000	carruaje
	,	Fc	,
procurad	procurad	VMM02P0	procurar
q	que	CS	que
se	se	P00CN000	se
remita	remita	VMSP0S0	remitir
lo	lo	DA0NS0	el
ma	más	RC	más
aprisa	aprisa	RG	aprisa
q	que	CS	que
se	se	P00CN000	se
pudiere	pudiere	VMSF0S0	poder
	,	Fc	,
de	de	SPS00	de
manera	manera	NCFS000	manera
q	que	CS	que
podamos	podamos	VMSP1P0	poder
salir	salir	VMN0000	salir
de	de	SPS00	de
aqui	aquí	RG	aquí
myercoles	miércoles	NCMN000	miércoles
por	por	SPS00	por
la	la	DA0FS0	el
mañana	mañana	NCFS000	mañana
.	.	Fp	.
si	Si	CS	si
el	el	DA0MS0	el
conde	conde	NCMS000	conde
de	de	SPS00	de
oñate	Oñate	NP00000	oñate
presta	presta	AQ0FS0	presto
su	su	DP3CS0	su
estrado	estrado	NCMS000	estrado
	,	Fc	,
pues	pues	CS	pues
decis	decís	VMIP2P0	decir
q	que	CS	que
es	es	VSIP3S0	ser
la	la	DA0FS0	el
alfombra	alfombra	NCFS000	alfombra
mejor	mejor	RC	mejor
q	que	CS	que
la	la	DA0FS0	el
nuestra	nuestra	PX1FS0P0	nuestro
	.	Fc	,
estra	Ésta	PD0FS000	este
se	se	P00CN000	se
ponga	ponga	VMSP0S0	poner
en	en	SPS00	en
la	la	DA0FS0	el
pieza	pieza	NCFS000	pieza
del	del	SPS00+DA0MS0	de+el
estrado	estrado	NCMS000	estrado
y	y	CC	y
la	la	DA0FS0	el
nuestra	nuestra	PX1FS0P0	nuestro
en	en	SPS00	en
la	la	DA0FS0	el
pieza	pieza	NCFS000	pieza
de	de	SPS00	de
dormir	dormir	VMN0000	dormir
	.	Fp	.
si	Si	CS	si
el	el	DA0MS0	el
conde	conde	NCMS000	conde
de	de	SPS00	de
oñate	Oñate	NP00000	oñate
presta	presta	AQ0FS0	presto
el	el	DA0MS0	el
dosel	dosel	NCMS000	dosel
y	y	CC	y
tienen	tienen	VMIP3P0	tener
ya	ya	RG	ya
uno	uno	Z	1
prevenido	prevenido	VMP00SM	prevenir
	,	Fc	,
se	se	P00CN000	se
ponga	ponga	VMSP0S0	poner
el	el	DA0MS0	el
mejor	mejor	AQ0CS0	mejor
en	en	SPS00	en
el	el	DA0MS0	el
estrado	estrado	NCMS000	estrado
y	y	CC	y
el	el	DA0MS0	el
uno	uno	Z	1
sobre	sobre	SPS00	sobre
la	la	DA0FS0	el
cama	cama	NCFS000	cama
	.	Fp	.
lo	Lo	DA0NS0	el
q	que	PR0CN000	que
toca	toca	VMIP3S0	tocar
a	a	SPS00	a
vras	vuestras	DP2FPP	vuestro
quentas	cuentas	NCFP000	cuenta
podeis	podéis	VMIP2P0	poder
descuyda	descuidar	VMN0000	descuidar
	,	Fc	,
pues	pues	CS	pues
sabeis	sabéis	VMIP2P0	saber
quan	cuán	RG	cuán
buenas	buenas	AQ0FP0	bueno
estan	están	VMIP3P0	estar
y	y	CC	y
q	que	CS	que
no	no	RN	no
ai	hay	VMIP3S0	haber
q	qué	PT0CN000	qué
sopesar	sopesar	VMN0000	sopesar
en	en	SPS00	en
ellas	ellas	PP3FP000	ellos
	.	Fp	.
y	Y	CC	y
podeis	podéis	VMIP2P0	poder
estar	estar	VMN0000	estar
cierto	cierto	RG	cierto
q	que	CS	que
	,	Fc	,
al	al	SPS00+DA0MS0	a+el
passo	paso	NCMS000	paso
q	que	CS	que
os	os	PP2CP000	os
quieran	quieran	VMSP3P0	querer
hacer	hacer	VMN0000	hacer
iros	iros	VMN0000+PP2CP000	ir+os
	,	Fc	,
os	os	PP2CP000	os
tengo	tengo	VMIP1S0	tener
yo	yo	PP1CSN00	yo
de	de	SPS00	de
hacer	hacer	VMN0000	hacer
mds	mercedes	NCFP000	merced
dobladas	dobladas	VMP00PF	doblar
como	como	CS	como
lo	lo	PP3CNA00	lo
mereceis	merecéis	VMIP2P0	merecer
sirviendome	sirviéndome	VMG0000+PP1CS000	servir+me
como	como	CS	como
me	me	PP1CS000	me
servis	servís	VMIP2P0	servir
	.	Fp	.
despues	Después	RG	después
de	de	SPS00	de
averos	haberos	VAN0000+PP2CP000	haber+os
ido	ido	VMP0000	ir
	,	Fc	,
nos	nos	PP1CP000	nos
llamo	llamó	VMIS3S0	llamar
