he	He	VAIP1S0	haber
Reparado	reparado	VMP0000	reparar
en	en	SPS00	en
la	la	DA0FS0	el
gran	gran	AQ0CS0	gran
falta	falta	NCFS000	falta
que	que	PR0CN000	que
me	me	PP1CS000	me
hareis	haréis	VMIF2P0	hacer
a	a	SPS00	a
lo	lo	DA0NS0	el
que	que	PR0CN000	que
se	se	P00CN000	se
offreziere	ofreciere	VMSF0S0	ofrecer
y	y	CC	y
cada	cada	DI0CN0	cada
dia	día	NCMS000	día
resulta	resulta	VMIP3S0	resultar
que	que	CS	que
no	no	RN	no
se	se	P00CN000	se
puede	puede	VMIP3S0	poder
prevenir	prevenir	VMN0000	prevenir
	.	Fp	.
y	Y	CC	y
	,	Fc	,
conoçiendo	conociendo	VMG0000	conocer
de	de	SPS00	de
la	la	DA0FS0	el
importançia	importancia	NCFS000	importancia
que	que	CS	que
sois	sois	VSIP2P0	ser
para	para	SPS00	para
todo	todo	PI0MS000	todo
	,	Fc	,
me	me	PP1CS000	me
pareze	parece	VMIP3S0	parecer
que	que	CS	que
por	por	SPS00	por
ningun	ningún	DI0MS0	ninguno
caso	caso	NCMS000	caso
os	os	PP2CP000	os
vengais	vengáis	VMSP2P0	venir
.	.	Fp	.
No	No	RN	no
embieis	enviéis	VMSP2P0	enviar
mas	más	RC	más
paños	paños	NCMP000	paño
,	.	Fp	.
el	El	DA0MS0	el
anascote	anascote	NCMS000	anascote
para	para	SPS00	para
las	las	DA0FP0	el
dueñas	dueñas	NCFP000	dueño
venga	venga	VMSP0S0	venir
luego	luego	RG	luego
	,	Fc	,
que	que	CS	que
no	no	RN	no
quiero	quiero	VMIP1S0	querer
sea	sea	VSSP0S0	ser
bayeta	bayeta	NCFS000	bayeta
.	.	Fp	.
Embiad	Enviad	VMM02P0	enviar
mas	más	RC	más
achas	hachas	NCFP000	hacha
y	y	CC	y
velas	velas	NCFP000	vela
.	.	Fp	.
La	La	DA0FS0	el
musica	música	NCFS000	música
nos	nos	PP1CP000	nos
haze	hace	VMIP3S0	hacer
falta	falta	NCFS000	falta
.	.	Fp	.
Los	Los	DA0MP0	el
lutos	lutos	NCMP000	luto
de	de	SPS00	de
la	la	DA0FS0	el
Duquesa	duquesa	NCFS000	duque
embiad	enviad	VMM02P0	enviar
luego	luego	RG	luego
al	al	SPS00+DA0MS0	a+el
punto	punto	NCMS000	punto
	,	Fc	,
que	que	CS	que
no	no	RN	no
tiene	tiene	VMIP3S0	tener
que	qué	PT0CN000	qué
ponerse	ponerse	VMN0000+P00CN000	poner+se
.	.	Fp	.
Dios	Dios	NP00000	dios
os	os	PP2CP000	os
ge	guarde	VMSP0S0	guardar
	.	Fp	.
en	En	SPS00	en
Guadalajara	Guadalajara	NP00000	guadalajara
	,	Fc	,
13	13	Z	13
de	de	SPS00	de
Agto	agosto	NCMS000	agosto
1633	1633	Z	1633
	.	Fp	.
embiad	Enviad	VMM02P0	enviar
achas	hachas	NCFP000	hacha
en	en	SPS00	en
cantidad	cantidad	NCFS000	cantidad
	,	Fc	,
q	que	CS	que
si	si	CS	si
sobraren	sobraren	VMSF3P0	sobrar
no	no	RN	no
faltara	faltará	VMIF3S0	faltar
para	para	SPS00	para
q	que	CS	que
sean	sean	VSSP3P0	ser
el	El	DA0MS0	el
Marqs	marqués	NCMS000	marqués
duq	duque	NCMS000	duque
D	Don	NP00000	don
Ju	Juan	NP00000	juan
de	de	SPS00	de
escobar	Escobar	NP00000	escobar
	.	Fp	.
