Mucho	Mucho	RQ	mucho
me	me	PP1CS000	me
he	he	VAIP1S0	haber
holgado	holgado	VMP0000	holgar
co	con	SPS00	con
la	la	DA0FS0	el
de	de	SPS00	de
Vmd	VM	NP00000	VM
	.	Fp	.
y	Y	CC	y
stoy	estoy	VMIP1S0	estar
ya	ya	RG	ya
aprestado	aprestado	VMP00SM	aprestar
para	para	SPS00	para
q	que	CS	que
	,	Fc	,
en	en	SPS00	en
viniendo	viniendo	VMG0000	venir
las	las	DA0FP0	el
mulas	mulas	NCFP000	mulo
	,	Fc	,
nos	nos	PP1CP000	nos
partamos	partamos	VMSP1P0	partir
	;	Fx	;
y	y	CC	y
aguardolas	aguárdolas	NCFP000	aguárdola
co	con	SPS00	con
cuidado	cuidado	NCMS000	cuidado
	.	Fp	.
Todo	Todo	DI0MS0	todo
creo	creo	VMIP1S0	creer
lo	lo	PP3CNA00	lo
dispondra	dispondrá	VMIF3S0	disponer
Vmd	VM	NP00000	VM
Como	como	CS	como
suele	suele	VMIP3S0	soler
hazer	hacer	VMN0000	hacer
las	las	DA0FP0	el
cosas	cosas	NCFP000	cosa
de	de	SPS00	de
q	que	CS	que
se	se	P00CN000	se
encarga	encarga	VMIP3S0	encargar
	.	Fp	.
la	La	DA0FS0	el
Casa	casa	NCFS000	casa
le	le	PP3CSD00	le
supco	suplico	VMIP1S0	suplicar
este	esté	VMSP0S0	estar
prevenida	prevenida	VMP00SF	prevenir
y	y	CC	y
sea	sea	VSSP0S0	ser
como	como	CS	como
he	he	VAIP1S0	haber
dho	dicho	VMP0000	decir
	.	Fp	.
y	Y	CC	y
pues	pues	CS	pues
no	no	RN	no
ay	hay	VMIP3S0	haber
cosa	cosa	NCFS000	cosa
mas	más	RC	más
q	que	CS	que
advertir	advertir	VMN0000	advertir
hasta	hasta	SPS00	hasta
q	que	CS	que
queriendo	queriendo	VMG0000	querer
dios	Dios	NP00000	dios
nos	nos	PP1CP000	nos
veamos	veamos	VMSP1P0	ver
	,	Fc	,
no	no	RN	no
mas	más	RC	más
de	de	SPS00	de
q	que	CS	que
al	al	SPS00+DA0MS0	a+el
Arno	arcediano	NCMS000	arcediano
de	de	SPS00	de
la	la	DA0FS0	el
bruja	bruja	NCFS000	brujo
b	beso	VMIP1S0	besar
l	las	DA0FP0	el
m	manos	NCFP000	mano
y	y	CC	y
q	que	CS	que
yo	yo	PP1CSN00	yo
llevare	llevaré	VMIF1S0	llevar
la	la	DA0FS0	el
respuesta	respuesta	NCFS000	respuesta
de	de	SPS00	de
su	su	DP3CS0	su
carta	carta	NCFS000	carta
	.	Fp	.
yo	Yo	PP1CSN00	yo
le	le	PP3CSD00	le
escrivire	escribiré	VMIF1S0	escribir
	,	Fc	,
no	no	RN	no
le	le	PP3CSD00	le
diga	diga	VMSP0S0	decir
nada	nada	PI0NN00N	nada
	.	Fp	.
No	Nuestro	DP1MSP	nuestro
sor	Señor	NP00000	señor
a	a	SPS00	a
Vmd	VM	NP00000	VM
gde	guarde	VMSP0S0	guardar
etc	etc	NCMS000	etcétera
.	.	Fp	.
Tued	Tuy	NP00000	tuy
	,	Fc	,
29	29	Z	29
de	de	SPS00	de
sete	septiembre	NCMS000	septiembre
	.	Fp	.
fr	Fray	NP00000	fray
Po	Pedro	NP00000	pedro
	,	Fc	,
obo	obispo	NCMS000	obispo
de	de	SPS00	de
Tued	Tuy	NP00000	tuy
