Jhs	JHS		
ma	María		
Jph	José		
	...		
	...		
Sean	Sean		
siempre	siempre		
en	en		
su	su		
alma	alma		
de	de		
Vmd	VM		
fortaleziendole	fortaleciéndole		
con	con		
sus	sus		
divos	divinos		
y	y		
zelestiales	celestiales		
dones	dones		
pa	para		
que	que		
pueda	pueda		
con	con		
estos	estos		
divos	divinos		
socorros	socorros		
mi	mi		
querido	querido		
sobrino	sobrino		
tolerar	tolerar		
con	con		
alegre	alegre		
animo	ánimo		
y	y		
perfeta	perfecta		
rresignazion	resignación		
la	la		
falta	falta		
de	de		
salud	salud		
con	con		
que	que		
nro	Nuestro		
sr	Señor		
lo	lo		
exerzita	ejercita		
	.		
que	Que		
qdo	cuando		
vmd	VM		
se	se		
a	ha		
obligado	obligado		
a	a		
hazerse	hacerse		
dos	dos		
fuentes	fuentes		
bien	bien		
claro	claro		
se	se		
manifiesta	manifiesta		
lo	lo		
grabe	grave		
que	que		
a	ha		
sido	sido		
la	la		
enfermedad	enfermedad		
y	y		
lo	lo		
mucho	mucho		
que	que		
a	ha		
padezido	padecido		
	.		
siento	Siento		
	,		
hijo	hijo		
mio	mío		
	,		
mui	muy		
en	en		
mi	mi		
corazon	corazón		
su	su		
padezer	padecer		
de	de		
vmd	VM		
y	y		
el	el		
no	no		
poderle	poderle		
asistir	asistir		
y	y		
Regalar	regalar		
conforme	conforme		
pide	pide		
su	su		
nezesidad	necesidad		
y	y		
el	el		
entrañable	entrañable		
amor	amor		
que	que		
en	en		
nro	Nuestro		
sr	Señor		
le	le		
tengo	tengo		
	.		
su	Su		
diva	Divina		
mgd	Majestad		
	,		
por	por		
cuio	cuyo		
amor	amor		
rrenunzie	renuncié		
todas	todas		
las	las		
cosas	cosas		
	,		
como	como		
todopoderoso	Todopoderoso		
con	con		
su	su		
paternal	paternal		
probidenzia	providencia		
socorra	socorra		
a	a		
vmd	VM		
y	y		
le	le		
sea	sea		
salud	salud		
	,		
vida	vida		
y	y		
todo	todo		
consuelo	consuelo		
	,		
que	que		
aunque	aunque		
pecadora	pecadora		
no	no		
sezo	ceso		
de	de		
pedirselo	pedírselo		
	.		
este	Este		
divo	Divino		
sr	Señor		
me	me		
oiga	oiga		
	.		
y	Y		
por	por		
amor	amor		
de	de		
Dios	Dios		
	,		
aunque	aunque		
se	se		
suspenda	suspenda		
por	por		
algunos	algunos		
dias	días		
	,		
que	que		
Vmd	VM		
trate	trate		
de	de		
su	su		
rregalo	regalo		
conbaleziendo	convaleciendo		
bien	bien		
	,		
que	que		
suele	suele		
ser	ser		
peor	peor		
la	la		
rrecaida	recaída		
que	que		
la	la		
caida	caída		
	.		
que	Que		
una	una		
de	de		
las	las		
causas	causas		
de	de		
que	que		
a	ha		
durado	durado		
tanto	tanto		
tiempo	tiempo		
despues	después		
de	de		
la	la		
boluntad	voluntad		
de	de		
Dios	Dios		
esa	esa		
enfermedad	enfermedad		
es	es		
el	el		
no	no		
aberse	haberse		
guardado	guardado		
de	de		
las	las		
sangrias	sangrías		
que	que		
se	se		
dio	dio		
vmd	VM		
en	en		
el	el		
mes	mes		
de	de		
mayo	mayo		
	.		
que	Que		
bien	bien		
veo	veo		
que	que		
dira	dirá		
	:		
	«		
este	este		
consexo	consejo		
que	que		
me	me		
da	da		
mi	mi		
tia	tía		
era	era		
pa	para		
estar	estar		
yo	yo		
en	en		
mi	mi		
casa	casa		
al	al		
cariño	cariño		
y	y		
rregalo	regalo		
de	de		
mi	mi		
querida	querida		
esposa	esposa		
	»		
,	.		
mas	Mas		
aunque	aunque		
nadie	nadie		
	,		
sobrino	sobrino		
mio	mío		
	,		
puede	puede		
suplir	suplir		
esta	esta		
falta	falta		
tengo	tengo		
por	por		
mui	muy		
zierto	cierto		
que	que		
en	en		
casa	casa		
de	de		
