Muí	Muy	RQ	muy
Sr	señor	NP00000	señor
mio	mío	DP1MSS	mío
.	.	Fp	.
No	No	RN	no
obstante	obstante	AQ0CS0	obstante
allarme	hallarme	VMN0000+PP1CS000	hallar+me
Sin	sin	SPS00	sin
carta	carta	NCFS000	carta
de	de	SPS00	de
Vmd	VM	NP00000	VM
este	este	DD0MS0	este
Correo	correo	NCMS000	correo
en	en	SPS00	en
atension	atención	NCFS000	atención
a	a	SPS00	a
la	la	DA0FS0	el
faboresida	favorecida	VMP00SF	favorecer
que	que	PR0CN000	que
le	le	PP3CSD00	le
meresi	merecí	VMIS1S0	merecer
Con	con	SPS00	con
fecha	fecha	NCFS000	fecha
de	de	SPS00	de
14	14	Z	14
del	del	SPS00+DA0MS0	de+el
pasado	pasado	VMP00SM	pasar
	,	VMP00SM	pasar
no	no	RN	no
pausa	pausa	VMIP3S0	pausar
mi	mi	DP1CSS	mi
confíanza	confianza	NCFS000	confianza
,	,	Fc	,
pues	pues	CS	pues
	,	Fc	,
cu-ando	cuando	PA000000	cuando
no	no	RN	no
tubíera	tuviera	VMSI0S0	tener
Otro	otro	DI0MS0	otro
informe	informe	NCMS000	informe
de	de	SPS00	de
sus	sus	DP3CP0	su
pren-das	prendas	NCFP000	prenda
que	que	CS	que
el	el	DA0MS0	el
exspresado	expresado	VMP00SM	expresar
de	de	SPS00	de
sus	sus	DP3CP0	su
rrenglo-nes	renglones	NCMP000	renglón
	,	Fc	,
me	me	PP1CS000	me
hisieran	hicieran	VMSI3P0	hacer
Solo	sólo	RG	sólo
ellos	ellos	PP3MP000	ellos
benir	venir	VMN0000	venir
en	en	SPS00	en
cono-simiento	conocimiento	NCMS000	conocimiento
de	de	SPS00	de
las	las	DA0FP0	el
que	que	PR0CN000	que
a	a	SPS00	a
Vmd	VM	NP00000	VM
a	ha	VAIP3S0	haber
Consedido	concedido	VMP0000	conceder
El	el	DA0MS0	el
cielo	cielo	NCMS000	cielo
,	.	Fp	.
y	Y	CC	y
aunque	aunque	CC	aunque
en	en	SPS00	en
ntro	nuestro	DP1MSP	nuestro
tratado	tratado	NCMS000	tratado
hago	hago	VMIP1S0	hacer
to-dos	todos	DI0MP0	todo
los	los	DA0MP0	el
juisios	juicios	NCMP000	juicio
de	de	SPS00	de
parte	parte	NCFS000	parte
de	de	SPS00	de
la	la	DA0FS0	el
prudente	prudente	AQ0CS0	prudente
pre-causion	precaución	NCFS000	precaución
de	de	SPS00	de
Vmd	VM	NP00000	VM
	,	Fc	,
no	no	RN	no
e	he	VAIP1S0	haber
podido	podido	VMP0000	poder
Omitir	omitir	VMN0000	omitir
mi	mi	DP1CSS	mi
rreinsidensia	reincidencia	NCFS000	reincidencia
en	en	SPS00	en
suplicar	suplicar	VMN0000	suplicar
a	a	SPS00	a
Vmd	VM	NP00000	VM
me	me	PP1CS000	me
diga	diga	VMSP0S0	decir
Si	si	CSI	si
halla	halla	VMIP3S0	hallar
algun	algún	DI0MS0	alguno
rreparo	reparo	NCMS000	reparo
en	en	SPS00	en
este	este	DD0MS0	este
Caso	caso	NCMS000	caso
O	o	CC	o
si	si	CS	si
mi	mi	DP1CSS	mi
precausion	precaución	NCFS000	precaución
le	le	PP3CSD00	le
motiba	motiva	VMIP3S0	motivar
haser	hacer	VMN0000	hacer
algun	algún	DI0MS0	alguno
juicio	juicio	NCMS000	juicio
de	de	SPS00	de
mi	mí	PP1CSO00	mí
	,	Fc	,
pues	pues	CS	pues
ni	ni	CC	ni
lo	lo	DA0NS0	el
uno	uno	PI0MS000	uno
ni	ni	CC	ni
lo	lo	DA0NS0	el
Otro	otro	PI0MS000	otro
debo	debo	VMIP1S0	deber
estrañar	extrañar	VMN0000	extrañar
	,	Fc	,
faltando	faltando	VMG0000	faltar
a	a	SPS00	a
Vmd	VM	NP00000	VM
exsperiensias	experiencias	NCFP000	experiencia
mias	mías	DP1FPS	mío
,	,	Fc	,
ni	ni	CCN	ni
la	la	DA0FS0	el
mia	mía	PX1FS0S0	mío
Creo	creo	VMIP1S0	creer
pueda	pueda	VMSP0S0	poder
a	a	SPS00	a
Vmd	VM	NP00000	VM
Causar	causar	VMN0000	causar
nobedad	novedad	NCFS000	novedad
	,	Fc	,
Conosiendo	conociendo	VMG0000	conocer
las	las	DA0FP0	el
Cerias	serias	AQ0FP0	serio
Sirqunstansias	circunstancias	NCFP000	circunstancia
de	de	SPS00	de
tanto	tanto	DI0MS0	tanto
adsunto	asunto	NCMS000	asunto
,	.	Fp	.
Y	Y	CC	y
en	en	SPS00	en
suma	suma	NCFS000	suma
	,	Fc	,
e	he	VMIP1S0	haber
de	de	SPS00	de
mere-ser	merecer	VMN0000	merecer
a	a	SPS00	a
Vmd	VM	NP00000	VM
me	me	PP1CS000	me
diga	diga	VMSP0S0	decir
Si	si	CSI	si
a	ha	VMIP3S0	haber
de	de	SPS00	de
ser	ser	VSN0000	ser
O	o	CC	o
no	no	RN	no
,	,	Fc	,
para	para	SPS00	para
no	no	RN	no
cansarle	cansarle	VMN0000+PP3CSD00	cansar+le
	,	Fc	,
Como	como	CS	como
tanbien	también	RG	también
Si	si	CS	si
se	se	P00CN000	se
ofrese	ofrece	VMIP3S0	ofrecer
a	a	SPS00	a
Vmd	VM	NP00000	VM
alguna	alguna	DI0FS0	alguno
duda	duda	NCFS000	duda
Sobre	sobre	SPS00	sobre
la	la	DA0FS0	el
rrelidade	realidad	NCFS000	realidad
que	que	PR0CN000	que
le	le	PP3CSD00	le
trato	trato	VMIP1S0	tratar
,	,	Fc	,
que	que	PR0CN000	que
motiba	motiva	VMIP3S0	motivar
(	(	Fba	(
Con	con	SPS00	con
artos	hartos	DI0MP0	harto
bochornos	bochornos	NCMP000	bochorno
)	)	Fbt	)
pasar	pasar	VMN0000	pasar
a	a	SPS00	a
esplicarme	explicarme	VMN0000+PP1CS000	explicar+me
en	en	SPS00	en
estas	estas	DD0FP0	este
boses	voces	NCFP000	voz
,	,	Fc	,
el	el	DA0MS0	el
espe-rar	esperar	VMN0000	esperar
ansioso	ansioso	AQ0MS0	ansioso
Su	su	DP3CS0	su
abizo	aviso	NCMS000	aviso
de	de	SPS00	de
Vmd	VM	NP00000	VM
y	y	CC	y
allarme	hallarme	VMN0000+PP1CS000	hallar+me
al	al	SPS00+DA0MS0	a+el
aire	aire	NCMS000	aire
Consentido	consentido	VMP00SM	consentir
ya	ya	RG	ya
en	en	SPS00	en
mis	mis	DP1CPS	mi
alibios	alivios	NCMP000	alivio
	.	Fp	.
y	Y	CC	y
en	en	SPS00	en
Caso	caso	NCMS000	caso
que	que	CS	que
Vmd	VM	NP00000	VM
determine	determine	VMSP0S0	determinar
haserme	hacerme	VMN0000+PP1CS000	hacer+me
tan	tan	RC	tan
Señalado	señalado	VMP00SM	señalar
fabor	favor	NCMS000	favor
	,	Fc	,
Sera	será	VSIF3S0	ser
en	en	SPS00	en
la	la	DA0FS0	el
ya	ya	RG	ya
exspre-sada	expresada	VMP00SF	expresar
forma	forma	NCFS000	forma
	,	Fc	,
biniendo	viniendo	VMG0000	venir
A	a	SPS00	a
alunbres	Alumbres	NP00000	alumbres
O	o	CC	o
a	a	SPS00	a
Sn	San	NP00000	san
anton	Antón	NP00000	antón
y	y	CC	y
dandome	dándome	VMG0000+PP1CS000	dar+me
de	de	SPS00	de
