Jph	José	NP00000	josé
Anto	Antonio	NP00000	antonio
o	o	CC	o
Pepe	Pepe	NP00000	pepe
Polanco	Polanco	NP00000	polanco
	.	Fp	.
Con	Con	SPS00	con
el	el	DA0MS0	el
Mozo	mozo	NCMS000	mozo
mio	mío	DP1MSS	mío
	,	Fc	,
qn	quien	PR0CS000	quien
se	se	P00CN000	se
ba	va	VMIP3S0	ir
sin	sin	SPS00	sin
detenerse	detenerse	VMN0000+P00CN000	detener+se
	,	Fc	,
os	os	PP2CP000	os
enbio	envío	VMIP1S0	enviar
ese	ese	DD0MS0	ese
pedimto	pedimento	NCMS000	pedimento
q	que	PR0CN000	que
me	me	PP1CS000	me
enbian	envían	VMIP3P0	enviar
la	la	DA0FS0	el
Manuela	Manuela	NP00000	manuela
y	y	CC	y
Thente	Teniente	NP00000	teniente
	.	Fp	.
Verlo	Verlo	VMN0000+PP3CNA00	ver+lo
y	y	CC	y
antes	antes	RG	antes
de	de	SPS00	de
darlo	darlo	VMN0000+PP3MSA00	dar+lo
a	a	SPS00	a
Eugenio	Eugenio	NP00000	eugenio
Mrz	Martínez	NP00000	martínez
consultarlo	consultarlo	VMN0000+PP3MSA00	consultar+lo
con	con	SPS00	con
dn	don	NP00000	don
Julian	Julián	NP00000	julián
Monzon	Monzón	NP00000	monzón
(	(	Fba	(
pues	pues	CS	pues
sabra	sabrá	VMIF3S0	saber
este	éste	PD0MS000	este
a	a	SPS00	a
q	qué	PT0CN000	qué
a	ha	VAIP3S0	haber
buelto	vuelto	VMP0000	volver
Romero	Romero	NP00000	romero
a	a	SPS00	a
Mazarulleq	Mazarulleque	NP00000	mazarulleque
)	)	Fbt	)
y	y	CC	y
dn	don	NP00000	don
Julian	Julián	NP00000	julián
	,	Fc	,
q	que	PR0CN000	que
sabe	sabe	VMIP3S0	saber
mi	mi	DP1CSS	mi
declarazon	declaración	NCFS000	declaración
de	de	SPS00	de
unico	unico	AQ0MS0	unicus
actu	actu	NCMS000	actus
	(	Fba	(
pues	pues	CS	pues
no	no	RN	no
pudo	pudo	VMIS3S0	poder
conponerse	componerse	VMN0000+P00CN000	componer+se
de	de	SPS00	de
otro	otro	DI0MS0	otro
Modo	modo	NCMS000	modo
Mejor	mejor	AQ0CS0	mejor
	,	Fc	,
porq	porque	CS	porque
qn	quien	PR0CS000	quien
todo	todo	PI0MS000	todo
lo	lo	PP3CNA00	lo
niega	niega	VMIP3S0	negar
todo	todo	PI0MS000	todo
lo	lo	PP3CNA00	lo
Concede	concede	VMIP3S0	conceder
	)	Fbt	)
	.	Fp	.
dira	Dirá	VMIF3S0	decir
si	si	CSI	si
conbiene	conviene	VMIP3S0	convenir
lo	lo	PP3MSA00	lo
presente	presente	VMSP0S0	presentar
Eugo	Eugenio	NP00000	eugenio
Mrz	Martínez	NP00000	martínez
y	y	CC	y
qdo	cuándo	PA000000	cuándo
	.	Fp	.
prebengo	Prevengo	VMIP1S0	prevenir
q	que	CS	que
dho	dicho	VMP00SM	decir
Eugo	Eugenio	NP00000	eugenio
tiene	tiene	VMIP3S0	tener
otro	otro	DI0MS0	otro
pedimto	pedimento	NCMS000	pedimento
q	que	PR0CN000	que
le	le	PP3CSD00	le
entrego	entregó	VMIS3S0	entregar
del	del	SPS00+DA0MS0	de+el
Correo	correo	NCMS000	correo
de	de	SPS00	de
Manla	Manuela	NP00000	manuela
el	el	DA0MS0	el
P	padre	NP00000	padre
fr	fray	NP00000	fray
Ju	Juan	NP00000	juan
de	de	SPS00	de
la	la	DA0FS0	el
Trind	Trinidad	NP00000	trinidad
	,	Fc	,
Padre	padre	NCMS000	padre
Grabe	grave	AQ0CS0	grave
del	del	SPS00+DA0MS0	de+el
Combto	convento	NCMS000	convento
d	de	SPS00	de
esta	esta	DD0FS0	este
Ciudd	ciudad	NCFS000	ciudad
y	y	CC	y
Amigo	amigo	NCMS000	amigo
