Mi	Mi	DP1CSS	mi
Amo	amigo	NP00000	amigo
	,	Fc	,
Dueño	dueño	NP00000	dueño
Y	y	CC	y
señor	señor	NP00000	señor
	.	Fp	.
Recivi	Recibí	VMIS1S0	recibir
la	la	DA0FS0	el
de	de	SPS00	de
Vmd	VM	NP00000	VM
por	por	SPS00	por
mano	mano	NCFS000	mano
del	del	SPS00+DA0MS0	de+el
Pe	padre	NP00000	padre
fr	fray	NP00000	fray
Alonso	Alonso	NP00000	alonso
	,	Fc	,
quien	quien	PR0CS000	quien
no	no	RN	no
me	me	PP1CS000	me
dijo	dijo	VMIS3S0	decir
Cosa	cosa	NCFS000	cosa
alguna	alguna	DI0FS0	alguno
de	de	SPS00	de
lo	lo	DA0NS0	el
que	que	PR0CN000	que
Vmd	VM	NP00000	VM
me	me	PP1CS000	me
Ynsinua	insinúa	VMIP3S0	insinuar
por	por	SPS00	por
la	la	DA0FS0	el
suia	suya	PX3FS000	suyo
	.	Fp	.
es	Es	VSIP3S0	ser
Cierto	cierto	AQ0MS0	cierto
que	que	CS	que
Yo	yo	PP1CSN00	yo
no	no	RN	no
necesito	necesito	VMIP1S0	necesitar
apuntaciones	apuntaciones	NCFP000	apuntación
,	,	Fc	,
pues	pues	CS	pues
discurro	discurro	VMIP1S0	discurrir
a	a	SPS00	a
lo	lo	DA0NS0	el
que	que	PR0CN000	que
Vmd	VM	NP00000	VM
aspira	aspira	VMIP3S0	aspirar
	,	Fc	,
que	que	PR0CN000	que
es	es	VSIP3S0	ser
a	a	SPS00	a
lo	lo	DA0NS0	el
mismo	mismo	AQ0MS0	mismo
que	que	PR0CN000	que
la	la	DA0FS0	el
Manuela	Manuela	NP00000	manuela
tiene	tiene	VMIP3S0	tener
declarado	declarado	VMP00SM	declarar
,	.	Fp	.
que	Que	CS	que
es	es	VSIP3S0	ser
cierto	cierto	AQ0MS0	cierto
que	que	CS	que
Vmd	VM	NP00000	VM
llego	llegó	VMIS3S0	llegar
a	a	SPS00	a
ella	ella	PP3FS000	él
a	a	SPS00	a
mediado	mediado	NCMS000	mediado
de	de	SPS00	de
sepre	septiembre	NCMS000	septiembre
y	y	CC	y
que	que	CS	que
ya	ya	RG	ya
estaba	estaba	VMII0S0	estar
ocupada	ocupada	VMP00SF	ocupar
desde	desde	SPS00	desde
el	el	DA0MS0	el
mes	mes	NCMS000	mes
de	de	SPS00	de
Junio	junio	NCMS000	junio
de	de	SPS00	de
un	un	DI0MS0	uno
tratante	tratante	NCCS000	tratante
llamado	llamado	VMP00SM	llamar
Manuel	Manuel	NP00000	manuel
Herreros	Herreros	NP00000	herreros
	,	Fc	,
con	con	SPS00	con
quien	quien	PR0CS000	quien
estubo	estuvo	VMIS3S0	estar
que	que	CS	que
Ver	ver	VMN0000	ver
por	por	SPS00	por
dho	dicho	VMP00SM	decir
tiempo	tiempo	NCMS000	tiempo
Y	y	CC	y
de	de	SPS00	de
quien	quien	PR0CS000	quien
era	era	VSII0S0	ser
su	su	DP3CS0	su
preñado	preñado	NCMS000	preñado
,	.	Fp	.
conque	Conque	CS	conque
	,	Fc	,
Amigo	amigo	NP00000	amigo
	,	Fc	,
