Mazarulleque	Mazarulleque	NP00000	mazarulleque
	,	Fc	,
Y	y	CC	y
Marzo	marzo	NCMS000	marzo
25	25	Z	25
de	de	SPS00	de
1757	1757	Z	1757
Mi	Mi	DP1CSS	mi
Amo	amo	NCMS000	amo
,	,	Fc	,
Dueño	dueño	NP00000	dueño
y	y	CC	y
señor	señor	NP00000	señor
,	.	Fp	.
aier	Ayer	RG	ayer
a	a	SPS00	a
cosa	cosa	NCFS000	cosa
de	de	SPS00	de
las	las	DA0FP0	el
diez	diez	Z	10
llego	llegó	VMIS3S0	llegar
a	a	SPS00	a
esta	esta	DD0FS0	este
Villa	villa	NCFS000	villa
un	un	DI0MS0	uno
Mozo	mozo	NCMS000	mozo
que	que	PR0CN000	que
dijo	dijo	VMIS3S0	decir
ser	ser	VSN0000	ser
Criado	criado	NCMS000	criado
de	de	SPS00	de
su	su	DP3CS0	su
Parte	pariente	NCMS000	pariente
Cortijo	Cortijo	NP00000	cortijo
con	con	SPS00	con
quatro	cuatro	Z	4
Cavallerias	caballerías	NCFP000	caballería
y	y	CC	y
una	una	DI0FS0	uno
Carta	carta	NCFS000	carta
dirijida	dirigida	VMP00SF	dirigir
por	por	SPS00	por
Vmd	VM	NP00000	VM
al	al	SPS00+DA0MS0	a+el
Pe	padre	NCMS000	padre
fr	fray	NP00000	fray
Alonso	Alonso	NP00000	alonso
,	,	Fc	,
y	y	CC	y
que	que	CS	que
en	en	SPS00	en
su	su	DP3CS0	su
Ausencia	ausencia	NCFS000	ausencia
se	se	PP3CN000	se
la	la	PP3FSA00	lo
entregase	entregase	VMSI0S0	entregar
a	a	SPS00	a
Dn	don	NP00000	don
franco	Francisco	NP00000	francisco
Marz	Martínez	NP00000	martínez
Garrote	Garrote	NP00000	garrote
	,	Fc	,
los	los	DA0MP0	el
que	que	PR0CN000	que
se	se	P00CN000	se
hallavan	hallaban	VMII3P0	hallar
Y	y	CC	y
hallan	hallan	VMIP3P0	hallar
Ausentes	ausentes	AQ0CP0	ausente
de	de	SPS00	de
esta	esta	DD0FS0	este
Villa	villa	NCFS000	villa
,	:	Fd	:
el	el	DA0MS0	el
Pe	padre	NCMS000	padre
en	en	SPS00	en
su	su	DP3CS0	su
Comvto	convento	NCMS000	convento
llamado	llamado	VMP00SM	llamar
por	por	SPS00	por
su	su	DP3CS0	su
Prior	prior	NCMS000	prior
y	y	CC	y
el	el	DA0MS0	el
otro	otro	PI0MS000	otro
en	en	SPS00	en
huete	Huete	NP00000	huete
,	.	Fp	.
por	Por	SPS00	por
Cuio	cuyo	PU0MS000	cuyo
motivo	motivo	NCMS000	motivo
me	me	PP1CS000	me
dijo	dijo	VMIS3S0	decir
Manuela	Manuela	NP00000	manuela
la	la	DA0FS0	el
abriese	abriese	VMSI0S0	abrir
Yo	yo	PP1CSN00	yo
	,	Fc	,
lo	lo	DA0NS0	el
que	que	PR0CN000	que
execute	ejecuté	VMSP0S0	ejecutar
por	por	SPS00	por
no	no	RN	no
detener	detener	VMN0000	detener
al	al	SPS00+DA0MS0	a+el
mozo	mozo	NCMS000	mozo
,	.	Fp	.
Y	Y	CC	y
Visto	visto	VMP0000	ver
mui	muy	RQ	muy
por	por	SPS00	por
menor	menor	AQ0CS0	menor
su	su	DP3CS0	su
Contenido	contenido	NCMS000	contenido
,	,	Fc	,
puse	puse	VMIS1S0	poner
en	en	SPS00	en
practica	práctica	NCFS000	práctica
qto	cuanto	PA000000	cuanto
por	por	SPS00	por
ella	ella	PP3FS000	él
Vmd	VM	NP00000	VM
hordena	ordena	VMIP3S0	ordenar
,	,	Fc	,
no	no	RN	no
del	del	SPS00+DA0MS0	de+el
