Madrid	Madrid	NP00000	madrid
	,	Fc	,
Abril	abril	NCMS000	abril
3	3	Z	3
de	de	SPS00	de
82	82	Z	82
Mi	Mi	DP1CSS	mi
querido	querido	VMP00SM	querer
amado	amado	VMP00SM	amar
Leonardo	Leonardo	NP00000	leonardo
	.	Fp	.
he	He	VAIP1S0	haber
recivido	recibido	VMP0000	recibir
tu	tu	DP2CSS	tu
amorosa	amorosa	AQ0FS0	amoroso
carta	carta	NCFS000	carta
con	con	SPS00	con
mucho	mucho	DI0MS0	mucho
gusto	gusto	NCMS000	gusto
	,	Fc	,
alegrándome	alegrándome	VMG0000+PP1CS000	alegrar+me
hestes	estés	VMSP2S0	estar
sin	sin	SPS00	sin
novedad	novedad	NCFS000	novedad
	.	Fp	.
yo	Yo	PP1CSN00	yo
estoy	estoy	VMIP1S0	estar
vuena	buena	AQ0FS0	bueno
	,	Fc	,
gs	gracias	NCFP000	gracia
a	a	SPS00	a
Dios	Dios	NP00000	dios
	,	Fc	,
solo	sólo	RG	sólo
que	que	CS	que
ayer	ayer	RG	ayer
tarde	tarde	RG	tarde
tuve	tuve	VMIS1S0	tener
gran	gran	AQ0CS0	gran
dolor	dolor	NCMS000	dolor
de	de	SPS00	de
caveza	cabeza	NCFS000	cabeza
porque	porque	CS	porque
vino	vino	VMIS3S0	venir
a	a	SPS00	a
vlarme	hablarme	VMN0000+PP1CS000	hablar+me
un	un	DI0MS0	uno
padra	padre	NCMS000	padre
de	de	SPS00	de
Sn	San	NP00000	san
felipe	Felipe	NP00000	felipe
neri	Neri	NP00000	neri
con	con	SPS00	con
licencia	licencia	NCFS000	licencia
del	del	SPS00+DA0MS0	de+el
vicario	vicario	NCMS000	vicario
	.	Fp	.
ese	Ese	DD0MS0	ese
padra	padre	NCMS000	padre
me	me	PP1CS000	me
trajo	trajo	VMIS3S0	traer
4	4	Z	4
cartas	cartas	NCFP000	carta
que	que	PR0CN000	que
padra	padre	NCMS000	padre
se	se	PP3CN000	se
las	las	PP3FPA00	lo
dio	dio	VMIS3S0	dar
para	para	SPS00	para
que	que	CS	que
yo	yo	PP1CSN00	yo
las	las	PP3FPA00	lo
viesa	viese	VMSI0S0	ver
	:	Fd	:
la	la	DA0FS0	el
una	una	PI0FS000	uno
de	de	SPS00	de
mi	mi	DP1CSS	mi
tio	tío	NCMS000	tío
	,	Fc	,
la	la	DA0FS0	el
otra	otra	PI0FS000	otro
del	del	SPS00+DA0MS0	de+el
canonigo	canónigo	NCMS000	canónigo
Balbaster	Balbaster	NP00000	balbester
	,	Fc	,
otra	otra	PI0FS000	otro
de	de	SPS00	de
sarrais	Sarráis	NP00000	sarráis
	,	Fc	,
otra	otra	PI0FS000	otro
de	de	SPS00	de
torner	Torner	NP00000	torner
	.	Fp	.
yo	Yo	PP1CSN00	yo
conozco	conozco	VMIP1S0	conocer
la	la	DA0FS0	el
letra	letra	NCFS000	letra
de	de	SPS00	de
todos	todos	DI0MP0	todo
estos	éstos	PD0MP000	este
	.	Fp	.
el	El	DA0MS0	el
amo	amo	NCMS000	amo
de	de	SPS00	de
casa	casa	NCFS000	casa
me	me	PP1CS000	me
las	las	PP3FPA00	lo
leyó	leyó	VMIS3S0	leer
todas	todas	PI0FS000	todo
estando	estando	VMG0000	estar
yo	yo	PP1CSN00	yo
a	a	SPS00	a
su	su	DP3CS0	su
lado	lado	NCMS000	lado
	.	Fp	.
que	Que	CS	que
no	no	RN	no
me	me	PP1CS000	me
dijo	dijo	VMIS3S0	decir
mas	más	RC	más
que	que	CS	que
lo	lo	DA0NS0	el
que	que	PR0CN000	que
dezian	decían	VMII3P0	decir
	.	Fp	.
que	Que	CS	que
me	me	PP1CS000	me
enfadaron	enfadaron	VMIS3P0	enfadar
mucho	mucho	RQ	mucho
	,	Fc	,
mayormente	mayormente	RG	mayormente
la	la	DA0FS0	el
de	de	SPS00	de
mi	mi	DP1CSS	mi
tio	tío	NCMS000	tío
y	y	CC	y
la	la	DA0FS0	el
del	del	SPS00+DA0MS0	de+el
canonigo	canónigo	NCMS000	canónigo
	,	Fc	,
porque	porque	CS	porque
dizen	dicen	VMIP3P0	decir
cosas	cosas	NCFP000	cosa
de	de	SPS00	de
Don	don	NP00000	don
Francissco	Francisco	NP00000	francisco
que	que	PR0CN000	que
no	no	RN	no
las	las	PP3FPA00	lo
devian	debían	VMII3P0	deber
decir	decir	VMN0000	decir
y	y	CC	y
de	de	SPS00	de
tus	tus	DP2CPS	tu
padres	padres	NCMP000	padre
	.	Fp	.
y	Y	CC	y
dize	dice	VMIP3S0	decir
que	que	CS	que
	,	Fc	,
estando	estando	VMG0000	estar
tu	tú	PP2CSN00	tú
al	al	SPS00+DA0MS0	a+el
colegio	colegio	NCMS000	colegio
de	de	SPS00	de
Barcelona	Barcelona	NP00000	barcelona
	,	Fc	,
andavaas	andabas	VMII2S0	andar
mas	más	RC	más
vien	bien	RG	bien
puesto	puesto	VMP00SM	poner
que	que	CS	que
los	los	DA0MP0	el
demas	demás	PI0CP000	demás
	,	Fc	,
que	que	CS	que
se	se	P00CN000	se
decia	decía	VMII0S0	decir
que	que	CS	que
lo	lo	PP3CNA00	lo
pagava	pagaba	VMII0S0	pagar
Dn	don	NP00000	don
Francisco	Francisco	NP00000	francisco
y	y	CC	y
que	que	CS	que
siempre	siempre	RG	siempre
te	te	PP2CS000	te
a	ha	VAIP3S0	haber
protexido	protegido	VMP0000	proteger
	.	Fp	.
lo	Lo	DA0NS0	el
mismo	mismo	AQ0MS0	mismo
dize	dice	VMIP3S0	decir
la	la	DA0FS0	el
de	de	SPS00	de
sarrais	Sarráis	NP00000	sarráis
	.	Fc	,
mi	Mi	DP1CSS	mi
tio	tío	NCMS000	tío
dize	dice	VMIP3S0	decir
a	a	SPS00	a
padra	padre	NCMS000	padre
qe	que	CS	que
de	de	SPS00	de
ningun	ningún	DI0MS0	ninguno
modo	modo	NCMS000	modo
deva	deba	VMSP0S0	deber
juntarse	juntarse	VMN0000+P00CN000	juntar+se
con	con	SPS00	con
tu	tu	DP2CSS	tu
linaje	linaje	NCMS000	linaje
	.	Fp	.
acavadas	Acabadas	VMP00PF	acabar
de	de	SPS00	de
leer	leer	VMN0000	leer
las	las	DA0FP0	el
cartas	cartas	NCFP000	carta
	,	Fc	,
dije	dije	VMIS1S0	decir
yo	yo	PP1CSN00	yo
a	a	SPS00	a
nel	el	DA0MS0	el
padre	padre	NCMS000	padre
que	que	CS	que
todo	todo	DI0MS0	todo
lo	lo	DA0NS0	el
que	que	PR0CN000	que
dezian	decían	VMII3P0	decir
las	las	DA0FP0	el
cantas	cartas	NCFP000	carta
	,	Fc	,
y	y	CC	y
aunque	aunque	CS	aunque
