lo	Lo	DA0NS0	el
que	que	PR0CN000	que
as	has	VMIP2S0	haber
de	de	SPS00	de
declarar	declarar	VMN0000	declarar
es	es	VSIP3S0	ser
que	que	CS	que
te	te	PP2CS000	te
querias	querías	VMII2S0	querer
ir	ir	VMN0000	ir
a	a	SPS00	a
serbir	servir	VMN0000	servir
por	por	SPS00	por
tener	tener	VMN0000	tener
algunas	algunas	DI0FP0	alguno
quimerillas	quimerillas	NCFP00D	quimera
	.	Fp	.
y	Y	CC	y
que	que	CS	que
con	con	SPS00	con
ese	ese	DD0MS0	ese
motibo	motivo	NCMS000	motivo
	,	Fc	,
viendome	viéndome	VMG0000+PP1CS000	ver+me
decir	decir	VMN0000	decir
que	que	CS	que
iba	iba	VMII0S0	ir
io	yo	PP1CSN00	yo
fuera	fuera	RG	fuera
	,	Fc	,
que	que	CS	que
me	me	PP1CS000	me
preguntastes	preguntastes	VMIS2S0	preguntar
si	si	CSI	si
abia	había	VMII0S0	haber
de	de	SPS00	de
pasar	pasar	VMN0000	pasar
por	por	SPS00	por
casa	casa	NCFS000	casa
la	la	DA0FS0	el
Reina	reina	NCFS000	reina
y	y	CC	y
que	que	CS	que
te	te	PP2CS000	te
dije	dije	VMIS1S0	decir
que	que	CS	que
si	sí	RG	sí
	.	Fp	.
y	Y	CC	y
que	que	CS	que
me	me	PP1CS000	me
dijistes	dijistes	VMIS2S0	decir
si	si	CSI	si
le	le	PP3CSD00	le
queria	quería	VMII0S0	querer
llebar	llevar	VMN0000	llevar
un	un	DI0MS0	uno
poco	poco	NCMS000	poco
de	de	SPS00	de
Ropa	ropa	NCFS000	ropa
a	a	SPS00	a
tu	tu	DP2CSS	tu
Herma-na	hermana	NCFS000	hermano
y	y	CC	y
que	que	CS	que
te	te	PP2CS000	te
dije	dije	VMIS1S0	decir
que	que	CS	que
si	sí	RG	sí
porque	porque	CS	porque
la	la	PP3FSA00	lo
querias	querías	VMII2S0	querer
tener	tener	VMN0000	tener
tu	tú	PP2CSN00	tú
alli	allí	RG	allí
para	para	SPS00	para
enbiarsela	enviársela	VMN0000+PP3CS000+PP3FSA00	enviar+se+lo
a	a	SPS00	a
pedir	pedir	VMN0000	pedir
	.	Fp	.
y	Y	CC	y
que	que	CS	que
te	te	PP2CS000	te
ibas	ibas	VMII2S0	ir
y	y	CC	y
que	que	CS	que
te	te	PP2CS000	te
encontre	encontré	VMIS1S0	encontrar
en	en	SPS00	en
el	el	DA0MS0	el
camino	camino	NCMS000	camino
de	de	SPS00	de
ollauri	Ollauri	NP00000	ollauri
	.	Fp	.
y	Y	CC	y
que	que	CS	que
te	te	PP2CS000	te
pregunte	pregunté	VMIS1S0	preguntar
donde	dónde	PA000000	dónde
ibas	ibas	VMII2S0	ir
y	y	CC	y
que	que	CS	que
me	me	PP1CS000	me
dijistes	dijistes	VMIS2S0	decir
que	que	CS	que
te	te	PP2CS000	te
ibas	ibas	VMII2S0	ir
a	a	SPS00	a
serbir	servir	VMN0000	servir
porque	porque	CS	porque
abias	habías	VAII2S0	haber
Reñido	reñido	VMP0000	reñir
	.	Fp	.
y	Y	CC	y
que	que	CS	que
te	te	PP2CS000	te
dije	dije	VMIS1S0	decir
que	que	CS	que
no	no	RN	no
icieras	hicieras	VMSI2S0	hacer
caso	caso	NCMS000	caso
	,	Fc	,
que	que	CS	que
te	te	PP2CS000	te
bolbieses	volvieses	VMSI2S0	volver
	.	Fc	,
y	Y	CC	y
que	que	CS	que
	,	Fc	,
como	como	CS	como
no	no	RN	no
quisistes	quisistes	VMIS2S0	querer
	,	Fc	,
que	que	CS	que
te	te	PP2CS000	te
puse	puse	VMIS1S0	poner
a	a	SPS00	a
las	las	DA0FP0	el
ancas	ancas	NCFP000	anca
y	y	CC	y
que	que	CS	que
te	te	PP2CS000	te
binistes	vinistes	VMIS2S0	venir
conmigo	conmigo	SPS00+PP1CSO00	con+mí
	.	Fp	.
y	Y	CC	y
que	que	CS	que
as	has	VAIP2S0	haber
estao	estado	VMP0000	estar
i	y	CC	y
sirbiendo	sirviendo	VMG0000	servir
	.	Fp	.
y	Y	CC	y
que	que	CS	que
para	para	SPS00	para
benir	venir	VMN0000	venir
	,	Fc	,
si	si	CS	si
te	te	PP2CS000	te
preguntan	preguntan	VMIP3P0	preguntar
que	que	CS	que
como	cómo	PA000000	cómo
supistes	supistes	VMIS2S0	saber
que	que	CS	que
me	me	PP1CS000	me
benia	venía	VMII0S0	venir
	,	Fc	,
que	que	CS	que
me	me	PP1CS000	me
dijistes	dijiste	VMIS2S0	decir
que	que	CS	que
tu	tú	PP2CSN00	tú
tanbien	también	RG	también
te	te	PP2CS000	te
querias	querías	VMII2S0	querer
benir	venir	VMN0000	venir
a	a	SPS00	a
españa	España	NP00000	españa
	.	Fp	.
y	Y	CC	y
que	que	CS	que
as	has	VAIP2S0	haber
serbido	servido	VMP0000	servir
en	en	SPS00	en
Bayona	Bayona	NP00000	bayona
	.	Fp	.
si	Si	CS	si
te	te	PP2CS000	te
preguntan	preguntan	VMIP3P0	preguntar
con	con	SPS00	con
quien	quién	PT0CS000	quién
	,	Fc	,
que	que	CS	que
como	como	CS	como
tu	tú	PP2CSN00	tú
no	no	RN	no
entendias	entendías	VMII2S0	entender
franzes	francés	NCMS000	francés
que	que	CS	que
no	no	RN	no
sabes	sabes	VMIP2S0	saber
como	cómo	PA000000	cómo
se	se	P00CN000	se
llama	llama	VMIP3S0	llamar
mas	más	RC	más
que	que	CS	que
monsu	monsieur	NCMS000	monsieur
de	de	SPS00	de
tal	tal	PD0CS000	tal
en	en	SPS00	en
franzes	francés	NCMS000	francés
	.	Fp	.
