Muy	Muy	RQ	muy
sor	Señor	NP00000	señor
mio	mío	DP1MSS	mío
de	de	SPS00	de
mi	mi	DP1CSS	mi
mayor	mayor	AQ0CS0	mayor
veneracion	veneración	NCFS000	veneración
y	y	CC	y
respeto	respeto	NCMS000	respeto
:	.	Fp	.
A	A	SPS00	a
la	la	DA0FS0	el
pregunta	pregunta	NCFS000	pregunta
que	que	PR0CN000	que
vm	VM	NP00000	VM
me	me	PP1CS000	me
hace	hace	VMIP3S0	hacer
debo	debo	VMIP1S0	deber
responderle	responderle	VMN0000+PP3CSD00	responder+le
que	que	CS	que
el	el	DA0MS0	el
Abuelo	abuelo	NCMS000	abuelo
de	de	SPS00	de
Dn	don	NP00000	don
Franco	Francisco	NP00000	francisco
Gutierrez	Gutiérrez	NP00000	gutiérrez
de	de	SPS00	de
Sosa	Sosa	NP00000	sosa
	,	Fc	,
Abogado	abogado	NCMS000	abogado
de	de	SPS00	de
los	los	DA0MP0	el
del	del	SPS00+DA0MS0	de+el
Colegio	colegio	NCMS000	colegio
de	de	SPS00	de
esa	esa	DD0FS0	ese
Corte	corte	NCFS000	corte
,	,	Fc	,
me	me	PP1CS000	me
quito	quitó	VMIS3S0	quitar
la	la	DA0FS0	el
primera	primera	AO0FS0	primero
barba	barba	NCFS000	barba
	,	Fc	,
porque	porque	CS	porque
yo	yo	PP1CSN00	yo
me	me	PP1CS000	me
crie	crie	VMIS1S0	criar
en	en	SPS00	en
Zalamea	Zalamea	NP00000	zalamea
de	de	SPS00	de
la	la	DA0FS0	el
Serena	Serena	NP00000	serena
donde	donde	PA000000	donde
tenia	tenía	VMII0S0	tener
mis	mis	DP1CPS	mi
Abuelos	abuelos	NCMP000	abuelo
maternos	maternos	AQ0MP0	materno
	.	Fp	.
a	A	SPS00	a
el	el	DA0MS0	el
Padre	padre	NCMS000	padre
del	del	SPS00+DA0MS0	de+el
dho	dicho	VMP00SM	decir
Lizdo	licenciado	NCMS000	licenciado
lo	lo	PP3MSA00	lo
conoci	conocí	VMIS1S0	conocer
siendo	siendo	VSG0000	ser
Albañil	albañil	NCMS000	albañil
de	de	SPS00	de
los	los	DA0MP0	el
que	que	PR0CN000	que
hacen	hacen	VMIP3P0	hacer
obras	obras	NCFP000	obra
de	de	SPS00	de
poco	poco	DI0MS0	poco
momento	momento	NCMS000	momento
	,	Fc	,
como	como	PA000000	como
son	son	VSIP3P0	ser
tapias	tapias	NCFP000	tapia
y	y	CC	y
otras	otras	DI0FP0	otro
friolerillas	friolerillas	NCFP00D	friolera
	.	Fp	.
en	En	SPS00	en
quanto	cuanto	PA000000	cuanto
a	a	SPS00	a
lo	lo	DA0NS0	el
demas	demás	NCMS000	demás
	,	Fc	,
solo	sólo	RG	sólo
lo	lo	DA0NS0	el
que	que	PR0CN000	que
puedo	puedo	VMIP1S0	poder
advertir	advertir	VMN0000	advertir
es	es	VSIP3S0	ser
que	que	CS	que
todas	todas	DI0FP0	todo
las	las	DA0FP0	el
personas	personas	NCFP000	persona
del	del	SPS00+DA0MS0	de+el
Pueblo	pueblo	NCMS000	pueblo
trataban	trataban	VMII3P0	tratar
a	a	SPS00	a
sus	sus	DP3CP0	su
jentes	gentes	NCFP000	gente
como	como	PA000000	como
a	a	SPS00	a
las	las	DA0FP0	el
mas	más	RC	más
humildes	humildes	AQ0CP0	humilde
;	;	Fx	;
pero	pero	CC	pero
	,	Fc	,
como	como	CS	como
en	en	SPS00	en
la	la	DA0FS0	el
edad	edad	NCFS000	edad
tierna	tierna	AQ0FS0	tierno
de	de	SPS00	de
la	la	DA0FS0	el
Juventud	juventud	NCFS000	juventud
no	no	RN	no
pensamos	pensamos	VMIP1P0	pensar
los	los	DA0MP0	el
muchachos	muchachos	NCMP000	muchacho
mas	más	RC	más
que	que	CS	que
en	en	SPS00	en
nras	nuestras	DP1FPP	nuestro
diversiones	diversiones	NCFP000	diversión
	,	Fc	,
por	por	SPS00	por
ello	ello	PD0NN000	ello
no	no	RN	no
puedo	puedo	VMIP1S0	poder
decir	decir	VMN0000	decir
su	su	DP3CS0	su
prosapia	prosapia	NCFS000	prosapia
y	y	CC	y
esfera	esfera	NCFS000	esfera
,	,	Fc	,
pero	pero	CC	pero
he	he	VAIP1S0	haber
oydo	oído	VMP0000	oír
decir	decir	VMN0000	decir
que	que	CS	que
tienen	tienen	VMIP3P0	tener
algo	algo	PI0CS000	algo
de	de	SPS00	de
negros	negros	NCMP000	negro
	.	Fp	.
Nro	Nuestro	DP1MSP	nuestro
sor	Señor	NP00000	señor
gue	guarde	VMSP0S0	guardar
a	a	SPS00	a
vm	VM	NP00000	VM
los	los	DA0MP0	el
años	años	NCMP000	año
que	que	PR0CN000	que
desea	desea	VMIP3S0	desear
su	su	DP3CS0	su
mas	más	RC	más
afecto	afecto	AQ0MSP	afecto
y	y	CC	y
seguro	seguro	AQ0MS0	seguro
servor	servidor	NCMS000	servidor
Q	que	PR0CN000	que
S	su	DP3CS0	su
M	mano	NCFS000	mano
B	besa	VMIP3S0	besar
	.	Fp	.
Pedro	Pedro	NP00000	pedro
Zambrano	Zambrano	NP00000	zambrano
y	y	CC	y
Ramiro	Ramiro	NP00000	ramiro
Pongame	Póngame	VMSP0S0+PP1CS000	poner+me
vm	VM	NP00000	VM
a	a	SPS00	a
los	los	DA0MP0	el
Pp	pies	NCMP000	pie
de	de	SPS00	de
mi	mi	DP1CSS	mi
sa	señora	NP00000	señor
Da	doña	NP00000	don
Maria	María	NP00000	maría
y	y	CC	y
niña	niña	NCFS000	niño
	.	Fp	.
Sr	Señor	NP00000	señor
Dn	don	NP00000	don
Matheo	Mateo	NP00000	mateo
Hidalgo	Hidalgo	NP00000	hidalgo
	.	Fp	.
