Amo	Amigo	NP00000	amigo
y	y	CC	y
sr	señor	NP00000	señor
Joseph	José	NP00000	josé
de	de	SPS00	de
la	la	DA0FS0	el
Guardia	Guardia	NP00000	guardia
	.	Fp	.
deseamos	Deseamos	VMIP1P0	desear
Goze	goce	VMSP0S0	gozar
salud	salud	NCFS000	salud
	.	Fp	.
Remitimos	Remitimos	VMIP1P0	remitir
los	los	DA0MP0	el
diezysiete	diecisiete	Z	17
Marineros	marineros	NCMP000	marinero
	,	Fc	,
q	que	CS	que
bastante	bastante	RQ	bastante
travajo	trabajo	NCMS000	trabajo
se	se	P00CN000	se
ha	ha	VAIP3S0	haber
tenido	tenido	VMP0000	tener
en	en	SPS00	en
ello	ello	PD0NN000	ello
	,	Fc	,
y	y	CC	y
tambien	también	RG	también
el	el	DA0MS0	el
testimo	testimonio	NCMS000	testimonio
q	que	PR0CN000	que
acredita	acredita	VMIP3S0	acreditar
quedar	quedar	VMN0000	quedar
dada	dada	VMP00SF	dar
la	la	DA0FS0	el
fianza	fianza	NCFS000	fianza
de	de	SPS00	de
Marineria	marinería	NCFS000	marinería
y	y	CC	y
el	el	DA0MS0	el
otro	otro	DI0MS0	otro
testimo	testimonio	NCMS000	testimonio
de	de	SPS00	de
los	los	DA0MP0	el
15	15	Z	15
Marineros	marineros	NCMP000	marinero
de	de	SPS00	de
los	los	DA0MP0	el
de	de	SPS00	de
la	la	DA0FS0	el
Lista	lista	NCFS000	lista
	,	Fc	,
q	que	CS	que
tambien	también	RG	también
se	se	P00CN000	se
rremiten	remiten	VMIP3P0	remitir
,	.	Fp	.
y	Y	CC	y
es	es	VSIP3S0	ser
menester	menester	NCMS000	menester
q	que	CS	que
Vmd	VM	NP00000	VM
	,	Fc	,
en	en	SPS00	en
vista	vista	NCFS000	vista
de	de	SPS00	de
lo	lo	DA0NS0	el
q	que	PR0CN000	que
por	por	SPS00	por
el	él	PP3MS000	él
consta	consta	VMIP3S0	constar
	,	Fc	,
haga	haga	VMSP0S0	hacer
rrepresentazon	representación	NCFS000	representación
por	por	SPS00	por
escrito	escrito	NCMS000	escrito
,	.	Fp	.
y	Y	CC	y
ver	ver	VMN0000	ver
al	al	SPS00+DA0MS0	a+el
sr	señor	NP00000	señor
Dn	don	NP00000	don
Bernardino	Bernardino	NP00000	bernardino
pa	para	SPS00	para
q	que	CS	que
se	se	P00CN000	se
sirva	sirva	VMSP0S0	servir
mirar	mirar	VMN0000	mirar
al	al	SPS00+DA0MS0	a+el
arraval	arrabal	NCMS000	arrabal
con	con	SPS00	con
piedad	piedad	NCFS000	piedad
	,	Fc	,
Respecto	respecto	NCMS000	respeto
queda	queda	VMIP3S0	quedar
destruydo	destruido	VMP00SM	destruir
,	,	Fc	,
y	y	CC	y
buscar	buscar	VMN0000	buscar
algn	algún	DI0MS0	alguno
empeño	empeño	NCMS000	empeño
pa	para	SPS00	para
q	que	CS	que
nos	nos	PP1CP000	nos
Relleve	releve	VMSP0S0	relevar
de	de	SPS00	de
dar	dar	VMN0000	dar
los	los	DA0MP0	el
mas	más	RC	más
marineros	marineros	NCMP000	marinero
de	de	SPS00	de
la	la	DA0FS0	el
Lista	lista	NCFS000	lista
	,	Fc	,
que	que	CS	que
si	si	CS	si
no	no	RN	no
mal	mal	RG	mal
se	se	P00CN000	se
podra	podrá	VMIF3S0	poder
Cumplir	cumplir	VMN0000	cumplir
;	.	Fp	.
es	Es	VSIP3S0	ser
menester	menester	NCMS000	menester
q	que	CS	que
Vmd	VM	NP00000	VM
sepa	sepa	VMSP0S0	saber
si	si	CSI	si
en	en	SPS00	en
los	los	DA0MP0	el
Navios	navíos	NCMP000	navío
de	de	SPS00	de
ese	ese	DD0MS0	ese
Puerto	puerto	NCMS000	puerto
se	se	P00CN000	se
hallan	hallan	VMIP3P0	hallar
el	el	DA0MS0	el
hijo	hijo	NCMS000	hijo
de	de	SPS00	de
Angel	Ángel	NP00000	ángel
el	el	DA0MS0	el
sacristan	sacristán	NCMS000	sacristán
y	y	CC	y
el	el	DA0MS0	el
hijo	hijo	NCMS000	hijo
del	del	SPS00+DA0MS0	de+el
Portugues	portugués	NCMS000	portugués
del	del	SPS00+DA0MS0	de+el
Burgo	Burgo	NP00000	burgo
	,	Fc	,
llamado	llamado	VMP00SM	llamar
Joaquin	Joaquín	NP00000	joaquín
Barvosa	Barvosa	NP00000	barvosa
	,	Fc	,
pa	para	SPS00	para
q	que	CS	que
entren	entren	VMSP3P0	entrar
en	en	SPS00	en
el	el	DA0MS0	el
Numo	número	NCMS000	número
d	de	SPS00	de
ellos	ellos	PP3MP000	ellos
,	.	Fp	.
y	Y	CC	y
cuido	cuidado	NCMS000	cuidado
que	que	CS	que
el	el	DA0MS0	el
caramugo	Caramujo	NP00000	caramujo
y	y	CC	y
otros	otros	PI0MP000	otro
mas	más	RC	más
q	que	CS	que
baran	varan	VMIP3P0	varar
alquilados	alquilados	VMP00PM	alquilar
sacarlos	sacarlos	VMN0000+PP3MPA00	sacar+lo
por	por	SPS00	por
el	el	DA0MS0	el
arraval	arrabal	NCMS000	arrabal
	,	Fc	,
adutzindo	aduciendo	VMG0000	aducir
q	que	CS	que
el	el	DA0MS0	el
caramugo	Caramujo	NP00000	caramujo
y	y	CC	y
los	los	DA0MP0	el
dos	dos	Z	2
de	de	SPS00	de
arriva	arriba	RG	arriba
son	son	VSIP3P0	ser
de	de	SPS00	de
