Joseph	José	NP00000	josé
	.	Fp	.
Recivo	Recibo	VMIP1S0	recibir
tu	tu	DP2CSS	tu
carta	carta	NCFS000	carta
de	de	SPS00	de
8	8	Z	8
del	del	SPS00+DA0MS0	de+el
pasado	pasado	NCMS000	pasado
pr	por	SPS00	por
mano	mano	NCFS000	mano
de	de	SPS00	de
Dn	don	NP00000	don
casimiro	Casimiro	NP00000	casimiro
Gonz	González	NP00000	gonzález
	,	Fc	,
cura	cura	NCMS000	cura
de	de	SPS00	de
la	la	DA0FS0	el
Va	villa	NCFS000	villa
de	de	SPS00	de
Villamuriel	Villamuriel	NP00000	villamuriel
	,	Fc	,
haviendola	habiéndola	VAG0000+PP3FSA00	haber+lo
tu	tú	PP2CSN00	tú
dirigido	dirigido	VMP0000	dirigir
a	a	SPS00	a
la	la	DA0FS0	el
justicia	justicia	NCFS000	justicia
y	y	CC	y
Regimto	regimiento	NCMS000	regimiento
de	de	SPS00	de
esta	ésta	PD0FS000	este
de	de	SPS00	de
Aguilar	Aguilar	NP00000	aguilar
,	.	Fp	.
veo	Veo	VMIP1S0	ver
pr	por	SPS00	por
ella	ella	PP3FS000	él
gozas	gozas	VMIP2S0	gozar
salud	salud	NCFS000	salud
y	y	CC	y
lo	lo	DA0NS0	el
mucho	mucho	RQ	mucho
q	que	PR0CN000	que
dices	dices	VMIP2S0	decir
de	de	SPS00	de
tu	tu	DP2CSS	tu
arrepentimto	arrepentimiento	NCMS000	arrepentimiento
	,	Fc	,
que	que	PR0CN000	que
quiera	quiera	VMSP0S0	querer
la	la	DA0FS0	el
divina	Divina	AQ0FS0	divino
Mgd	Majestad	NP00000	majestad
sea	sea	VSSP0S0	ser
para	para	SPS00	para
su	su	DP3CS0	su
servicio	servicio	NCMS000	servicio
,	;	Fx	;
y	y	CC	y
esto	esto	PD0NN000	esto
era	era	VSII0S0	ser
bien	bien	RG	bien
lo	lo	PP3CNA00	lo
supiera	supiera	VMSI0S0	saber
	.	Fp	.
pr	Por	SPS00	por
otra	otra	DI0FS0	otro
parte	parte	NCFS000	parte
,	,	Fc	,
de	de	SPS00	de
lo	lo	DA0NS0	el
que	que	PR0CN000	que
dices	dices	VMIP2S0	decir
me	me	PP1CS000	me
as	has	VAIP2S0	haber
escrito	escrito	VMP0000	escribir
18	18	Z	18
cartas	cartas	NCFP000	carta
	,	Fc	,
no	no	RN	no
e	he	VAIP1S0	haber
savido	sabido	VMP0000	saber
asta	hasta	SPS00	hasta
aora	ahora	RG	ahora
de	de	SPS00	de
ti	ti	PP2CSO00	ti
ni	ni	CCN	ni
a	a	SPS00	a
mi	mi	DP1CSS	mi
noticia	noticia	NCFS000	noticia
y	y	CC	y
mano	mano	NCFS000	mano
a	ha	VAIP3S0	haber
llegado	llegado	VMP0000	llegar
alguna	alguna	PI0FS000	alguno
,	,	Fc	,
q	que	CS	que
si	si	CS	si
hubiera	hubiera	VASI0S0	haber
llegado	llegado	VMP0000	llegar
no	no	RN	no
dexara	dejara	VMSI0S0	dejar
de	de	SPS00	de
responderte	responderte	VMN0000+PP2CS000	responder+te
,	,	Fc	,
ia	ya	CC	ya
pr	por	SPS00	por
darte	darte	VMN0000+PP2CS000	dar+te
algun	algún	DI0MS0	alguno
