Alcalá	Alcalá	NP00000	alcalá
	,	Fc	,
y	y	CC	y
Marzo	marzo	NCMS000	marzo
dia	día	NCMS000	día
10	10	Z	10
del	del	SPS00+DA0MS0	de+el
784	784	Z	784
Muy	Muy	RQ	muy
Señora	señora	NP00000	señor
mia	mía	DP1FSS	mío
	.	Fp	.
me	Me	PP1CS000	me
halegrare	alegraré	VMIF1S0	alegrar
lo	lo	PP3CNA00	lo
pase	pase	VMSP0S0	pasar
ud	usted	PP2CS000	usted
sin	sin	SPS00	sin
nobedad	novedad	NCFS000	novedad
en	en	SPS00	en
compa	compañía	NCFS000	compañía
de	de	SPS00	de
su	su	DP3CS0	su
yja	hija	NP00000	hijo
manuela	Manuela	NP00000	manuela
y	y	CC	y
demas	demás	NCMS000	demás
personas	personas	NCFP000	persona
de	de	SPS00	de
esa	esa	DD0FS0	ese
su	su	DP3CS0	su
casa	casa	NCFS000	casa
,	.	Fp	.
yo	Yo	PP1CSN00	yo
vuena	buena	AQ0FS0	bueno
	,	Fc	,
a	a	SPS00	a
Dios	Dios	NP00000	dios
gracias	gracias	NCFP000	gracia
	,	Fc	,
para	para	SPS00	para
serbir	servir	VMN0000	servir
a	a	SPS00	a
ud	usted	PP2CS000	usted
en	en	SPS00	en
quanto	cuanto	PA000000	cuanto
fuere	fuere	VSSF0S0	ser
de	de	SPS00	de
su	su	DP3CS0	su
agrado	agrado	NCMS000	agrado
.	.	Fp	.
Participo	Participo	VMIP1S0	participar
a	a	SPS00	a
ud	usted	PP2CS000	usted
el	el	DA0MS0	el
sentimto	sentimiento	NCMS000	sentimiento
qe	que	PR0CN000	que
tengo	tengo	VMIP1S0	tener
con	con	SPS00	con
ud	usted	PP2CS000	usted
por	por	SPS00	por
la	la	DA0FS0	el
Sra	señora	NP00000	señor
Maria	María	NP00000	maría
de	de	SPS00	de
Yela	Yela	NP00000	yela
por	por	SPS00	por
las	las	DA0FP0	el
palabras	palabras	NCFP000	palabra
qe	que	PR0CN000	que
uds	ustedes	PP2CP000	usted
an	han	VAIP3P0	haber
tenido	tenido	VMP0000	tener
en	en	SPS00	en
carta	carta	NCFS000	carta
	.	Fp	.
y	Y	CC	y
lo	lo	PP3CNA00	lo
siento	siento	VMIP1S0	sentir
mucho	mucho	RQ	mucho
de	de	SPS00	de
qe	que	CS	que
ud	usted	PP2CS000	usted
me	me	PP1CS000	me
la	la	PP3FSA00	lo
aya	haya	VASP0S0	haber
ofendido	ofendido	VMP0000	ofender
	,	Fc	,
pues	pues	CS	pues
no	no	RN	no
tiene	tiene	VMIP3S0	tener
culpa	culpa	NCFS000	culpa
ninguna	ninguna	DI0FS0	ninguno
de	de	SPS00	de
todo	todo	PI0MS000	todo
quanto	cuanto	PA000000	cuanto
an	han	VAIP3P0	haber
ablado	hablado	VMP0000	hablar
,	,	Fc	,
porqe	porque	CS	porque
esta	está	VMIP3S0	estar
salba	salva	VMIP3S0	salvar
de	de	SPS00	de
muchas	muchas	DI0FP0	mucho
de	de	SPS00	de
cosas	cosas	NCFP000	cosa
	.	Fp	.
ojala	Ojalá	I	ojalá
las	las	DA0FP0	el
qe	que	PR0CN000	que
la	la	PP3FSA00	lo
han	han	VAIP3P0	haber
ynjuriado	injuriado	VMP0000	injuriar
fueran	fueran	VSSI3P0	ser
como	como	CS	como
ella	ella	PP3FS000	él
	.	Fp	.
y	Y	CC	y
si	si	CS	si
alguna	alguna	DI0FS0	alguno
palabra	palabra	NCFS000	palabra
l	la	PP3FSA00	lo
a	ha	VAIP3S0	haber
ofendido	ofendido	VMP0000	ofender
a	a	SPS00	a
ud	usted	PP2CS000	usted
	,	Fc	,
