Ave	Ave	I	ave
Maria	María	NP00000	maría
Mui	Muy	RQ	muy
Sr	señor	NP00000	señor
Mio	mío	DP1MSS	mío
	.	Fp	.
celebrare	Celebraré	VMIF1S0	celebrar
esta	ésta	PD0FS000	este
llegue	llegue	VMSP0S0	llegar
a	a	SPS00	a
mano	mano	NCFS000	mano
de	de	SPS00	de
Vm	VM	NP00000	VM
continuandose	continuándose	VMG0000+P00CN000	continuar+se
en	en	SPS00	en
su	su	DP3CS0	su
perfeta	perfecta	AQ0FS0	perfecto
salud	salud	NCFS000	salud
	,	Fc	,
beneficio	beneficio	NCMS000	beneficio
que	que	PR0CN000	que
desfruto	disfruto	VMIP1S0	disfrutar
	,	Fc	,
y	y	CC	y
por	por	SPS00	por
servirle	servirle	VMN0000+PP3CSA00	servir+le
con	con	SPS00	con
buen	buen	AQ0MS0	bueno
afecto	afecto	NCMS000	afecto
;	.	Fp	.
y	Y	CC	y
a	a	SPS00	a
quien	quien	PR0CS000	quien
devo	debo	VMIP1S0	deber
decir	decir	VMN0000	decir
que	que	CS	que
	,	Fc	,
aviendome	habiéndome	VAG0000+PP1CS000	haber+me
mandado	mandado	VMP0000	mandar
mi	mi	DP1CSS	mi
P	padre	NP00000	padre
Mo	maestro	NP00000	maestro
hiziese	hiciese	VMSI0S0	hacer
esa	esa	DD0FS0	ese
diligencia	diligencia	NCFS000	diligencia
en	en	SPS00	en
serviçio	servicio	NCMS000	servicio
de	de	SPS00	de
V	vuestra	DP2FSP	vuestro
R	reverencia	NCFS000	reverencia
por	por	SPS00	por
allarse	hallarse	VMN0000+P00CN000	hallar+se
con	con	SPS00	con
sus	sus	DP3CP0	su
cuidados	cuidados	NCMP000	cuidado
,	,	Fc	,
pase	pasé	VMIS1S0	pasar
como	como	CS	como
save	sabe	VMIP3S0	saber
el	el	DA0MS0	el
P	padre	NCMS000	padre
Secretario	secretario	NP00000	secretario
fr	fray	NP00000	fray
Joseph	Joseph	NP00000	joseph
y	y	CC	y
le	le	PP3CSD00	le
puse	puse	VMIS1S0	poner
por	por	SPS00	por
la	la	DA0FS0	el
obra	obra	NCFS000	obra
	,	Fc	,
aunq	aunque	CS	aunque
mortificado	mortificado	VMP00SM	mortificar
por	por	SPS00	por
no	no	RN	no
tener	tener	VMN0000	tener
con	con	SPS00	con
q	qué	PT0CN000	qué
poder	poder	VMN0000	poder
suplir	suplir	VMN0000	suplir
su	su	DP3CS0	su
costo	costo	NCMS000	costo
	,	Fc	,
pues	pues	CS	pues
no	no	RN	no
se	se	P00CN000	se
puede	puede	VMIP3S0	poder
sacar	sacar	VMN0000	sacar
la	la	DA0FS0	el
carta	carta	NCFS000	carta
de	de	SPS00	de
pago	pago	NCMS000	pago
como	como	CS	como
Vm	VM	NP00000	VM
pide	pide	VMIP3S0	pedir
	,	Fc	,
pues	pues	CS	pues
haze	hace	VMIP3S0	hacer
relacion	relación	NCFS000	relación
de	de	SPS00	de
los	los	DA0MP0	el
autos	autos	NCMP000	auto
y	y	CC	y
cuentas	cuentas	NCFP000	cuenta
dados	dados	VMP00PM	dar
	.	Fp	.
y	Y	CC	y
asi	así	RG	así
pasa	pasa	VMIP3S0	pasar
