Alavado	Alabado		
sea	sea		
el	el		
Smo	Santísimo		
Sacramento	Sacramento		
Carisimo	Carísimo		
Pe	padre		
mio	mío		
:	.		
El	El		
sr	Señor		
sigue	sigue		
con	con		
tan	tan		
amoroso	amoroso		
desvelo	desvelo		
como	como		
si	si		
esta	esta		
alma	alma		
fuera	fuera		
sola	sola		
en	en		
el	el		
mundo	mundo		
:	.		
se	Se		
a	ha		
descuvierto	descubierto		
su	su		
Sma	santísima		
voluntad	voluntad		
en	en		
orn	orden		
a	a		
el	el		
agua	agua		
que	que		
tengo	tengo		
de	de		
veber	beber		
	,		
y	y		
es	es		
con	con		
arreglo	arreglo		
a	a		
el	el		
orn	orden		
de	de		
N	N		
.	.		
(	(		
como	como		
Vm	VM		
dice	dice		
)	)		
	,		
cuya	cuya		
cantidad	cantidad		
no	no		
escede	excede		
de	de		
un	un		
baso	vaso		
diariamente	diariamente		
a	a		
la	la		
caida	caída		
de	de		
la	la		
tarde	tarde		
.	.		
La	La		
cantidad	cantidad		
que	que		
yo	yo		
e	he		
esperimentado	experimentado		
pr	por		
un	un		
medio	medio		
estraordo	extraordinario		
largo	largo		
de	de		
contar	contar		
	,		
o	o		
a	a		
lo	lo		
mas	más		
dos	dos		
basos	vasos		
,	,		
y	y		
estos	éstos		
poderlos	poderlos		
repartir	repartir		
a	a		
la	la		
ora	hora		
de	de		
comer	comer		
y	y		
a	a		
la	la		
tarde	tarde		
:  	.		
en	En		
orn	orden		
a	a		
la	la		
comida	comida		
	,		
me	me		
parece	parece		
que	que		
con	con		
la	la		
taza	taza		
de	de		
sopa	sopa		
y	y		
otra	otra		
taza	taza		
de	de		
vianda	vianda		
se	se		
dara	dará		
el	el		
sor	Señor		
por	por		
contento	contento		
.	.		
el	El		
pan	pan		
Vm	VM		
lo	lo		
arreglara	arreglará		
,	.		
me	Me		
parece	parece		
que	que		
al	al		
sor	Señor		
N	N		
.	.		
le	le		
arreglo	arregló		
nro	nuestro		
Pe	padre		
un	un		
pan	pan		
de	de		
3	3		
ó	o		
4	4		
libras	libras		
para	para		
3	3		
dias	días		
.  	.		
tambien	También		
me	me		
parece	parece		
que	que		
	,		
pa	para		
que	que		
Vm	VM		
tome	tome		
conozimto	conocimiento		
completo	completo		
	,		
es	es		
voluntad	voluntad		
del	del		
sor	Señor		
informar	informar		
a	a		
Vm	VM		
las	las		
altas	altas		
y	y		
señalaladas	señaladas		
gras	gracias		
que	que		
el	el		
sor	Señor		
me	me		
hizo	hizo		
desde	desde		
la	la		
cuna	cuna		
a	a		
imitacion	imitación		
del	del		
mismo	mismo		
sr	Señor		
	,		
como	como		
(	(		
pa	para		
mi	mi		
mayor	mayor		
aterramto	aterramiento		
	,		
confusion	confusión		
y	y		
berguenzo	vergüenza		
me	me		
lo	lo		
a	ha		
echo	hecho		
conozer	conocer		
muchas	muchas		
vezes	veces		
,	,		
y	y		
la	la		
ultima	última		
esta	esta		
tarde	tarde		
)	)		
dire	diré		
a	a		
SC	SC		
.  	.		
El	El		
sor	Señor		
Nacio	nació		
en	en		
un	un		
portal	portal		
,	,		
y	y		
en	en		
otro	otro		
naci	nací		
yo	yo		
.	.		
si	Si		
se	se		
quiere	quiere		
que	que		
sea	sea		
establo	establo		
,	,		
establo	establo		
fue	fue		
el	el		
mio	mío		
;	;		
porque	porque		
no	no		
tenia	tenía		
mas	más		
diferiencia	diferencia		
que	que		
4	4		
tablas	tablas		
que	que		
dividian	dividían		
el	el		
establo	establo		
y	y		
portal	portal		
	.		
si	Si		
se	se		
quiere	quiere		
que	que		
el	el		
sr	Señor		
acompañó	acompañó		
un	un		
jumto	jumento		
o	o		
jumenta	jumenta		
,	,		
otra	otra		
me	me		
acompañó	acompañó		
a	a		
mi	mí		
.	.		
el	El		
sr	Señor		
fue	fue		
reclinado	reclinado		
sobre	sobre		
unas	unas		
pobres	pobres		
pajas	pajas		
,	,		
y	y		
sobre	sobre		
otras	otras		
lo	lo		
fui	fui		
yó	yo		
;	;		
porque	porque		
