Rezibi	Recibí	VMIS1S0	recibir
su	su	DP3CS0	su
carta	carta	NCFS000	carta
de	de	SPS00	de
Vm	VM	NP00000	VM
de	de	SPS00	de
10	10	Z	10
de	de	SPS00	de
el	el	DA0MS0	el
qe	que	PR0CN000	que
corre	corre	VMIP3S0	correr
y	y	CC	y
con	con	SPS00	con
ella	ella	PP3FS000	él
sumo	sumo	AQ0MS0	sumo
gusto	gusto	NCMS000	gusto
por	por	SPS00	por
saber	saber	VMN0000	saber
de	de	SPS00	de
su	su	DP3CS0	su
salud	salud	NCFS000	salud
.	.	Fp	.
la	La	DA0FS0	el
qe	que	PR0CN000	que
me	me	PP1CS000	me
asiste	asiste	VMIP3S0	asistir
buena	buena	AQ0FS0	bueno
	,	Fc	,
a	a	SPS00	a
ds	Dios	NP00000	dios
Grazias	gracias	NCFP000	gracia
	,	Fc	,
para	para	SPS00	para
serbirle	servirle	VMN0000+PP3CSA00	servir+le
.	.	Fp	.
sentire	Sentiré	VMIF1S0	sentir
qe	que	CS	que
porqe	porque	CS	porque
Vm	VM	NP00000	VM
desee	desee	VMSP0S0	desear
obsequiarme	obsequiarme	VMN0000+PP1CS000	obsequiar+me
Redunde	redunde	VMSP0S0	redundar
en	en	SPS00	en
Perjuizio	perjuicio	NCMS000	perjuicio
suio	suyo	DP3CS0	suyo
	,	Fp	,
pues	pues	CS	pues
no	no	RN	no
es	es	VSIP3S0	ser
Razon	razón	NCFS000	razón
qe	que	CS	que
si	si	CS	si
Bale	vale	VMIP3S0	valer
mas	más	RC	más
la	la	DA0FS0	el
Bina	viña	NCFS000	viña
qe	que	CS	que
el	el	DA0MS0	el
erial	erial	NCMS000	erial
no	no	RN	no
se	se	P00CN000	se
le	le	PP3CSD00	le
pague	pague	VMSP0S0	pagar
a	a	SPS00	a
Vm	VM	NP00000	VM
	,	Fc	,
pues	pues	CS	pues
no	no	RN	no
es	es	VSIP3S0	ser
razon	razón	NCFS000	razón
otra	otra	DI0FS0	otro
cosa	cosa	NCFS000	cosa
.	.	Fp	.
Vm	VM	NP00000	VM
quenta	cuenta	NCFS000	cuenta
conmigo	conmigo	SPS00+PP1CSO00	con+mí
para	para	SPS00	para
lo	lo	DA0NS0	el
qe	que	PR0CN000	que
le	le	PP3CSD00	le
Pueda	pueda	VMSP0S0	poder
serbir	servir	VMN0000	servir
	,	Fc	,
qe	que	CS	que
lo	lo	PP3CNA00	lo
are	haré	VMIF1S0	hacer
	.	Fp	.
y	Y	CC	y
el	el	DA0MS0	el
ynterin	ínterin	NCMS000	ínterin
A	a	SPS00	a
no	Nuestro	DP1MSP	nuestro
sr	Señor	NP00000	señor
Ge	guarde	VMSP0S0	guardar
a	a	SPS00	a
Vm	VM	NP00000	VM
m	muchos	DI0MP0	mucho
a	años	NCMP000	año
	.	Fp	.
Md	Madrid	NP00000	madrid
	,	Fc	,
y	y	CC	y
xre	diciembre	NCMS000	diciembre
17	17	Z	17
de	de	SPS00	de
1746	1746	Z	1746
	.	Fp	.
de	De	SPS00	de
Vm	VM	NP00000	VM
	,	Fc	,
dn	don	NP00000	don
Ml	Manuel	NP00000	manuel
Pardo	Pardo	NP00000	pardo
sr	Señor	NP00000	señor
dn	don	NP00000	don
Ml	Manuel	NP00000	manuel
Belasco	Velasco	NP00000	velasco
	.	Fp	.
