Perico	Perico	NCMS000	perico
	.	Fp	.
por	Por	SPS00	por
mi	mi	DP1CSS	mi
hijo	hijo	NCMS000	hijo
ya	ya	RG	ya
sabras	sabrás	VMIF2S0	saber
como	como	CS	como
me	me	PP1CS000	me
allo	hallo	VMIP1S0	hallar
en	en	SPS00	en
esta	esta	DD0FS0	este
yglesia	iglesia	NCFS000	iglesia
peor	peor	RC	peor
q	que	CS	que
en	en	SPS00	en
la	la	DA0FS0	el
Carcel	cárcel	NCFS000	cárcel
.	,	Fc	,
porq	porque	CS	porque
lo	lo	DA0NS0	el
mismo	mismo	AQ0MS0	mismo
manda	manda	VMIP3S0	mandar
el	el	DA0MS0	el
Aguacil	alguacil	NCMS000	alguacil
en	en	SPS00	en
ella	ella	PP3FS000	él
q	que	CS	que
en	en	SPS00	en
la	la	DA0FS0	el
Carcel	cárcel	NCFS000	cárcel
	.	Fp	.
el	Él	PP3MS000	él
tiene	tiene	VMIP3S0	tener
las	las	DA0FP0	el
llabes	llaves	NCFP000	llave
y	y	CC	y
an	han	VAIP3P0	haber
dormido	dormido	VMP0000	dormir
en	en	SPS00	en
casa	casa	NCFS000	casa
de	de	SPS00	de
el	el	DA0MS0	el
sr	señor	NP00000	señor
cura	cura	NCMS000	cura
.	.	Fp	.
y	Y	CC	y
despues	después	RG	después
q	que	CS	que
mi	mi	DP1CSS	mi
Hermo	hermano	NCMS000	hermano
fue	fue	VMIS3S0	ir
por	por	SPS00	por
ellas	ellas	PP3FP000	ellos
bino	vino	VMIS3S0	venir
el	el	DA0MS0	el
Aguacil	alguacil	NCMS000	alguacil
	,	Fc	,
Cerro	cerró	VMIS3S0	cerrar
la	la	DA0FS0	el
una	una	DI0FS0	uno
.	,	Fc	,
se	se	P00CN000	se
llebo	llevó	VMIS3S0	llevar
todas	todas	DI0FP0	todo
las	las	DA0FP0	el
llabes	llaves	NCFP000	llave
y	y	CC	y
para	para	SPS00	para
decir	decir	VMN0000	decir
la	la	DA0FS0	el
misa	misa	NCFS000	misa
de	de	SPS00	de
siete	siete	Z	7
tubo	tuvo	VMIS3S0	tener
bernardino	Bernardino	NP00000	bernardino
q	que	CS	que
ir	ir	VMN0000	ir
por	por	SPS00	por
ellas	ellas	PP3FP000	ellos
	.	Fp	.
y	Y	CC	y
solo	sólo	RG	sólo
le	le	PP3CSD00	le
dio	dio	VMIS3S0	dar
la	la	DA0FS0	el
de	de	SPS00	de
la	la	DA0FS0	el
sachristia	sacristía	NCFS000	sacristía
.	.	Fp	.
las	Las	DA0FP0	el
de	de	SPS00	de
las	las	DA0FP0	el
puertas	puertas	NCFP000	puerta
todabia	todavía	RG	todavía
las	las	PP3FPA00	lo
tiene	tiene	VMIP3S0	tener
	.	Fp	.
si	Si	CS	si
le	le	PP3CSD00	le
bieras	vieras	VMSI2S0	ver
aier	ayer	RG	ayer
tarde	tarde	NCFS000	tarde
dentro	dentro	RG	dentro
de	de	SPS00	de
esta	esta	DD0FS0	este
yglesia	iglesia	NCFS000	iglesia
llenarme	llenarme	VMN0000+PP1CS000	llenar+me
de	de	SPS00	de
desberguenzas	desvergũenzas	NP00000	desvergũenzas
y	y	CC	y
amenazarme	amenazarme	VMN0000+PP1CS000	amenazar+me
con	con	SPS00	con
todo	todo	DI0MS0	todo
el	el	DA0MS0	el
yero	hierro	NCMS000	hierro
de	de	SPS00	de
la	la	DA0FS0	el
