Estimado	Estimado		
Hijo	hijo		
Benjamin	Benjamín		
de	de		
Js	Isaac		
Motta	Mota		
	.		
a	A		
Gent	Gent		
Curacao	Curasao		
	,		
a	a		
7	7		
de	de		
Henero	enero		
1783	1783		
Tengo	Tengo		
resevido	recibido		
todas	todas		
tus	tus		
cartas	cartas		
y	y		
cargasiones	cargaciones		
y	y		
todo	todo		
llego	llegó		
bien	bien		
y	y		
en	en		
buena	buena		
sazon	sazón		
,	,		
menos	menos		
la	la		
caxa	caja		
de	de		
Catun	catún		
que	que		
mandastes	mandastes		
con	con		
L.	L.		
Pieter	Pieter		
	,		
que	que		
falto	faltó		
sobre	sobre		
dos	dos		
mil	mil		
florines	florines		
,	,		
de	de		
lo	lo		
que	que		
ya	ya		
te	te		
mande	mandé		
sertificasion	certificación		
por	por		
duplicado	duplicado		
.	.		
por	Por		
lo	lo		
que	que		
mira	mira		
a	a		
remesas	remesas		
,	,		
puedes	puedes		
estar	estar		
sierto	cierto		
que	que		
con	con		
los	los		
Navios	navíos		
que	que		
partiran	partirán		
el	el		
mes	mes		
que	que		
viene	viene		
de	de		
banderas	banderas		
neutrales	neutrales		
te	te		
hira	irá		
la	la		
Cuenta	cuenta		
ajustada	ajustada		
,	.		
y	Y		
te	te		
mandare	mandaré		
completo	completo		
todo	todo		
lo	lo		
que	que		
aca	acá		
tuvieres	tuvieres		
	,		
sin	sin		
comprender	comprender		
en	en		
ello	ello		
los	los		
10	10		
mil	mil		
florines	florines		
que	que		
te	te		
livre	libré		
sobre	sobre		
el	el		
contos	contos		
de	de		
Pieter	Pieter		
Martens	Martens		
hijo	hijo		
,	,		
por	por		
sy	si		
acaso	acaso		
no	no		
te	te		
han	han		
dado	dado		
,	.		
y	Y		
casso	caso		
uvieres	hubieres		
resevido	recibido		
dhos	dichos		
10	10		
mil	mil		
flors	florines		
:	,		
te	te		
podra	podrá		
servir	servir		
pa	para		
los	los		
Gastos	gastos		
de	de		
otras	otras		
remesas	remesas		
que	que		
agas	hagas		
,	,		
á	a		
Exsepsion	excepción		
de	de		
los	los		
cuatro	cuatro		
mil	mil		
florines	florines		
que	que		
te	te		
mande	mandé		
dieras	dieras		
a	a		
tu	tu		
suegro	suegro		
,	.		
en	En		
fin	fin		
	,		
yo	yo		
are	haré		
lo	lo		
que	que		
pueda	pueda		
por	por		
adelantarte	adelantarte		
como	como		
tu	tú		
dejes	dejes		
las	las		
locuras	locuras		
y	y		
fasilidades	facilidades		
de	de		
Motta	Mota		
,	,		
que	que		
sy	si		
no	no		
las	las		
dejares	dejares		
yo	yo		
te	te		
dejare	dejaré		
sin	sin		
aserte	hacerte		
jamas	jamás		
casso	caso		
de	de		
ty	ti		
	.		
y	Y		
asy	así		
te	te		
