Mad	Madrid	NP00000	madrid
	,	Fc	,
y	y	CC	y
Agto	agosto	NCMS000	agosto
2	2	Z	2
de	de	SPS00	de
1771	1771	Z	1771
Muy	Muy	RQ	muy
Sra	señora	NP00000	señor
mía	mía	DP1FSS	mío
:	,	Fc	,
recivo	recibo	NCMS000	recibo
la	la	DA0FS0	el
favorecida	favorecida	VMP00SF	favorecer
de	de	SPS00	de
Vm	VM	NP00000	VM
con	con	SPS00	con
la	la	DA0FS0	el
intempestiva	intempestiva	AQ0FS0	intempestivo
noticia	noticia	NCFS000	noticia
de	de	SPS00	de
haverse	haberse	VAN0000+P00CN000	haber+se
sentenciado	sentenciado	VMP0000	sentenciar
el	el	DA0MS0	el
Pleito	pleito	NCMS000	pleito
seguido	seguido	VMP0000	seguir
sobre	sobre	SPS00	sobre
construccion	construcción	NCFS000	construcción
de	de	SPS00	de
Molino	molino	NCMS000	molino
,	,	Fc	,
lo	lo	DA0NS0	el
q	que	PR0CN000	que
me	me	PP1CS000	me
a	ha	VAIP3S0	haber
cogido	cogido	VMP0000	coger
de	de	SPS00	de
nuevas	nuevas	NCFP000	nueva
,	;	Fx	;
pues	pues	CS	pues
	,	Fc	,
aunque	aunque	CS	aunque
el	el	DA0MS0	el
año	año	NCMS000	año
pasado	pasado	VMP00SM	pasar
compre-hendi	comprendí	VMIS1S0	comprender
se	se	P00CN000	se
andava	andaba	VMII0S0	andar
en	en	SPS00	en
estas	estas	DD0FP0	este
pretensiones	pretensiones	NCFP000	pretensión
,	,	Fc	,
tambien	también	RG	también
hoy	oí	VMIS1S0	oír
decir	decir	VMN0000	decir
â	a	SPS00	a
barios	Barrios	NP00000	barrios
q	que	CS	que
era	era	VSII0S0	ser
intento	intento	NCMS000	intento
fustraneo	frustráneo	AQ0MS0	frustráneo
y	y	CC	y
no	no	RN	no
tendria	tendría	VMIC0S0	tener
efecto	efecto	NCMS000	efecto
,	,	Fc	,
y	y	CC	y
pr	por	SPS00	por
consigte	consiguiente	NCMS000	consiguiente
no	no	RN	no
lo	lo	PP3CNA00	lo
esperava	esperaba	VMII0S0	esperar
;	.	Fp	.
pero	Pero	CC	pero
ha	ha	VAIP3S0	haber
hecho	hecho	VMP0000	hacer
Vm	VM	NP00000	VM
muy	muy	RQ	muy
bien	bien	RG	bien
en	en	SPS00	en
oponerse	oponerse	VMN0000+P00CN000	oponer+se
pr	por	SPS00	por
el	el	DA0MS0	el
perjuizio	perjuicio	NCMS000	perjuicio
q	que	PR0CN000	que
se	se	P00CN000	se
sigue	sigue	VMIP3S0	seguir
â	a	SPS00	a
las	las	DA0FP0	el
tierras	tierras	NCFP000	tierra
de	de	SPS00	de
sus	sus	DP3CP0	su
hijos	hijos	NCMP000	hijo
con	con	SPS00	con
la	la	DA0FS0	el
apertura	apertura	NCFS000	apertura
del	del	SPS00+DA0MS0	de+el
cauze	cauce	NCMS000	cauce
(	(	Fba	(
q	que	CS	que
es	es	VSIP3S0	ser
la	la	DA0FS0	el
unica	única	AQ0FS0	único
causal	causal	NCFS000	causal
q	que	PR0CN000	que
pone	pone	VMIP3S0	poner
en	en	SPS00	en
dha	dicha	VMP00SF	decir
su	su	DP3CS0	su
carta	carta	NCFS000	carta
)	)	Fbt	)
	,	Fc	,
en	en	SPS00	en
lo	lo	DA0NS0	el
q	que	PR0CN000	que
yo	yo	PP1CSN00	yo
no	no	RN	no
tengo	tengo	VMIP1S0	tener
interese	interés	NCMS000	interés
ni	ni	CC	ni
es	es	VSIP3S0	ser
motivo	motivo	NCMS000	motivo
para	para	SPS00	para
q	que	CS	que
me	me	PP1CS000	me
introduzca	introduzca	VMSP0S0	introducir
