Yllmo	Ilustrísimo	AQSMS0	ilustre
sor	señor	NP00000	señor
fidalgo	hidalgo	NCMS000	hidalgo
Geronimo	Gerónimo	NP00000	gerónimo
Bernardo	Bernardo	NP00000	bernardo
Osorio	Osorio	NP00000	osorio
de	de	SPS00	de
Castro	Castro	NP00000	castro
	.	Fp	.
Mui	Muy	RQ	muy
sor	señor	NP00000	señor
mio	mío	DP1MSS	mío
	.	Fp	.
incluio	Incluyo	VMIP1S0	incluir
	,	Fc	,
como	como	CS	como
ofreci	ofrecí	VMIS1S0	ofrecer
a	a	SPS00	a
V	vuestra	DP2FSP	vuestro
ma	magnificencia	NCFS000	magnificencia
	,	Fc	,
la	la	DA0FS0	el
acjunta	adjunta	AQ0FSP	adjunto
de	de	SPS00	de
da	doña	NP00000	don
Mariana	Mariana	NP00000	mariana
enriquez	Enríquez	NP00000	enríquez
,	,	Fc	,
por	por	SPS00	por
la	la	DA0FS0	el
que	que	PR0CN000	que
no	no	RN	no
puede	puede	VMIP3S0	poder
quedar	quedar	VMN0000	quedar
la	la	DA0FS0	el
duda	duda	NCFS000	duda
de	de	SPS00	de
su	su	DP3CS0	su
esistencia	existencia	NCFS000	existencia
;	.	Fp	.
me	Me	PP1CS000	me
ofrezco	ofrezco	VMIP1S0	ofrecer
de	de	SPS00	de
nuebo	nuevo	AQ0MS0	nuevo
a	a	SPS00	a
sus	sus	DP3CP0	su
orns	órdenes	NCFP000	orden
y	y	CC	y
espero	espero	VMIP1S0	esperar
	,	Fc	,
como	como	CS	como
tengo	tengo	VMIP1S0	tener
a	a	SPS00	a
Va.	Va.	NP00000	va.
suplicado	suplicado	VMP00SM	suplicar
	,	Fc	,
me	me	PP1CS000	me
facilite	facilite	VMSP0S0	facilitar
carta	carta	NCFS000	carta
util	útil	AQ0CS0	útil
para	para	SPS00	para
el	el	DA0MS0	el
Ministro	ministro	NCMS000	ministro
de	de	SPS00	de
Gracia	gracia	NCFS000	gracia
y	y	CC	y
justicia	justicia	NCFS000	justicia
	,	Fc	,
conde	conde	NCMS000	conde
de	de	SPS00	de
floridaBlanca	Floridablanca	NP00000	floridablanca
.	.	Fp	.
Nro	Nuestro	DP1MSP	nuestro
gue	guarde	VMSP0S0	guardar
a	a	SPS00	a
V	vuestra	DP2FSP	vuestro
ma	magnificencia	NCFS000	magnificencia
m	muchos	DI0MP0	mucho
a	años	NCMP000	año
	.	Fp	.
Rl	Real	NP00000	real
Hospl	Hospital	NP00000	hospital
de	de	SPS00	de
cadiz	Cádiz	NP00000	cádiz
	,	Fc	,
20	20	Z	20
de	de	SPS00	de
Dicbre	diciembre	NCMS000	diciembre
de	de	SPS00	de
1789	1789	Z	1789
	.	Fp	.
B	Besa	VMIP3S0	besar
L	la	DA0FS0	el
m	mano	NCFS000	mano
a	a	SPS00	a
V	vuestra	DP2FSP	vuestro
ma	magnificencia	NCFS000	magnificencia
su	su	DP3CS0	su
maior	mayor	AQ0CS0	mayor
servr	servidor	NCMS000	servidor
y	y	CC	y
capellan	capellán	NCMS000	capellán
	,	Fc	,
Antonio	Antonio	NP00000	antonio
Prieto	Prieto	NP00000	prieto
