Sr	Señor		
Franco	Francisco		
	.		
Me	Me		
alegrare	alegraré		
que	que		
estta	ésta		
le	le		
alle	halle		
a	a		
ustte	usted		
con	con		
la	la		
cabal	cabal		
salud	salud		
que	que		
yo	yo		
para	para		
mi	mí		
Deseo	deseo		
en	en		
conpañia	compañía		
de	de		
la	la		
ttia	tía		
calara	Clara		
	.		
en	En		
quantto	cuanto		
la	la		
noveda	novedad		
qu	que		
le	le		
dixe	dije		
a	a		
ustte	usted		
que	que		
avia	había		
por	por		
cartta	carta		
	,		
es	es		
estta	ésta		
	.		
siento	Siento		
muho	mucho		
enbiarselo	enviárselo		
a	a		
dezir	decir		
a	a		
ustte	usted		
	,		
pero	pero		
m	me		
es	es		
la	la		
Fuerza	fuerza		
	,		
pues	pues		
sabra	sabrá		
ustte	usted		
que	que		
Me	me		
an	han		
traido	traído		
una	una		
cartta	carta		
Diziendo	diciendo		
la	la		
ttia	tía		
Maria	María		
la	la		
Ruano	Ruano		
y	y		
la	la		
ttia	tía		
pepa	Pepa		
la	la		
esttanquera	Estanquera		
y	y		
las	las		
conpañeras	compañeras		
que	que		
no	no		
ttenia	tenía		
que	que		
cansarme	cansarme		
	,		
que	que		
de	de		
los	los		
3	3		
que	que		
tengo	tengo		
Puestta	puesta		
la	la		
mano	mano		
en	en		
Arxes	Argés		
	,		
que	que		
es	es		
ustte	usted		
y	y		
la	la		
tia	tía		
urora	Aurora		
y	y		
a	a		
la	la		
ttia	tía		
calara	Clara		
	,		
que	que		
ttanbien	también		
la	la		
ttienen	tienen		
mala	mala		
	.		
y	Y		
que	que		
por	por		
aora	ahora		
ttrabajo	trabajo		
en	en		
bano	vano		
y	y		
que	que		
si	si		
yo	yo		
apretto	aprieto		
sera	será		
peor	peor		
	,		
que	que		
sucedera	sucederá		
lo	lo		
qu	que		
Dios	Dios		
quera	querrá		
	.		
yo	Yo		
de	de		
que	que		
bi	vi		
estto	esto		
	,		
que	que		
me	me		
la	la		
leio	leyó		
colasillo	Colasillo		
	,		
Me	me		
quede	quedé		
eha	hecha		
un	un		
xicio	juicio		
	.		
tio	Tío		
Franco	Francisco		
	,		
sabra	sabrá		
ustte	usted		
como	como		
ttodas	todas		
las	las		
mas	más		
Nohes	noches		
Anda	anda		
un	un		
Ruido	ruido		
mui	muy		
grande	grande		
en	en		
el	el		
ttegao	tejado		
y	y		
de	de		
la	la		
pesaunbre	pesadumbre		
esttoi	estoy		
mala	mala		
	.		
si	Si		
ustte	usted		
ubira	hubiera		
eho	hecho		
los	los		
Remedios	remedios		
que	que		
l	le		
e	he		
manDado	mandado		
no	no		
sucediera	sucediera		
estto	esto		
	.		
le	Le		
digo	digo		
A	a		
ustte	usted		
que	que		
no	no		
puedo	puedo		
enbiar	enviar		
la	la		
cartta	carta		
	,		
Porque	porque		
quantto	cuanto		
Me	me		
la	la		
leio	leyó		
el	el		
hico	chico		
la	la		
quemé	quemé		
	.		
i	Y		
lo	lo		
mesmo	mismo		
Ago	hago		
con	con		
las	las		
que	que		
M	me		
enbia	envía		
ustte	usted		
porque	porque		
no	no		
las	las		
coja	coja		
un	un		
sobrino	sobrino		
que	que		
tengo	tengo		
	.		
l	Le		
encargo	encargo		
A	a		
ustte	usted		
que	que		
aga	haga		
otro	otro		
ttanto	tanto		
	.		
No	No		
de	dé		
uste	usted		
por	por		
dios	Dios		
a	a		
nenguno	ninguno		
cartta	carta		
si	si		
no	no		
s	es		
a	a		
paxas	Pajas		
	,		
el	el		
gallinero	gallinero		
de	de		
galbes	Gálvez		
	,		
pues	pues		
De	de		
darsela	dársela		
ustte	usted		
a	a		
ottro	otro		
me	me		
pongo	pongo		
en	en		
un	un		
Risgo	riesgo		
Mui	muy		
grande	grande		
	,		
pues	pues		
temo	temo		
que	que		
me	me		
las	las		
cogen	cogen		
las	las		
carttas	cartas		
que	que		
esqribo	escribo		
	,		
pues	pues		
Me	me		
a	ha		
llamao	llamado		
el	el		
sr	señor		
qura	cura		
y	y		
e	he		
ttenido	tenido		
muho	mucho		
que	que		
senttir	sentir		
	.		
no	No		
le	le		
Diga	diga		
ustte	usted		
nada	nada		
a	a		
la	la		
ttia	tía		
Clara	Clara		
	,		
Pues	pues		
quando	cuando		
estube	estuve		
Alla	allá		
la	la		
encarge	encargué		
que	que		
se	se		
gurdase	guardase		
	,		
pero	pero		
ya	ya		
l	la		
an	han		
puestto	puesto		
como	como		
a	a		
uste	usted		
	.		
Fria	Fría		
ustte	usted		
un	un		
poco	poco		
de	de		
ruda	ruda		
y	y		
por	por		
las	las		
Mañanas	mañanas		
se	se		
untte	unte		
el	el		
Lao	lado		
y	y		
el	el		
estogamo	estómago		
	.		
y	Y		
si	si		
uste	usted		
se	se		
atterbe	atreve		
cure	cure		
ustte	usted		
con	con		
ellas	ellas		
a	a		
golpes	golpes		
	,		
pues	pues		
yo	yo		
no	no		
puedo	puedo		
Acer	hacer		
mas	más		
que	que		
lo	lo		
que	que		
ago	hago		
	,		
pues	pues		
no	no		
ai	hay		
qyen	quien		
le	le		
melle	melle		
A	a		
uste	usted		
De	de		
ortra	otra		
suertte	suerte		
	.		
tio	Tío		
Franco	Francisco		
	,		
Perdonara	perdonará		
ustte	usted		
que	que		
estoi	estoy		
con	con		
la	la		
quarttana	cuartana		
.	.		
Recibira	Recibirá		
ustte	usted		
Muha	mucha		
memorias	memorias		
Y	y		
se	se		
las	las		
Dara	dará		
ustte	usted		
A	a		
la	la		
ttia	tía		
calara	Clara		
y	y		
a	a		
su	su		
señora	señora		
y	y		
a	a		
el	el		
tio	tío		
Narciso	Narciso		
	,		
y	y		
las	las		
Rezibira	recibirá		
A	a		
medida	medida		
De	de		
su	su		
deseo	deseo		
	.		
Y	Y		
con	con		
qyen	quien		
De	de		
corazon	corazón		
a	a		
ustte	usted		
estima	estima		
y	y		
desea	desea		
es	es		
Maria	María		
Moreno	Moreno		
	.		
Nabalucillos	Navalucillos		
	,		
y	y		
enero	enero		
Ab	ab		
15	15		
de	de		
81	81		
A	A		
Franco	Francisco		
carrasco	Carrasco		
	,		
en	en		
Arges	Argés		
	.		
