Hermano	Hermano	NCMS000	hermano
charissimo	carísimo	AQSMS0	caro
,	.	Fc	,
me	Me	PP1CS000	me
alegrare	alegraré	VMIF1S0	alegrar
que	que	CS	que
tu	tú	PP2CSN00	tú
y	y	CC	y
madre	madre	NCFS000	madre
gozeis	gocéis	VMSP2P0	gozar
de	de	SPS00	de
cumplida	cumplida	VMP00SF	cumplir
salud	salud	NCFS000	salud
,	.	Fp	.
Yo	Yo	PP1CSN00	yo
la	la	PP3FSA00	lo
tengo	tengo	VMIP1S0	tener
deseando	deseando	VMG0000	desear
emplearla	emplearla	VMN0000+PP3FSA00	emplear+lo
en	en	SPS00	en
cossas	cosas	NCFP000	cosa
de	de	SPS00	de
su	su	DP3CS0	su
agrado	agrado	NCMS000	agrado
y	y	CC	y
en	en	SPS00	en
servicio	servicio	NCMS000	servicio
de	de	SPS00	de
madre	madre	NCFS000	madre
.	.	Fp	.
Ocurre	Ocurre	VMIP3S0	ocurrir
al	al	SPS00+DA0MS0	a+el
presente	presente	NCMS000	presente
la	la	DA0FS0	el
novedad	novedad	NCFS000	novedad
de	de	SPS00	de
que	que	CS	que
ha	ha	VAIP3S0	haber
llegado	llegado	VMP0000	llegar
a	a	SPS00	a
mi	mi	DP1CSS	mi
noticia	noticia	NCFS000	noticia
que	que	CS	que
la	la	DA0FS0	el
amenaza	amenaza	NCFS000	amenaza
que	que	PR0CN000	que
te	te	PP2CS000	te
hizo	hizo	VMIS3S0	hacer
la	la	DA0FS0	el
Ama	ama	NCFS000	amo
de	de	SPS00	de
que	que	CS	que
se	se	PP3CN000	se
la	la	PP3FSA00	lo
haviamos	habíamos	VMII1P0	haber
de	de	SPS00	de
pagar	pagar	VMN0000	pagar
va	va	VMIP3S0	ir
ejecutando	ejecutando	VMG0000	ejecutar
	,	Fc	,
haviendome	habiéndome	VAG0000+PP1CS000	haber+me
denunciado	denunciado	NCMS000	denunciado
al	al	SPS00+DA0MS0	a+el
tribunal	Tribunal	NP00000	tribunal
de	de	SPS00	de
la	la	DA0FS0	el
Inquisicion	Inquisición	NP00000	inquisición
de	de	SPS00	de
cossas	cosas	NCFP000	cosa
que	que	PR0CN000	que
me	me	PP1CS000	me
hacen	hacen	VMIP3P0	hacer
sospechoso	sospechoso	AQ0MS0	sospechoso
en	en	SPS00	en
la	la	DA0FS0	el
fee	fe	NCFS000	fe
y	y	CC	y
solicitante	solicitante	NCMS000	solicitante
,	.	Fp	.
espero	Espero	VMIP1S0	esperar
en	en	SPS00	en
Dios	Dios	NP00000	dios
que	que	CS	que
no	no	RN	no
ha	ha	VMIP3S0	haber
de	de	SPS00	de
tener	tener	VMN0000	tener
logro	logro	NCMS000	logro
su	su	DP3CS0	su
intencion	intención	NCFS000	intención
y	y	CC	y
que	que	CS	que
no	no	RN	no
ha	ha	VMIP3S0	haber
de	de	SPS00	de
ser	ser	VSN0000	ser
creida	creída	VMP00SF	creer
.	.	Fp	.
Y	Y	CC	y
porque	porque	CS	porque
la	la	DA0FS0	el
practica	práctica	NCFS000	práctica
de	de	SPS00	de
el	el	DA0MS0	el
sto	Santo	NP00000	santo
tribunal	Tribunal	NP00000	tribunal
en	en	SPS00	en
semejantes	semejantes	AQ0CP0	semejante
denunciaciones	denunciaciones	NCFP000	denunciación
es	es	VSIP3S0	ser
despachar	despachar	VMN0000	despachar
ministro	ministro	NCMS000	ministro
a	a	SPS00	a
la	la	DA0FS0	el
averiguacion	averiguación	NCFS000	averiguación
de	de	SPS00	de
la	la	DA0FS0	el
vida	vida	NCFS000	vida
y	y	CC	y
costumbres	costumbres	NCFP000	costumbre
y	y	CC	y
procedimientos	procedimientos	NCMP000	procedimiento
de	de	SPS00	de
el	el	DA0MS0	el
denunciante	denunciante	NCMS000	denunciante
y	y	CC	y
denunciado	denunciado	NCMS000	denunciado
y	y	CC	y
de	de	SPS00	de
sus	sus	DP3CP0	su
procederes	procederes	NCMP000	proceder
,	,	Fc	,
y	y	CC	y
de	de	SPS00	de
si	si	CS	si
interviene	interviene	VMIP3S0	intervenir
alguna	alguna	DI0FS0	alguno
enemiga	enemiga	NCFS000	enemigo
entre	entre	SPS00	entre
ellos	ellos	PP3MP000	ellos
	,	Fc	,
y	y	CC	y
de	de	SPS00	de
otras	otras	DI0FP0	otro
cossas	cosas	NCFP000	cosa
para	para	SPS00	para
ponderar	ponderar	VMN0000	ponderar
la	la	DA0FS0	el
fee	fe	NCFS000	fe
y	y	CC	y
credito	crédito	NCMS000	crédito
que	que	PR0CN000	que
se	se	P00CN000	se
debe	debe	VMIP3S0	deber
dar	dar	VMN0000	dar
al	al	SPS00+DA0MS0	a+el
denunciante	denunciante	NCMS000	denunciante
y	y	CC	y
a	a	SPS00	a
lo	lo	DA0NS0	el
denunciado	denunciado	NCMS000	denunciado
	,	Fc	,
cuidaras	cuidarás	VMIF2S0	cuidar
de	de	SPS00	de
estar	estar	VMN0000	estar
a	a	SPS00	a
la	la	DA0FS0	el
mira	mira	NCFS000	mira
y	y	CC	y
observar	observar	VMN0000	observar
lo	lo	DA0NS0	el
que	que	PR0CN000	que
en	en	SPS00	en
quanto	cuanto	PA000000	cuanto
a	a	SPS00	a
esta	esta	DD0FS0	este
diligencia	diligencia	NCFS000	diligencia
pudieres	pudieres	VMSF2S0	poder
saver	saber	VMN0000	saber
.	.	Fp	.
Lo	Lo	DA0NS0	el
segundo	segundo	AO0MS0	segundo
	,	Fc	,
sin	sin	SPS00	sin
darte	darte	VMN0000+PP2CS000	dar+te
por	por	SPS00	por
entendido	entendido	VMP00SM	entender
de	de	SPS00	de
que	que	CS	que
ai	hay	VMIP3S0	haber
esto	esto	PD0NN000	esto
	,	Fc	,
pasaras	pasarás	VMIF2S0	pasar
a	a	SPS00	a
estar	estar	VMN0000	estar
con	con	SPS00	con
Ignacio	Ignacio	NP00000	ignacio
,	,	Fc	,
Juan	Juan	NP00000	juan
Antonio	Antonio	NP00000	antonio
,	,	Fc	,
Nicolás	Nicolás	NP00000	nicolás
y	y	CC	y
les	les	PP3CPD00	le
prevendrás	prevendrás	VMIF2S0	prevenir
que	que	CS	que
procuren	procuren	VMSP3P0	procurar
recorrer	recorrer	VMN0000	recorrer
su	su	DP3CS0	su
memoria	memoria	NCFS000	memoria
y	y	CC	y
tener	tener	VMN0000	tener
presentes	presentes	VMSP2S0	presentar
todas	todas	DI0FP0	todo
las	las	DA0FP0	el
cosas	cosas	NCFP000	cosa
que	que	PR0CN000	que
vieron	vieron	VMIS3P0	ver
y	y	CC	y
oieron	oyeron	VMIS3P0	oír
y	y	CC	y
notaron	notaron	VMIS3P0	notar
de	de	SPS00	de
mi	mí	PP1CSO00	mí
,	,	Fc	,
de	de	SPS00	de
la	la	DA0FS0	el
Ama	ama	NCFS000	amo
y	y	CC	y
de	de	SPS00	de
sus	sus	DP3CP0	su
procederes	procederes	NCMP000	proceder
y	y	CC	y
los	los	DA0MP0	el
mios	míos	PX1MP0S0	mío
	.	Fp	.
y	Y	CC	y
semejantemente	semejantemente	RG	semejantemente
contaras	contarás	VMIF2S0	contar
con	con	SPS00	con
qualesquiera	cualesquiera	DI0CP0	cualquiera
otras	otras	DI0FP0	otro
personas	personas	NCFP000	persona
que	que	CS	que
en	en	SPS00	en
lo	lo	DA0NS0	el
que	que	PR0CN000	que
digan	digan	VMSP3P0	decir
y	y	CC	y
sepan	sepan	VMSP3P0	saber
puedan	puedan	VMSP3P0	poder
favorecer	favorecer	VMN0000	favorecer
	,	Fc	,
para	para	SPS00	para
lo	lo	DA0NS0	el
qual	cual	PR0CS000	cual
te	te	PP2CS000	te
suppongo	supongo	VMIP1S0	suponer
que	que	CS	que
el	el	DA0MS0	el
ministro	ministro	NCMS000	ministro
	,	Fc	,
si	si	CS	si
fuese	fuese	VMSI0S0	ir
	,	Fc	,
se	se	P00CN000	se
informara	informará	VMIF3S0	informar
de	de	SPS00	de
las	las	DA0FP0	el
personas	personas	NCFP000	persona
mas	más	RC	más
principales	principales	AQ0CP0	principal
de	de	SPS00	de
todo	todo	DI0MS0	todo
ese	ese	DD0MS0	ese
Pais	país	NCMS000	país
,	.	Fp	.
mas	Mas	CC	mas
estas	estas	DD0FP0	este
prevenciones	prevenciones	NCFP000	prevención
has	has	VMIP2S0	haber
de	de	SPS00	de
hazer	hacer	VMN0000	hacer
con	con	SPS00	con
cautela	cautela	NCFS000	cautela
y	y	CC	y
sin	sin	SPS00	sin
darte	darte	VMN0000+PP2CS000	dar+te
por	por	SPS00	por
entendido	entendido	VMP00SM	entender
de	de	SPS00	de
la	la	DA0FS0	el
denunciacion	denunciación	NCFS000	denunciación
	,	Fc	,
mas	mas	CC	mas
si	sí	RG	sí
de	de	SPS00	de
las	las	DA0FP0	el
Amenazas	amenazas	NCFP000	amenaza
que	que	PR0CN000	que
hizo	hizo	VMIS3S0	hacer
y	y	CC	y
ha	ha	VAIP3S0	haber
echo	hecho	VMP0000	hacer
	.	Fp	.
y	Y	CC	y
juntamente	juntamente	RG	juntamente
	,	Fc	,
porque	porque	CS	porque
tambien	también	RG	también
amenazo	amenazó	VMIS3S0	amenazar
a	a	SPS00	a
Madre	madre	NCFS000	madre
quando	cuando	PA000000	cuando
se	se	P00CN000	se
fue	fue	VMIS3S0	ir
que	que	CS	que
se	se	PP3CN000	se
lo	lo	PP3CNA00	lo
haviamos	habíamos	VMII1P0	haber
de	de	SPS00	de
pagar	pagar	VMN0000	pagar
	,	Fc	,
diras	dirás	VMIF2S0	decir
a	a	SPS00	a
Madre	madre	NCFS000	madre
que	que	CS	que
se	se	P00CN000	se
acuerde	acuerde	VMSP0S0	acordar
y	y	CC	y
de	de	SPS00	de
las	las	DA0FP0	el
personas	personas	NCFP000	persona
que	que	PR0CN000	que
estubieron	estuvieron	VMIS3P0	estar
presentes	presentes	AQ0CP0	presente
quando	cuando	PA000000	cuando
la	la	PP3FSA00	lo
hizo	hizo	VMIS3S0	hacer
,	.	Fp	.
lo	Lo	DA0NS0	el
demas	demás	NCMS000	demás
juzgue	juzgué	VMIS1S0	juzgar
que	que	CS	que
combiene	conviene	VMIP3S0	convenir
ocultarselo	ocultárselo	VMN0000+PP3CN000+PP3MSA00	ocultar+se+lo
a	a	SPS00	a
su	su	DP3CS0	su
merced	merced	NCFS000	merced
.	.	Fp	.
Me	Me	PP1CS000	me
participo	participó	VMIS3S0	participar
persona	persona	NCFS000	persona
de	de	SPS00	de
por	por	SPS00	por
