Hermo	Hermano	NCMS000	hermano
Charissimo	carísimo	AQSMS0	caro
	.	Fc	,
me	Me	PP1CS000	me
alegrare	alegraré	VMIF1S0	alegrar
que	que	CS	que
goces	goces	VMSP2S0	gozar
de	de	SPS00	de
cumplida	cumplida	VMP00SF	cumplir
salud	salud	NCFS000	salud
en	en	SPS00	en
compania	compañía	NCFS000	compañía
de	de	SPS00	de
la	la	DA0FS0	el
familia	familia	NCFS000	familia
	,	Fc	,
a	a	SPS00	a
quienes	quienes	PR0CP000	quien
daras	darás	VMIF2S0	dar
memorias	memorias	NCFP000	memoria
.	.	Fp	.
Madre	Madre	NP00000	madre
	,	Fc	,
los	los	DA0MP0	el
herms	hermanos	NCMP000	hermano
y	y	CC	y
yo	yo	PP1CSN00	yo
estamos	estamos	VMIP1P0	estar
buenos	buenos	AQ0MP0	bueno
	,	Fc	,
a	a	SPS00	a
Dios	Dios	NP00000	dios
gracias	gracias	NCFP000	gracia
	,	Fc	,
de	de	SPS00	de
quienes	quienes	PR0CP000	quien
recibiras	recibirás	VMIF2S0	recibir
muchas	muchas	DI0FP0	mucho
memorias	memorias	NCFP000	memoria
.	.	Fp	.
Madre	Madre	NP00000	madre
y	y	CC	y
Dn	don	NP00000	don
Diego	Diego	NP00000	diego
an	han	VAIP3P0	haber
llegado	llegado	VMP0000	llegar
a	a	SPS00	a
rrifar	rifar	VMN0000	rifar
de	de	SPS00	de
las	las	DA0FP0	el
cosas	cosas	NCFP000	cosa
del	del	SPS00+DA0MS0	de+el
ama	ama	NCFS000	amo
	,	Fc	,
de	de	SPS00	de
que	que	CS	que
Dn	don	NP00000	don
Diego	Diego	NP00000	diego
se	se	P00CN000	se
mostraba	mostraba	VMII0S0	mostrar
sentido	sentido	NCMS000	sentido
y	y	CC	y
de	de	SPS00	de
que	que	CS	que
madre	madre	NP00000	madre
le	le	PP3CSD00	le
decia	decía	VMII0S0	decir
algo	algo	PI0CS000	algo
	.	Fp	.
decia	Decía	VMII0S0	decir
que	que	CS	que
no	no	RN	no
queria	quería	VMII0S0	querer
saber	saber	VMN0000	saber
nada	nada	PI0NN00N	nada
	,	Fc	,
pero	pero	CC	pero
segun	según	SPS00	según
lo	lo	DA0NS0	el
que	que	PR0CN000	que
daba	daba	VMII0S0	dar
a	a	SPS00	a
entender	entender	VMN0000	entender
bien	bien	RG	bien
lo	lo	PP3CNA00	lo
sabia	sabía	VMII0S0	saber
todo	todo	PI0MS000	todo
	.	Fp	.
en	En	SPS00	en
fin	fin	NCMS000	fin
	,	Fc	,
llego	llegó	VMIS3S0	llegar
a	a	SPS00	a
que	que	CS	que
Dn	don	NP00000	don
Diego	Diego	NP00000	diego
dixo	dijo	VMIS3S0	decir
que	que	CS	que
buscase	buscase	VMSI0S0	buscar
quien	quién	PT0CS000	quién
la	la	PP3FSA00	lo
dirigiese	dirigiese	VMSI0S0	dirigir
	.	Fp	.
y	Y	CC	y
madre	madre	NCFS000	madre
le	le	PP3CSD00	le
respondio	respondió	VMIS3S0	responder
q	que	CS	que
si	si	CS	si
no	no	RN	no
queria	quería	VMII0S0	querer
confesarla	confesarla	VMN0000+PP3FSA00	confesar+lo
que	que	CS	que
buscaria	buscaría	VMIC0S0	buscar
	,	Fc	,
a	a	SPS00	a
q	que	CS	que
respondio	respondió	VMIS3S0	responder
Dn	don	NP00000	don
Diego	Diego	NP00000	diego
que	que	CS	que
como	como	CS	como
se	se	P00CN000	se
dexase	dejase	VMSI0S0	dejar
gobernar	gobernar	VMN0000	gobernar
que	que	CS	que
la	la	PP3FSA00	lo
confesaria	confesaría	VMIC0S0	confesar
	.	Fp	.
y	Y	CC	y
madre	madre	NCFS000	madre
le	le	PP3CSD00	le
respondio	respondió	VMIS3S0	responder
que	que	CS	que
si	si	CS	si
faltase	faltase	VMSI0S0	faltar
en	en	SPS00	en
algo	algo	PI0CS000	algo
que	que	CS	que
la	la	PP3FSA00	lo
corrijiere	corrigiere	VMSF0S0	corregir
	,	Fc	,
pero	pero	CC	pero
que	que	CS	que
en	en	SPS00	en
punto	punto	NCMS000	punto
de	de	SPS00	de
sacar	sacar	VMN0000	sacar
la	la	DA0FS0	el
cara	cara	NCFS000	cara
por	por	SPS00	por
sus	sus	DP3CP0	su
hijos	hijos	NCMP000	hijo
que	que	CS	que
su	su	DP3CS0	su
merd	merced	NCFS000	merced
la	la	PP3FSA00	lo
avia	había	VMII0S0	haber
de	de	SPS00	de
sacar	sacar	VMN0000	sacar
	,	Fc	,
q	que	CS	que
nadie	nadie	PI0NN00N	nadie
avia	había	VMII0S0	haber
de	de	SPS00	de
hacer	hacer	VMN0000	hacer
burla	burla	NCFS000	burla
	.	Fp	.
y	Y	CC	y
que	que	CS	que
si	si	CS	si
nosotros	nosotros	PP1MP000	nosotros
obramos	obramos	VMIP1P0	obrar
mal	mal	RG	mal
	,	Fc	,
que	que	CS	que
por	por	SPS00	por
que	qué	PT0CN000	qué
no	no	RN	no
nos	nos	PP1CP000	nos
corregia	corregía	VMII0S0	corregir
	.	Fp	.
y	Y	CC	y
que	que	CS	que
no	no	RN	no
avia	había	VMII0S0	haber
de	de	SPS00	de
dar	dar	VMN0000	dar
lugar	lugar	NCMS000	lugar
de	de	SPS00	de
que	que	CS	que
el	el	DA0MS0	el
ama	ama	NCFS000	amo
nos	nos	PP1CP000	nos
avia	había	VMII0S0	haber
de	de	SPS00	de
corregir	corregir	VMN0000	corregir
	,	Fc	,
a	a	SPS00	a
q	que	CS	que
le	le	PP3CSD00	le
dixo	dijo	VMIS3S0	decir
a	a	SPS00	a
madre	madre	NCFS000	madre
que	que	CS	que
tenia	tenía	VMII0S0	tener
banidad	vanidad	NCFS000	vanidad
y	y	CC	y
soberbia	soberbia	NCFS000	soberbia
	.	Fp	.
esto	Esto	PD0NN000	esto
paso	pasó	VMIS3S0	pasar
seis	seis	Z	6
o	o	CC	o
siete	siete	Z	7
dias	días	NCMP000	día
de	de	SPS00	de
como	como	CS	como
vino	vino	VMIS3S0	venir
	,	Fc	,
y	y	CC	y
despues	después	RG	después
no	no	RN	no
ablado	hablado	VMP0000	hablar
palabra	palabra	NCFS000	palabra
ni	ni	CC	ni
se	se	P00CN000	se
a	ha	VAIP3S0	haber
metido	metido	VMP0000	meter
en	en	SPS00	en
nada	nada	PI0NN00N	nada
	.	Fp	.
y	Y	CC	y
madre	madre	NCFS000	madre
se	se	P00CN000	se
cofiesa	confiesa	VMIP3S0	confesar
con	con	SPS00	con
el	él	PP3MS000	él
y	y	CC	y
se	se	P00CN000	se
corre	corre	VMIP3S0	correr
como	como	CS	como
antes	antes	RG	antes
.	.	Fp	.
Passo	Pasó	VMIS3S0	pasar
Miguel	Miguel	NP00000	miguel
Moreno	Moreno	NP00000	moreno
a	a	SPS00	a
tasar	tasar	VMN0000	tasar
las	las	DA0FP0	el
perdidas	pérdidas	NCFP000	pérdida
de	de	SPS00	de
la	la	DA0FS0	el
presa	presa	NCFS000	presa
	,	Fc	,
molino	molino	NCMS000	molino
y	y	CC	y
casa	casa	NCFS000	casa
y	y	CC	y
las	las	DA0FP0	el
del	del	SPS00+DA0MS0	de+el
molino	molino	NCMS000	molino
y	y	CC	y
presa	presa	NCFS000	presa
	.	Fp	.
taso	Tasó	VMIS3S0	tasar
todo	todo	PI0MS000	todo
en	en	SPS00	en
60	60	Z	60
rs	reales	NCMP000	real
y	y	CC	y
las	las	DA0FP0	el
de	de	SPS00	de
casa	casa	NCFS000	casa
en	en	SPS00	en
600	600	Z	600
rs	reales	NCMP000	real
	,	Fc	,
que	que	CS	que
con	con	SPS00	con
todas	todas	DI0FP0	todo
las	las	DA0FP0	el
mejoras	mejoras	NCFP000	mejora
de	de	SPS00	de
corte	corte	NCFS000	corte
	,	Fc	,
galinero	gallinero	NCMS000	gallinero
y	y	CC	y
solana	solana	NCFS000	solana
tiene	tiene	VMIP3S0	tener
de	de	SPS00	de
perdidas	pérdidas	NCFP000	pérdida
la	la	DA0FS0	el
cassa	casa	NCFS000	casa
100	100	Z	100
rs	reales	NCMP000	real
	,	Fc	,
porque	porque	CS	porque
las	las	DA0FP0	el
mejoras	mejoras	NCFP000	mejora
de	de	SPS00	de
lo	lo	DA0NS0	el
que	que	PR0CN000	que
se	se	P00CN000	se
hizo	hizo	VMIS3S0	hacer
lo	lo	PP3CNA00	lo
taso	tasó	VMIS3S0	tasar
en	en	SPS00	en
200	200	Z	200
rs	reales	NCMP000	real
	,	Fc	,
para	para	VMIP3S0	parar
lo	lo	PP3CNA00	lo
qual	cual	CC	cual
avisaras	avisarás	VMIF2S0	avisar
lo	lo	DA0NS0	el
que	que	PR0CN000	que
emos	hemos	VMIP1P0	haber
de	de	SPS00	de
executar	ejecutar	VMN0000	ejecutar
para	para	SPS00	para
dar	dar	VMN0000	dar
satisfacion	satisfacción	NCFS000	satisfacción
al	al	SPS00+DA0MS0	a+el
sr	señor	NP00000	señor
vicario	vicario	NCMS000	vicario
.	.	Fp	.
El	El	DA0MS0	el
pe	padre	NCMS000	padre
mateo	Mateo	NP00000	mateo
no	no	RN	no
se	se	P00CN000	se
ha	ha	VAIP3S0	haber
hecho	hecho	VMP0000	hacer
porque	porque	CS	porque
el	el	DA0MS0	el
tiempo	tiempo	NCMS000	tiempo
no	no	RN	no
a	ha	VAIP3S0	haber
dado	dado	VMP0000	dar
lugar	lugar	NCMS000	lugar
y	y	CC	y
con	con	SPS00	con
la	la	DA0FS0	el
ocupacion	ocupación	NCFS000	ocupación
del	del	SPS00+DA0MS0	de+el
sr	señor	NP00000	señor
visitador	visitador	NCMS000	visitador
	,	Fc	,
de	de	SPS00	de
que	que	CS	que
luego	luego	RG	luego
que	que	CS	que
aia	haya	VMSP0S0	haber
lugar	lugar	NCMS000	lugar
pasare	pasaré	VMIF1S0	pasar
a	a	SPS00	a
Monhernando	Mohernando	NP00000	mohernando
.	.	Fp	.
El	El	DA0MS0	el
sr	señor	NP00000	señor
vicario	vicario	NCMS000	vicario
me	me	PP1CS000	me
embio	envió	VMIS3S0	enviar
un	un	DI0MS0	uno
papel	papel	NCMS000	papel
para	para	SPS00	para
que	que	CS	que
te	te	PP2CS000	te
embiase	enviase	VMSI0S0	enviar
a	a	SPS00	a
decir	decir	VMN0000	decir
las	las	DA0FP0	el
deudas	deudas	NCFP000	deuda
que	que	PR0CN000	que
estas	estás	VMIP2S0	estar
debiendo	debiendo	VMG0000	deber
a	a	SPS00	a
