Ôpiniones	Opiniones	NCFP000	opinión
morales	morales	AQ0CP0	moral
,	,	Fc	,
probables	probables	NP00000	probables
en	en	SPS00	en
especulativo	especulativo	AQ0MS0	especulativo
y	y	CC	y
practico	práctico	AQ0MS0	práctico
por	por	SPS00	por
seguirlas	seguirlas	VMN0000+PP3FPA00	seguir+lo
gravissimos	gravísimos	AQSMP0	grave
autores	autores	NCMP000	autor
.	.	Fp	.
Abrazos	Abrazos	NCMP000	abrazo
,	,	Fc	,
ôsculos	ósculos	NCMP000	ósculo
,	,	Fc	,
compresiones	compresiones	NCFP000	compresión
de	de	SPS00	de
manos	manos	NCFP000	mano
y	y	CC	y
ôtras	otras	DI0FP0	otro
cosas	cosas	NCFP000	cosa
semejantes	semejantes	AQ0CP0	semejante
no	no	RN	no
obscenas	obscenas	AQ0FP0	obsceno
si	si	CS	si
se	se	P00CN000	se
hagan	hagan	VMSP3P0	hacer
tan	tan	RC	tan
solamente	solamente	RG	solamente
de	de	SPS00	de
oficio	oficio	NCMS000	oficio
ô	o	CC	o
de	de	SPS00	de
costumbre	costumbre	NCFS000	costumbre
de	de	SPS00	de
la	la	DA0FS0	el
patria	patria	NCFS000	patria
ô	o	CC	o
de	de	SPS00	de
amor	amor	NCMS000	amor
honesto	honesto	AQ0MS0	honesto
ô	o	CC	o
por	por	SPS00	por
causa	causa	NCFS000	causa
del	del	SPS00+DA0MS0	de+el
augmento	aumento	NCMS000	aumento
de	de	SPS00	de
la	la	DA0FS0	el
venebolencia	benevolencia	NCFS000	benevolencia
(	(	Fba	(
aunq	aunque	CS	aunque
nazca	nazca	VMSP0S0	nacer
venerea	venérea	AQ0FS0	venéreo
delectacion	delectación	NCFS000	delectación
mientras	mientras	RG	mientras
q	que	CS	que
en	en	SPS00	en
ella	ella	PP3FS000	él
no	no	RN	no
se	se	P00CN000	se
con-sienta	consienta	VMSP0S0	consentir
)	)	Fbt	)
no	no	RN	no
son	son	VSIP3P0	ser
pecados	pecados	NCMP000	pecado
.	.	Fp	.
Pero	Pero	CC	pero
si	si	CS	si
estas	estas	DD0FP0	este
cosas	cosas	NCFP000	cosa
se	se	P00CN000	se
hagan	hagan	VMSP3P0	hacer
por	por	SPS00	por
alguna	alguna	DI0FS0	alguno
venial	venial	AQ0CS0	venial
va-nidad	vanidad	NCFS000	vanidad
,	,	Fc	,
juego	juego	NCMS000	juego
,	,	Fc	,
curiosidad	curiosidad	NCFS000	curiosidad
,	,	Fc	,
liviandad	liviandad	NCFS000	liviandad
ô	o	CC	o
descoco	descoco	VMIP1S0	descocar
(	(	Fba	(
mientras	mientras	RG	mientras
q	que	CS	que
no	no	RN	no
sean	sean	VSSP3P0	ser
ô	o	CC	o
se	se	P00CN000	se
den	den	VMSP3P0	dar
por	por	SPS00	por
delectacion	delectación	NCFS000	delectación
venerea	venérea	AQ0FS0	venéreo
ni	ni	CC	ni
por	por	SPS00	por
causa	causa	NCFS000	causa
de	de	SPS00	de
ella	ella	PP3FS000	él
	,	Fc	,
aunq	aunque	CS	aunque
fuera	fuera	RG	fuera
de	de	SPS00	de
intencion	intención	NCFS000	intención
nazca	nazca	VMSP0S0	nacer
la	la	DA0FS0	el
tal	tal	RC	tal
delectacion	delectación	NCFS000	delectación
rechazada	rechazada	VMP00SF	rechazar
y	y	CC	y
para	para	SPS00	para
mayor	mayor	AQ0CS0	mayor
fuerza	fuerza	NCFS000	fuerza
suspendiendo	suspendiendo	VMG0000	suspender
las	las	DA0FP0	el
tales	tales	DD0CP0	tal
acziones	acciones	NCFP000	acción
)	)	Fbt	)
no	no	RN	no
exce-den	exceden	VMIP3P0	exceder
de	de	SPS00	de
culpa	culpa	NCFS000	culpa
venial	venial	AQ0CS0	venial
.	.	Fp	.
Estas	Estas	PD0FP000	este
cosas	cosas	NCFP000	cosa
combiene	conviene	VMIP3S0	convenir
â	a	SPS00	a
saber	saber	VMN0000	saber
,	:	Fd	:
osculos	ósculos	NCMP000	ósculo
y	y	CC	y
abrazos	abrazos	NCMP000	abrazo
de	de	SPS00	de
si	sí	RG	sí
no	no	RN	no
son	son	VSIP3P0	ser
pecados	pecados	NCMP000	pecado
como	como	CS	como
licitamte	lícitamente	RG	lícitamente
se	se	P00CN000	se
hagan	hagan	VMSP3P0	hacer
sin	sin	SPS00	sin
especie	especie	NCFS000	especie
de	de	SPS00	de
luxuria	lujuria	NCFS000	lujuria
	,	Fc	,
aunq	aunque	CS	aunque
en	en	SPS00	en
ellos	ellos	PP3MP000	ellos
se	se	P00CN000	se
exercite	ejercite	VMIP3S0	ejerciter
alguna	alguna	DI0FS0	alguno
sensual	sensual	AQ0CS0	sensual
delectacion	delectación	NCFS000	delectación
	,	Fc	,
mientras	mientras	RG	mientras
no	no	RN	no
se	se	P00CN000	se
reciva	reciba	VMSP0S0	recibir
ni	ni	CC	ni
se	se	P00CN000	se
permita	permita	VMSP0S0	permitir
.	.	Fp	.
Porque	Porque	CS	porque
la	la	DA0FS0	el
dha	dicha	VMP00SF	decir
causa	causa	NCFS000	causa
es	es	VSIP3S0	ser
licita	lícita	AQ0FS0	lícito
y	y	CC	y
porq	porque	CS	porque
la	la	DA0FS0	el
delectacion	delectación	NCFS000	delectación
no	no	RN	no
recivida	recibida	VMP00SF	recibir
acontece	acontece	VMIP3S0	acontecer
fuera	fuera	RG	fuera
