Señor	Señor	NP00000	señor
D	don	NP00000	don
Joseph	José	NP00000	josé
:	,	Fc	,
ânoche	anoche	RG	anoche
me	me	PP1CS000	me
dieron	dieron	VMIS3P0	dar
un	un	DI0MS0	uno
papel	papel	NCMS000	papel
de	de	SPS00	de
quien	quien	PR0CS000	quien
apenas	apenas	RG	apenas
conozco	conozco	VMIP1S0	conocer
por	por	SPS00	por
ser	ser	VSN0000	ser
yo	yo	PP1CSN00	yo
totalmte	totalmente	RG	totalmente
desconocido	desconocido	NCMS000	desconocido
.	.	Fp	.
No	No	RN	no
obstante	obstante	RG	obstante
	,	Fc	,
hè	he	VAIP1S0	haber
venido	venido	VMP0000	venir
en	en	SPS00	en
conocimto	conocimiento	NCMS000	conocimiento
de	de	SPS00	de
quien	quien	PR0CS000	quien
es	es	VSIP3S0	ser
,	,	Fc	,
lo	lo	DA0NS0	el
que	que	PR0CN000	que
infiero	infiero	VMIP1S0	inferir
de	de	SPS00	de
su	su	DP3CS0	su
mismo	mismo	AQ0MS0	mismo
contexto	contexto	NCMS000	contexto
,	,	Fc	,
que	que	CS	que
es	es	VSIP3S0	ser
tal	tal	RC	tal
que	que	CS	que
â	a	SPS00	a
no	no	RN	no
sobrarme	sobrarme	VMN0000+PP1CS000	sobrar+me
el	el	DA0MS0	el
veneno	veneno	NCMS000	veneno
para	para	SPS00	para
morir	morir	VMN0000	morir
me	me	PP1CS000	me
fuera	fuera	VSSI0S0	ser
suficiente	suficiente	AQ0CS0	suficiente
tosigo	tósigo	NCMS000	tósigo
para	para	SPS00	para
acabar	acabar	VMN0000	acabar
.	.	Fp	.
Discurro	Discurro	VMIP1S0	discurrir
que	que	CS	que
ès	es	VSIP3S0	ser
el	el	DA0MS0	el
insinuado	insinuado	VMP00SM	insinuar
papel	papel	NCMS000	papel
de	de	SPS00	de
una	una	DI0FS0	uno
muger	mujer	NCFS000	mujer
,	.	Fp	.
no	No	RN	no
lo	lo	PP3CNA00	lo
fuera	fuera	VSSI0S0	ser
si	si	CS	si
no	no	RN	no
viniera	viniera	VMSI0S0	venir
rebozado	rebozado	NCMS000	rebozado
con	con	SPS00	con
tantas	tantas	DI0FP0	tanto
patentes	patentes	NCFP000	patente
ficziones	ficciones	NCFP000	ficción
.	.	Fp	.
En	En	SPS00	en
fin	fin	NCMS000	fin
,	,	Fc	,
yo	yo	PP1CSN00	yo
no	no	RN	no
puedo	puedo	VMIP1S0	poder
responderla	responderla	VMN0000+PP3FSA00	responder+lo
por	por	SPS00	por
haber	haber	VAN0000	haber
hecho	hecho	VMP0000	hacer
juramto	juramento	NCMS000	juramento
de	de	SPS00	de
no	no	RN	no
escrivirla	escribirla	VMN0000+PP3FSA00	escribir+lo
	;	Fx	;
