Illmo	Ilustrísimo	AQSMS0	ilustre
Sor	señor	NP00000	señor
	.	Fp	.
Señor	Señor	NP00000	señor
	.	Fp	.
He	He	VAIP1S0	haber
sido	sido	VSP0000	ser
requerido	requerido	VMP00SM	requerir
con	con	SPS00	con
un	un	DI0MS0	uno
Auto	auto	NCMS000	auto
del	del	SPS00+DA0MS0	de+el
Visitador	visitador	NCMS000	visitador
	,	Fc	,
cura	cura	NCMS000	cura
de	de	SPS00	de
la	La	DA0FS0	el
Roda	Roda	NP00000	roda
,	,	Fc	,
cuya	cuya	PU0FS000	cuyo
copia	copia	NCFS000	copia
remito	remito	VMIP1S0	remitir
adjunta	adjunta	AQ0FSP	adjunto
,	.	Fc	,
y	Y	CC	y
por	por	SPS00	por
allarme	hallarme	VMN0000+PP1CS000	hallar+me
accidentado	accidentado	VMP00SM	accidentar
en	en	SPS00	en
cama	cama	NCFS000	cama
,	,	Fc	,
no	no	RN	no
escrivi	escribí	VMIS1S0	escribir
immediatamte	inmediatamente	RG	inmediatamente
a	a	SPS00	a
VS	VSa	NP00000	VSa
I	ilustrísima	AQSFS0	ilustre
y	y	CC	y
aora	ahora	RG	ahora
	,	Fc	,
aunque	aunque	CS	aunque
con	con	SPS00	con
travaxo	trabajo	NCMS000	trabajo
	,	Fc	,
lo	lo	PP3CNA00	lo
executo	ejecuto	VMIP1S0	ejecutar
,	.	Fp	.
y	Y	CC	y
para	para	SPS00	para
satisfacer	satisfacer	VMN0000	satisfacer
contra	contra	SPS00	contra
su	su	DP3CS0	su
contenido	contenido	NCMS000	contenido
,	,	Fc	,
es	es	VSIP3S0	ser
preciso	preciso	AQ0MS0	preciso
hazer	hacer	VMN0000	hacer
memoria	memoria	NCFS000	memoria
del	del	SPS00+DA0MS0	de+el
caso	caso	NCMS000	caso
de	de	SPS00	de
Ma-ria	María	NP00000	maría
de	de	SPS00	de
Almagro	Almagro	NP00000	almagro
,	,	Fc	,
sobre	sobre	SPS00	sobre
cuyo	cuyo	PU0MS000	cuyo
asunto	asunto	NCMS000	asunto
se	se	P00CN000	se
dirige	dirige	VMIP3S0	dirigir
dho	dicho	VMP00SM	decir
Auto	auto	NCMS000	auto
;	.	Fp	.
Asi	Así	RG	así
como	como	CS	como
este	éste	PD0MS000	este
sucedio	sucedió	VMIS3S0	suceder
	,	Fc	,
escrivi	escribí	VMIS1S0	escribir
a	a	SPS00	a
VS	VSa	NP00000	VSa
I	ilustrísima	AQSFS0	ilustre
y	y	CC	y
se	se	P00CN000	se
hizo	hizo	VMIS3S0	hacer
in-formacion	información	NCFS000	información
:	.	Fp	.
escrivi	Escribí	VMIS1S0	escribir
tambien	también	RG	también
