AVe	Ave	I	ave
maria	María	NP00000	maría
Sor	Señor	NP00000	señor
Don	don	NP00000	don
Juan	Juan	NP00000	juan
	.	Fp	.
Repito	Repito	VMIP1S0	repetir
esta	ésta	PD0FS000	este
porque	porque	CS	porque
nos	nos	PP1CP000	nos
haze	hace	VMIP3S0	hacer
estar	estar	VMN0000	estar
con	con	SPS00	con
mucho	mucho	RQ	mucho
cuida	cuidado	NCMS000	cuidado
su	su	DP3CS0	su
mucha	mucha	DI0FS0	mucho
detenzion	detención	NCFS000	detención
	.	Fp	.
Dios	Dios	NP00000	dios
quiera	quiera	VMSP0S0	querer
no	no	RN	no
sea	sea	VSSP0S0	ser
por	por	SPS00	por
falta	falta	NCFS000	falta
de	de	SPS00	de
salud	salud	NCFS000	salud
,	.	Fp	.
en	En	SPS00	en
mi	mi	DP1CSS	mi
Sra	señora	NP00000	señor
Doña	doña	NP00000	don
Rosa	Rosa	NP00000	rosa
no	no	RN	no
ai	hay	VMIP3S0	haber
nodedad	novedad	NCFS000	novedad
ninguna	ninguna	DI0FS0	ninguno
en	en	SPS00	en
la	la	DA0FS0	el
salud	salud	NCFS000	salud
ni	ni	CCN	ni
en	en	SPS00	en
los	los	DA0MP0	el
demas	demás	PI0CP000	demás
	,	Fc	,
solamente	solamente	RG	solamente
en	en	SPS00	en
mariquita	Mariquita	NP00000	mariquita
	,	Fc	,
que	que	PR0CN000	que
algunos	algunos	DI0MP0	alguno
Ratos	ratos	NCMP000	rato
se	se	P00CN000	se
pone	pone	VMIP3S0	poner
mala	mala	AQ0FS0	malo
y	y	CC	y
lo	lo	DA0NS0	el
mas	más	RC	más
es	es	VSIP3S0	ser
de	de	SPS00	de
aflijirse	afligirse	VMN0000+P00CN000	afligir+se
biendo	viendo	VMG0000	ver
que	que	CS	que
Vmd	VM	NP00000	VM
no	no	RN	no
biene	viene	VMIP3S0	venir
y	y	CC	y
no	no	RN	no
saberr	saber	VMN0000	saber
en	en	SPS00	en
que	qué	PT0CN000	qué
consiste	consiste	VMIP3S0	consistir
,	.	Fp	.
y	Y	CC	y
asi	así	RG	así
bengase	véngase	VMSP0S0+P00CN000	venir+se
Vmd	VM	NP00000	VM
i	y	CC	y
dejelo	déjelo	VMSP0S0+PP3CNA00	dejar+lo
todo	todo	DI0MS0	todo
quanto	cuanto	PA000000	cuanto
pueda	pueda	VMSP0S0	poder
har	haber	VAN0000	haber
ocuRido	ocurrido	VMP0000	ocurrir
,	,	Fc	,
si	si	CS	si
puede	puede	VMIP3S0	poder
dejarlo	dejarlo	VMN0000+PP3CNA00	dejar+lo
,	,	Fc	,
porque	porque	CS	porque
todo	todo	PI0MS000	todo
se	se	P00CN000	se
nos	nos	PP1CP000	nos
ba	va	VMIP3S0	ir
en	en	SPS00	en
azer	hacer	VMN0000	hacer
Juisios	juicios	NCMP000	juicio
	(	Fba	(
si	si	CS	si
sera	será	VSIF3S0	ser
esto	esto	PD0NN000	esto
o	o	CC	o
si	si	CS	si
sera	será	VSIF3S0	ser
lo	lo	DA0NS0	el
otro	otro	PI0MS000	otro
,	)	Fbt	)
y	y	CC	y
en	en	SPS00	en
el	el	DA0MS0	el
lugar	lugar	NCMS000	lugar
sera	será	VSIF3S0	ser
lo	lo	DA0NS0	el
mismo	mismo	AQ0MS0	mismo
	,	Fc	,
aunque	aunque	CS	aunque
yo	yo	PP1CSN00	yo
no	no	RN	no
e	he	VAIP1S0	haber
odido	oído	VMP0000	oír
nada	nada	PI0NN00N	nada
,	.	Fp	.
mi	Mi	DP1CSS	mi
Sra	señora	NP00000	señor
Doña	doña	NP00000	don
Rosa	Rosa	NP00000	rosa
esta	está	VMIP3S0	estar
con	con	SPS00	con
mucho	mucho	DI0MS0	mucho
sentimiento	sentimiento	NCMS000	sentimiento
por	por	SPS00	por
no	no	RN	no
saver	saber	VMN0000	saber
en	en	SPS00	en
que	qué	PT0CN000	qué
consiste	consiste	VMIP3S0	consistir
el	el	DA0MS0	el
no	no	RN	no
benir	venir	VMN0000	venir
,	.	Fp	.
por	Por	SPS00	por
haca	acá	RG	acá
no	no	RN	no
ai	hay	VMIP3S0	haber
nobedad	novedad	NCFS000	novedad
ninguna	ninguna	DI0FS0	ninguno
;	.	Fp	.
a	A	SPS00	a
las	las	DA0FP0	el
mulas	mulas	NCFP000	mulo
se	se	P00CN000	se
les	les	PP3CPD00	le
acava	acaba	VMIP3S0	acabar
el	el	DA0MS0	el
berde	verde	NCMS000	verde
,	;	Fx	;
si	si	CS	si
no	no	RN	no
binesen	viniesen	VMSI3P0	venir
presto	presto	RG	presto
	,	Fc	,
abisar	avisar	VMN0000	avisar
de	de	SPS00	de
lo	lo	DA0NS0	el
que	que	PR0CN000	que
se	se	P00CN000	se
a	ha	VMIP3S0	haber
de	de	SPS00	de
zer	hacer	VMN0000	hacer
con	con	SPS00	con
ellas	ellas	PP3FP000	ellos
;	.	Fp	.
a	A	SPS00	a
Juan	Juan	NP00000	juan
Antonio	Antonio	NP00000	antonio
que	que	CS	que
los	los	DA0MP0	el
azafranales	azafranales	NCMP000	azafranal
se	se	P00CN000	se
estan	están	VMIP3P0	estar
por	por	SPS00	por
cabar	cavar	VMN0000	cavar
por	por	SPS00	por
no	no	RN	no
aber	haber	VMN0000	haber
con	con	SPS00	con
que	qué	PT0CN000	qué
,	.	Fp	.
y	Y	CC	y
Zeso	ceso	VMIP1S0	cesar
y	y	CC	y
no	no	RN	no
de	de	SPS00	de
Rogar	rogar	VMN0000	rogar
a	a	SPS00	a
Dios	Dios	NP00000	dios
le	le	PP3CSD00	le
guarde	guarde	VMSP0S0	guardar
a	a	SPS00	a
Vmd	VM	NP00000	VM
m	muchos	DI0MP0	mucho
a	años	NCMP000	año
i	y	CC	y
que	que	CS	que
benga	venga	VMSP0S0	venir
presto	presto	RG	presto
	.	Fp	.
Minaia	Minaya	NP00000	minaya
	,	Fc	,
29	29	Z	29
de	de	SPS00	de
1754	1754	Z	1754
a	años	NCMP000	año
	.	Fp	.
de	De	SPS00	de
Vmd	VM	NP00000	VM
ex	ex	NP00000	VM
corde	corde	NP00000	VM
que	que	PR0CN000	que
S	su	DP3CS0	su
M	mano	NCFS000	mano
Bsa	besa	VMIP3S0	besar
i	y	CC	y
ber	ver	VMN0000	ver
desea	desea	VMIP3S0	desear
	.	Fp	.
fr	Fray	NP00000	fray
fran	Francisco	NP00000	francisco
de	de	SPS00	de
Almagro	Almagro	NP00000	almagro
Sor	Señor	NP00000	señor
Don	don	NP00000	don
Juan	Juan	NP00000	juan
Antonio	Antonio	NP00000	antonio
SeRa	Serra	NP00000	serra
	.	Fp	.
Reziva	Reciba	VMSP0S0	recibir
Vmd	VM	NP00000	VM
i	y	CC	y
Juan	Juan	NP00000	juan
Antonio	Antonio	NP00000	antonio
memorias	memorias	NCFP000	memoria
de	de	SPS00	de
todos	todos	DI0MP0	todo
los	los	DA0MP0	el
que	que	PR0CN000	que
desean	desean	VMIP3P0	desear
ber	ver	VMN0000	ver
a	a	SPS00	a
Vmd	VM	NP00000	VM
.	.	Fp	.
despues	Después	RG	después
de	de	SPS00	de
escrita	escrita	VMP00SF	escribir
esta	ésta	PD0FS000	este
mariquita	Mariquita	NP00000	mariquita
se	se	P00CN000	se
a	ha	VAIP3S0	haber
puesto	puesto	VMP0000	poner
mala	mala	AQ0FS0	malo
,	.	Fp	.
discuRo	Discurro	VMIP1S0	discurrir
nos	nos	PP1CP000	nos
a	ha	VMIP3S0	haber
de	de	SPS00	de
dar	dar	VMN0000	dar
