Padre	Padre	NP00000	padre
	.	Fp	.
por	Por	SPS00	por
darle	darle	VMN0000+PP3CSD00	dar+le
a	a	SPS00	a
usted	usted	PP2CS000	usted
gusto	gusto	NCMS000	gusto
me	me	PP1CS000	me
animo	animo	VMIP1S0	animar
	,	Fc	,
no	no	RN	no
porque	porque	CS	porque
estoi	estoy	VMIP1S0	estar
para	para	SPS00	para
ello	ello	PD0NN000	ello
por	por	SPS00	por
lo	lo	DA0NS0	el
estenuada	extenuada	VMP00SF	extenuar
que	que	PR0CN000	que
me	me	PP1CS000	me
allo	hallo	VMIP1S0	hallar
de	de	SPS00	de
fuercas	fuerzas	NCFP000	fuerza
	.	Fp	.
i	Y	CC	y
arto	harto	RG	harto
e	he	VAIP1S0	haber
sentido	sentido	VMP0000	sentir
no	no	RN	no
poderlo	poderlo	VMN0000+PP3CNA00	poder+lo
acer	hacer	VMN0000	hacer
en	en	SPS00	en
las	las	DA0FP0	el
antecedentes	antecedentes	AQ0CP0	antecedente
	,	Fc	,
que	que	CS	que
bastantes	bastantes	DI0CP0	bastante
medios	medios	NCMP000	medio
puse	puse	VMIS1S0	poner
i	y	CC	y
me	me	PP1CS000	me
lo	lo	PP3CNA00	lo
inpidio	impidió	VMIS3S0	impedir
una	una	DI0FS0	uno
grande	grande	AQ0CS0	grande
angustia	angustia	NCFS000	angustia
	,	Fc	,
que	que	CS	que
no	no	RN	no
me	me	PP1CS000	me
beo	veo	VMIP1S0	ver
libre	libre	VMSP0S0	librar
de	de	SPS00	de
ellas	ellas	PP3FP000	ellos
,	,	Fc	,
nacidas	nacidas	VMP00PF	nacer
de	de	SPS00	de
unos	unos	DI0MP0	uno
copiosos	copiosos	AQ0MP0	copioso
sudores	sudores	NCMP000	sudor
de	de	SPS00	de
medio	medio	AQ0MS0	medio
cuerpo	cuerpo	NCMS000	cuerpo
aRiba	arriba	RG	arriba
i	y	CC	y
lo	lo	DA0NS0	el
Restante	restante	NCMS000	restante
d	de	SPS00	de
el	él	PP3MS000	él
frio	frío	AQ0MS0	frío
como	como	CS	como
un	un	DI0MS0	uno
marmol	mármol	NCMS000	mármol
	,	Fc	,
por	por	SPS00	por
lo	lo	DA0NS0	el
que	que	PR0CN000	que
me	me	PP1CS000	me
allo	hallo	VMIP1S0	hallar
para	para	SPS00	para
morir	morir	VMN0000	morir
cada	cada	DI0CN0	cada
istante	instante	NCMS000	instante
	,	Fc	,
cercada	cercada	VMP00SF	cercar
de	de	SPS00	de
mil	mil	Z	1000
congogas	congojas	NCFP000	congoja
por	por	SPS00	por
berme	verme	VMN0000+PP1CS000	ver+me
desanparada	desamparada	VMP00SF	desamparar
de	de	SPS00	de
todo	todo	DI0MS0	todo
consuelo	consuelo	NCMS000	consuelo
en	en	SPS00	en
lo	lo	DA0NS0	el
espiritual	espiritual	AQ0CS0	espiritual
i	y	CC	y
corporal	corporal	AQ0CS0	corporal
,	.	Fp	.
despues	Después	RG	después
de	de	SPS00	de
escrito	escrito	VMP00SM	escribir
esto	esto	PD0NN000	esto
	,	Fc	,
Recibo	recibo	VMIP1S0	recibir
la	la	DA0FS0	el
esquela	esquela	NCFS000	esquela
i	y	CC	y
me	me	PP1CS000	me
alegro	alegro	VMIP1S0	alegrar
de	de	SPS00	de
el	el	DA0MS0	el
consuelo	consuelo	NCMS000	consuelo
que	que	PR0CN000	que
usted	usted	PP2CS000	usted
