AMigo	Amigo		
Y	y		
hermano	hermano		
de	de		
mi	mi		
Corazon	corazón		
	.		
la	La		
oCasion	ocasión		
de	de		
aber	haber		
otorgado	otorgado		
aqui	aquí		
poDer	poder		
a	a		
Dn	don		
Diego	Diego		
Carandia	Carandia		
para	para		
que	que		
	,		
si	si		
Dios	Dios		
fuere	fuere		
serbido	servido		
darme	darme		
la	la		
muerte	muerte		
	,		
lo	lo		
que	que		
llevo	llevo		
no	no		
se	se		
pierda	pierda		
ni	ni		
quede	quede		
sino	sino		
Con	con		
bastante	bastante		
seguridad	seguridad		
me	me		
a	ha		
parezido	parecido		
el	el		
partiziparlo	participarlo		
A	a		
Vmd	VM		
y	y		
darle	darle		
notizias	noticias		
por	por		
estenso	extenso		
de	de		
todo	todo		
	,		
Como	como		
boy	voy		
obilgado	obligado		
.	.		
no	No		
aY	hay		
que	que		
reparar	reparar		
en	en		
lo	lo		
que	que		
susCribe	suscribe		
	,		
que	que		
aseguro	aseguro		
se	se		
alla	halla		
el	el		
lego	lego		
medio	medio		
aturdido	aturdido		
Como	como		
todos	todos		
	.		
Asi	Así		
	,		
lo	lo		
que	que		
por	por		
esta	ésta		
se	se		
ofreze	ofrece		
es	es		
que	que		
el	el		
podre	poder		
que	que		
le	le		
otorgue	otorgué		
fue	fue		
para	para		
que	que		
	,		
si	si		
aCaso	acaso		
Yo	yo		
muero	muero		
	,		
pueda	pueda		
testar	testar		
Como	como		
Yo	yo		
mis	mismo		
lo	lo		
hiziera	hiciera		
y	y		
Con	con		
la	la		
Azbertenzia	advertencia		
que	que		
de	de		
los	los		
Rs	reales		
que	que		
hallare	hallare		
por	por		
fin	fin		
y	y		
muerte	muerte		
mia	mía		
Aya	haya		
de	de		
Cunplir	cumplir		
y	y		
Cunpla	cumpla		
Con	con		
lo	lo		
que	que		
Contiene	contiene		
una	una		
memoria	memoria		
que	que		
parezera	parecerá		
en	en		
mi	mi		
Casa	casa		
	,		
esCrita	escrita		
y	y		
firmada	firmada		
de	de		
Vmd	VM		
	.		
y	Y		
esto	esto		
que	que		
sea	sea		
lo	lo		
primero	primero		
que	que		
se	se		
obre	obre		
	,		
Como	como		
el	el		
dar	dar		
las	las		
Cartas	cartas		
	,		
poder	poder		
y	y		
esCripturas	escrituras		
e	en		
mano	mano		
propia	propia		
A	a		
Dn	don		
Diego	Diego		
de	de		
possada	Posada		
y	y		
a	a		
to	Toribio		
de	de		
noriega	Noriega		
	,		
de	de		
unquera	Unquera		
	,		
mi	mi		
tio	tío		
	,		
y	y		
no	no		
a	a		
otro	otro		
ninguno	ninguno		
	.		
y	Y		
que	que		
de	de		
todo	todo		
lo	lo		
que	que		
Yo	yo		
hiziera	hiciera		
Y	y		
are	haré		
si	si		
Dios	Dios		
me	me		
presta	presta		
la	la		
bida	vida		
	,		
remito	remito		
una	una		
memoria	memoria		
y	y		
era	era		
dentro	dentro		
de	de		
una	una		
Carta	carta		
	;		
que	que		
se	se		
remita	remita		
lugo	luego		
que	que		
la	la		
flota	flota		
llegue	llegue		
a	a		
toribio	Toribio		
de	de		
noriega	Noriega		
	,		
mi	mi		
tio	tío		
	,		
Con	con		
las	las		
demas	demás		
Cartas	cartas		
que	que		
ban	van		
para	para		
su	su		
merzed	merced		
	.		
y	Y		
es	es		
todo	todo		
en	en		
Casso	caso		
q	que		
Yo	yo		
muera	muera		
	,		
que	que		
	,		
de	de		
no	no		
	,		
no	no		
se	se		
nezesita	necesita		
ni	ni		
tanpoco	tampoco		
espreso	expreso		
nada	nada		
en	en		
el	el		
poder	poder		
ni	ni		
digo	digo		
de	de		
uno	uno		
ni	ni		
otro	otro		
	,		
sino	sino		
que	que		
	,		
en	en		
birtud	virtud		
de	de		
el	el		
dho	dicho		
Dn	don		
Diego	Diego		
	,		
haga	haga		
y	y		
exeCute	ejecute		
lo	lo		
que	que		
le	le		
tengo	tengo		
Comunicado	comunicado		
y	y		
dejare	dejaré		
dho	dicho		
por	por		
una	una		
memoria	memoria		
que	que		
parezera	parecerá		
em	en		
mi	mi		
poder	poder		
	,		
esCrita	escrita		
y	y		
firmada	firmada		
de	de		
mi	mi		
mano	mano		
	.		
y	Y		
para	para		
el	el		
entregar	entregar		
los	los		
reales	reales		
que	que		
Vmd	VM		
me	me		
ordena	ordena		
me	me		
remito	remito		
a	a		
la	la		
que	que		
Junta	junta		
Con	con		
la	la		
mia	mía		
se	se		
allara	hallará		
de	de		
Vmd	VM		
	.		
y	Y		
para	para		
la	la		
eseCuzion	ejecución		
de	de		
todo	todo		
que	que		
sostituYa	sustituya		
el	el		
poder	poder		
en	en		
mi	mi		
Pe	parte		
y	y		
en	en		
toribio	Toribio		
de	de		
noriega	Noriega		
	,		
mi	mi		
tio	tío		
	,		
para	para		
q	que		
agan	hagan		
Y	y		
Cunplan	cumplan		
lo	lo		
que	que		
les	les		
espreso	expreso		
en	en		
la	la		
memoria	memoria		
que	que		
ba	va		
zerada	cerrada		
.	.		
esto	Esto		
me	me		
parezio	pareció		
Conbeniente	conveniente		
A	a		
bista	vista		
de	de		
lo	lo		
que	que		
beo	veo		
suzede	sucede		
aqui	aquí		
de	de		
que	que		
oY	hoy		
se	se		
allan	hallan		
los	los		
ombres	hombres		
buenos	buenos		
y	y		
