Dueño	Dueño	NCMS000	dueño
Y	y	CC	y
mui	muy	RQ	muy
Señor	señor	NP00000	señor
mio	mío	DP1MSS	mío
,	.	Fp	.
por	Por	SPS00	por
ausencia	ausencia	NCFS000	ausencia
De	de	SPS00	de
esta	esta	DD0FS0	este
villa	villa	NCFS000	villa
Rezivi	recibí	VMIS1S0	recibir
Retardada	retardada	VMP00SF	retardar
Una	una	DI0FS0	uno
de	de	SPS00	de
Vmd	VM	NP00000	VM
	(	Fba	(
Su	su	DP3CS0	su
fha	fecha	NCFS000	fecha
de	de	SPS00	de
29	29	Z	29
de	de	SPS00	de
Octubre	octubre	NCMS000	octubre
de	de	SPS00	de
el	el	DA0MS0	el
passade	pasado	NCMS000	pasado
de	de	SPS00	de
Seteztos	setecientos	NCMP000	seteciento
Y	y	CC	y
treze	trece	Z	13
	)	Fbt	)
,	.	Fp	.
tan	Tan	RC	tan
apreciable	apreciable	AQ0CS0	apreciable
pa	para	SPS00	para
mi	mí	PP1CSO00	mí
el	el	DA0MS0	el
Saber	saber	VMN0000	saber
noticias	noticias	NCFP000	noticia
de	de	SPS00	de
Su	su	DP3CS0	su
Salud	salud	NCFS000	salud
Como	como	CS	como
lo	lo	PP3CNA00	lo
ha	ha	VAIP3S0	haber
Sido	sido	VSP0000	ser
la	la	DA0FS0	el
expresson	expresión	NCFS000	expresión
	,	Fc	,
que	que	CS	que
pr	por	SPS00	por
la	la	DA0FS0	el
Suya	suya	PX3FS000	suyo
me	me	PP1CS000	me
previene	previene	VMIP3S0	prevenir
	,	Fc	,
de	de	SPS00	de
tan	tan	RC	tan
Repetidos	repetidos	VMP00PM	repetir
favores	favores	NCMP000	favor
Como	como	CS	como
Vmd	VM	NP00000	VM
me	me	PP1CS000	me
Conzede	concede	VMIP3S0	conceder
;	;	Fx	;
en	en	SPS00	en
Cumplimto	cumplimiento	NCMS000	cumplimiento
de	de	SPS00	de
los	los	DA0MP0	el
quales	cuales	PR0CP000	cual
Sustituyo	sustituyo	VMIP1S0	sustituir
mi	mi	DP1CSS	mi
Vuen	buen	AQ0MS0	bueno
Deseo	deseo	NCMS000	deseo
de	de	SPS00	de
tan	tan	RC	tan
devida	debida	VMP00SF	deber
Correspondencia	correspondencia	NCFS000	correspondencia
a	a	SPS00	a
la	la	DA0FS0	el
Satisfazon	satisfacción	NCFS000	satisfacción
de	de	SPS00	de
ellos	ellos	PP3MP000	ellos
,	,	Fc	,
en	en	SPS00	en
lo	lo	DA0NS0	el
que	que	PR0CN000	que
no	no	RN	no
puede	puede	VMIP3S0	poder
aVenturarse	aventurarse	VMN0000+P00CN000	aventurar+se
al	al	SPS00+DA0MS0	a+el
desempeño	desempeño	NCMS000	desempeño
mi	mi	DP1CSS	mi
Cortedad	cortedad	NCFS000	cortedad
	.	Fp	.
Con	Con	SPS00	con
la	la	DA0FS0	el
misma	misma	AQ0FS0	mismo
Voluntad	voluntad	NCFS000	voluntad
hago	hago	VMIP1S0	hacer
Rendimto	rendimiento	NCMS000	rendimiento
de	de	SPS00	de
la	la	DA0FS0	el
de	de	SPS00	de
mi	mi	DP1CSS	mi
Prima	prima	NCFS000	primo
Da	doña	NP00000	don
Josepha	Josefa	NP00000	josefa
Anta	Antonia	NP00000	antonia
de	de	SPS00	de
Possada	Posada	NCFS000	posada
por	por	SPS00	por
no	no	RN	no
poderla	poderla	VMN0000+PP3FSA00	poder+lo
haçer	hacer	VMN0000	hacer
pr	por	SPS00	por
mi	mi	DP1CSS	mi
hermano	hermano	NP00000	hermano
Dn	don	NP00000	don
facundo	Facundo	NP00000	facundo
por	por	SPS00	por
Ser	ser	VSN0000	ser
Ya	ya	RG	ya
Difunto	difunto	AQ0MS0	difunto
el	el	DA0MS0	el
pasado	pasado	NCMS000	pasado
de	de	SPS00	de
Seteztos	setecientos	NCMP000	seteciento
Y	y	CC	y
treze	trece	Z	13
;	.	Fp	.
pero	Pero	CC	pero
â	a	SPS00	a
Su	su	DP3CS0	su
estimazon	estimación	NCFS000	estimación
Sustituien	sustituyen	VMIP3P0	sustituir
los	los	DA0MP0	el
VerDaderos	verdaderos	NCMP000	verdadero
deseos	deseos	NCMP000	deseo
de	de	SPS00	de
mi	mi	DP1CSS	mi
Prima	prima	NCFS000	primo
,	,	Fc	,
de	de	SPS00	de
mi	mi	DP1CSS	mi
Madre	madre	NCFS000	madre
,	,	Fc	,
quienes	quienes	PR0CP000	quien
hazen	hacen	VMIP3P0	hacer
el	el	DA0MS0	el
agradezimto	agradecimiento	NCMS000	agradecimiento
que	que	PR0CN000	que
deVen	deben	VMIP3P0	deber
a	a	SPS00	a
tan	tan	RC	tan
Cortesano	cortesano	AQ0MS0	cortesano
prozeder	proceder	NCMS000	proceder
Como	como	CS	como
de	de	SPS00	de
Vmd	VM	NP00000	VM
experimentan	experimentan	VMIP3P0	experimentar
;	.	Fc	,
Siendo	Siendo	VSG0000	ser
yo	yo	PP1CSN00	yo
el	el	DA0MS0	el
mas	más	RC	más
principal	principal	AQ0CS0	principal
en	en	SPS00	en
la	la	DA0FS0	el
obligazon	obligación	NCFS000	obligación
de	de	SPS00	de
Satisfazer	satisfacer	VMN0000	satisfacer
tan	tan	RC	tan
Continuos	continuos	AQ0MP0	continuo
favores	favores	NCMP000	favor
y	y	CC	y
	,	Fc	,
Como	como	CS	como
tal	tal	RC	tal
	,	Fc	,
obligado	obligado	VMP00SM	obligar
por	por	SPS00	por
mi	mí	PP1CSO00	mí
,	,	Fc	,
por	por	SPS00	por
las	las	DA0FP0	el
personas	personas	NCFP000	persona
dhas	dichas	VMP00PF	decir
Y	y	CC	y
por	por	SPS00	por
los	los	DA0MP0	el
hermanos	hermanos	NCMP000	hermano
ausentes	ausentes	AQ0CP0	ausente
en	en	SPS00	en
el	el	DA0MS0	el
Reyno	reino	NCMS000	reino
de	de	SPS00	de
las	las	DA0FP0	el
Yndias	Indias	NP00000	indias
;	,	Fc	,
hago	hago	VMIP1S0	hacer
desde	desde	SPS00	desde
luego	luego	RG	luego
Rendimiento	rendimiento	NCMS000	rendimiento
a	a	SPS00	a
quanto	cuanto	PA000000	cuanto
Vmd	VM	NP00000	VM
fuere	fuere	VSSF0S0	ser
Servido	servido	VMP00SM	servir
de	de	SPS00	de
hordenarme	ordenarme	VMN0000+PP1CS000	ordenar+me
,	.	Fp	.
Y	Y	CC	y
pr	por	SPS00	por
mi	mi	DP1CSS	mi
muerte	muerte	NCFS000	muerte
ô	o	CC	o
ausencia	ausencia	NCFS000	ausencia
,	,	Fc	,
Si	si	CS	si
a	a	SPS00	a
Vmd	VM	NP00000	VM
Se	se	P00CN000	se
le	le	PP3CSD00	le
ofreziere	ofreciere	VMSF0S0	ofrecer
en	en	SPS00	en
este	este	DD0MS0	este
Pais	país	NCMS000	país
que	qué	PT0CN000	qué
mandar	mandar	VMN0000	mandar
,	,	Fc	,
lo	lo	PP3CNA00	lo
ejecutara	ejecutará	VMIF3S0	ejecutar
mi	mi	DP1CSS	mi
prima	prima	NCFS000	primo
en	en	SPS00	en
el	el	DA0MS0	el
mismo	mismo	AQ0MS0	mismo
modo	modo	NCMS000	modo
que	que	CS	que
Yo	yo	PP1CSN00	yo
.	.	Fp	.
Y	Y	CC	y
en	en	SPS00	en
quanto	cuanto	PA000000	cuanto
a	a	SPS00	a
las	las	DA0FP0	el
Cartas	cartas	NCFP000	carta
que	que	PR0CN000	que
a	a	SPS00	a
Vmd	VM	NP00000	VM
Remiti	remití	VMIS1S0	remitir
dentro	dentro	RG	dentro
de	de	SPS00	de
las	las	DA0FP0	el
de	de	SPS00	de
Dn	don	NP00000	don
franco	Francisco	NP00000	francisco
Barreda	Barreda	NP00000	barreda
	,	Fc	,
Suplico	suplico	VMIP1S0	suplicar
a	a	SPS00	a
Vmd	VM	NP00000	VM
las	las	PP3FPA00	lo
Remita	remita	VMSP0S0	remitir
Con	con	SPS00	con
el	el	DA0MS0	el
maior	mayor	AQ0CS0	mayor
Cuidado	cuidado	NCMS000	cuidado
que	que	PR0CN000	que
le	le	PP3CSD00	le
Sea	sea	VSSP0S0	ser
posible	posible	AQ0CS0	posible
a	a	SPS00	a
mi	mi	DP1CSS	mi
hermano	hermano	NP00000	hermano
Dn	don	NP00000	don
Pedro	Pedro	NP00000	pedro
de	de	SPS00	de
Mendoza	Mendoza	NP00000	mendoza
Y	y	CC	y
a	a	SPS00	a
los	los	DA0MP0	el
demas	demás	DI0CP0	demás
hermos	hermanos	NCMP000	hermano
	,	Fc	,
Dn	don	NP00000	don
Joseph	José	NP00000	josé
Y	y	CC	y
Dn	don	NP00000	don
Bartholome	Bartolomé	NP00000	bartolomé
de	de	SPS00	de
Mendoza	Mendoza	NP00000	mendoza
Y	y	CC	y
Don	don	NP00000	don
Balthassar	Baltasar	NP00000	baltasar
de	de	SPS00	de
Noriega	Noriega	NP00000	noriega
	,	Fc	,
porq	porque	CS	porque
Son	son	VSIP3P0	ser
Cartas	cartas	NCFP000	carta
de	de	SPS00	de
Grande	grande	AQ0CS0	grande
importe	importe	NCMS000	importe
Y	y	CC	y
a	a	SPS00	a
mis	mis	DP1CPS	mi
dhos	dichos	VMP00PM	decir
hermanos	hermanos	NCMP000	hermano
les	les	PP3CPD00	le
importan	importan	VMIP3P0	importar
mucho	mucho	RQ	mucho
,	.	Fp	.
Y	Y	CC	y
asi	así	RG	así
espero	espero	VMIP1S0	esperar
que	que	CS	que
a	a	SPS00	a
Vmd	VM	NP00000	VM
deveran	deberán	VMIF3P0	deber
el	el	DA0MS0	el
que	que	CS	que
Vayan	vayan	VMSP3P0	ir
Con	con	SPS00	con
prontitud	prontitud	NCFS000	prontitud
,	.	Fp	.
Y	Y	CC	y
no	no	RN	no
dudo	dudo	VMIP1S0	dudar
que	que	CS	que
	,	Fc	,
Siendo	siendo	VSG0000	ser
notiziosos	noticiosos	NCFP000	noticioso
de	de	SPS00	de
este	este	DD0MS0	este
favor	favor	NCMS000	favor
que	que	CS	que
Vmd	VM	NP00000	VM
les	les	PP3CPD00	le
haze	hace	VMIP3S0	hacer
	,	Fc	,
Corresponderan	corresponderán	VMIF3P0	corresponder
agradezidos	agradecidos	NCMP000	agradecido
,	,	Fc	,
Como	como	CS	como
yo	yo	PP1CSN00	yo
les	les	PP3CPD00	le
prebendre	prevendré	VMIF1S0	prevenir
en	en	SPS00	en
el	el	DA0MS0	el
Correo	correo	NCMS000	correo
q	que	PR0CN000	que
Viene	viene	VMIP3S0	venir
,	.	Fp	.
Y	Y	CC	y
Vmd	VM	NP00000	VM
me	me	PP1CS000	me
haga	haga	VMSP0S0	hacer
el	el	DA0MS0	el
gusto	gusto	NCMS000	gusto
de	de	SPS00	de
escrivirles	escribirles	VMN0000+PP3CPD00	escribir+le
Remitiendoles	remitiéndoles	VMG0000+PP3CPD00	remitir+le
esta	esta	DD0FS0	este
mesma	misma	AQ0FS0	mismo
Carta	carta	NCFS000	carta
pa	para	SPS00	para
q	que	CS	que
les	les	PP3CPD00	le
Conste	conste	VMSP0S0	constar
de	de	SPS00	de
el	el	DA0MS0	el
enCargo	encargo	NCMS000	encargo
q	que	CS	que
a	a	SPS00	a
Vmd	VM	NP00000	VM
hago	hago	VMIP1S0	hacer
Y	y	CC	y
de	de	SPS00	de
los	los	DA0MP0	el
muchos	muchos	DI0MP0	mucho
favores	favores	NCMP000	favor
q	que	CS	que
a	a	SPS00	a
Vmd	VM	NP00000	VM
todos	todos	DI0MP0	todo
devemos	debemos	VMIP1P0	deber
.	.	Fp	.
buelbo	Vuelvo	VMIP1S0	volver
a	a	SPS00	a
Repetir	repetir	VMN0000	repetir
,	,	Fc	,
por	por	SPS00	por
lo	lo	DA0NS0	el
mucho	mucho	RQ	mucho
que	que	PR0CN000	que
importa	importa	VMIP3S0	importar
a	a	SPS00	a
mi	mi	DP1CSS	mi
hermo	hermano	NP00000	hermano
Dn	don	NP00000	don
Pedro	Pedro	NP00000	pedro
de	de	SPS00	de
Mendoza	Mendoza	NP00000	mendoza
	,	Fc	,
el	el	DA0MS0	el
Cuidado	cuidado	NCMS000	cuidado
Con	con	SPS00	con
dirigir	dirigir	VMN0000	dirigir
Vien	bien	RG	bien
las	las	DA0FP0	el
Cartas	cartas	NCFP000	carta
pa	para	SPS00	para
que	que	CS	que
Vayan	vayan	VMSP3P0	ir
con	con	SPS00	con
toda	toda	DI0FS0	todo
Seguridad	seguridad	NCFS000	seguridad
a	a	SPS00	a
Sus	sus	DP3CP0	su
manos	manos	NCFP000	mano
.	.	Fp	.
Dn	Don	NP00000	don
franco	Francisco	NP00000	francisco
Barreda	Barreda	NP00000	barreda
me	me	PP1CS000	me
alienta	alienta	VMIP3S0	alentar
en	en	SPS00	en
esta	esta	DD0FS0	este
Confianza	confianza	NCFS000	confianza
,	,	Fc	,
Siendo	siendo	VSG0000	ser
mis	mis	DP1CPS	mi
prinzipales	principales	AQ0CP0	principal
alientos	alientos	NCMP000	aliento
el	el	DA0MS0	el
Seguro	seguro	NCMS000	seguro
q	que	PR0CN000	que
Vmd	VM	NP00000	VM
me	me	PP1CS000	me
haze	hace	VMIP3S0	hacer
en	en	SPS00	en
la	la	DA0FS0	el
Suia	suya	PX3FS000	suyo
.	.	Fp	.
Y	Y	CC	y
le	le	PP3CSD00	le
SuPlico	suplico	VMIP1S0	suplicar
tenga	tenga	VMSP0S0	tener
el	el	DA0MS0	el
cuidado	cuidado	NCMS000	cuidado
Con	con	SPS00	con
el	el	DA0MS0	el
primer	primer	AO0MS0	primero
nabio	navío	NCMS000	navío
de	de	SPS00	de
avisso	aviso	NCMS000	aviso
q	que	PR0CN000	que
Salga	salga	VMSP0S0	salir
Y	y	CC	y
Saver	saber	VMN0000	saber
Si	si	CSI	si
llega	llega	VMIP3S0	llegar
a	a	SPS00	a
feliz	feliz	AQ0CS0	feliz
arrivo	arribo	NCMS000	arribo
de	de	SPS00	de
la	la	DA0FS0	el
VeraCruz	Veracruz	NP00000	veracruz
O	o	CC	o
Si	si	CS	si
Se	se	P00CN000	se
pierde	pierde	VMIP3S0	perder
en	en	SPS00	en
el	el	DA0MS0	el
camino	camino	NCMS000	camino
pr	por	SPS00	por
Vorrasca	borrasca	NCFS000	borrasca
	,	Fc	,
tempestad	tempestad	NCFS000	tempestad
,	,	Fc	,
Cautiverio	cautiverio	NCMS000	cautiverio
U	u	CC	o
otro	otro	PI0MS000	otro
qualquier	cualquier	DI0CS0	cualquier
naufragio	naufragio	NCMS000	naufragio
q	que	PR0CN000	que
le	le	PP3CSD00	le
pueda	pueda	VMSP0S0	poder
Suzeder	suceder	VMN0000	suceder
,	.	Fp	.
Y	Y	CC	y
Ruego	ruego	VMIP1S0	rogar
q	que	CS	que
Sea	sea	VSSP0S0	ser
noticioso	noticioso	NCMS000	noticioso
	;	Fx	;
nos	nos	PP1CP000	nos
lo	lo	PP3CNA00	lo
avise	avise	VMSP0S0	avisar
a	a	SPS00	a
Dn	don	NP00000	don
franco	Francisco	NP00000	francisco
Barreda	Barreda	NP00000	barreda
	,	Fc	,
Su	su	DP3CS0	su
tio	tío	NCMS000	tío
	,	Fc	,
Y	y	CC	y
a	a	SPS00	a
mi	mí	PP1CSO00	mí
;	,	Fc	,
porque	porque	CS	porque
nos	nos	PP1CP000	nos
importa	importa	VMIP3S0	importar
el	el	DA0MS0	el
Saverlo	saberlo	VMN0000+PP3MSA00	saber+lo
,	;	Fx	;
Y	y	CC	y
lo	lo	DA0NS0	el
q	que	PR0CN000	que
mas	más	RC	más
nos	nos	PP1CP000	nos
importa	importa	VMIP3S0	importar
el	el	DA0MS0	el
que	que	CS	que
arrive	arribe	VMSP0S0	arribar
con	con	SPS00	con
felizidad	felicidad	NCFS000	felicidad
a	a	SPS00	a
la	la	DA0FS0	el
nueba	Nueva	AQ0FS0	nuevo
españa	España	NP00000	españa
Y	y	CC	y
q	que	CS	que
las	las	DA0FP0	el
Cartas	cartas	NCFP000	carta
lleguen	lleguen	VMSP3P0	llegar
a	a	SPS00	a
poder	poder	NCMS000	poder
de	de	SPS00	de
mi	mi	DP1CSS	mi
hermo	hermano	NP00000	hermano
Dn	don	NP00000	don
Pedro	Pedro	NP00000	pedro
Sin	sin	SPS00	sin
descuido	descuido	NCMS000	descuido
;	.	Fp	.
y	Y	CC	y
no	no	RN	no
dude	dude	VMSP0S0	dudar
Vmd	VM	NP00000	VM
el	el	DA0MS0	el
que	que	CS	que
algun	algún	DI0MS0	alguno
dia	día	NCMS000	día
Sera	será	VSIF3S0	ser
tambien	también	RG	también
Vmd	VM	NP00000	VM
gustoso	gustoso	AQ0MS0	gustoso
a	a	SPS00	a
lo	lo	DA0NS0	el
menos	menos	RC	menos
pr	por	SPS00	por
lo	lo	DA0NS0	el
de	de	SPS00	de
Pariente	pariente	NCMS000	pariente
,	,	Fc	,
Amigo	amigo	NP00000	amigo
,	,	Fc	,
afecto	afecto	NCMS000	afecto
Y	y	CC	y
favorezedor	favorecedor	NCMS000	favorecedor
Nro	nuestro	PX1MS0P0	nuestro
	.	Fc	,
hasta	Hasta	SPS00	hasta
el	el	DA0MS0	el
otro	otro	DI0MS0	otro
Correo	correo	NCMS000	correo
,	.	Fp	.
a	A	SPS00	a
Dios	Dios	NP00000	dios
q	que	CS	que
gude	guarde	VMSP0S0	guardar
a	a	SPS00	a
Vmd	VM	NP00000	VM
	.	Fp	.
llanes	Llanes	NP00000	llanes
	,	Fc	,
Y	y	CC	y
heno	enero	NCMS000	enero
9	9	Z	9
de	de	SPS00	de
1719	1719	Z	1719
.	.	Fp	.
B	Besa	VMIP3S0	besar
l	la	DA0FS0	el
mo	mano	NCFS000	mano
de	de	SPS00	de
Vmd	VM	NP00000	VM
Su	su	DP3CS0	su
ms	más	RC	más
affecto	afecto	NCMS000	afecto
Deudo	deudo	NCMS000	deudo
	,	Fc	,
Amigo	amigo	NP00000	amigo
Y	y	CC	y
sdor	servidor	NCMS000	servidor
