Primo	Primo	NCMS000	primo
	,	Fc	,
Amigo	amigo	NP00000	amigo
Y	y	CC	y
mui	muy	RQ	muy
sr	señor	NP00000	señor
mio	mío	DP1MSS	mío
	.	Fp	.
de	De	SPS00	de
todo	todo	DI0MS0	todo
gusto	gusto	NCMS000	gusto
y	y	CC	y
alegria	alegría	NCFS000	alegría
sera	será	VSIF3S0	ser
para	para	SPS00	para
mi	mí	PP1CSO00	mí
el	el	DA0MS0	el
que	que	CS	que
por	por	SPS00	por
esta	ésta	PD0FS000	este
merezcan	merezcan	VMSP3P0	merecer
las	las	DA0FP0	el
notizias	noticias	NCFP000	noticia
tan	tan	RC	tan
deseadas	deseadas	VMP00PF	desear
de	de	SPS00	de
su	su	DP3CS0	su
salud	salud	NCFS000	salud
	,	Fc	,
que	que	CS	que
le	le	PP3CSD00	le
deseo	deseo	VMIP1S0	desear
en	en	SPS00	en
la	la	DA0FS0	el
amable	amable	AQ0CS0	amable
Compañia	compañía	NCFS000	compañía
de	de	SPS00	de
Mi	mi	DP1CSS	mi
señora	señora	NP00000	señor
Da	doña	NP00000	don
Maria	María	NP00000	maría
y	y	CC	y
Padres	padres	NCMP000	padre
de	de	SPS00	de
Vm	VM	NP00000	VM
	,	Fc	,
a	a	SPS00	a
quienes	quienes	PR0CP000	quien
de	de	SPS00	de
corazon	corazón	NCMS000	corazón
me	me	PP1CS000	me
encomiendo	encomiendo	VMIP1S0	encomendar
y	y	CC	y
ôfresco	ofrezco	VMIP1S0	ofrecer
la	la	DA0FS0	el
que	que	PR0CN000	que
gozo	gozo	VMIP1S0	gozar
	,	Fc	,
q	que	CS	que
	,	Fc	,
a	a	SPS00	a
Dios	Dios	NP00000	dios
gracias	gracias	NCFP000	gracia
	,	Fc	,
es	es	VSIP3S0	ser
buena	buena	AQ0FS0	bueno
en	en	SPS00	en
compañia	compañía	NCFS000	compañía
de	de	SPS00	de
mis	mis	DP1CPS	mi
hermanos	hermanos	NCMP000	hermano
	,	Fc	,
qnes	quienes	PR0CP000	quien
Con	con	SPS00	con
la	la	DA0FS0	el
misma	misma	AQ0FS0	mismo
Voluntad	voluntad	NCFS000	voluntad
se	se	P00CN000	se
le	le	PP3CSD00	le
encomiendan	encomiendan	VMIP3P0	encomendar
â	a	SPS00	a
Vm	VM	NP00000	VM
	.	Fp	.
Aunque	Aunque	CC	aunque
en	en	SPS00	en
dos	dos	Z	2
Ôcasiones	ocasiones	NCFP000	ocasión
he	he	VAIP1S0	haber
escrito	escrito	VMP0000	escribir
â	a	SPS00	a
ese	ese	DD0MS0	ese
Reyno	reino	NCMS000	reino
	,	Fc	,
no	no	RN	no
he	he	VAIP1S0	haber
merezido	merecido	VMP0000	merecer
la	la	DA0FS0	el
mas	más	RC	más
lebe	leve	AQ0CS0	leve
notizia	noticia	NCFS000	noticia
de	de	SPS00	de
quantas	cuantas	DT0FP0	cuanto
puedo	puedo	VMIP1S0	poder
y	y	CC	y
debo	debo	VMIP1S0	deber
desear	desear	VMN0000	desear
	.	Fp	.
y	Y	CC	y
espero	espero	VMIP1S0	esperar
en	en	SPS00	en
Dios	Dios	NP00000	dios
y	y	CC	y
en	en	SPS00	en
el	el	DA0MS0	el
gran	gran	AQ0CS0	gran
Cariño	cariño	NCMS000	cariño
de	de	SPS00	de
Vm	VM	NP00000	VM
Conseguir	conseguir	VMN0000	conseguir
por	por	SPS00	por
esta	ésta	PD0FS000	este
lo	lo	DA0NS0	el
que	que	PR0CN000	el
tanto	tanto	RC	tanto
he	he	VAIP1S0	haber
deseado	deseado	VMP0000	desear
	,	Fc	,
que	que	CS	que
es	es	VSIP3S0	ser
el	el	DA0MS0	el
estado	estado	NCMS000	estado
de	de	SPS00	de
mi	mi	DP1CSS	mi
familia	familia	NCFS000	familia
	,	Fc	,
de	de	SPS00	de
muerte	muerte	NCFS000	muerte
Ô	o	CC	o
Vida	vida	NCFS000	vida
	,	Fc	,
q	que	CS	que
segun	según	SPS00	según
lo	lo	DA0NS0	el
Calamitoso	calamitoso	AQ0MS0	calamitoso
de	de	SPS00	de
ese	ese	DD0MS0	ese
pais	país	NCMS000	país
y	y	CC	y
sus	sus	DP3CP0	su
Cortos	cortos	AQ0MP0	corto
medios	medios	NCMP000	medio
tengo	tengo	VMIP1S0	tener
por	por	SPS00	por
tan	tan	RC	tan
zierto	cierto	AQ0MS0	cierto
lo	lo	DA0NS0	el
uno	uno	PI0MS000	uno
Como	como	CS	como
deseo	deseo	VMIP1S0	desear
lo	lo	DA0NS0	el
Ôtro	otro	PI0MS000	otro
.	.	Fp	.
en	En	SPS00	en
la	la	DA0FS0	el
ultima	última	AO0FS0	último
que	que	PR0CN000	que
escrivi	escribí	VMIS1S0	escribir
al	al	SPS00+DA0MS0	a+el
tio	tío	NCMS000	tío
y	y	CC	y
Compadre	compadre	NP00000	compadre
Dn	don	NP00000	don
Josseph	José	NP00000	josé
de	de	SPS00	de
Mendoza	Mendoza	NP00000	mendoza
le	le	PP3CSD00	le
suplicava	suplicaba	VMII0S0	suplicar
lo	lo	DA0NS0	el
que	que	PR0CN000	que
por	por	SPS00	por
esta	ésta	PD0FS000	este
hago	hago	VMIP1S0	hacer
â	a	SPS00	a
Vm	VM	NP00000	VM
	,	Fc	,
que	que	CS	que
hera	era	VSII0S0	ser
con	con	SPS00	con
claridad	claridad	NCFS000	claridad
la	la	DA0FS0	el
notizia	noticia	NCFS000	noticia
de	de	SPS00	de
todo	todo	PI0MS000	todo
	,	Fc	,
que	que	CS	que
despues	después	RG	después
de	de	SPS00	de
la	la	DA0FS0	el
grave	grave	AQ0CS0	grave
Ôbligazon	obligación	NCFS000	obligación
q	que	PR0CN000	que
me	me	PP1CS000	me
corre	corre	VMIP3S0	correr
es	es	VSIP3S0	ser
uno	uno	PI0MS000	uno
de	de	SPS00	de
los	los	DA0MP0	el
mayores	mayores	AQ0CP0	mayor
Consuelos	consuelos	NCMP000	consuelo
que	que	PR0CN000	que
pueden	pueden	VMIP3P0	poder
Rezivir	recibir	VMN0000	recibir
los	los	DA0MP0	el
que	que	PR0CN000	que
como	como	CS	como
yo	yo	PP1CSN00	yo
