Hallandome	Hallándome	VMG0000+PP1CS000	hallar+me
	,	Fc	,
muy	muy	RQ	muy
Carissimo	carísimo	AQSMS0	caro
Y	y	CC	y
fraternal	fraternal	AQ0CS0	fraternal
hermano	hermano	NCMS000	hermano
Y	y	CC	y
Verdadero	verdadero	AQ0MS0	verdadero
amigo	amigo	NCMS000	amigo
	,	Fc	,
obligado	obligado	VMP00SM	obligar
a	a	SPS00	a
la	la	DA0FS0	el
deVida	debida	VMP00SF	deber
correspondenzia	correspondencia	NCFS000	correspondencia
de	de	SPS00	de
los	los	DA0MP0	el
cotidianos	cotidianos	NCMP000	cotidiano
Y	y	CC	y
afectuosos	afectuosos	NCMP000	afectuoso
Venefiçios	beneficios	NCMP000	beneficio
por	por	SPS00	por
mi	mí	PP1CSO00	mí
de	de	SPS00	de
ti	ti	PP2CSO00	ti
siempre	siempre	RG	siempre
RezeVidos	recibidos	VMP00PM	recibir
	,	Fc	,
me	me	PP1CS000	me
cabe	cabe	VMIP3S0	caber
la	la	DA0FS0	el
hora	hora	NCFS000	hora
en	en	SPS00	en
que	que	CS	que
poderme	poderme	VMN0000+PP1CS000	poder+me
solamente	solamente	RG	solamente
desempeñar	desempeñar	VMN0000	desempeñar
manifestandote	manifestándote	VMG0000+PP2CS000	manifestar+te
Y	y	CC	y
partiçipandote	participándote	VMG0000+PP2CS000	participar+te
la	la	DA0FS0	el
deseada	deseada	VMP00SF	desear
notiçia	noticia	NCFS000	noticia
que	que	CS	que
tanto	tanto	DI0MS0	tanto
tpo	tiempo	NCMS000	tiempo
hase	hace	VMIP3S0	hacer
por	por	SPS00	por
los	los	DA0MP0	el
dos	dos	Z	2
em	en	SPS00	en
particular	particular	NCMS000	particular
es	es	VSIP3S0	ser
deseada	deseada	VMP00SF	desear
	,	Fc	,
aUnque	aunque	CS	aunque
no	no	RN	no
Con	con	SPS00	con
tan	tan	RC	tan
tristes	tristes	AQ0CP0	triste
Y	y	CC	y
obscuras	oscuras	AQ0FP0	oscuro
nuebas	nuevas	NCFP000	nueva
Como	como	CS	como
por	por	SPS00	por
su	su	DP3CS0	su
contenido	contenido	NCMS000	contenido
se	se	P00CN000	se
digna	digna	AQ0FS0	digno
hasernos	hacernos	VMN0000+PP1CP000	hacer+nos
Complises	cómplices	NCCP000	cómplice
	,	Fc	,
sabidores	sabedores	AQ0MP0	sabedor
de	de	SPS00	de
la	la	DA0FS0	el
aUsa	ausencia	NCFS000	ausencia
,	.	Fp	.
Y	Y	CC	y
es	es	VSIP3S0	ser
a	a	SPS00	a
saber	saber	VMN0000	saber
	,	Fc	,
por	por	SPS00	por
no	no	RN	no
dilatar	dilatar	VMN0000	dilatar
ni	ni	CC	ni
moler	moler	VMN0000	moler
	,	Fc	,
como	como	CS	como
el	el	DA0MS0	el
dia	día	NCMS000	día
13	13	Z	13
de	de	SPS00	de
Mayo	mayo	NCMS000	mayo
1706	1706	Z	1706
a	años	NCMP000	año
a	a	SPS00	a
las	las	DA0FP0	el
dos	dos	Z	2
de	de	SPS00	de
la	la	DA0FS0	el
tarde	tarde	NCFS000	tarde
	,	Fc	,
estando	estando	VMG0000	estar
pronto	pronto	RG	pronto
para	para	SPS00	para
Yr	ir	VMN0000	ir
a	a	SPS00	a
cursar	cursar	VMN0000	cursar
	,	Fc	,
fue	fue	VMIS3S0	ir
Dios	Dios	NP00000	dios
serVido	servido	VMP00SM	servir
de	de	SPS00	de
Representarme	representarme	VMN0000+PP1CS000	representar+me
a	a	SPS00	a
la	la	DA0FS0	el
Vista	vista	NCFS000	vista
Una	una	DI0FS0	uno
Vien	bien	CC	bien
RezeVida	recibida	VMP00SF	recibir
Carta	carta	NCFS000	carta
escripta	escrita	VMP00SF	escribir
Y	y	CC	y
dirigida	dirigida	VMP00SF	dirigir
por	por	SPS00	por
