Carisimos	Carísimos	AQSMP0	caro
Patricio	Patricio	NP00000	patricio
y	y	CC	y
maria	María	NP00000	maría
Antoa	Antonia	NP00000	antonia
	.	Fp	.
esta	Ésta	PD0FS000	este
solo	sólo	RG	sólo
sirbe	sirve	VMIP3S0	servir
para	para	SPS00	para
deciros	deciros	VMN0000+PP2CP000	decir+os
que	que	CS	que
el	el	DA0MS0	el
dia	día	NCMS000	día
que	que	PR0CN000	que
parteis	partís	VMIP2P0	partir
sacaron	sacaron	VMIS3P0	sacar
a	a	SPS00	a
la	la	DA0FS0	el
plaza	plaza	NCFS000	plaza
todo	todo	DI0MS0	todo
lo	lo	DA0NS0	el
enbargado	embargado	VMP00SM	embargar
	,	Fc	,
a	a	SPS00	a
mas	más	RC	más
el	el	DA0MS0	el
trigo	trigo	NCMS000	trigo
	(	Fba	(
y	y	CC	y
del	del	SPS00+DA0MS0	de+el
francho	Francho	NP00000	francho
,	)	Fbt	)
y	y	CC	y
el	el	DA0MS0	el
macho	macho	NCMS000	macho
de	de	SPS00	de
labor	labor	NCFS000	labor
	,	Fc	,
especificandolo	especificándolo	VMG0000+PP3CNA00	especificar+lo
en	en	SPS00	en
el	el	DA0MS0	el
pregon	pregón	NCMS000	pregón
,	.	Fp	.
y	Y	CC	y
porque	porque	CS	porque
dixo	dijo	VMIS3S0	decir
el	el	DA0MS0	el
escribano	escribano	NCMS000	escribano
que	que	CS	que
no	no	RN	no
se	se	P00CN000	se
podia	podía	VMII0S0	poder
embargar	embargar	VMN0000	embargar
el	el	DA0MS0	el
macho	macho	NCMS000	macho
de	de	SPS00	de
labor	labor	NCFS000	labor
	,	Fc	,
se	se	PP3CN000	se
lo	lo	PP3MSA00	lo
quisieron	quisieron	VMIS3P0	querer
comer	comer	VMN0000	comer
tratandolo	tratándolo	VMG0000+PP3MSA00	tratar+lo
como	como	CS	como
puedes	puedes	VMIP2S0	poder
presumir	presumir	VMN0000	presumir
y	y	CC	y
palabras	palabras	NCFP000	palabra
mui	muy	RQ	muy
tediosas	tediosas	AQ0FP0	tedioso
incuriandolo	injuriándolo	VMG0000+PP3MSA00	injuriar+lo
de	de	SPS00	de
todos	todos	DI0MP0	todo
modos	modos	NCMP000	modo
;	.	Fp	.
y	Y	CC	y
porque	porque	CS	porque
el	el	DA0MS0	el
francho	Francho	NP00000	francho
le	le	PP3CSD00	le
pidio	pidió	VMIS3S0	pedir
testimonio	testimonio	NCMS000	testimonio
de	de	SPS00	de
que	que	CS	que
bendia	vendía	VMII0S0	vender
su	su	DP3CS0	su
trigo	trigo	NCMS000	trigo
y	y	CC	y
el	el	DA0MS0	el
macho	macho	NCMS000	macho
,	,	Fc	,
ámenazo	amenazó	VMIS3S0	amenazar
a	a	SPS00	a
el	el	DA0MS0	el
escribano	escribano	NCMS000	escribano
si	si	CS	si
lo	lo	PP3MSA00	lo
daba	daba	VMII0S0	dar
y	y	CC	y
tambien	también	RG	también
a	a	SPS00	a
el	el	DA0MS0	el
francho	Francho	NP00000	francho
.	.	Fp	.
nadie	Nadie	PI0NN00N	nadie
a	ha	VAIP3S0	haber
puesto	puesto	VMP0000	poner
cosa	cosa	NCFS000	cosa
.	.	Fp	.
asi	Así	RG	así
	,	Fc	,
procurar	procurar	VMN0000	procurar
adbertir	advertir	VMN0000	advertir
las	las	DA0FP0	el
cosas	cosas	NCFP000	cosa
que	que	PR0CN000	que
puedan	puedan	VMSP3P0	poder
serbiros	serviros	VMN0000+PP2CP000	servir+os
a	a	SPS00	a
buestra	vuestra	DP2FSP	vuestro
defensa	defensa	NCFS000	defensa
,	,	Fc	,
que	que	CS	que
por	por	SPS00	por
aqui	aquí	RG	aquí
todo	todo	PI0MS000	todo
es	es	VSIP3S0	ser
enemiga	enemiga	NCFS000	enemigo
	.	Fp	.
oi	Hoy	RG	hoy
parto	parto	VMIP1S0	partir
á	a	SPS00	a
Autol	Autol	NP00000	autol
	.	Fp	.
por	Por	SPS00	por
aqui	aquí	RG	aquí
no	no	RN	no
me	me	PP1CS000	me
descuidare	descuidaré	VMIF1S0	descuidar
	.	Fp	.
a	A	SPS00	a
Dios	Dios	NP00000	dios
	,	Fc	,
el	el	DA0MS0	el
que	que	PR0CN000	que
os	os	PP2CP000	os
gue	guarde	VMSP0S0	guardar
	.	Fp	.
Grabalos	Grávalos	NP00000	grávalos
,	,	Fc	,
y	y	CC	y
10bre	diciembre	NCMS000	diciembre
4	4	Z	4
de	de	SPS00	de
71	71	Z	71
.	.	Fp	.
Buestro	Vuestro	DP2MSP	vuestro
tio	tío	NP00000	tío
Joseph	José	NP00000	josé
	.	Fp	.
Patricio	Patricio	NP00000	patricio
y	y	CC	y
Maria	María	NP00000	maría
Antonia	Antonia	NP00000	antonia
.	.	Fp	.
