J	Jesús	NP00000	jesús
	,	Fc	,
M	María	NP00000	maría
Y	y	CC	y
J	José	NP00000	josé
	.	Fp	.
El	El	DA0MS0	el
señor	Señor	NP00000	señor
sea	sea	VSSP0S0	ser
en	en	SPS00	en
nuestras	nuestras	DP1FPP	nuestro
Almas	almas	NCFP000	alma
y	y	CC	y
nos	nos	PP1CP000	nos
las	las	PP3FPA00	lo
abrase	abrase	VMSP0S0	abrasar
en	en	SPS00	en
el	el	DA0MS0	el
fuego	fuego	NCMS000	fuego
de	de	SPS00	de
su	su	DP3CS0	su
Divino	divino	AQ0MS0	divino
amor	amor	NCMS000	amor
	.	Fp	.
Hixa	Hija	NP00000	hijo
mia	mía	DP1FSS	mío
	,	Fc	,
no	no	RN	no
puedo	puedo	VMIP1S0	poder
dexar	dejar	VMN0000	dejar
de	de	SPS00	de
escrivirla	escribirla	VMN0000+PP3FSD00	escribir+lo
estas	estas	DD0FP0	este
quatro	cuatro	Z	4
letras	letras	NCFP000	letra
	,	Fc	,
dandome	dándome	VMG0000+PP1CS000	dar+me
el	el	DA0MS0	el
señor	Señor	NP00000	señor
luz	luz	NCFS000	luz
para	para	SPS00	para
consuelo	consuelo	NCMS000	consuelo
suio	suyo	DP3CS0	suyo
y	y	CC	y
norte	norte	NCMS000	norte
para	para	SPS00	para
quando	cuando	PA000000	cuando
se	se	P00CN000	se
alle	halle	VMSP0S0	hallar
con	con	SPS00	con
desconsuelo	desconsuelo	NCMS000	desconsuelo
de	de	SPS00	de
no	no	RN	no
topar	topar	VMN0000	topar
el	el	DA0MS0	el
vien	bien	NCMS000	bien
	;	Fx	;
pero	pero	CC	pero
advierta	advierta	VMSP0S0	advertir
que	que	CS	que
	,	Fc	,
si	si	CS	si
en	en	SPS00	en
ellas	ellas	PP3FP000	ellos
topase	topase	VMSI0S0	topar
lo	lo	DA0NS0	el
que	que	PR0CN000	que
necesitase	necesitase	VMSI0S0	necesitar
	,	Fc	,
sera	será	VSIF3S0	ser
que	que	CS	que
el	el	DA0MS0	el
señor	Señor	NP00000	señor
se	se	PP3CN000	se
las	las	PP3FPA00	lo
pondra	pondrá	VMIF3S0	poner
para	para	SPS00	para
su	su	DP3CS0	su
norte	norte	NCMS000	norte
y	y	CC	y
guia	guía	NCFS000	guía
y	y	CC	y
quera	querrá	VMIF3S0	querer
olbide	olvide	VMSP0S0	olvidar
totalmente	totalmente	RG	totalmente
aquel	aquel	DD0MS0	aquel
antiguo	antiguo	AQ0MS0	antiguo
saver	saber	NCMS000	saber
tan	tan	RC	tan
penoso	penoso	AQ0MS0	penoso
y	y	CC	y
poco	poco	RQ	poco
utill	útil	AQ0CS0	útil
para	para	SPS00	para
conseguir	conseguir	VMN0000	conseguir
al	al	SPS00+DA0MS0	a+el
estado	estado	NCMS000	estado
que	que	PR0CN000	que
el	el	DA0MS0	el
señor	Señor	NP00000	señor
la	la	PP3FSA00	lo
llama	llama	VMIP3S0	llamar
	.	Fp	.
Sea	Sea	VSSP0S0	ser
	,	Fc	,
Hixa	hija	NP00000	hijo
mia	mía	DP1FSS	mío
	,	Fc	,
lo	lo	PP3CNA00	lo
primero	primero	RG	primero
el	el	DA0MS0	el
que	que	CS	que
su	su	DP3CS0	su
Alma	alma	NCFS000	alma
ande	ande	VMSP0S0	andar
sienpre	siempre	RG	siempre
ocupada	ocupada	VMP00SF	ocupar
en	en	SPS00	en
