J	José	NP00000	josé
	,	Fc	,
Ma	María	NP00000	maría
	,	Fc	,
Js	Jesús	NP00000	jesús
erma	Hermana	NP00000	hermano
qrida	querida	VMP00SF	querer
,	.	Fp	.
no	No	RN	no
se	se	P00CN000	se
me	me	PP1CS000	me
ofre	ofrece	VMIP3S0	ofrecer
cosa	cosa	NCFS000	cosa
q	que	CS	que
añadir	añadir	VMN0000	añadir
,	;	Fx	;
si	sí	RG	sí
darte	darte	VMN0000+PP2CS000	dar+te
las	las	DA0FP0	el
grazias	gracias	NCFP000	gracia
de	de	SPS00	de
tus	tus	DP2CPS	tu
finezas	finezas	NCFP000	fineza
,	,	Fc	,
q	que	CS	que
en	en	SPS00	en
estos	estos	DD0MP0	este
tiempos	tiempos	NCMP000	tiempo
de	de	SPS00	de
nadie	nadie	PI0NN00N	nadie
se	se	P00CN000	se
esprimentan	experimentan	VMIP3P0	experimentar
,	,	Fc	,
con	con	SPS00	con
lo	lo	DA0NS0	el
q	que	PR0CN000	que
qdo	quedó	VMIS3S0	quedar
monica	Mónica	NP00000	mónica
tan	tan	RC	tan
agradezida	agradecida	VMP00SF	agradecer
como	como	CS	como
debe	debe	VMIP3S0	deber
y	y	CC	y
alegre	alegre	AQ0CS0	alegre
como	como	CS	como
una	una	DI0FS0	uno
pasqua	pascua	NCFS000	pascua
,	.	Fp	.
me	Me	PP1CS000	me
lo	lo	PP3CNA00	lo
abiso	avisó	VMIP3S0	avisar
el	el	DA0MS0	el
mismo	mismo	AQ0MS0	mismo
dia	día	NCMS000	día
,	.	Fp	.
ya	Ya	RG	ya
lo	lo	PP3CNA00	lo
a	ha	VMIP3S0	haber
menester	menester	NCMS000	menester
el	el	DA0MS0	el
q	que	CS	que
tu	tú	PP2CSN00	tú
la	la	PP3FSA00	lo
alientes	alientes	VMSP2S0	alentar
,	,	Fc	,
pues	pues	CS	pues
pr	por	SPS00	por
aqui	aquí	RG	aquí
no	no	RN	no
tiene	tiene	VMIP3S0	tener
sino	sino	CC	sino
el	el	DA0MS0	el
Pe	padre	NCMS000	padre
Mata	Mata	NP00000	mata
,	.	Fp	.
aunq	Aunque	CS	aunque
ubiera	hubiera	VASI0S0	haber
sido	sido	VSP0000	ser
esta	esta	DD0FS0	este
criatura	criatura	NCFS000	criatura
la	la	DA0FS0	el
peor	peor	AQ0CS0	peor
del	del	SPS00+DA0MS0	de+el
mundo	mundo	NCMS000	mundo
,	,	Fc	,
en	en	SPS00	en
esta	esta	DD0FS0	este
ocasion	ocasión	NCFS000	ocasión
todos	todos	DI0MP0	todo
debian	debían	VMII3P0	deber
faborezerla	favorecerla	VMN0000+PP3FSA00	favorecer+lo
,	.	Fp	.
Ds	Dios	NP00000	dios
como	como	CS	como
poderoso	poderoso	AQ0MS0	poderoso
le	le	PP3CSD00	le
ara	hará	VMIF3S0	hacer
la	la	DA0FS0	el
costa	costa	NCFS000	costa
.	.	Fp	.
aqui	Aquí	RG	aquí
no	no	RN	no
a	ha	VAIP3S0	haber
bido	habido	VMP0000	haber
mas	más	RC	más
de	de	SPS00	de
q	que	CS	que
el	el	DA0MS0	el
Pe	padre	NCMS000	padre
Mata	Mata	NP00000	mata
fue	fue	VMIS3S0	ir
el	el	DA0MS0	el
dia	Día	NCMS000	día
de	de	SPS00	de
animas	Ánimas	NP00000	ánimas
a	a	SPS00	a
la	la	DA0FS0	el
tarde	tarde	NCFS000	tarde
a	a	SPS00	a
darles	darles	VMN0000+PP3CPD00	dar+le
qnta	cuenta	NCFS000	cuenta
y	y	CC	y
pedir	pedir	VMN0000	pedir
los	los	DA0MP0	el
siete	siete	Z	7
mil	mil	Z	1000
Rs	reales	NCMP000	real
q	que	PR0CN000	que
promtamente	prontamente	RG	prontamente
nezesitaba	necesitaba	VMII0S0	necesitar
,	.	Fp	.
y	Y	CC	y
en	en	SPS00	en
respuesta	respuesta	NCFS000	respuesta
de	de	SPS00	de
la	la	DA0FS0	el
qnta	cuenta	NCFS000	cuenta
	,	Fc	,
sin	sin	SPS00	sin
dar	dar	VMN0000	dar
lugar	lugar	NCMS000	lugar
a	a	SPS00	a
la	la	DA0FS0	el
petizion	petición	NCFS000	petición
	,	Fc	,
respondia	respondía	VMII0S0	responder
Ma	María	NP00000	maría
Josepha	Josefa	NP00000	josefa
lo	lo	DA0NS0	el
mucho	mucho	RQ	mucho
q	que	PR0CN000	que
zelebraba	celebraba	VMII0S0	celebrar
la	la	DA0FS0	el
notizia	noticia	NCFS000	noticia
,	,	Fc	,
q	que	CS	que
solo	sólo	RG	sólo
sentia	sentía	VMII0S0	sentir
tener	tener	VMN0000	tener
la	la	DA0FS0	el
casa	casa	NCFS000	casa
tan	tan	RC	tan
epeñada	empeñada	VMP00SF	empeñar
y	y	CC	y
aogada	ahogada	NCFS000	ahogado
q	que	CS	que
no	no	RN	no
podia	podía	VMII0S0	poder
Asistirla	asistirla	VMN0000+PP3FSA00	asistir+lo
,	.	Fp	.
el	El	DA0MS0	el
Pe	padre	NCMS000	padre
como	como	CS	como
oyo	oyó	VMIS3S0	oír
esto	esto	PD0NN000	esto
no	no	RN	no
paso	pasó	VMIS3S0	pasar
a	a	SPS00	a
pedir	pedir	VMN0000	pedir
,	,	Fc	,
porq	porque	CS	porque
se	se	P00CN000	se
antizipo	anticipó	VMIS3S0	anticipar
a	a	SPS00	a
negar	negar	VMN0000	negar
	.	Fp	.
aora	Ahora	RG	ahora
me	me	PP1CS000	me
pareze	parece	VMIP3S0	parecer
a	a	SPS00	a
mi	mí	PP1CSO00	mí
q	que	CS	que
sienten	sienten	VMIP3P0	sentir
lo	lo	DA0NS0	el
q	que	PR0CN000	que
an	han	VAIP3P0	haber
echo	hecho	VMP0000	hacer
pr	por	SPS00	por
sin	sin	SPS00	sin
duda	duda	NCFS000	duda
A	ha	VAIP3S0	haber
creido	creído	VMP0000	creer
que	que	CS	que
sin	sin	SPS00	sin
ynterbenir	intervenir	VMN0000	intervenir
su	su	DP3CS0	su
personas	personas	NCFP000	persona
no	no	RN	no
abia	había	VMII0S0	haber
de	de	SPS00	de
encontrar	encontrar	VMN0000	encontrar
quien	quien	PR0CS000	quien
le	le	PP3CSD00	le
diera	diera	VMSI0S0	dar
	,	Fc	,
pues	pues	CS	pues
Ma	María	NP00000	maría
Josepha	Josefa	NP00000	josefa
dizen	dicen	VMIP3P0	decir
q	que	CS	que
dize	dice	VMIP3S0	decir
