Acampamto	Acampamento	NCMS000	acampamento
de	de	SPS00	de
Villarnadal	Vilarnadal	NP00000	vilanadal
	,	Fc	,
21	21	Z	21
de	de	SPS00	de
8bre	octubre	NCMS000	octubre
de	de	SPS00	de
1794	1794	Z	1794
Primo	Primo	NCMS000	primo
y	y	CC	y
mi	mi	DP1CSS	mi
Sor	señor	NP00000	señor
Dn	don	NP00000	don
Manl	Manuel	NP00000	manuel
	.	Fp	.
me	Me	PP1CS000	me
alegrare	alegraré	VMIF1S0	alegrar
que	que	CS	que
esta	ésta	PD0FS000	este
alle	halle	VMSP0S0	hallar
a	a	SPS00	a
Vm	VM	NP00000	VM
con	con	SPS00	con
la	la	DA0FS0	el
caval	cabal	AQ0CS0	cabal
salud	salud	NCFS000	salud
q	que	PR0CN000	que
yo	yo	PP1CSN00	yo
para	para	SPS00	para
mi	mí	PP1CSO00	mí
deseo	deseo	VMIP1S0	desear
en	en	SPS00	en
compa	compañía	NCFS000	compañía
de	de	SPS00	de
mi	mi	DP1CSS	mi
Prima	prima	NCFS000	primo
Anica	Anica	NP00000	anica
y	y	CC	y
familia	familia	NCFS000	familia
	.	Fp	.
la	La	DA0FS0	el
mia	mía	PX1FS0S0	mío
	,	Fc	,
a	a	SPS00	a
Dios	Dios	NP00000	dios
gracs	gracias	NCFP000	gracia
	,	Fc	,
es	es	VSIP3S0	ser
buena	buena	AQ0FS0	bueno
y	y	CC	y
la	la	PP3FSA00	lo
pongo	pongo	VMIP1S0	poner
a	a	SPS00	a
disposicon	disposicion	NCFS000	disposicion
de	de	SPS00	de
Ud	usted	PP2CS000	usted
	.	Fc	,
siendo	Siendo	VSG0000	ser
savedor	sabedor	NCMS000	sabedor
del	del	SPS00+DA0MS0	de+el
mal	mal	NCMS000	mal
proceder	proceder	NCMS000	proceder
de	de	SPS00	de
mi	mi	DP1CSS	mi
mujer	mujer	NCFS000	mujer
	,	Fc	,
me	me	PP1CS000	me
hace	hace	VMIP3S0	hacer
fuerza	fuerza	NCFS000	fuerza
el	el	DA0MS0	el
tomar	tomar	VMN0000	tomar
la	la	DA0FS0	el
pluma	pluma	NCFS000	pluma
para	para	SPS00	para
cansar	cansar	VMN0000	cansar
a	a	SPS00	a
Ud	usted	PP2CS000	usted
	,	Fc	,
Pero	pero	CC	pero
como	como	CS	como
Juez	juez	NCMS000	juez
q	que	PR0CN000	que
se	se	P00CN000	se
alla	halla	VMIP3S0	hallar
Ud	usted	PP2CS000	usted
de	de	SPS00	de
esa	ésa	PD0FS000	ese
en	en	SPS00	en
ley	ley	NCFS000	ley
de	de	SPS00	de
Jho	Jesucristo	NP00000	jesucristo
y	y	CC	y
de	de	SPS00	de
Dios	Dios	NP00000	dios
puede	puede	VMIP3S0	poder
Ud	usted	PP2CS000	usted
tomar	tomar	VMN0000	tomar
disposicin	disposición	NCFS000	disposición
de	de	SPS00	de
eso	eso	PD0NN000	eso
	,	Fc	,
y	y	CC	y
acaso	acaso	RG	acaso
sera	será	VSIF3S0	ser
el	el	DA0MS0	el
quitarme	quitarme	VMN0000+PP1CS000	quitar+me
que	que	CS	que
yo	yo	PP1CSN00	yo
aga	haga	VMSP0S0	hacer
un	un	DI0MS0	uno
desatino	desatino	NCMS000	desatino
;	.	Fp	.
Yo	Yo	PP1CSN00	yo
primte	primeramente	RG	primeramente
doy	doy	VMIP1S0	dar
a	a	SPS00	a
Ud	usted	PP2CS000	usted
toda	toda	DI0FS0	todo
mi	mi	DP1CSS	mi
facultad	facultad	NCFS000	facultad
para	para	SPS00	para
qe	que	CS	que
castigue	castigue	VMSP0S0	castigar
,	,	Fc	,
como	como	CS	como
toca	toca	VMIP3S0	tocar
a	a	SPS00	a
Ud	usted	PP2CS000	usted
de	de	SPS00	de
obligacion	obligación	NCFS000	obligación
	,	Fc	,
y	y	CC	y
celar	celar	VMN0000	celar
lo	lo	DA0NS0	el
malo	malo	AQ0MS0	malo
del	del	SPS00+DA0MS0	de+el
pueblo	pueblo	NCMS000	pueblo
	.	Fp	.
y	Y	CC	y
es	es	VSIP3S0	ser
mi	mi	DP1CSS	mi
gusto	gusto	NCMS000	gusto
principalmte	principalmente	RG	principalmente
que	que	CS	que
mi	mi	DP1CSS	mi
muger	mujer	NCFS000	mujer
en	en	SPS00	en
continente	continente	RG	continente
se	se	P00CN000	se
salga	salga	VMSP0S0	salir
de	de	SPS00	de
