Girona	Girona	NCFS000	girona
	,	Fc	,
11	11	Z	11
de	de	SPS00	de
enero	enero	NCMS000	enero
de	de	SPS00	de
1795	1795	Z	1795
Querido	Querido	VMP00SM	querer
Primo	primo	NCMS000	primo
	.	Fp	.
recivi	Recibí	VMIS1S0	recibir
la	la	DA0FS0	el
de	de	SPS00	de
Ud	usted	PP2CS000	usted
	(	Fba	(
su	su	DP3CS0	su
fha	fecha	NCFS000	fecha
el	el	DA0MS0	el
26	26	Z	26
del	del	SPS00+DA0MS0	de+el
Diziembre	diciembre	NCMS000	diciembre
proximo	próximo	AQ0MS0	próximo
pasado	pasado	NCMS000	pasado
	)	Fbt	)
	,	Fc	,
por	por	SPS00	por
la	la	DA0FS0	el
q	que	PR0CN000	que
veo	veo	VMIP1S0	ver
goza	goza	VMIP3S0	gozar
Ud	usted	PP2CS000	usted
suma	suma	AQ0FS0	sumo
salud	salud	NCFS000	salud
	,	Fc	,
de	de	SPS00	de
lo	lo	DA0NS0	el
q	que	PR0CN000	que
me	me	PP1CS000	me
alegro	alegro	VMIP1S0	alegrar
en	en	SPS00	en
el	el	DA0MS0	el
Alma	alma	NCFS000	alma
	,	Fc	,
en	en	SPS00	en
conpa	compañía	NCFS000	compañía
de	de	SPS00	de
mi	mi	DP1CSS	mi
prima	prima	NCFS000	primo
Anica	Anica	NP00000	anica
y	y	CC	y
demas	demás	NCMS000	demás
de	de	SPS00	de
casa	casa	NCFS000	casa
.	.	Fp	.
yo	Yo	PP1CSN00	yo
me	me	PP1CS000	me
allo	hallo	VMIP1S0	hallar
bueno	bueno	AQ0MS0	bueno
	,	Fc	,
a	a	SPS00	a
Dios	Dios	NP00000	dios
gracias	gracias	NCFP000	gracia
	,	Fc	,
para	para	SPS00	para
lo	lo	DA0NS0	el
qe	que	PR0CN000	que
Ud	usted	PP2CS000	usted
guste	guste	VMSP0S0	gustar
mandarme	mandarme	VMN0000+PP1CS000	mandar+me
	,	Fc	,
qe	que	CS	que
lo	lo	PP3CNA00	lo
are	haré	VMIF1S0	hacer
con	con	SPS00	con
mucho	mucho	DI0MS0	mucho
gusto	gusto	NCMS000	gusto
:	.	Fp	.
estoy	Estoy	VMIP1S0	estar
muy	muy	RQ	muy
gustoso	gustoso	AQ0MS0	gustoso
con	con	SPS00	con
el	el	DA0MS0	el
modo	modo	NCMS000	modo
de	de	SPS00	de
proceder	proceder	NCMS000	proceder
q	que	PR0CN000	que
Ud	usted	PP2CS000	usted
a	ha	VAIP3S0	haber
tenido	tenido	VMP0000	tener
y	y	CC	y
si	si	CS	si
evito	evitó	VMIS3S0	evitar
qe	que	CS	que
no	no	RN	no
se	se	P00CN000	se
huviera	hubiera	VASI0S0	haber
Verificado	verificado	VMP0000	verificar
el	el	DA0MS0	el
castigo	castigo	NCMS000	castigo
interin	ínterin	RG	ínterin
Ud	usted	PP2CS000	usted
se	se	P00CN000	se
allaba	hallaba	VMII0S0	hallar
juez	juez	NCMS000	juez
de	de	SPS00	de
esa	ésa	PD0FS000	ese
	.	Fp	.
y	Y	CC	y
a	a	SPS00	a
ese	ese	DD0MS0	ese
sujeto	sujeto	AQ0MS0	sujeto
averle	haberle	VAN0000+PP3CSD00	haber+le
echado	echado	VMP0000	echar
a	a	SPS00	a
que	que	CS	que
huviera	hubiera	VASI0S0	haber
venido	venido	VMP0000	venir
a	a	SPS00	a
tomar	tomar	VMN0000	tomar
el	el	DA0MS0	el
Fusil	fusil	NCMS000	fusil
y	y	CC	y
ver	ver	VMN0000	ver
las	las	DA0FP0	el
varbas	barbas	NCFP000	barba
del	del	SPS00+DA0MS0	de+el
frances	francés	NCMS000	francés
	,	Fc	,
y	y	CC	y
a	a	SPS00	a
mi	mí	PP1CSO00	mí
principalmente	principalmente	RG	principalmente
	,	Fc	,
pues	pues	CS	pues
no	no	RN	no
seria	sería	VSIC0S0	ser
necesario	necesario	AQ0MS0	necesario
mas	más	RC	más
enemigo	enemigo	NCMS000	enemigo
para	para	SPS00	para
quitarle	quitarle	VMN0000+PP3CSD00	quitar+le
las	las	DA0FP0	el
ganas	ganas	NCFP000	gana
de	de	SPS00	de
comer	comer	VMN0000	comer
que	que	CS	que
yo	yo	PP1CSN00	yo
	;	Fx	;
y	y	CC	y
lo	lo	DA0NS0	el
mismo	mismo	AQ0MS0	mismo
a	a	SPS00	a
mi	mi	DP1CSS	mi
querida	querida	VMP00SF	querer
	(	Fba	(
pesia	pesia	SPS00	pesia
como	como	CS	como
lo	lo	PP3CNA00	lo
digo	digo	VMIP1S0	decir
	:	Fd	:
a	a	SPS00	a
mi	mi	DP1CSS	mi
contraria	contraria	NCFS000	contrario
podia	podía	VMII0S0	poder
decir	decir	VMN0000	decir
mas	más	RC	más
bien	bien	RG	bien
	)	Fbt	)
:	.	Fp	.
por	Por	SPS00	por
ella	ella	PP3FS000	él
me	me	PP1CS000	me
suceden	suceden	VMIP3P0	suceder
a	a	SPS00	a
mi	mí	PP1CSO00	mí
tantas	tantas	DI0FP0	tanto
desgracias	desgracias	NCFP000	desgracia
	.	Fp	.
y	Y	CC	y
	,	Fc	,
con	con	SPS00	con
todo	todo	PI0MS000	todo
	,	Fc	,
el	el	DA0MS0	el
cielo	cielo	NCMS000	cielo
quiere	quiere	VMIP3S0	querer
y	y	CC	y
me	me	PP1CS000	me
da	da	VMIP3S0	dar
salud	salud	NCFS000	salud
y	y	CC	y
felicidad	felicidad	NCFS000	felicidad
para	para	SPS00	para
salir	salir	VMN0000	salir
de	de	SPS00	de
