Agto	Agosto	NCMS000	agosto
	,	Fc	,
30	30	Z	30
de	de	SPS00	de
1702	1702	Z	1702
tio	Tío	NCMS000	tío
de	de	SPS00	de
mi	mi	DP1CSS	mi
corazon	corazón	NCMS000	corazón
	.	Fp	.
me	Me	PP1CS000	me
tiene	tiene	VMIP3S0	tener
con	con	SPS00	con
gran	gran	AQ0CS0	gran
cuydado	cuidado	NCMS000	cuidado
el	el	DA0MS0	el
no	no	RN	no
aber	haber	VAN0000	haber
visto	visto	VMP0000	ver
a	a	SPS00	a
nadie	nadie	PI0NN00N	nadie
de	de	SPS00	de
Noblexas	Noblejas	NP00000	noblejas
tantto	tanto	RC	tanto
tienpo	tiempo	NCMS000	tiempo
ha	ha	VMIP3S0	haber
por	por	SPS00	por
saber	saber	VMN0000	saber
de	de	SPS00	de
la	la	DA0FS0	el
salud	salud	NCFS000	salud
de	de	SPS00	de
Vm	VM	NP00000	VM
y	y	CC	y
de	de	SPS00	de
mi	mi	DP1CSS	mi
thia	tía	NCFS000	tía
	,	Fc	,
que	que	CS	que
polonia	Polonia	NP00000	polonia
me	me	PP1CS000	me
escribio	escribió	VMIS3S0	escribir
q	que	CS	que
estaba	estaba	VMII0S0	estar
para	para	SPS00	para
yr	ir	VMN0000	ir
a	a	SPS00	a
tomar	tomar	VMN0000	tomar
Baños	baños	NCMP000	baño
por	por	SPS00	por
el	el	DA0MS0	el
azzidente	accidente	NCMS000	accidente
de	de	SPS00	de
la	la	DA0FS0	el
ynflamazion	inflamación	NCFS000	inflamación
del	del	SPS00+DA0MS0	de+el
bientre	vientre	NCMS000	vientre
	.	Fp	.
y	Y	CC	y
con	con	SPS00	con
este	este	DD0MS0	este
cuydado	cuidado	NCMS000	cuidado
escribio	escribió	VMIS3S0	escribir
Dn	don	NP00000	don
Balthasar	Baltasar	NP00000	baltasar
a	a	SPS00	a
Vm	VM	NP00000	VM
y	y	CC	y
despues	después	RG	después
escribi	escribí	VMIS1S0	escribir
yo	yo	PP1CSN00	yo
otra	otra	PI0FS000	otro
	.	Fp	.
y	Y	CC	y
de	de	SPS00	de
ninguna	ninguna	PI0FS00N	ninguno
ha	ha	VAIP3S0	haber
biao	enviado	VMP0000	enviar
Resptta	respuesta	NCFS000	respuesta
ni	ni	CC	ni
de	de	SPS00	de
dos	dos	Z	2
q	que	PR0CN000	que
e	he	VAIP1S0	haber
scrito	escrito	VMP0000	escribir
a	a	SPS00	a
polonia	Polonia	NP00000	polonia
tanpoco	tampoco	RG	tampoco
he	he	VAIP1S0	haber
tenido	tenido	VMP0000	tener
resptta	respuesta	NCFS000	respuesta
	.	Fp	.
y	Y	CC	y
con	con	SPS00	con
Marzela	Marcela	NP00000	marcela
me	me	PP1CS000	me
suzede	sucede	VMIP3S0	suceder
lo	lo	DA0NS0	el
mismo	mismo	AQ0MS0	mismo
	,	Fc	,
que	que	CS	que
a	ha	VMIP3S0	haber
tres	tres	Z	3
semanas	semanas	NCFP000	semana
q	que	CS	que
no	no	RN	no
e	he	VAIP1S0	haber
bisto	visto	VMP0000	ver
carta	carta	NCFS000	carta
suya	suya	PX3FS000	suyo
	;	Fx	;
q	que	CS	que
