Tío	Tío	NCMS000	tío
y	y	CC	y
mui	muy	RQ	muy
querido	querido	VMP00SM	querer
de	de	SPS00	de
mi	mi	DP1CSS	mi
vida	vida	NCFS000	vida
	.	Fp	.
Rezivo	Recibo	VMIP1S0	recibir
la	la	DA0FS0	el
de	de	SPS00	de
Vm	VM	NP00000	VM
con	con	SPS00	con
la	la	DA0FS0	el
alegria	alegría	NCFS000	alegría
y	y	CC	y
gusto	gusto	NCMS000	gusto
que	que	CS	que
Vm	VM	NP00000	VM
puede	puede	VMIP3S0	poder
considerar	considerar	VMN0000	considerar
de	de	SPS00	de
mi	mi	DP1CSS	mi
gran	gran	AQ0CS0	gran
cariño	cariño	NCMS000	cariño
	,	Fc	,
pues	pues	CS	pues
estava	estaba	VMII0S0	estar
con	con	SPS00	con
tanto	tanto	DI0MS0	tanto
cuidado	cuidado	NCMS000	cuidado
de	de	SPS00	de
no	no	RN	no
saver	saber	VMN0000	saber
de	de	SPS00	de
Vm	VM	NP00000	VM
ni	ni	CC	ni
aver	haber	VAN0000	haber
tenido	tenido	VMP0000	tener
respuesta	respuesta	NCFS000	respuesta
de	de	SPS00	de
las	las	DA0FP0	el
cartas	cartas	NCFP000	carta
que	que	PR0CN000	que
e	he	VAIP1S0	haber
escrito	escrito	VMP0000	escribir
	.	Fp	.
ya	Ya	RG	ya
considero	considero	VMIP1S0	considerar
el	el	DA0MS0	el
mal	mal	NCMS000	mal
tipo	tiempo	NCMS000	tiempo
que	que	PR0CN000	que
a	ha	VAIP3S0	haber
echo	hecho	VMP0000	hacer
por	por	SPS00	por
todas	todas	DI0FP0	todo
partes	partes	NCFP000	parte
,	,	Fc	,
pero	pero	CC	pero
antes	antes	RG	antes
de	de	SPS00	de
las	las	DA0FP0	el
crezientes	crecientes	NCMP000	creciente
no	no	RN	no
a	ha	VAIP3S0	haber
dejado	dejado	VMP0000	dejar
de	de	SPS00	de
venir	venir	VMN0000	venir
jente	gente	NCFS000	gente
como	como	CS	como
se	se	PP3CN000	se
lo	lo	PP3CNA00	lo
tengo	tengo	VMIP1S0	tener
escrito	escrito	VMP00SM	escribir
a	a	SPS00	a
Vm	VM	NP00000	VM
,	,	Fc	,
aunque	aunque	CS	aunque
no	no	RN	no
se	se	P00CN000	se
da	da	VMIP3S0	dar
por	por	SPS00	por
entendido	entendido	VMP00SM	entender
de	de	SPS00	de
aver	haber	VAN0000	haber
rezivido	recibido	VMP0000	recibir
mis	mis	DP1CPS	mi
cartas	cartas	NCFP000	carta
.	.	Fp	.
aora	Ahora	RG	ahora
zelebro	celebro	VMIP1S0	celebrar
mui	muy	RQ	muy
en	en	SPS00	en
mi	mi	DP1CSS	mi
corazon	corazón	NCMS000	corazón
que	que	CS	que
Vm	VM	NP00000	VM
este	esté	VMSP0S0	estar
bueno	bueno	AQ0MS0	bueno
y	y	CC	y
mi	mi	DP1CSS	mi
tia	tía	NCFS000	tía
y	y	CC	y
pepita	Pepita	NP00000	pepita
	,	Fc	,
a	a	SPS00	a
quien	quien	PR0CS000	quien
dara	dará	VMIF3S0	dar
Vm	VM	NP00000	VM
mis	mis	DP1CPS	mi
cariñosas	cariñosas	AQ0FP0	cariñoso
memorias	memorias	NCFP000	memoria
y	y	CC	y
que	que	CS	que
estimo	estimo	VMIP1S0	estimar
mucho	mucho	RQ	mucho
el	el	DA0MS0	el
arina	harina	NCFS000	harina
y	y	CC	y
Garvanzos	garbanzos	NCMP000	garbanzo
que	que	PR0CN000	que
su	su	DP3CS0	su
mrcd	merced	NCFS000	merced
me	me	PP1CS000	me
embia	envía	VMIP3S0	enviar
	;	Fx	;
y	y	CC	y
a	a	SPS00	a
Vm	VM	NP00000	VM
	,	Fc	,
ocho	ocho	Z	8
arrovas	arrobas	NCFP000	arroba
de	de	SPS00	de
azeite	aceite	NCMS000	aceite
junto	junto	RG	junto
con	con	SPS00	con
los	los	DA0MP0	el
tres	tres	Z	3
Rs	reales	NCMP000	real
de	de	SPS00	de
a	a	SPS00	a
ocho	ocho	Z	8
para	para	SPS00	para
la	la	DA0FS0	el
puerta	puerta	NCFS000	puerta
	,	Fc	,
que	que	CS	que
aseguro	aseguro	VMIP1S0	asegurar
a	a	SPS00	a
Vm	VM	NP00000	VM
se	se	P00CN000	se
a	ha	VAIP3S0	haber
pasado	pasado	VMP0000	pasar
la	la	DA0FS0	el
cuaresma	Cuaresma	NP00000	cuaresma
mui	muy	RQ	muy
mal	mal	RG	mal
por	por	SPS00	por
el	el	DA0MS0	el
mal	mal	NCMS000	mal
azeite	aceite	NCMS000	aceite
que	que	PR0CN000	que
se	se	P00CN000	se
vende	vende	VMIP3S0	vender
aqui	aquí	RG	aquí
.	.	Fp	.
Don	Don	NP00000	don
Balthasar	Baltasar	NP00000	baltasar
estima	estima	VMIP3S0	estimar
mucho	mucho	RQ	mucho
la	la	DA0FS0	el
memoria	memoria	NCFS000	memoria
que	que	CS	que
Vm	VM	NP00000	VM
le	le	PP3CSD00	le
embia	envía	VMIP3S0	enviar
y	y	CC	y
q	que	CS	que
se	se	P00CN000	se
alle	halle	VMSP0S0	hallar
con	con	SPS00	con
caval	cabal	AQ0CS0	cabal
salud	salud	NCFS000	salud
y	y	CC	y
escribe	escribe	VMIP3S0	escribir
a	a	SPS00	a
Vm	VM	NP00000	VM
	;	Fx	;
y	y	CC	y
de	de	SPS00	de
los	los	DA0MP0	el
niños	niños	NCMP000	niño
las	las	PP3FPA00	lo
Rezivira	recibirá	VMIF3S0	recibir
Vm	VM	NP00000	VM
	,	Fc	,
que	que	CS	que
todos	todos	PI0MP000	todo
estan	están	VMIP3P0	estar
buenos	buenos	AQ0MP0	bueno
grazias	gracias	NCFP000	gracia
a	a	SPS00	a
Dios	Dios	NP00000	dios
	,	Fc	,
si	si	CS	si
no	no	RN	no
es	es	VSIP3S0	ser
porque	porque	CS	porque
cada	cada	DI0CN0	cada
dia	día	NCMS000	día
me	me	PP1CS000	me
maltrata	maltrata	VMIP3S0	maltratar
mas	más	RC	más
mi	mi	DP1CSS	mi
preñado	preñado	NCMS000	preñado
como	como	CS	como
se	se	PP3CN000	se
lo	lo	PP3CNA00	lo
escrivi	escribí	VMIS1S0	escribir
a	a	SPS00	a
Vm	VM	NP00000	VM
en	en	SPS00	en
la	la	DA0FS0	el
q	que	PR0CN000	que
escrivi	escribí	VMIS1S0	escribir
por	por	SPS00	por
carnestolendas	Carnestolendas	NP00000	carnestolendas
	.	Fp	.
y	Y	CC	y
aora	ahora	RG	ahora
me	me	PP1CS000	me
e	he	VAIP1S0	haber
sangrado	sangrado	VMP0000	sangrar
dos	dos	Z	2
vezes	veces	NCFP000	vez
Raviando	rabiando	VMG0000	rabiar
todos	todos	DI0MP0	todo
estos	estos	DD0MP0	este
dias	días	NCMP000	día
de	de	SPS00	de
corrimientos	corrimientos	NCMP000	corrimiento
de	de	SPS00	de
muelas	muelas	NP00000	muelas
y	y	CC	y
dientes	dientes	NCMP000	diente
y	y	CC	y
mui	muy	RQ	muy
quedas	quedas	VMIP2S0	quedar
las	las	DA0FP0	el
ganas	ganas	NCFP000	gana
de	de	SPS00	de
comer	comer	VMN0000	comer
	;	Fx	;
y	y	CC	y
de	de	SPS00	de
qualquiera	cualquiera	DI0CS0	cualquiera
suerte	suerte	NCFS000	suerte
para	para	SPS00	para
servir	servir	VMN0000	servir
a	a	SPS00	a
Vm	VM	NP00000	VM
en	en	SPS00	en
qto	cuanto	PA000000	cuanto
yo	yo	PP1CSN00	yo
pueda	pueda	VMSP0S0	poder
	.	Fp	.
siento	Siento	VMIP1S0	sentir
mucho	mucho	RQ	mucho
que	que	CS	que
las	las	DA0FP0	el
crezientes	crecientes	AQ0CP0	creciente
ayan	hayan	VASP3P0	haber
echo	hecho	VMP0000	hacer
tanto	tanto	DI0MS0	tanto
daño	daño	NCMS000	daño
en	en	SPS00	en
los	los	DA0MP0	el
molinos	molinos	NCMP000	molino
	,	Fc	,
que	que	CS	que
por	por	SPS00	por
todas	todas	DI0FP0	todo
partes	partes	NCFP000	parte
son	son	VSIP3P0	ser
muchos	muchos	PI0MP000	mucho
los	los	DA0MP0	el
daños	daños	NCMP000	daño
de	de	SPS00	de
las	las	DA0FP0	el
aguas	aguas	NCFP000	agua
que	que	PR0CN000	que
la	la	DA0FS0	el
casa	casa	NCFS000	casa
de	de	SPS00	de
umera	umera	X	x
nos	nos	PP1CP000	nos
a	ha	VAIP3S0	haber
caido	caído	VMP0000	caer
	.	Fp	.
y	Y	CC	y
lo	lo	DA0NS0	el
que	que	PR0CN000	que
a	ha	VAIP3S0	haber
quedado	quedado	VMP0000	quedar
es	es	VSIP3S0	ser
tapar	tapar	VMN0000	tapar
y	y	CC	y
azer	hacer	VMN0000	hacer
lo	lo	DA0NS0	el
mesmo	mismo	AQ0MS0	mismo
,	.	Fp	.
agase	Hágase	VMSP0S0+P00CN000	hacer+se
la	la	DA0FS0	el
voluntad	voluntad	NCFS000	voluntad
de	de	SPS00	de
Dios	Dios	NP00000	dios
	,	Fc	,
pues	pues	CS	pues
no	no	RN	no
falta	falta	VMIP3S0	faltar
por	por	SPS00	por
todas	todas	DI0FP0	todo
partes	partes	NCFP000	parte
que	que	PR0CN000	que
ofrezer	ofrecer	VMN0000	ofrecer
a	a	SPS00	a
su	Su	DP3CS0	su
Divina	Divina	AQ0FS0	divino
Magd	Majestad	NP00000	majestad
	.	Fp	.
la	La	PP3FSA00	lo
carga	carga	VMIP3S0	cargar
de	de	SPS00	de
arrox	arroz	NCMS000	arroz
no	no	RN	no
a	ha	VAIP3S0	haber
traido	traído	VMP0000	traer
ventura	Ventura	NP00000	ventura
y	y	CC	y
nos	nos	PP1CP000	nos
hace	hace	VMIP3S0	hacer
mucha	mucha	DI0FS0	mucho
falta	falta	NCFS000	falta
	,	Fc	,
porque	porque	CS	porque
los	los	DA0MP0	el
frios	fríos	NCMP000	frío
por	por	SPS00	por
aca	acá	RG	acá
todavia	todavía	RG	todavía
son	son	VSIP3P0	ser
mui	muy	RQ	muy
grandes	grandes	AQ0CP0	grande
	,	Fc	,
que	que	CS	que
ayer	ayer	RG	ayer
nevo	nevó	VMIS3S0	nevar
aunque	aunque	CS	aunque
no	no	RN	no
duro	duró	VMIS3S0	durar
mucho	mucho	RQ	mucho
	.	Fp	.
y	Y	CC	y
si	si	CS	si
viniera	viniera	VMSI0S0	venir
alguna	alguna	DI0FS0	alguno
pesona	persona	NCFS000	persona
	,	Fc	,
ara	hará	VMIF3S0	hacer
Vm	VM	NP00000	VM
que	que	CS	que
nos	nos	PP1CP000	nos
la	la	PP3FSA00	lo
traigan	traigan	VMSP3P0	traer
	,	Fc	,
q	que	CS	que
no	no	RN	no
quisiera	quisiera	VMSI0S0	querer
que	que	CS	que
Ventura	Ventura	NP00000	ventura
tenga	tenga	VMSP0S0	tener
nada	nada	PI0NN00N	nada
porque	porque	CS	porque
es	es	VSIP3S0	ser
un	un	DI0MS0	uno
hombre	hombre	NCMS000	hombre
ynaguantable	inaguantable	AQ0CS0	inaguantable
	.	Fp	.
y	Y	CC	y
en	en	SPS00	en
haviendo	habiendo	VMG0000	haber
queso	queso	NCMS000	queso
fresco	fresco	AQ0MS0	fresco
	,	Fc	,
me	me	PP1CS000	me
embiara	enviará	VMIF3S0	enviar
um	un	DI0MS0	uno
media	media	NCFS000	media
dosena	docena	NCFS000	docena
de	de	SPS00	de
ellos	ellos	PP3MP000	ellos
	.	Fp	.
y	Y	CC	y
no	no	RN	no
se	se	P00CN000	se
olviden	olviden	VMSP3P0	olvidar
los	los	DA0MP0	el
corderos	corderos	NCMP000	cordero
para	para	SPS00	para
pascua	Pascua	NP00000	pascua
	,	Fc	,
ya	ya	RG	ya
que	que	CS	que
no	no	RN	no
vinieron	vinieron	VMIS3P0	venir
para	para	SPS00	para
carnestollendas	carnestolendas	NP00000	carnestolendas
.	.	Fp	.
embio	Envío	VMIP1S0	enviar
a	a	SPS00	a
Vm	VM	NP00000	VM
la	la	DA0FS0	el
carta	carta	NCFS000	carta
de	de	SPS00	de
la	la	DA0FS0	el
Me	madre	NCFS000	madre
Josepha	Josefa	NP00000	josefa
	,	Fc	,
que	que	CS	que
a	ha	VMIP3S0	haber
zerca	cerca	RG	cerca
de	de	SPS00	de
dos	dos	Z	2
meses	meses	NCMP000	mes
que	que	PR0CN000	que
esta	está	VMIP3S0	estar
en	en	SPS00	en
casa	casa	NCFS000	casa
	.	Fp	.
y	Y	CC	y
con	con	SPS00	con
esto	esto	PD0NN000	esto
no	no	RN	no
canso	canso	VMIP1S0	cansar
mas	más	RC	más
a	a	SPS00	a
Vm	VM	NP00000	VM
si	si	CS	si
no	no	RN	no
es	es	VSIP3S0	ser
que	que	CS	que
me	me	PP1CS000	me
le	le	PP3CSD00	le
gde	guarde	VMSP0S0	guardar
Dios	Dios	NP00000	dios
los	los	DA0MP0	el
m	muchos	DI0MP0	mucho
a	años	NCMP000	año
que	que	PR0CN000	que
deseo	deseo	VMIP1S0	desear
y	y	CC	y
e	he	VMIP1S0	haber
menester	menester	NCMS000	menester
para	para	SPS00	para
mi	mi	DP1CSS	mi
consuelo	consuelo	NCMS000	consuelo
	.	Fp	.
y	Y	CC	y
me	me	PP1CS000	me
encomendara	encomendará	VMIF3S0	encomendar
Vm	VM	NP00000	VM
a	a	SPS00	a
Dios	Dios	NP00000	dios
y	y	CC	y
se	se	PP3CN000	se
lo	lo	PP3CNA00	lo
suplicara	suplicará	VMIF3S0	suplicar
a	a	SPS00	a
mi	mi	DP1CSS	mi
tia	tía	NCFS000	tía
	,	Fc	,
como	como	CS	como
tan	tan	RC	tan
buena	buena	AQ0FS0	bueno
christiana	cristiana	NCFS000	cristiano
	.	Fp	.
y	Y	CC	y
que	que	CS	que
vea	vea	VMSP0S0	ver
si	si	CS	si
se	se	P00CN000	se
le	le	PP3CSD00	le
ofreze	ofrece	VMIP3S0	ofrecer
algo	algo	PI0CS000	algo
de	de	SPS00	de
estos	estos	DD0MP0	este
parajes	parajes	NCMP000	paraje
en	en	SPS00	en
que	que	CS	que
io	yo	PP1CSN00	yo
la	la	PP3FSA00	lo
pueda	pueda	VMSP0S0	poder
servir	servir	VMN0000	servir
	,	Fc	,
que	que	CS	que
lo	lo	PP3CNA00	lo
hare	haré	VMIF1S0	hacer
como	como	CS	como
es	es	VSIP3S0	ser
de	de	SPS00	de
mi	mi	DP1CSS	mi
obligazion	obligación	NCFS000	obligación
	.	Fp	.
Md	Madrid	NP00000	madrid
	,	Fc	,
y	y	CC	y
Marzo	marzo	NCMS000	marzo
23	23	Z	23
de	de	SPS00	de
1708	1708	Z	1708
.	.	Fp	.
sobrina	Sobrina	NCFS000	sobrino
de	de	SPS00	de
Vm	VM	NP00000	VM
que	que	PR0CN000	que
su	su	DP3CS0	su
mano	mano	NCFS000	mano
b	besa	VMIP3S0	besar
y	y	CC	y
estima	estima	VMIP3S0	estimar
y	y	CC	y
desea	desea	VMIP3S0	desear
ber	ver	VMN0000	ver
	,	Fc	,
Da	doña	NP00000	don
Catalina	Catalina	NP00000	catalina
thio	Tío	NP00000	tío
mio	mío	DP1MSS	mío
	,	Fc	,
Polonia	Polonia	NP00000	polonia
me	me	PP1CS000	me
a	ha	VAIP3S0	haber
preguntado	preguntado	VMP0000	preguntar
si	si	CSI	si
su	su	DP3CS0	su
hermano	hermano	NCMS000	hermano
Matheo	Mateo	NP00000	mateo
a	ha	VAIP3S0	haber
muerto	muerto	VMP0000	morir
y	y	CC	y
yo	yo	PP1CSN00	yo
se	sé	VMIP1S0	saber
que	que	CS	que
si	sí	RG	sí
	,	Fc	,
que	que	CS	que
su	su	DP3CS0	su
muerte	muerte	NCFS000	muerte
fue	fue	VSIS3S0	ser
antes	antes	RG	antes
de	de	SPS00	de
navidad	Navidad	NP00000	navidad
	.	Fp	.
y	Y	CC	y
por	por	SPS00	por
no	no	RN	no
darla	darla	VMN0000+PP3FSA00	dar+lo
pesadumbre	pesadumbre	NCFS000	pesadumbre
le	le	PP3CSD00	le
digo	digo	VMIP1S0	decir
que	que	CS	que
no	no	RN	no
lo	lo	PP3CNA00	lo
se	sé	VMIP1S0	saber
	.	Fp	.
y	Y	CC	y
se	se	P00CN000	se
me	me	PP1CS000	me
haze	hace	VMIP3S0	hacer
escrupulo	escrúpulo	NCMS000	escrúpulo
el	el	DA0MS0	el
que	que	CS	que
aquella	aquella	DD0FS0	aquel
alma	alma	NCFS000	alma
pierda	pierda	VMSP0S0	perder
las	las	DA0FP0	el
oraziones	oraciones	NCFP000	oración
o	o	CC	o
misas	misas	NCFP000	misa
que	que	CS	que
la	la	PP3FSA00	lo
puedan	puedan	VMSP3P0	poder
dezir	decir	VMN0000	decir
	.	Fp	.
si	Si	CS	si
a	a	SPS00	a
Vm	VM	NP00000	VM
le	le	PP3CSD00	le
pareze	parece	VMIP3S0	parecer
	,	Fc	,
se	se	PP3CN000	se
lo	lo	PP3CNA00	lo
puede	puede	VMIP3S0	poder
dezir	decir	VMN0000	decir
consolandola	consolándola	VMG0000+PP3FSA00	consolar+lo
de	de	SPS00	de
su	su	DP3CS0	su
sentimto	sentimiento	NCMS000	sentimiento
	;	Fx	;
y	y	CC	y
no	no	RN	no
lo	lo	PP3CNA00	lo
dudo	dudo	VMIP1S0	dudar
sera	será	VSIF3S0	ser
grande	grande	AQ0CS0	grande
	.	Fp	.
A	A	SPS00	a
Dn	don	NP00000	don
Pedro	Pedro	NP00000	pedro
Sr	Señor	NP00000	señor
y	y	CC	y
Angulo	Angulo	NP00000	angulo
	,	Fc	,
mi	mi	DP1CSS	mi
tio	tío	NCMS000	tío
y	y	CC	y
Sr	señor	NP00000	señor
	.	Fp	.
siento	Siento	VMIP1S0	sentir
mucho	mucho	RQ	mucho
no	no	RN	no
embiar	enviar	VMN0000	enviar
nada	nada	PI0NN00N	nada
a	a	SPS00	a
pepita	Pepita	NP00000	pepita
que	que	CS	que
