tio	Tío		
y	y		
mui	muy		
querido	querido		
de	de		
mi	mi		
vida	vida		
	.		
Rezivi	Recibí		
la	la		
de	de		
Vm	VM		
y	y		
siento	siento		
mu	muy		
en	en		
mi	mi		
corazon	corazón		
que	que		
Vm	VM		
y	y		
mi	mi		
tia	tía		
no	no		
tengan	tengan		
la	la		
caval	cabal		
salud	salud		
que	que		
yo	yo		
les	les		
deseo	deseo		
	,		
pero	pero		
tengo	tengo		
el	el		
consuelo	consuelo		
de	de		
que	que		
son	son		
resfriados	resfriados		
los	los		
que	que		
Vms	VMs		
padezen	padecen		
	,		
epidemia	epidemia		
que	que		
corre	corre		
por	por		
todas	todas		
partes	partes		
	.		
yo	Yo		
e	he		
estado	estado		
estos	estos		
dias	días		
con	con		
calenturas	calenturas		
y	y		
un	un		
dolor	dolor		
en	en		
un	un		
lado	lado		
que	que		
parezia	parecía		
ser	ser		
dolor	dolor		
de	de		
costado	costado		
	.		
grazias	Gracias		
a	a		
Dios	Dios		
estoi	estoy		
mejor	mejor		
y	y		
ando	ando		
en	en		
pie	pie		
	,		
y	y		
de	de		
qualquiera	cualquiera		
suerte	suerte		
para	para		
servir	servir		
a	a		
Vm	VM		
en	en		
qto	cuanto		
yo	yo		
pueda	pueda		
,	.		
y	Y		
Dn	don		
Balthasar	Baltasar		
y	y		
los	los		
niños	niños		
dizen	dicen		
lo	lo		
mismo	mismo		
y	y		
todos	todos		
estan	están		
buenos	buenos		
y	y		
embia	envía		
mui	muy		
cariñosas	cariñosas		
memorias	memorias		
	.		
y	Y		
Dn	don		
Balthasar	Baltasar		
estima	estima		
el	el		
cuidado	cuidado		
de	de		
Vm	VM		
en	en		
su	su		
dependienzia	dependencia		
y	y		
suppca	suplica		
a	a		
Vm	VM		
que	que		
qto	cuanto		
antes	antes		
le	le		
pueda	pueda		
responder	responder		
	,		
q	que		
se	se		
lo	lo		
estimara	estimará		
mucho	mucho		
.	.		
Rezivi	Recibí		
de	de		
Ventura	Ventura		
los	los		
veynte	veinte		
Reales	reales		
de	de		
a	a		
ocho	ocho		
en	en		
la	la		
misma	misma		
moneda	moneda		
que	que		
Vm	VM		
me	me		
lo	lo		
dize	dice		
en	en		
su	su		
carta	carta		
	,		
de	de		
q	que		
doi	doy		
Repetidas	repetidas		
grazias	gracias		
a	a		
Vm	VM		
	.		
y	Y		
que	que		
Dios	Dios		
se	se		
lo	lo		
pague	pague		
y	y		
que	que		
lo	lo		
alle	halle		
en	en		
el	el		
cielo	cielo		
	,		
que	que		
vien	bien		
save	sabe		
Dios	Dios		
lo	lo		
que	que		
lo	lo		
nezesito	necesito		
.	.		
A	A		
mi	mi		
tia	tía		
dara	dará		
Vm	VM		
mis	mis		
cariñosas	cariñosas		
memorias	memorias		
	,		
que	que		
estimo	estimo		
mucho	mucho		
las	las		
que	que		
su	su		
mrcd	merced		
me	me		
embia	envía		
,	,		
que	que		
Dios	Dios		
le	le		
pague	pague		
lo	lo		
que	que		
se	se		
acuerda	acuerda		
de	de		
mi	mí		
	,		
ya	ya		
que	que		
yo	yo		
no	no		
puedo	puedo		
si	si		
no	no		
es	es		
enconmendarla	encomendarla		
a	a		
Dios	Dios		
.	.		
Ventura	Ventura		
lleva	lleva		
tres	tres		
vollos	bollos		
de	de		
manteca	manteca		
de	de		
vacas	vacas		
y	y		
una	una		
libra	libra		
de	de		
caramelos	caramelos		
de	de		
los	los		
anjeles	ángeles		
	,		
que	que		
todo	todo		
es	es		
mui	muy		
bueno	bueno		
para	para		
resfriados	resfriados		
	,		
y	y		
dos	dos		
dozenas	docenas		
de	de		
limas	limas		
para	para		
que	que		
pepita	Pepita		
se	se		
entretenga	entretenga		
en	en		
jugar	jugar		
	.		
y	Y		
siento	siento		
en	en		
mi	mi		
corazon	corazón		
el	el		
que	que		
no	no		
aya	haya		
coliflores	coliflores		
ni	ni		
otra	otra		
cosa	cosa		
que	que		
poder	poder		
embiar	enviar		
	,		
que	que		
con	con		
el	el		
tiempo	tiempo		
esta	está		
todo	todo		
consumido	consumido		
.	.		
D	Dios		
gde	guarde		
a	a		
Vm	VM		
los	los		
ms	muchos		
as	años		
que	que		
deseo	deseo		
y	y		
e	he		
menester	menester		
para	para		
mi	mí		
consuelo	consuelo		
	.		
Md	Madrid		
	,		
y	y		
Abril	abril		
10	10		
de	de		
1708	1708		
.	.		
Sobrina	Sobrina		
de	de		
Vm	VM		
que	que		
su	su		
m	mano		
b	besa		
y	y		
estima	estima		
de	de		
corazon	corazón		
y	y		
desea	desea		
dar	dar		
un	un		
abrazo	abrazo		
	,		
Da	doña		
Catalina	Catalina		
Si	Si		
biniere	viniere		
jente	gente		
	,		
que	que		
no	no		
se	se		
olviden	olviden		
los	los		
corderos	corderos		
	.		
