tio	Tío	NCMS000	tío
y	y	CC	y
mui	muy	RQ	muy
qrido	querido	VMP00SM	querer
mio	mío	DP1MSS	mío
	.	Fp	.
con	Con	SPS00	con
la	la	DA0FS0	el
ocasion	ocasión	NCFS000	ocasión
de	de	SPS00	de
enbiar	enviar	VMN0000	enviar
a	a	SPS00	a
Vmd	VM	NP00000	VM
una	una	DI0FS0	uno
carta	carta	NCFS000	carta
de	de	SPS00	de
la	la	DA0FS0	el
madre	madre	NCFS000	madre
josefa	Josefa	NP00000	josefa
	(	Fba	(
q	que	CS	que
me	me	PP1CS000	me
la	la	PP3FSA00	lo
enbio	envió	VMIS3S0	enviar
con	con	SPS00	con
grande	grande	AQ0CS0	grande
encargo	encargo	NCMS000	encargo
para	para	SPS00	para
q	que	CS	que
se	se	PP3CN000	se
la	la	PP3FSA00	lo
remitiese	remitiese	VMSI0S0	remitir
a	a	SPS00	a
Vmd	VM	NP00000	VM
y	y	CC	y
q	que	CS	que
l	le	PP3CSD00	le
enbien	envíen	VMSP3P0	enviar
respuesta	respuesta	NCFS000	respuesta
antes	antes	RG	antes
q	que	CS	que
se	se	P00CN000	se
acabe	acabe	VMSP0S0	acabar
la	la	DA0FS0	el
curesma	Cuaresma	NP00000	cuaresma
	)	Fbt	)
no	no	RN	no
escuso	excuso	VMIP1S0	excusar
d	de	SPS00	de
escribir	escribir	VMN0000	escribir
estos	estos	DD0MP0	este
renglones	renglones	NCMP000	renglón
por	por	SPS00	por
saber	saber	VMN0000	saber
de	de	SPS00	de
la	la	DA0FS0	el
salud	salud	NCFS000	salud
de	de	SPS00	de
Vmd	VM	NP00000	VM
y	y	CC	y
de	de	SPS00	de
mi	mi	DP1CSS	mi
tia	tía	NCFS000	tía
y	y	CC	y
de	de	SPS00	de
la	la	DA0FS0	el
niña	niña	NCFS000	niño
	,	Fc	,
q	que	CS	que
me	me	PP1CS000	me
alegrare	alegraré	VMIF1S0	alegrar
la	la	PP3FSA00	lo
lugren	logren	VMSP3P0	lograr
mui	muy	RQ	muy
perfecta	perfecta	AQ0FS0	perfecto
como	como	CS	como
yo	yo	PP1CSN00	yo
deseo	deseo	VMIP1S0	desear
	.	Fp	.
y	Y	CC	y
esta	ésta	PD0FS000	este
la	la	PP3FSA00	lo
tengo	tengo	VMIP1S0	tener
escrita	escrita	VMP00SF	escribir
desde	desde	SPS00	desde
q	que	CS	que
recibi	recibí	VMIS1S0	recibir
la	la	DA0FS0	el
de	de	SPS00	de
la	la	DA0FS0	el
madre	madre	NCFS000	madre
josefa	Josefa	NP00000	josefa
por	por	SPS00	por
no	no	RN	no
acerle	hacerle	VMN0000+PP3CSD00	hacer+le
mala	mala	AQ0FS0	malo
obra	obra	NCFS000	obra
al	al	SPS00+DA0MS0	a+el
q	que	PR0CN000	que
biniere	viniere	VMSF0S0	venir
	,	Fc	,
q	que	CS	que
me	me	PP1CS000	me
di-jo	dijo	VMIS3S0	decir
q	que	CS	que
habia	había	VMII0S0	haber
estar	estar	VMN0000	estar
aqui	aquí	RG	aquí
el	el	DA0MS0	el
biernes	viernes	NCMN000	viernes
y	y	CC	y
boy	voy	VMIP1S0	ir
dos	dos	Z	2
biernes	viernes	NCMN000	viernes
y	y	CC	y
no	no	RN	no
e	he	VAIP1S0	haber
bisto	visto	VMP0000	ver
a	a	SPS00	a
nadie	nadie	PI0NN00N	nadie
	,	Fc	,
q	que	CS	que
sienpre	siempre	RG	siempre
açen	hacen	VMIP3P0	hacer
ellos	ellos	PP3MP000	ellos
estas	estas	DD0FP0	este
y	Y	CC	y
aora	ahora	RG	ahora
	,	Fc	,
con	con	SPS00	con
la	la	DA0FS0	el
ocasion	ocasión	NCFS000	ocasión
de	de	SPS00	de
aber	haber	VAN0000	haber
parido	parido	VMP0000	parir
el	el	DA0MS0	el
dominago	domingo	NCMS000	domingo
a	a	SPS00	a
dos	dos	Z	2
de	de	SPS00	de
abril	abril	NCMS000	abril
	,	Fc	,
no	no	RN	no
escuso	excuso	VMIP1S0	excusar
el	el	DA0MS0	el
manifestar	manifestar	VMN0000	manifestar
a	a	SPS00	a
Vmd	VM	NP00000	VM
como	como	CS	como
tiene	tiene	VMIP3S0	tener
un	un	DI0MS0	uno
sobrino	sobrino	NCMS000	sobrino
nuv	nuevo	AQ0MS0	nuevo
i	y	CC	y
q	que	CS	que
de	de	SPS00	de
mi	mi	DP1CSS	mi
pte	parte	NCFS000	parte
se	se	PP3CN000	se
lo	lo	PP3CNA00	lo
partecipe	participe	VMSP0S0	participar
a	a	SPS00	a
mi	mi	DP1CSS	mi
tia	tía	NCFS000	tía
	,	Fc	,
a	a	SPS00	a
quien	quien	PR0CS000	quien
no	no	RN	no
escribo	escribo	VMIP1S0	escribir
por	por	SPS00	por
no	no	RN	no
enbaraçarla	embarazarla	VMN0000+PP3FSA00	embarazar+lo
y	y	CC	y
por	por	SPS00	por
allarme	hallarme	VMN0000+PP1CS000	hallar+me
en	en	SPS00	en
la	la	DA0FS0	el
cama	cama	NCFS000	cama
.	.	Fp	.
aunq	Aunque	CC	aunque
fue	fue	VSIS3S0	ser
dios	Dios	NP00000	dios
serbido	servido	VMP00SM	servir
de	de	SPS00	de
sacarme	sacarme	VMN0000+PP1CS000	sacar+me
con	con	SPS00	con
felicidad	felicidad	NCFS000	felicidad
	,	Fc	,
me	me	PP1CS000	me
bi	vi	VMIS1S0	ver
mui	muy	RQ	muy
apretada	apretada	VMP00SF	apretar
por	por	SPS00	por
lo	lo	DA0NS0	el
grande	grande	AQ0CS0	grande
del	del	SPS00+DA0MS0	de+el
niño	niño	NCMS000	niño
	,	Fc	,
por	por	SPS00	por
las	las	DA0FP0	el
pocas	pocas	DI0FP0	poco
fuerças	fuerzas	NCFP000	fuerza
	,	Fc	,
por	por	SPS00	por
aberme	haberme	VAN0000+PP1CS000	haber+me
sangrado	sangrado	NCMS000	sangrado
un	un	DI0MS0	uno
dia	día	NCMS000	día
antes	antes	RG	antes
por	por	SPS00	por
el	el	DA0MS0	el
dolor	dolor	NCMS000	dolor
	,	Fc	,
de	de	SPS00	de
la	la	DA0FS0	el
q	que	PR0CN000	que
aun	aún	RG	aun
no	no	RN	no
se	se	P00CN000	se
me	me	PP1CS000	me
a	ha	VAIP3S0	haber
quitado	quitado	VMP0000	quitar
	.	Fp	.
pero	Pero	CC	pero
gracias	gracias	NCFP000	gracia
a	a	SPS00	a
dios	Dios	NP00000	dios
ast	hasta	SPS00	hasta
aora	ahora	RG	ahora
no	no	RN	no
e	he	VAIP1S0	haber
tenido	tenido	VMP0000	tener
acidente	accidente	NCMS000	accidente
ninguno	ninguno	DI0MS0	ninguno
siendo	siendo	VSG0000	ser
el	el	DA0MS0	el
q	que	PR0CN000	que
me	me	PP1CS000	me
dio	dio	VMIS3S0	dar
acabada	acabada	VMP00SF	acabar
de	de	SPS00	de
parir	parir	VMN0000	parir
	,	Fc	,
q	que	CS	que
dizen	dicen	VMIP3P0	decir
q	que	CS	que
me	me	PP1CS000	me
qde	quedé	VMIS1S0	quedar
tal	tal	RC	tal
q	que	CS	que
les	les	PP3CPD00	le
di	di	VMIS1S0	dar
gran	gran	AQ0CS0	gran
cuidado	cuidado	NCMS000	cuidado
a	a	SPS00	a
todos	todos	DI0MP0	todo
los	los	DA0MP0	el
q	que	PR0CN000	que
se	se	P00CN000	se
allaron	hallaron	VMIS3P0	hallar
aqui	aquí	RG	aquí
	,	Fc	,
q	que	CS	que
discurieron	discurrieron	VMIS3P0	discurrir
no	no	RN	no
abia	había	VMII0S0	haber
de	de	SPS00	de
bolber	volver	VMN0000	volver
	.	Fp	.
y	Y	CC	y
aora	ahora	RG	ahora
pido	pido	VMIP1S0	pedir
a	a	SPS00	a
Vmd	VM	NP00000	VM
que	que	CS	que
por	por	SPS00	por
amor	amor	NCMS000	amor
de	de	SPS00	de
dios	Dios	NP00000	dios
me	me	PP1CS000	me
aga	haga	VMSP0S0	hacer
gusto	gusto	NCMS000	gusto
de	de	SPS00	de
enbiarme	enviarme	VMN0000+PP1CS000	enviar+me
mil	mil	Z	1000
riales	reales	NCMP000	real
	,	Fc	,
q	que	CS	que
con	con	SPS00	con
los	los	DA0MP0	el
muchos	muchos	DI0MP0	mucho
gastos	gastos	NCMP000	gasto
q	que	CS	que
aora	ahora	RG	ahora
se	se	P00CN000	se
an	han	VAIP3P0	haber
ofrecido	ofrecido	VMP0000	ofrecer
de	de	SPS00	de
medico	médico	NCMS000	médico
y	y	CC	y
cirujano	cirujano	NCCS000	cirujano
y	y	CC	y
cama	cama	NCFS000	cama
y	y	CC	y
otros	otros	DI0MP0	otro
muchos	muchos	PI0MP000	mucho
q	que	PR0CN000	que
se	se	P00CN000	se
ofrecen	ofrecen	VMIP3P0	ofrecer
	,	Fc	,
comomo	como	CS	como
puede	puede	VMIP3S0	poder
considerar	considerar	VMN0000	considerar
	,	Fc	,
q	que	CS	que
en	en	SPS00	en
estando	estando	VMG0000	estar
mas	más	RC	más
desaogados	desahogados	CS	desahogados
yo	yo	PP1CSN00	yo
los	los	PP3MPA00	lo
bolbere	volveré	VMIF1S0	volver
a	a	SPS00	a
Vmd	VM	NP00000	VM
	.	Fp	.
don	Don	NP00000	don
baltasar	Baltasar	NP00000	baltasar
no	no	RN	no
tien	tiene	VMIP3S0	tener
naturaleza	naturaleza	NCFS000	naturaleza
de	de	SPS00	de
pedir	pedir	VMN0000	pedir
nada	nada	PI0NN00N	nada
	,	Fc	,
q	que	CS	que
primero	primero	RG	primero
bendiera	vendiera	VMSI0S0	vender
la	la	DA0FS0	el
camisa	camisa	NCFS000	camisa
	,	Fc	,
ni	ni	CC	ni
yo	yo	PP1CSN00	yo
tapoco	tampoco	RG	tampoco
si	si	CS	si
no	no	RN	no
fuera	fuera	VSSI0S0	ser
a	a	SPS00	a
Vmd	VM	NP00000	VM
q	que	CS	que
no	no	RN	no
tengo	tengo	VMIP1S0	tener
a	a	SPS00	a
quien	quien	PR0CS000	quien
bolber	volver	VMN0000	volver
caveza	cabeza	NCFS000	cabeza
	.	Fp	.
y	Y	CC	y
con	con	SPS00	con
esto	esto	PD0NN000	esto
no	no	RN	no
cansamos	cansamos	VMIP1P0	cansar
a	a	SPS00	a
Vmd	VM	NP00000	VM
	,	Fc	,
a	a	SPS00	a
quien	quien	PR0CS000	quien
pido	pido	VMIP1S0	pedir
a	a	SPS00	a
dios	Dios	NP00000	dios
q	que	CS	que
me	me	PP1CS000	me
gd	guarde	VMSP0S0	guardar
m	muchos	DI0MP0	mucho
a	años	NCMP000	año
como	como	CS	como
deseo	deseo	VMIP1S0	desear
y	y	CC	y
e	he	VMIP1S0	haber
menester	menester	NCMS000	menester
	.	Fp	.
Sobrina	Sobrina	NCFS000	sobrino
de	de	SPS00	de
Vmd	VM	NP00000	VM
q	que	PR0CN000	que
mas	más	RC	más
quiere	quiere	VMIP3S0	querer
y	y	CC	y
estima	estima	VMIP3S0	estimar
	.	Fp	.
de	De	SPS00	de
abril	abril	NCMS000	abril
a	a	SPS00	a
6	6	Z	6
de	de	SPS00	de
1707	1707	Z	1707
.	.	Fp	.
pido	Pido	VMIP1S0	pedir
a	a	SPS00	a
su	su	DP3CS0	su
md	merced	NCFS000	merced
q	que	CS	que
em	en	SPS00	en
biendo	viendo	VMG0000	ver
esta	ésta	PD0FS000	este
la	la	PP3FSA00	lo
ronpa	rompa	VMSP0S0	romper
	,	Fc	,
q	que	CS	que
no	no	RN	no
esta	está	VMIP3S0	estar
para	para	SPS00	para
q	que	CS	que
nadie	nadie	PI0NN00N	nadie
la	la	PP3FSA00	lo
bea	vea	VMSP0S0	ver
	.	Fp	.
