Estimadissimo	Estimadísimo	AQSMS0	estimado
Amigo	amigo	NP00000	amigo
y	y	CC	y
mi	mi	DP1CSS	mi
Du-eño	dueño	NCMS000	dueño
.	.	Fp	.
ya	Ya	RG	ya
à	ha	VMIP3S0	haber
dias	días	NCMP000	día
escrivi	escribí	VMIS1S0	escribir
à	a	SPS00	a
Vm	VM	NP00000	VM
y	y	CC	y
despues	después	RG	después
he	he	VAIP1S0	haber
padecido	padecido	VMP0000	padecer
una	una	DI0FS0	uno
fluxion	fluxión	NCFS000	fluxión
a	a	SPS00	a
los	los	DA0MP0	el
ojos	ojos	NCMP000	ojo
q	que	PR0CN000	que
me	me	PP1CS000	me
ha	ha	VAIP3S0	haber
te-nido	tenido	VMP0000	tener
inhavil	inhábil	AQ0CS0	inhábil
al	al	SPS00+DA0MS0	a+el
bufete	bufete	NCMS000	bufete
,	.	Fp	.
y	Y	CC	y
en	en	SPS00	en
todo	todo	DI0MS0	todo
este	este	DD0MS0	este
tiempo	tiempo	NCMS000	tiempo
no	no	RN	no
he	he	VAIP1S0	haber
recivi-do	recibido	VMP0000	recibir
carta	carta	NCFS000	carta
alguna	alguna	DI0FS0	alguno
suya	suya	PX3FS000	suyo
.	.	Fp	.
Asi	Así	RG	así
	,	Fc	,
le	le	PP3CSD00	le
busco	buscó	VMIS3S0	buscar
por	por	SPS00	por
esta	ésta	PD0FS000	este
deseando	deseando	VMG0000	desear
encontrar	encontrar	VMN0000	encontrar
a	a	SPS00	a
Vm	VM	NP00000	VM
bueno	bueno	AQ0MS0	bueno
y	y	CC	y
afecto	afecto	NCMS000	afecto
,	,	Fc	,
porq	porque	CS	porque
lo	lo	PP3CNA00	lo
aprehendo	aprehendo	VMIP1S0	aprehender
senti-do	sentido	NCMS000	sentido
de	de	SPS00	de
sola	sola	AQ0FS0	solo
aprehension	aprehensión	NCFS000	aprehensión
,	,	Fc	,
efec-to	efecto	NCMS000	efecto
quizá	quizá	RG	quizá
de	de	SPS00	de
las	las	DA0FP0	el
hablillas	hablillas	NCFP000	hablilla
que	que	PR0CN000	que
me	me	PP1CS000	me
dijo	dijo	VMIS3S0	decir
diaz	Díaz	NP00000	díaz
y	y	CC	y
q	que	CS	que
prudentemte	prudentemente	RG	prudentemente
fueron	fueron	VMIS3P0	ir
por	por	SPS00	por
la	la	DA0FS0	el
carta	carta	NCFS000	carta
mia	mía	PX1FS0S0	mío
q	que	CS	que
el	el	DA0MS0	el
buen	buen	AQ0MS0	bueno
abrio	abrió	VMIS3S0	abrir
à	a	SPS00	a
Vm	VM	NP00000	VM
.	.	Fp	.
Amigo	Amigo	NP00000	amigo
,	,	Fc	,
otro	otro	PI0MS000	otro
pero	pero	CC	pero
de	de	SPS00	de
otros	otros	DI0MP0	otro
dotes	dotes	NCFP000	dote
y	y	CC	y
extrahordi-narias	extraordinarias	AQ0FP0	extraordinario
luzes	luces	NCFP000	luz
me	me	PP1CS000	me
tiene	tiene	VMIP3S0	tener
tonto	tonto	AQ0FS0	tonto
con	con	SPS00	con
la	la	DA0FS0	el
2	2	Z	2
pte	parte	NCFS000	parte
de	de	SPS00	de
el	el	DA0MS0	el
indice	índice	NCMS000	índice
critico	critico	VMIP1S0	criticar
-	-	Fc	-
dogmatico	dogmático	NCMS000	dogmático
,	,	Fc	,
obra	obra	NCFS000	obra
q	que	CS	que
Vm	VM	NP00000	VM
mas	más	RC	más
de	de	SPS00	de
una	una	DI0FS0	uno
vez	vez	NCFS000	vez
me	me	PP1CS000	me
hablo	habló	VMIS3S0	hablar
,	,	Fc	,
pero	pero	CC	pero
q	que	CS	que
yo	yo	PP1CSN00	yo
entonces	entonces	RG	entonces
nò	no	RN	no
pensè	pensé	VMIS1S0	pensar
pudiera	pudiera	VMSI0S0	poder
ser	ser	VSN0000	ser
lo	lo	DA0NS0	el
q	que	PR0CN000	el
veo	veo	VMIP1S0	ver
es	es	VSIP3S0	ser
	.	Fp	.
çierto	Cierto	AQ0MS0	cierto
de	de	SPS00	de
verdad	verdad	NCFS000	verdad
me	me	PP1CS000	me
desatina	desatina	VMIP3S0	desatinar
tanta	tanta	DI0FS0	tanto
aglome-rada	aglomerada	VMP00SF	aglomerar
y	y	CC	y
conglomerada	conglomerada	VMP00SF	conglomerar
espe-cie	especie	NCFS000	especie
,	.	Fp	.
que	Que	CS	que
	,	Fc	,
si	si	CS	si
bien	bien	RG	bien
cada	cada	DI0CN0	cada
una	una	DI0FS0	uno
de	de	SPS00	de
por	por	SPS00	por
si	sí	RG	sí
seria	sería	VSIC0S0	ser
facil	fácil	AQ0CS0	fácil
exprobarla	exprobarla	VMN0000+PP3FSA00	exprobar+lo
	,	Fc	,
juntas	juntas	AQ0FP0	junto
y	y	CC	y
con	con	SPS00	con
una	una	DI0FS0	uno
acolucia	acolucia	NCFS000	acolucia
peregrina	peregrina	NCFS000	peregrino
parecen	parecen	VMIP3P0	parecer
asertos	asertos	NCMP000	aserto
invencibles	invencibles	NCMP000	invencibl
.	.	Fp	.
Mas	Mas	CC	mas
no	no	RN	no
entiendo	entiendo	VMIP1S0	entender
como	cómo	PA000000	cómo
pueda	pueda	VMSP0S0	poder
admitirse	admitirse	VMN0000+P00CN000	admitir+se
un	un	DI0MS0	uno
tal	tal	RC	tal
proiecto	proyecto	NCMS000	proyecto
sin	sin	SPS00	sin
q	que	CS	que
la	la	DA0FS0	el
sus-pension	suspensión	NCFS000	suspensión
q	que	PR0CN000	que
pide	pide	VMIP3S0	pedir
sea	sea	VSSP0S0	ser
formal	formal	AQ0CS0	formal
duda	duda	NCFS000	duda
.	.	Fp	.
Y	Y	CC	y
entonces	entonces	RG	entonces
Para	para	SPS00	para
mi	mí	PP1CSO00	mí
lo	lo	DA0NS0	el
mismo	mismo	AQ0MS0	mismo
es	es	VSIP3S0	ser
dudar	dudar	VMN0000	dudar
q	que	CS	que
no	no	RN	no
cre-er	creer	VMN0000	creer
.	.	Fp	.
Asi	Así	RG	así
q	que	CS	que
	,	Fc	,
pues	pues	CS	pues
Vm	VM	NP00000	VM
ha	ha	VAIP3S0	haber
con-ferido	conferido	VMP0000	conferir
