Amigo	Amigo	NP00000	amigo
y	y	CC	y
mui	muy	RQ	muy
Sr	señor	NP00000	señor
mio	mío	DP1MSS	mío
	.	Fp	.
la	La	DA0FS0	el
gratisima	gratísima	NCFS000	gratísima
de	de	SPS00	de
Vmd	VM	NP00000	VM
de	de	SPS00	de
10	10	Z	10
del	del	SPS00+DA0MS0	de+el
corrte	corriente	AQ0CS0	corriente
resivo	recibo	NCMS000	recibo
con	con	SPS00	con
el	el	DA0MS0	el
apresio	aprecio	NCMS000	aprecio
que	que	PR0CN000	que
se	se	P00CN000	se
merese	merece	VMIP3S0	merecer
	.	Fp	.
y	Y	CC	y
en	en	SPS00	en
su	su	DP3CS0	su
respuesta	respuesta	NCFS000	respuesta
devo	debo	VMIP1S0	deber
desir	decir	VMN0000	decir
que	que	CS	que
el	el	DA0MS0	el
cacao	cacao	NCMS000	cacao
de	de	SPS00	de
caracas	Caracas	NP00000	caracas
vale	vale	VMIP3S0	valer
aqui	aquí	RG	aquí
oy	hoy	RG	hoy
de	de	SPS00	de
16	16	Z	16
1/2	1/2	Z	1/2
â	a	SPS00	a
17	17	Z	17
rs	reales	NCMP000	real
pla	plata	NCFS000	plata
	.	Fp	.
el	El	DA0MS0	el
millar	millar	NCMS000	millar
hasta	hasta	SPS00	hasta
aora	ahora	RG	ahora
a	ha	VAIP3S0	haber
valido	valido	VMP0000	valer
a	a	SPS00	a
18	18	Z	18
rs	reales	NCMP000	real
pla	plata	NCFS000	plata
	,	Fc	,
pero	pero	CC	pero
con	con	SPS00	con
la	la	DA0FS0	el
llegada	llegada	NCFS000	llegada
de	de	SPS00	de
ese	ese	DD0MS0	ese
navio	navío	NCMS000	navío
a	ha	VAIP3S0	haber
vajado	bajado	VMP0000	bajar
al	al	SPS00+DA0MS0	a+el
presio	precio	NCMS000	precio
dicho	dicho	VMP00SM	decir
	.	Fp	.
el	El	DA0MS0	el
cacao	cacao	NCMS000	cacao
de	de	SPS00	de
guayaquil	Guayaquil	NP00000	guayaquil
vale	vale	VMIP3S0	valer
a	a	SPS00	a
15	15	Z	15
rs	reales	NCMP000	real
pla	plata	NCFS000	plata
el	el	DA0MS0	el
millar	millar	NCMS000	millar
,	,	Fc	,
bien	bien	RG	bien
veo	veo	VMIP1S0	ver
que	que	CS	que
le	le	PP3CSD00	le
paresera	parecerá	VMIF3S0	parecer
a	a	SPS00	a
Vmd	VM	NP00000	VM
poco	poco	DI0MS0	poco
presio	precio	NCMS000	precio
	,	Fc	,
pero	pero	CC	pero
le	le	PP3CSD00	le
advierto	advierto	VMIP1S0	advertir
que	que	CS	que
el	el	DA0MS0	el
millar	millar	NCMS000	millar
de	de	SPS00	de
cacao	cacao	NCMS000	cacao
en	en	SPS00	en
esta	ésta	PD0FS000	este
no	no	RN	no
son	son	VSIP3P0	ser
mas	más	RC	más
q	que	CS	que
3	3	Z	3
1/2	1/2	Z	1/2
libras	libras	NCFP000	libra
y	y	CC	y
en	en	SPS00	en
esa	ésa	PD0FS000	ese
son	son	VSIP3P0	ser
4	4	Z	4
libras	libras	NCFP000	libra
	,	Fc	,
de	de	SPS00	de
suerte	suerte	NCFS000	suerte
que	que	CS	que
	,	Fc	,
aunque	aunque	CS	aunque
el	el	DA0MS0	el
cacao	cacao	NCMS000	cacao
se	se	P00CN000	se
venda	venda	VMSP0S0	vender
aqui	aquí	RG	aquí
al	al	SPS00+DA0MS0	a+el
mismo	mismo	AQ0MS0	mismo
presio	precio	NCMS000	precio
que	que	PR0CN000	que
se	se	P00CN000	se
compra	compra	VMIP3S0	comprar
en	en	SPS00	en
esa	ésa	PD0FS000	ese
	,	Fc	,
q	que	CS	que
la	la	DA0FS0	el
diferiencia	diferencia	NCFS000	diferencia
de	de	SPS00	de
la	la	DA0FS0	el
media	media	AQ0FS0	media
libra	libra	NCFS000	libra
en	en	SPS00	en
cada	cada	DI0CN0	cada
millar	millar	NCMS000	millar
se	se	P00CN000	se
gana	gana	NCFS000	gana
12	12	Z	12
lb	libras	NCFP000	libra
p	por	SPS00	por
rs	reales	NCMP000	real
	.	Fp	.
asi	Así	RG	así
	,	Fc	,
si	si	CS	si
a	a	SPS00	a
Vmd	VM	NP00000	VM
le	le	PP3CSD00	le
paresiere	pareciere	VMSF0S0	parecer
que	que	CS	que
pueda	pueda	VMSP0S0	poder
tener	tener	VMN0000	tener
cuenta	cuenta	NCFS000	cuenta
haga	haga	VMSP0S0	hacer
empleo	empleo	NCMS000	empleo
grande	grande	AQ0CS0	grande
	,	Fc	,
que	que	CS	que
oy	hoy	RG	hoy
con	con	SPS00	con
la	la	DA0FS0	el
corte	corte	NCFS000	corte
en	en	SPS00	en
esta	ésta	PD0FS000	este
se	se	P00CN000	se
gasta	gasta	VMIP3S0	gastar
mucho	mucho	RQ	mucho
y	y	CC	y
no	no	RN	no
lo	lo	PP3CNA00	lo
ay	hay	VMIP3S0	haber
	.	Fp	.
y	Y	CC	y
aunque	aunque	CS	aunque
viniera	viniera	VMSI0S0	venir
mucho	mucho	RQ	mucho
	,	Fc	,
se	se	P00CN000	se
venderia	vendería	VMIC0S0	vender
	.	Fp	.
estimare	Estimaré	VMIF1S0	estimar
me	me	PP1CS000	me
avise	avise	VMSP0S0	avisar
Vmd	VM	NP00000	VM
lo	lo	DA0NS0	el
que	que	PR0CN000	que
determina	determina	VMIP3S0	determinar
en	en	SPS00	en
28	28	Z	28
pa	para	SPS00	para
mi	mi	DP1CSS	mi
govierno	gobierno	NCMS000	gobierno
,	,	Fc	,
pa	para	SPS00	para
que	que	CS	que
	,	Fc	,
en	en	SPS00	en
caso	caso	NCMS000	caso
q	que	CS	que
Vmds	VMs	NP00000	VM
no	no	RN	no
determinen	determinen	VMSP3P0	determinar
nada	nada	PI0NN00N	nada
mas	más	RC	más
	,	Fc	,
se	se	P00CN000	se
me	me	PP1CS000	me
siga	siga	VMSP0S0	seguir
mala	mala	AQ0FS0	malo
obra	obra	NCFS000	obra
p	por	SPS00	por
otro	otro	DI0MS0	otro
lado	lado	NCMS000	lado
	.	Fp	.
estimo	Estimo	VMIP1S0	estimar
a	a	SPS00	a
Vmd	VM	NP00000	VM
como	como	CS	como
devo	debo	VMIP1S0	deber
el	el	DA0MS0	el
cuidado	cuidado	NCMS000	cuidado
de	de	SPS00	de
mis	mis	DP1CPS	mi
encarguitos	encarguitos	NCMP000	encarguito
	,	Fc	,
los	los	DA0MP0	el
que	que	PR0CN000	que
aun	aún	RG	aun
no	no	RN	no
an	han	VAIP3P0	haber
llegado	llegado	VMP0000	llegar
	;	Fx	;
y	y	CC	y
a	a	SPS00	a
su	su	DP3CS0	su
tpo	tiempo	NCMS000	tiempo
los	los	PP3MPA00	lo
recojeran	recogerán	VMIF3P0	recoger
	.	Fp	.
en	En	SPS00	en
cuanto	cuanto	PA000000	cuanto
a	a	SPS00	a
la	la	DA0FS0	el
Piedra	piedra	NCFS000	piedra
vesar	vesar	X	x
	,	Fc	,
ya	ya	RG	ya
no	no	RN	no
se	se	P00CN000	se
me	me	PP1CS000	me
ofrece	ofrece	VMIP3S0	ofrecer
nada	nada	PI0NN00N	nada
	,	Fc	,
pues	pues	CS	pues
no	no	RN	no
puedo	puedo	VMIP1S0	poder
remediar	remediar	VMN0000	remediar
por	por	SPS00	por
mas	más	RC	más
que	que	CS	que
digo	digo	VMIP1S0	decir
siempre	siempre	RG	siempre
	.	Fp	.
he	He	VAIP1S0	haber
visto	visto	VMP0000	ver
que	que	CS	que
la	la	DA0FS0	el
soga	soga	NCFS000	soga
quieebra	quiebra	NCFS000	quiebra
p	por	SPS00	por
lo	lo	DA0NS0	el
mas	más	RC	más
delgado	delgado	NCMS000	delgado
	.	Fp	.
asi	Así	RG	así
	,	Fc	,
es	es	VSIP3S0	ser
presiso	preciso	AQ0MS0	preciso
que	que	CS	que
quiebre	quiebre	VMSP0S0	quebrar
p	por	SPS00	por
mi	mí	PP1CSO00	mí
con	con	SPS00	con
harto	harto	DI0MS0	harto
dolor	dolor	NCMS000	dolor
,	.	Fp	.
bien	Bien	RG	bien
se	se	P00CN000	se
acuerda	acuerda	VMIP3S0	acordar
Vmd	VM	NP00000	VM
que	que	CS	que
le	le	PP3CSD00	le
escrevi	escribí	VMIS1S0	escribir
me	me	PP1CS000	me
remitiera	remitiera	VMSI0S0	remitir
las	las	DA0FP0	el
pidras	piedras	NCFP000	piedra
y	y	CC	y
que	que	CS	que
diera	diera	VMSI0S0	dar
10	10	Z	10
libras	libras	NCFP000	libra
a	a	SPS00	a
Brander	Brander	NP00000	brander
Bucler	Bucler	NP00000	bucler
a	a	SPS00	a
16	16	Z	16
pr	por	SPS00	por
libra	libra	NCFS000	libra
y	y	CC	y
que	que	CS	que
le	le	PP3CSD00	le
dijera	dijera	VMSI0S0	decir
avian	habían	VAII3P0	haber
quedado	quedado	VMP0000	quedar
mas	más	RC	más
	.	Fp	.
despues	Después	RG	después
l	le	PP3CSD00	le
esplique	expliqué	VMIS1S0	explicar
a	a	SPS00	a
Vmd	VM	NP00000	VM
q	que	CS	que
	,	Fc	,
si	si	CS	si
no	no	RN	no
avia	había	VAII0S0	haber
dado	dado	VMP0000	dar
las	las	DA0FP0	el
piedras	piedras	NCFP000	piedra
	,	Fc	,
me	me	PP1CS000	me
las	las	PP3FPA00	lo
remitieran	remitieran	VMSI3P0	remitir
a	a	SPS00	a
esta	ésta	PD0FS000	este
	.	Fp	.
y	Y	CC	y
	,	Fc	,
creyendo	creyendo	VMG0000	creer
yo	yo	PP1CSN00	yo
que	que	CS	que
vendria	vendría	VMIC0S0	venir
	,	Fc	,
las	las	PP3FPA00	lo
ajuste	ajusté	VMIS1S0	ajustar
aqui	aquí	RG	aquí
despresiando	despreciando	VMG0000	despreciar
a	a	SPS00	a
16	16	Z	16
ps	pesos	NCMP000	peso
pr	por	SPS00	por
libra	libra	NCFS000	libra
que	que	PR0CN000	que
me	me	PP1CS000	me
ofresia	ofrecía	VMII0S0	ofrecer
el	el	DA0MS0	el
dho	dicho	NCMS000	dicho
pr	por	SPS00	por
algunas	algunas	PI0FP000	alguno
	,	Fc	,
lo	lo	DA0NS0	el
q	que	PR0CN000	que
consta	consta	VMIP3S0	constar
pr	por	SPS00	por
cartas	cartas	NCFP000	carta
q	que	PR0CN000	que
me	me	PP1CS000	me
a	ha	VAIP3S0	haber
escripto	escrito	VMP0000	escribir
	.	Fp	.
las	Las	DA0FP0	el
piedras	piedras	NCFP000	piedra
tenia	tenía	VMII0S0	tener
ajustadas	ajustadas	VMP00PF	ajustar
en	en	SPS00	en
esta	ésta	PD0FS000	este
a	a	SPS00	a
20	20	Z	20
ps	pesos	NCMP000	peso
libra	libra	VMIP3S0	librar
	.	Fp	.
y	Y	CC	y
no	no	RN	no
quice	quise	VMIS1S0	querer
ajustar	ajustar	VMN0000	ajustar
mas	más	RC	más
q	que	CS	que
20	20	Z	20
libras	libras	NCFP000	libra
pque	porque	CS	porque
las	las	DA0FP0	el
restantes	restantes	AQ0CP0	restante
avia	había	VAII0S0	haber
qn	quien	PR0CS000	quien
me	me	PP1CS000	me
diera	diera	VMSI0S0	dar
a	a	SPS00	a
25	25	Z	25
ps	pesos	NCMP000	peso
pr	por	SPS00	por
libra	libra	NCFS000	libra
	,	Fc	,
conque	conque	CS	conque
hasia	hacía	VMII0S0	hacer
de	de	SPS00	de
todas	todas	DI0FP0	todo
65	65	Z	65
a	a	SPS00	a
ps	pesos	NCMP000	peso
	.	Fp	.
hallome	Hállome	VMIP1S0+PP1CS000	hallar+me
aora	ahora	RG	ahora
con	con	SPS00	con
la	la	DA0FS0	el
repentina	repentina	AQ0FS0	repentino
notisia	noticia	NCFS000	noticia
de	de	SPS00	de
que	que	CS	que
se	se	P00CN000	se
an	han	VAIP3P0	haber
vendido	vendido	VMP0000	vender
a	a	SPS00	a
13	13	Z	13
ps	pesos	NCMP000	peso
a	a	SPS00	a
Dn	don	NP00000	don
Jacovo	Jacobo	NP00000	jacobo
de	de	SPS00	de
Riemes	Riemes	NP00000	riemes
y	y	CC	y
bengo	vengo	VMIP1S0	venir
a	a	SPS00	a
perder	perder	VMN0000	perder
260	260	Z	260
ps	pesos	NCMP000	peso
sin	sin	SPS00	sin
tener	tener	VMN0000	tener
la	la	DA0FS0	el
culpa	culpa	NCFS000	culpa
	.	Fp	.
bien	Bien	RG	bien
beo	veo	VMIP1S0	ver
que	que	CS	que
el	el	DA0MS0	el
Sr	señor	NP00000	señor
Dn	don	NP00000	don
Pedro	Pedro	NP00000	pedro
se	se	P00CN000	se
equivoco	equivocó	VMIS3S0	equivocar
	,	Fc	,
pues	pues	CS	pues
le	le	PP3CSD00	le
dije	dije	VMIS1S0	decir
q	que	CS	que
a	a	SPS00	a
menos	menos	RC	menos
que	que	CS	que
16	16	Z	16
ps	pesos	NCMP000	peso
no	no	RN	no
las	las	PP3FPA00	lo
vendiera	vendiera	VMSI0S0	vender
	,	Fc	,
pero	pero	CC	pero
pues	pues	CS	pues
su	su	DP3CS0	su
merced	merced	NCFS000	merced
dice	dice	VMIP3S0	decir
q	que	CS	que
yo	yo	PP1CSN00	yo
dije	dije	VMIS1S0	decir
las	las	PP3FPA00	lo
diera	diera	VMSI0S0	dar
al	al	SPS00+DA0MS0	a+el
2	2	Z	2
	,	Fc	,
	¿	Fia	¿
q	qué	PT0CN000	qué
se	se	P00CN000	se
a	ha	VMIP3S0	haber
de	de	SPS00	de
hazer	hacer	VMN0000	hacer
	?	Fit	?
lo	Lo	DA0NS0	el
q	que	PR0CN000	que
siento	siento	VMIP1S0	sentir
es	es	VSIP3S0	ser
q	que	CS	que
dn	don	NP00000	don
jacovo	Jacobo	NP00000	jacobo
tomo	tomó	VMIS3S0	tomar
las	las	DA0FP0	el
piedras	piedras	NCFP000	piedra
pa	para	SPS00	para
el	el	DA0MS0	el
dho	dicho	NCMS000	dicho
L.	L.	NP00000	l
B.	B.	NP00000	b
Vander	Vander	NP00000	vander
Brovelle	Brovelle	NP00000	brovelle
	.	Fp	.
y	Y	CC	y
creo	creo	VMIP1S0	creer
q	que	CS	que
es	es	VSIP3S0	ser
la	la	DA0FS0	el
cosa	cosa	NCFS000	cosa
mas	más	RC	más
dolorosa	dolorosa	NCFS000	dolorosa
del	del	SPS00+DA0MS0	de+el
mundo	mundo	NCMS000	mundo
que	que	CS	que
aya	haya	VASP0S0	haber
logrado	logrado	VMP0000	lograr
el	el	DA0MS0	el
cojer	coger	VMN0000	coger
mis	mis	DP1CPS	mi
piedras	piedras	NCFP000	piedra
a	a	SPS00	a
13	13	Z	13
ps	pesos	NCMP000	peso
quando	cuando	PA000000	cuando
al	al	SPS00+DA0MS0	a+el
mismo	mismo	AQ0MS0	mismo
tpo	tiempo	NCMS000	tiempo
me	me	PP1CS000	me
estava	estaba	VMII0S0	estar
dando	dando	VMG0000	dar
a	a	SPS00	a
16	16	Z	16
ps	pesos	NCMP000	peso
y	y	CC	y
no	no	RN	no
se	se	PP3CN000	se
las	las	PP3FPA00	lo
dava	daba	VMII0S0	dar
	.	Fp	.
a	A	SPS00	a
fe	fe	NCFS000	fe
que	que	PR0CN000	que
supo	supo	VMIS3S0	saber
tener	tener	VMN0000	tener
avilidad	habilidad	NCFS000	habilidad
pa	para	SPS00	para
burlarce	burlarse	VMN0000+P00CN000	burlar+se
de	de	SPS00	de
mi	mí	PP1CSO00	mí
	.	Fp	.
yo	Yo	PP1CSN00	yo
aseguro	aseguro	VMIP1S0	asegurar
a	a	SPS00	a
Vmd	VM	NP00000	VM
q	que	CS	que
	,	Fc	,
si	si	CS	si
como	como	CS	como
soy	soy	VSIP1S0	ser
yo	yo	PP1CSN00	yo
el	el	DA0MS0	el
que	que	CS	que
pierda	pierda	VMSP0S0	perder
260	260	Z	260
ps	pesos	NCMP000	peso
fuera	fuera	VSSI0S0	ser
al	al	SPS00+DA0MS0	a+el
contrario	contrario	NCMS000	contrario
y	y	CC	y
que	que	CS	que
yo	yo	PP1CSN00	yo
fuera	fuera	VSSI0S0	ser
el	el	DA0MS0	el
q	que	CS	que
ubiera	hubiera	VASI0S0	haber
vendido	vendido	VMP0000	vender
algun	algún	DI0MS0	alguno
jenero	género	NCMS000	género
del	del	SPS00+DA0MS0	de+el
Sr	señor	NP00000	señor
Dn	don	NP00000	don
Pedro	Pedro	NP00000	pedro
	,	Fc	,
que	que	CS	que
estubiera	estuviera	VMSI0S0	estar
a	a	SPS00	a
bien	bien	RG	bien
sentido	sentido	NCMS000	sentido
y	y	CC	y
me	me	PP1CS000	me
los	los	PP3MPA00	lo
hiziera	hiciera	VMSI0S0	hacer
pagar	pagar	VMN0000	pagar
	,	Fc	,
pero	pero	CC	pero
	,	Fc	,
aunq	aunque	CS	aunque
soy	soy	VSIP1S0	ser
un	un	DI0MS0	uno
pobre	pobre	AQ0CS0	pobre
	,	Fc	,
es	es	VSIP3S0	ser
menester	menester	NCMS000	menester
tener	tener	VMN0000	tener
pasiensia	paciencia	NCFS000	paciencia
y	y	CC	y
q	que	CS	que
quede	quede	VMSP0S0	quedar
su	su	DP3CS0	su
merced	merced	NCFS000	merced
contento	contento	AQ0MS0	contento
aunq	aunque	CS	aunque
yo	yo	PP1CSN00	yo
no	no	RN	no
tenga	tenga	VMSP0S0	tener
culpa	culpa	NCFS000	culpa
.	.	Fp	.
sea	Sea	VSSP0S0	ser
pr	por	SPS00	por
amor	amor	NCMS000	amor
de	de	SPS00	de
Dios	Dios	NP00000	dios
,	,	Fc	,
si	si	CS	si
pudiere	pudiere	VMSF0S0	poder
ser	ser	VSN0000	ser
	,	Fc	,
que	que	CS	que
Vmd	VM	NP00000	VM
remita	remita	VMSP0S0	remitir
pr	por	SPS00	por
el	el	DA0MS0	el
primer	primer	AO0MS0	primero
correo	correo	NCMS000	correo
lo	lo	DA0NS0	el
q	que	PR0CN000	que
importaron	importaron	VMIS3P0	importar
las	las	DA0FP0	el
