Cadid	Cádiz	NP00000	cádiz
	,	Fc	,
y	y	CC	y
Agosto	agosto	NCMS000	agosto
28	28	Z	28
de	de	SPS00	de
1768	1768	Z	1768
Santos	Santos	NP00000	santos
y	y	CC	y
mi	mi	DP1CSS	mi
sa	señora	NP00000	señor
Andrea	Andrea	NP00000	andrea
	.	Fp	.
rezivi	Recibí	VMIS1S0	recibir
la	la	DA0FS0	el
de	de	SPS00	de
uds	ustedes	PP2CP000	usted
de	de	SPS00	de
Salamanca	Salamanca	NP00000	salamanca
con	con	SPS00	con
la	la	DA0FS0	el
fha	fecha	NCFS000	fecha
del	del	SPS00+DA0MS0	de+el
12	12	Z	12
del	del	SPS00+DA0MS0	de+el
corriente	corriente	AQ0CS0	corriente
con	con	SPS00	con
muchisimo	muchísimo	DI0MS0	muchísimo
el	el	DA0MS0	el
gozo	gozo	NCMS000	gozo
y	y	CC	y
contento	contento	NCMS000	contento
	,	Fc	,
y	y	CC	y
por	por	SPS00	por
ella	ella	PP3FS000	él
vea	vea	VMSP0S0	ver
como	como	CS	como
Uds	ustedes	PP2CP000	usted
estan	están	VMIP3P0	estar
buenos	buenos	AQ0MP0	bueno
	.	Fp	.
me	Me	PP1CS000	me
dizen	dicen	VMIP3P0	decir
qe	que	CS	que
puedo	puedo	VMIP1S0	poder
conozer	conocer	VMN0000	conocer
adonde	adónde	PA000000	adónde
van	van	VMIP3P0	ir
	.	Fp	.
artas	Hartas	DI0FP0	harto
vezes	veces	NCFP000	vez
me	me	PP1CS000	me
e	he	VAIP1S0	haber
acordado	acordado	VMP0000	acordar
	.	Fp	.
Yo	Yo	PP1CSN00	yo
vueno	bueno	AQ0MS0	bueno
para	para	SPS00	para
lo	lo	DA0NS0	el
que	que	PR0CN000	que
Uds	ustedes	PP2CP000	usted
quieran	quieran	VMSP3P0	querer
mandar	mandar	VMN0000	mandar
	.	Fp	.
ya	Ya	RG	ya
e	he	VAIP1S0	haber
visto	visto	VMP0000	ver
en	en	SPS00	en
tres	tres	Z	3
cartas	cartas	NCFP000	carta
que	que	PR0CN000	que
Uds	ustedes	PP2CP000	usted
me	me	PP1CS000	me
han	han	VAIP3P0	haber
enbiado	enviado	VMP0000	enviar
	.	Fp	.
la	La	DA0FS0	el
una	una	PI0FS000	uno
es	es	VSIP3S0	ser
la	la	DA0FS0	el
que	que	PR0CN000	que
me	me	PP1CS000	me
ha	ha	VAIP3S0	haber
dado	dado	VMP0000	dar
un	un	DI0MS0	uno
recluta	recluta	NCMS000	recluta
	.	Fp	.
la	La	DA0FS0	el
otra	otra	PI0FS000	otro
es	es	VSIP3S0	ser
la	la	DA0FS0	el
respuesta	respuesta	NCFS000	respuesta
de	de	SPS00	de
la	la	DA0FS0	el
que	que	PR0CN000	que
te	te	PP2CS000	te
ha	ha	VAIP3S0	haber
entregado	entregado	VMP0000	entregar
Vega	Vega	NP00000	vega
	,	Fc	,
en	en	SPS00	en
la	la	DA0FS0	el
que	que	PR0CN000	que
Uds	ustedes	PP2CP000	usted
me	me	PP1CS000	me
dizen	dicen	VMIP3P0	decir
que	que	CS	que
estan	están	VMIP3P0	estar
confusos	confusos	AQ0MP0	confuso
si	si	CS	si
era	era	VSII0S0	ser
mia	mía	DP1FSS	mío
o	o	CC	o
no	no	RN	no
lo	lo	PP3CNA00	lo
era	era	VSII0S0	ser
	(	Fba	(
yo	yo	PP1CSN00	yo
la	la	PP3FSA00	lo
enbie	envíe	VMSP0S0	enviar
porque	porque	CS	porque
no	no	RN	no
havia	había	VAII0S0	haber
tenido	tenido	VMP0000	tener
consuelo	consuelo	NCMS000	consuelo
por	por	SPS00	por
cartas	cartas	NCFP000	carta
