Exmo	Excelentísimo	AQSMS0	excelente
señor	señor	NP00000	señor
	.	Fp	.
Señor	Señor	NP00000	señor
	.	Fp	.
Ya	Ya	RG	ya
es	es	VSIP3S0	ser
tienpo	tiempo	NCMS000	tiempo
qe	que	PR0CN000	que
v	vuestra	DP2FSP	vuestro
e	excelencia	NP00000	excelencia
	,	Fc	,
rrespecto	respecto	SPS00	respecto
las	las	DA0FP0	el
rrepetidas	repetidas	VMP00PF	repetir
quejas	quejas	NCFP000	queja
contra	contra	SPS00	contra
Castillo	Castillo	NP00000	castillo
;	,	Fc	,
de	dé	VMSP0S0	dar
a	a	SPS00	a
ber	ver	VMN0000	ver
a	a	SPS00	a
dios	Dios	NP00000	dios
y	y	CC	y
sus	sus	DP3CP0	su
pobres	pobres	NCCP000	pobre
vasallos	vasallos	NCMP000	vasallo
adonde	adónde	PA000000	adónde
llega	llega	VMIP3S0	llegar
el	el	DA0MS0	el
amor	amor	NCMS000	amor
y	y	CC	y
afecto	afecto	NCMS000	afecto
que	que	PR0CN000	que
nos	nos	PP1CP000	nos
tiene	tiene	VMIP3S0	tener
,	.	Fp	.
el	El	DA0MS0	el
mismo	mismo	AQ0MS0	mismo
dios	Dios	NP00000	dios
pareze	parece	VMIP3S0	parecer
esta	está	VMIP3S0	estar
publicando	publicando	VMG0000	publicar
los	los	DA0MP0	el
perjuizios	perjuicios	NCMP000	perjuicio
	,	Fc	,
daños	daños	NCMP000	daño
	,	Fc	,
atropellamtos	atropellamientos	NCMP000	atropellamiento
y	y	CC	y
perjuizios	perjuicios	NCMP000	perjuicio
que	que	PR0CN000	que
ocasiona	ocasiona	VMIP3S0	ocasionar
dho	dicho	VMP00SM	decir
Castillo	Castillo	NP00000	castillo
a	a	SPS00	a
esta	esta	DD0FS0	este
su	su	DP3CS0	su
villa	villa	NCFS000	villa
y	e	CC	y
infelizes	infelices	AQ0CP0	infeliz
vasallos	vasallos	NCMP000	vasallo
	,	Fc	,
aun	aun	CS	aun
a	a	SPS00	a
quellos	aquellos	DD0MP0	aquel
mas	más	RC	más
poderosos	poderosos	NCMP000	poderoso
	,	Fc	,
siendo	siendo	VSG0000	ser
los	los	DA0MP0	el
qe	que	PR0CN000	que
contribuien	contribuyen	VMIP3P0	contribuir
a	a	SPS00	a
v	vuestra	DP2FSP	vuestro
e	excelencia	NP00000	excelencia
con	con	SPS00	con
una	una	DI0FS0	uno
crezida	crecida	NCFS000	crecida
Alcabala	alcabala	NCFS000	alcabala
	.	Fp	.
a	A	SPS00	a
estos	éstos	PD0MP000	este
mismos	mismos	AQ0MP0	mismo
procura	procura	VMIP3S0	procurar
perder	perder	VMN0000	perder
y	y	CC	y
aniquilar	aniquilar	VMN0000	aniquilar
sus	sus	DP3CP0	su
familias	familias	NCFP000	familia
con	con	SPS00	con
las	las	DA0FP0	el
alas	alas	NCFP000	ala
que	que	PR0CN000	que
tiene	tiene	VMIP3S0	tener
de	de	SPS00	de
este	este	DD0MS0	este
correjidor	corregidor	NCMS000	corregidor
	.	Fp	.
todo	Todo	PI0MS000	todo
lo	lo	PP3CNA00	lo
manda	manda	VMIP3S0	mandar
y	y	CC	y
gobierna	gobierna	NCFS000	gobierna
sin	sin	SPS00	sin
que	que	CS	que
le	le	PP3CSD00	le
contradiga	contradiga	VMSP0S0	contradecir
nada	nada	PI0NN00N	nada
	.	Fp	.
dizese	Dícese	VMSP0S0+P00CN000	decir+se
en	en	SPS00	en
el	el	DA0MS0	el
Pueblo	pueblo	NCMS000	pueblo
que	que	CS	que
Castillo	Castillo	NP00000	castillo
es	es	VSIP3S0	ser
el	el	DA0MS0	el
Correjidor	corregidor	NCMS000	corregidor
y	y	CC	y
el	el	DA0MS0	el
Corregidor	corregidor	NCMS000	corregidor
es	es	VSIP3S0	ser
Castillo	Castillo	NP00000	castillo
;	.	Fp	.
con	Con	SPS00	con
menos	menos	RC	menos
motibos	motivos	NCMP000	motivo
	,	Fc	,
picardias	picardías	NCFP000	picardía
y	y	CC	y
destierros	destierros	NCMP000	destierro
despojo	despojó	VMIS3S0	despojar
v	vuestra	DP2FSP	vuestro
e	excelencia	NP00000	excelencia
de	de	SPS00	de
este	este	DD0MS0	este
mismo	mismo	AQ0MS0	mismo
enpleo	empleo	NCMS000	empleo
a	a	SPS00	a
un	un	DI0MS0	uno
dn	don	NP00000	don
Antonio	Antonio	NP00000	antonio
Canseco	Canseco	NP00000	canseco
y	y	CC	y
a	a	SPS00	a
un	un	DI0MS0	uno
linazero	Linacero	NCMS000	linacero
qe	que	CS	que
	,	Fc	,
pecando	pecando	VMG0000	pecar
el	el	DA0MS0	el
uno	uno	Z	1
de	de	SPS00	de
perezeso	perezoso	AQ0MS0	perezoso
y	y	CC	y
el	el	DA0MS0	el
otro	otro	PI0MS000	otro
de	de	SPS00	de
algo	algo	PI0CS000	algo
interesado	interesado	VMP00SM	interesar
	,	Fp	,
miraban	miraban	VMII3P0	mirar
con	con	SPS00	con
Piedad	piedad	NCFS000	piedad
a	a	SPS00	a
buestros	vuestros	DP2MPP	vuestro
vasallos	vasallos	NCMP000	vasallo
y	y	CC	y
les	les	PP3CPD00	le
desterraban	desterraban	VMII3P0	desterrar
de	de	SPS00	de
sus	sus	DP3CP0	su
animos	ánimos	NCMP000	ánimo
las	las	DA0FP0	el
Creellas	querellas	NP00000	querellas
y	e	CC	y
inquietudes	inquietudes	NCFP000	inquietud
que	que	PR0CN000	que
se	se	P00CN000	se
suelen	suelen	VMIP3P0	soler
tener	tener	VMN0000	tener
con	con	SPS00	con
los	los	DA0MP0	el
enemigos	enemigos	NCMP000	enemigo
	.	Fp	.
procuraban	Procuraban	VMII3P0	procurar
estos	éstos	PD0MP000	este
tener	tener	VMN0000	tener
el	el	DA0MS0	el
pueblo	pueblo	NCMS000	pueblo
en	en	SPS00	en
paz	paz	NCFS000	paz
como	como	CS	como
hijos	hijos	NCMP000	hijo
de	de	SPS00	de
vezino	vecino	NCMS000	vecino
y	y	CC	y
este	éste	PD0MS000	este
como	como	CS	como
estraño	extraño	NCMS000	extraño
y	y	CC	y
piedra	piedra	NCFS000	piedra
rrodadora	rodadora	AQ0FS0	rodador
a	a	SPS00	a
todos	todos	DI0MP0	todo
poner	poner	VMN0000	poner
en	en	SPS00	en
Guerra	guerra	NCFS000	guerra
	.	Fp	.
Pedimos	Pedimos	VMIP1P0	pedir
a	a	SPS00	a
v	vuestra	DP2FSP	vuestro
e	excelencia	NP00000	excelencia
	,	Fc	,
a	a	SPS00	a
respecto	respecto	NCMS000	respeto
sabe	sabe	VMIP3S0	saber
los	los	DA0MP0	el
destierros	destierros	NCMP000	destierro
de	de	SPS00	de
Castillo	Castillo	NP00000	castillo
y	y	CC	y
sus	sus	DP3CP0	su
maldades	maldades	NCFP000	maldad
	,	Fc	,
le	le	PP3CSD00	le
quite	quite	VMSP0S0	quitar
luego	luego	RG	luego
el	el	DA0MS0	el
empleo	empleo	NCMS000	empleo
luego	luego	RG	luego
y	y	CC	y
a	a	SPS00	a
su	su	DP3CS0	su
conpadre	compadre	NP00000	compadre
Joaquin	Joaquín	NP00000	joaquín
Gonzalez	González	NP00000	gonzález
	.	Fp	.
porque	Porque	CS	porque
dize	dice	VMIP3S0	decir
el	el	DA0MS0	el
adafio	adagio	NCMS000	adagio
	:	Fd	:
no	no	RN	no
elijas	elijas	VMSP2S0	elegir
capitan	capitán	NCMS000	capitán
pobre	pobre	AQ0CS0	pobre
que	que	CS	que
sea	sea	VSSP0S0	ser
amigo	amigo	NP00000	amigo
del	del	SPS00+DA0MS0	de+el
dinero	dinero	NCMS000	dinero
	.	Fp	.
Ya	Ya	RG	ya
sabemos	sabemos	VMIP1P0	saber
de	de	SPS00	de
fijo	fijo	AQ0MS0	fijo
esta	está	VMIP3S0	estar
en	en	SPS00	en
esa	esa	DD0FS0	ese
Corte	corte	NCFS000	corte
el	el	DA0MS0	el
padre	padre	NCMS000	padre
de	de	SPS00	de
los	los	DA0MP0	el
pobres	pobres	NCCP000	pobre
	,	Fc	,
dn	don	NP00000	don
Antonio	Antonio	NP00000	antonio
