Señor	Señor		
Dn	don		
Franzco	Francisco		
Antonio	Antonio		
de	de		
torres	Torres		
	.		
ste	Este		
Malbado	malvado		
Atrevimto	atrevimiento		
A	ha		
tenido	tenido		
para	para		
dar	dar		
Memorial	memorial		
al	al		
Rey	rey		
Quexandose	quejándose		
del	del		
señor	señor		
Presidente	presidente		
	,		
de	de		
su	su		
exa	excelencia		
y	y		
de	de		
Nosotros	nosotros		
	,		
de	de		
lo	lo		
que	que		
Con	con		
el	él		
se	se		
aze	hace		
	,		
y	y		
que	que		
los	los		
Autos	autos		
de	de		
Valladolid	Valladolid		
y	y		
stos	éstos		
son	son		
Una	una		
proPia	propia		
Causa	causa		
y	y		
echa	hecha		
con	con		
Los	los		
testigos	testigos		
Multados	multados		
	.		
ste	Este		
Memorial	memorial		
A	ha		
sido	sido		
la	la		
causa	causa		
de	de		
remitirlos	remitirlos		
al	al		
Consexo	Consejo		
	,		
y	y		
Los	los		
han	han		
vuelto	vuelto		
para	para		
que	que		
Como	como		
Alcalde	alcalde		
sustanzie	sustancie		
y	y		
determine	determine		
viendo	viendo		
en	en		
justizia	justicia		
a	a		
ste	este		
villano	villano		
;	.		
y	Y		
escriven	escriben		
no	no		
tiene	tiene		
sustanzia	sustancia		
ninguna	ninguna		
	.		
q	Que		
hizimos	hicimos		
Mal	mal		
en	en		
engañar	engañar		
Al	al		
señor	señor		
Presidente	presidente		
estando	estando		
Pendiente	pendiente		
en	en		
la	la		
Chanzilleria	Chancillería		
	.		
q	Que		
	,		
Anttes	antes		
Que	que		
lo	lo		
lleven	lleven		
A	a		
ella	ella		
y	y		
se	se		
desqubra	descubra		
stos	estos		
enRedos	enredos		
	,		
que	que		
se	se		
Proqure	procure		
reduzir	reducir		
Al	al		
Reo	reo		
y	y		
Hecho	hecho		
apartamto	apartamiento		
soltarlo	soltarlo		
de	de		
la	la		
Prision	prisión		
	,		
Zirqunstanzia	circunstancia		
que	que		
No	no		
podiamos	podíamos		
esperar	esperar		
Por	por		
lo	lo		
q	que		
Vmd	VM		
Nos	nos		
tenia	tenía		
escrito	escrito		
	.		
y	Y		
Por	por		
sto	esto		
Nos	nos		
allamos	hallamos		
con	con		
el	el		
susto	susto		
q	que		
Puede	puede		
Considerar	considerar		
	,		
Conoziendo	conociendo		
su	su		
Diabolico	diabólico		
JeNio	genio		
	,		
de	de		
forma	forma		
q	que		
ni	ni		
por	por		
sus	sus		
Parientes	parientes		
	,		
amigos	amigos		
ni	ni		
Amenazas	amenazas		
Que	que		
se	se		
le	le		
an	han		
Hecho	hecho		
No	no		
a	ha		
tenido	tenido		
remedio	remedio		
En	en		
AquietarLo	aquietarlo		
	.		
Pues	Pues		
responde	responde		
q	que		
si	si		
no	no		
vamos	vamos		
con	con		
azotes	azotes		
a	a		
Galeras	galeras		
no	no		
queda	queda		
vien	bien		
su	su		
Onra	honra		
	,		
que	que		
A	a		
todo	todo		
sto	esto		
llega	llega		
su	su		
banidad	vanidad		
	.		
Que	Que		
a	a		
pesar	pesar		
de	de		
su	su		
exa	excelencia		
	,		
se	se		
an	han		
de	de		
juntar	juntar		
las	las		
dos	dos		
causas	causas		
	.		
que	Que		
ay	hay		
Rey	rey		
en	en		
Castilla	Castilla		
que	que		
le	le		
ara	hará		
justizia	justicia		
	,		
de	de		
forma	forma		
Que	que		
si	si		
consige	consigue		
Livertad	libertad		
nos	nos		
a	ha		
de	de		
Perder	perder		
	.		
sto	Esto		
supuesto	supuesto		
y	y		
no	no		
tener	tener		
lo	lo		
Hecho	hecho		
mas	más		
remedio	remedio		
que	que		
Acabarlo	acabarlo		
	,		
para	para		
ello	ello		
tenemos	tenemos		
Dispuesto	dispuesto		
remudarlo	remudarlo		
a	a		
la	la		
carzel	cárcel		
de	de		
Calaora	Calahorra		
	.		
q	Que		
	,		
Prezisamentte	precisamente		
estando	estando		
de	de		
sus	sus		
terzianas	tercianas		
tan	tan		
Mal	mal		
aparatado	aparatado		
	,		
el	el		
Camino	camino		
y	y		
las	las		
Calores	calores		
Lo	lo		
an	han		
de	de		
matar	matar		
	.		
conque	Conque		
	,		
para	para		
quedar	quedar		
Cuviertos	cubiertos		
	,		
ara	hará		
Vmd	VM		
Venga	venga		
Mañana	mañana		
a	a		
declarar	declarar		
el	el		
Medico	médico		
de	de		
la	la		
Villa	villa		
que	que		
no	no		
tiene	tiene		
Mal	mal		
ni	ni		
enfermedad	enfermedad		
ninguna	ninguna		
	,		
hia	ya		
que	que		
ste	este		
Picaron	picarón		
se	se		
a	ha		
Hecho	hecho		
escrupuloso	escrupuloso		
	,		
que	que		
no	no		
dexara	dejará		
De	de		
pagarlo	pagarlo		
junto	junto		
con	con		
otras	otras		
Picardias	picardías		
de	de		
Que	que		
se	se		
le	le		
ara	hará		
Causa	causa		
	.		
y	Y		
asi	así		
Vmd	VM		
No	no		
se	se		
desquide	descuide		
	,		
que	que		
d	de		
esta	esta		
forma	forma		
se	se		
consige	consigue		
el	el		
fin	fin		
sin	sin		
Riesgo	riesgo		
	.		
hi	Y		
si	si		
Muere	muere		
	,		
sto	esto		
se	se		
acabo	acabó		
	,		
q	que		
No	no		
tiene	tiene		
ninguno	ninguno		
de	de		
toda	toda		
su	su		
canalla	canalla		
valor	valor		
pa	para		
Resollar	resollar		
	.		
que	Que		
vien	bien		
conozidos	conocidos		
estan	están		
en	en		
el	el		
Pais	país		
de	de		
viles	viles		
Miserables	miserables		
	,		
todos	todos		
ellos	ellos		
Como	como		
nro	nuestro		
Reo	reo		
de	de		
atrevido	atrevido		
	.		
que	Que		
No	no		
es	es		
De	de		
aquellos	aquellos		
que	que		
Reparan	reparan		
segun	según		
su	su		
osadia	osadía		
el	el		
segir	seguir		
su	su		
Hecho	hecho		
y	y		
justizia	justicia		
con	con		
todos	todos		
Los	los		
señores	señores		
Grandes	grandes		
de	de		
Castilla	Castilla		
	,		
Como	como		
A	a		
todos	todos		
Nos	nos		
lo	lo		
tiene	tiene		
deMostrado	demostrado		
la	la		
esperienzia	experiencia		
sacando	sacando		
la	la		
cara	cara		
contra	contra		
el	el		
amo	amo		
como	como		
Dar	dar		
Memorial	memorial		
quexandose	quejándose		
al	al		
Rey	rey		
de	de		
que	que		
la	la		
Chanzilleria	Chancillería		
No	no		
le	le		
azia	hacía		
justizia	justicia		
por	por		
contenplar	contemplar		
A	a		
su	su		
exa	excelencia		
	.		
con	Con		
sto	esto		
y	y		
con	con		
su	su		
audazia	audacia		
Pudo	pudo		
consegir	conseguir		
el	el		
que	que		
con	con		
deMasiado	demasiado		
respto	respeto		
Mirasen	mirasen		
su	su		
Causa	causa		
Porque	porque		
no	no		
Diese	diese		
Nueba	nueva		
Quexa	queja		
	.		
y	Y		
si	si		
teniendolo	teniéndolo		
deVaxo	debajo		
tan	tan		
suJeto	sujeto		
si	si		
sale	sale		
vibo	vivo		
	,		
	¿		
que	qué		
ara	hará		
estando	estando		
tan	tan		
soVerbio	soberbio		
Aora	ahora		
	?		
	¿		
y	Y		
que	qué		
Podemos	podemos		
esperar	esperar		
con	con		
la	la		
esperienzia	experiencia		
de	de		
la	la		
chanzilleria	Chancillería		
	,		
stando	estando		
tan	tan		
aGanochado	aganchado		
que	que		
Contra	contra		
todos	todos		
A	ha		
de	de		
Pegar	pegar		
Como	como		
Lobo	lobo		
ravioso	rabioso		
	?		
Pues	Pues		
tanvien	también		
Vautiza	bautiza		
a	a		
Vmd	VM		
Por	por		
Caveza	cabeza		
de	de		
la	la		
q	que		
llama	llama		
conjurazion	conjuración		
	,		
que	que		
es	es		
lo	lo		
que	que		
se	se		
ofreze	ofrece		
	,		
cuia	cuya		
vida	vida		
ge	guarde		
Ds	Dios		
Ms	muchos		
as	años		
	.		
soto	Soto		
	,		
y	y		
Agosto	agosto		
31	31		
de	de		
1720	1720		
años	años		
	.		
B	Besan		
L	las		
M	manos		
de	de		
Vm	VM		
su	sus		
segros	seguros		
serbres	servidores		
que	que		
su	su		
mano	mano		
ba	besan		
	,		
Ju	Juan		
Bapta	Bautista		
Ferz	Fernández		
Saravia	Saravia		
Franzco	Francisco		
Benitto	Benito		
