Ave	Ave	I	ave
Ma	María	NP00000	maría
Ssma	Santísima	AQSFS0	santo
	.	Fp	.
Mui	Muy	RQ	muy
Sr	señor	NP00000	señor
mio	mío	DP1MSS	mío
	.	Fp	.
mucho	Mucho	RQ	mucho
siento	siento	VMIP1S0	sentir
q	que	CS	que
la	la	DA0FS0	el
primera	primera	AO0FS0	primero
vez	vez	NCFS000	vez
q	que	PR0CN000	que
escrivo	escribo	VMIP1S0	escribir
a	a	SPS00	a
Vm	VM	NP00000	VM
sea	sea	VSSP0S0	ser
en	en	SPS00	en
cosas	cosas	NCFP000	cosa
de	de	SPS00	de
poco	poco	DI0MS0	poco
gusto	gusto	NCMS000	gusto
,	,	Fc	,
pero	pero	CC	pero
ya	ya	RG	ya
suçedido	sucedido	VMP0000	suceder
el	el	DA0MS0	el
casso	caso	NCMS000	caso
sea	sea	VSSP0S0	ser
como	como	CS	como
fuere	fuere	VSSF0S0	ser
la	la	DA0FS0	el
materia	materia	NCFS000	materia
cumplire	cumpliré	VMIF1S0	cumplir
con	con	SPS00	con
mi	mi	DP1CSS	mi
obligazion	obligación	NCFS000	obligación
de	de	SPS00	de
christiano	cristiano	NCMS000	cristiano
,	,	Fc	,
sazerdote	sacerdote	NCMS000	sacerdote
,	,	Fc	,
y	y	CC	y
Religiosso	religioso	NCMS000	religioso
,	.	Fp	.
y	Y	CC	y
puede	puede	VMIP3S0	poder
ser	ser	VSN0000	ser
que	que	CS	que
de	de	SPS00	de
esto	esto	PD0NN000	esto
se	se	P00CN000	se
siga	siga	VMSP0S0	seguir
algo	algo	PI0CS000	algo
q	que	CS	que
sea	sea	VSSP0S0	ser
de	de	SPS00	de
el	el	DA0MS0	el
servizio	servicio	NCMS000	servicio
de	de	SPS00	de
Vm	VM	NP00000	VM
	,	Fc	,
a	a	SPS00	a
que	que	CS	que
estare	estaré	VMIF1S0	estar
siempre	siempre	RG	siempre
como	como	CS	como
deseo	deseo	VMIP1S0	desear
.	.	Fp	.
Digo	Digo	VMIP1S0	decir
	,	Fc	,
Sr	señor	NP00000	señor
	,	Fc	,
A	ha	VAIP3S0	haber
llegado	llegado	VMP0000	llegar
a	a	SPS00	a
mi	mi	DP1CSS	mi
notizia	noticia	NCFS000	noticia
q	que	CS	que
en	en	SPS00	en
la	la	DA0FS0	el
sumaria	sumaria	NCFS000	sumaria
q	que	CS	que
se	se	P00CN000	se
hizo	hizo	VMIS3S0	hacer
a	a	SPS00	a
el	el	DA0MS0	el
sr	señor	NP00000	señor
Don	don	NP00000	don
gregorio	Gregorio	NP00000	gregorio
me	me	PP1CS000	me
an	han	VAIP3P0	haber
zitado	citado	VMP0000	citar
diziendo	diciendo	VMG0000	decir
q	que	CS	que
yo	yo	PP1CSN00	yo
avia	había	VAII0S0	haber
oido	oído	VMP0000	oír
dezir	decir	VMN0000	decir
a	a	SPS00	a
este	este	DD0MS0	este
cavallero	caballero	NCMS000	caballero
q	que	CS	que
avia	había	VMII0S0	haber
de	de	SPS00	de
azer	hacer	VMN0000	hacer
aorcar	ahorcar	VMN0000	ahorcar
a	a	SPS00	a
Pedro	Pedro	NP00000	pedro
Marcos	Marcos	NP00000	marcos
y	y	CC	y
a	a	SPS00	a
otros	otros	DI0MP0	otro
dos	dos	Z	2
	.	Fp	.
y	Y	CC	y
Juro	juro	NCMS000	juro
im	in	NCMS000	juro
Vervo	verbo	NCMS000	juro
saterdotis	sacerdotis	NCMS000	juro
y	y	CC	y
por	por	SPS00	por
la	la	DA0FS0	el
cruz	cruz	NCFS000	cruz
q	que	PR0CN000	que
traigo	traigo	VMIP1S0	traer
al	al	SPS00+DA0MS0	a+el
pecho	pecho	NCMS000	pecho
q	que	PR0CN000	que
dha	dicha	VMP00SF	decir
proposizion	proposición	NCFS000	proposición
es	es	VSIP3S0	ser
falsa	falsa	AQ0FS0	falso
	.	Fp	.
ni	Ni	CC	ni
yo	yo	PP1CSN00	yo
e	he	VAIP1S0	haber
oido	oído	VMP0000	oír
tal	tal	RC	tal
a	a	SPS00	a
Dn	don	NP00000	don
gregorio	Gregorio	NP00000	gregorio
	,	Fc	,
porq	porque	CS	porque
lo	lo	DA0NS0	el
que	que	PR0CN000	que
yo	yo	PP1CSN00	yo
e	he	VAIP1S0	haber
oido	oído	VMP0000	oír
y	y	CC	y
dho	dicho	NCMS000	dicho
es	es	VSIP3S0	ser
q	que	CS	que
Po	Pedro	NP00000	pedro
Marcos	Marcos	NP00000	marcos
avia	había	VAII0S0	haber
dho	dicho	VMP0000	decir
q	que	CS	que
Dn	don	NP00000	don
gregorio	Gregorio	NP00000	gregorio
dezia	decía	VMII0S0	decir
q	que	CS	que
se	se	PP3CN000	se
la	la	PP3FSA00	lo
avia	había	VMII0S0	haber
de	de	SPS00	de
pagar	pagar	VMN0000	pagar
asi	así	RG	así
el	el	DA0MS0	el
susodho	susodicho	AQ0MS0	susodicho
como	como	CS	como
otros	otros	DI0MP0	otro
sujetos	sujetos	NCMP000	sujeto
de	de	SPS00	de
Colmenar	Colmenar	NP00000	colmenar
;	.	Fp	.
y	Y	CC	y
esto	esto	PD0NN000	esto
es	es	VSIP3S0	ser
lo	lo	DA0NS0	el
zierto	cierto	AQ0MS0	cierto
	.	Fp	.
y	Y	CC	y
lo	lo	PP3CNA00	lo
dijo	dijo	VMIS3S0	decir
en	en	SPS00	en
publico	público	AQ0MS0	público
en	en	SPS00	en
su	su	DP3CS0	su
fragua	fragua	NCFS000	fragua
en	en	SPS00	en
presenzia	presencia	NCFS000	presencia
de	de	SPS00	de
muchos	muchos	DI0MP0	mucho
	.	Fp	.
y	Y	CC	y
esto	esto	PD0NN000	esto
testificare	testificaré	VMIF1S0	testificar
siempre	siempre	RG	siempre
q	que	CS	que
me	me	PP1CS000	me
alle	halle	VMSP0S0	hallar
com	con	SPS00	con
preçepto	precepto	NCMS000	precepto
de	de	SPS00	de
mi	mi	DP1CSS	mi
prelado	prelado	NCMS000	prelado
o	o	CC	o
de	de	SPS00	de
Juez	juez	NCMS000	juez
q	que	PR0CN000	que
me	me	PP1CS000	me
la	la	PP3FSA00	lo
pueda	pueda	VMSP0S0	poder
mandar	mandar	VMN0000	mandar
	,	Fc	,
por	por	SPS00	por
ser	ser	VSN0000	ser
asi	así	RG	así
la	la	DA0FS0	el
Verdad	verdad	NCFS000	verdad
y	y	CC	y
por	por	SPS00	por
no	no	RN	no
ser	ser	VSN0000	ser
Razon	razón	NCFS000	razón
que	que	CS	que
por	por	SPS00	por
una	una	DI0FS0	uno
proposizion	proposición	NCFS000	proposición
mal	mal	RG	mal
entendida	entendida	VMP00SF	entender
y	y	CC	y
por	por	SPS00	por
eso	eso	PD0NN000	eso
viziada	viciada	VMP00SF	viciar
padezca	padezca	VMSP0S0	padecer
la	la	DA0FS0	el
inozenzia	inocencia	NCFS000	inocencia
,	,	Fc	,
y	y	CC	y
mas	más	RC	más
siendo	siendo	VSG0000	ser
persona	persona	NCFS000	persona
de	de	SPS00	de
su	su	DP3CS0	su
graduazion	graduación	NCFS000	graduación
Y	y	CC	y
cosa	cosa	NCFS000	cosa
tocante	tocante	RG	tocante
a	a	SPS00	a
Vm	VM	NP00000	VM
	,	Fc	,
a	a	SPS00	a
quien	quien	PR0CS000	quien
yo	yo	PP1CSN00	yo
no	no	RN	no
e	he	VAIP1S0	haber
servido	servido	VMP0000	servir
