Mui	Muy	RQ	muy
sr	señor	NP00000	señor
Mio	mío	DP1MSS	mío
	.	Fp	.
doi	Doy	VMIP1S0	dar
a	a	SPS00	a
Vmd	VM	NP00000	VM
la	la	DA0FS0	el
enorabuena	enhorabuena	NCFS000	enhorabuena
del	del	SPS00+DA0MS0	de+el
y	y	CC	y
le	le	PP3CSD00	le
cunPla	cumpla	VMSP0S0	cumplir
con	con	SPS00	con
salud	salud	NCFS000	salud
que	que	CS	que
no	no	RN	no
dudo	dudo	VMIP1S0	dudar
de	de	SPS00	de
sus	sus	DP3CP0	su
aciertos	aciertos	NCMP000	acierto
.	.	Fp	.
Don	Don	NP00000	don
Gregorio	Gregorio	NP00000	gregorio
Paez	Páez	NP00000	páez
me	me	PP1CS000	me
debe	debe	VMIP3S0	deber
sesenta	sesenta	Z	60
y	y	CC	y
cinco	cinco	Z	5
Reales	reales	NCMP000	real
de	de	SPS00	de
un	un	DI0MS0	uno
ternero	ternero	NCMS000	ternero
de	de	SPS00	de
diezmo	diezmo	NCMS000	diezmo
	,	Fc	,
que	que	CS	que
asi	así	RG	así
se	se	PP3CN000	se
los	los	PP3MPA00	lo
vende	vende	VMIP3S0	vender
a	a	SPS00	a
Ramiro	Ramiro	NP00000	ramiro
el	él	PP3MS000	él
de	de	SPS00	de
Bocas	bocas	NCFP000	boca
	.	Fp	.
abiendoselo	Habiéndoselo	VAG0000+PP3CN000+PP3CNA00	haber+se+lo
dho	dicho	VMP0000	decir
a	a	SPS00	a
Don	don	NP00000	don
Simon	Simón	NP00000	simón
	,	Fc	,
Me	me	PP1CS000	me
dijo	dijo	VMIS3S0	decir
diese	diese	VMSI0S0	dar
Rezibo	recibo	NCMS000	recibo
Y	y	CC	y
lo	lo	PP3MSA00	lo
trujiese	trajese	VMSI0S0	traer
e	y	CC	y
yerba	yerba	NCFS000	yerba
	.	Fp	.
Y	Y	CC	y
asi	así	RG	así
le	le	PP3CSD00	le
suplico	suplico	VMIP1S0	suplicar
Remita	remita	VMSP0S0	remitir
de	de	SPS00	de
la	la	DA0FS0	el
mejor	mejor	AQ0CS0	mejor
veinte	veinte	Z	20
aRobas	arrobas	NCFP000	arroba
Y	y	CC	y
una	una	DI0FS0	uno
carga	carga	NCFS000	carga
de	de	SPS00	de
paja	paja	NCFS000	paja
de	de	SPS00	de
lo	lo	DA0NS0	el
que	que	PR0CN000	que
Vmd	VM	NP00000	VM
hubiere	hubiere	VMSF0S0	haber
	;	Fx	;
o	o	CC	o
me	me	PP1CS000	me
la	la	PP3FSA00	lo
busque	busque	VMSP0S0	buscar
Y	y	CC	y
la	la	PP3FSA00	lo
pague	pague	VMSP0S0	pagar
	,	Fc	,
que	que	CS	que
le	le	PP3CSD00	le
aseguro	aseguro	VMIP1S0	asegurar
no	no	RN	no
tengo	tengo	VMIP1S0	tener
que	qué	PT0CN000	qué
coma	coma	VMSP0S0	comer
el	el	DA0MS0	el
caballo	caballo	NCMS000	caballo
y	y	CC	y
berraco	berraco	NCMS000	berraco
	.	Fp	.
y	Y	CC	y
asi	así	RG	así
aga	haga	VMSP0S0	hacer
Vmd	VM	NP00000	VM
no	no	RN	no
se	se	P00CN000	se
benga	venga	VMSP0S0	venir
sin	sin	SPS00	sin
ello	ello	PD0NN000	ello
	,	Fc	,
que	que	CS	que
Para	para	SPS00	para
Las	las	DA0FP0	el
oCasiones	ocasiones	NCFP000	ocasión
son	son	VSIP3P0	ser
los	los	DA0MP0	el
amigos	amigos	NCMP000	amigo
	.	Fp	.
Yo	Yo	PP1CSN00	yo
me	me	PP1CS000	me
Presto	presto	VMIP1S0	prestar
y	y	CC	y
dare	daré	VMIF1S0	dar
Rezibo	recibo	NCMS000	recibo
de	de	SPS00	de
todo	todo	PI0MS000	todo
	.	Fp	.
espero	Espero	VMIP1S0	esperar
me	me	PP1CS000	me
faborezera	favorecerá	VMIF3S0	favorecer
como	como	CS	como
el	el	DA0MS0	el
que	que	PR0CN000	que
Me	me	PP1CS000	me
Mande	mande	VMSP0S0	mandar
quanto	cuanto	PA000000	cuanto
fuere	fuere	VSSF0S0	ser
de	de	SPS00	de
su	su	DP3CS0	su
agrado	agrado	NCMS000	agrado
a	a	SPS00	a
quien	quien	PR0CS000	quien
gde	guarde	VMSP0S0	guardar
nro	Nuestro	DP1MSP	nuestro
sr	Señor	NP00000	señor
	.	Fp	.
Colmr	Colmenar	NP00000	colmenar
	,	Fc	,
y	y	CC	y
febrero	febrero	NCMS000	febrero
9	9	Z	9
de	de	SPS00	de
1707	1707	Z	1707
	.	Fp	.
Su	Su	DP3CS0	su
Mayor	mayor	AQ0CS0	mayor
sor	servidor	NCMS000	servidor
	,	Fc	,
Mgl	Miguel	NP00000	miguel
Cronel	Coronel	NP00000	coronel
Sr	Señor	NP00000	señor
theniente	teniente	NP00000	teniente
	.	Fp	.
