Charissimo	Carísimo	AQSMS0	caro
amigo	amigo	NP00000	amigo
mio	mío	DP1MSS	mío
	.	Fp	.
siento	Siento	VMIP1S0	sentir
mucho	mucho	RQ	mucho
las	las	DA0FP0	el
dolencias	dolencias	NCFP000	dolencia
qe	que	PR0CN000	que
vmd	VM	NP00000	VM
padecio	padeció	VMIS3S0	padecer
en	en	SPS00	en
el	el	DA0MS0	el
ospital	hospital	NCMS000	hospital
y	y	CC	y
me	me	PP1CS000	me
alegro	alegro	VMIP1S0	alegrar
en	en	SPS00	en
el	el	DA0MS0	el
Alma	alma	NCFS000	alma
de	de	SPS00	de
su	su	DP3CS0	su
alivio	alivio	NCMS000	alivio
;	.	Fp	.
luego	Luego	RG	luego
qe	que	CS	que
recivi	recibí	VMIS1S0	recibir
la	la	DA0FS0	el
primera	primera	AO0FS0	primero
de	de	SPS00	de
Palencia	Palencia	NP00000	palencia
	,	Fc	,
escrivi	escribí	VMIS1S0	escribir
a	a	SPS00	a
vmd	VM	NP00000	VM
a	a	SPS00	a
Salamanca	Salamanca	NP00000	salamanca
	,	Fc	,
donde	donde	PA000000	donde
abra	habrá	VAIF3S0	haber
allado	hallado	VMP0000	hallar
vmd	VM	NP00000	VM
mi	mi	DP1CSS	mi
carta	carta	NCFS000	carta
	,	Fc	,
qe	que	PR0CN000	que
decia	decía	VMII0S0	decir
	:	Fd	:
	«	Fra	«
a	A	SPS00	a
dn	don	NP00000	don
Ignacio	Ignacio	NP00000	ignacio
Godiafin	Godiafin	NP00000	godiafin
	»	Frt	»
	,	Fc	,
participandole	participándole	VMG0000+PP3CSD00	participar+le
en	en	SPS00	en
ella	ella	PP3FS000	él
los	los	PP3MPA00	lo
aogos	ahogos	NCMP000	ahogo
en	en	SPS00	en
qe	que	PR0CN000	que
me	me	PP1CS000	me
beia	veía	VMII0S0	ver
y	y	CC	y
actualmte	actualmente	RG	actualmente
me	me	PP1CS000	me
veo	veo	VMIP1S0	ver
	,	Fc	,
a	a	SPS00	a
causa	causa	NCFS000	causa
de	de	SPS00	de
haver	haber	VMN0000	haber
preso	preso	AQ0MSP	preso
en	en	SPS00	en
esta	esta	DD0FS0	este
Carcel	cárcel	NCFS000	cárcel
a	a	SPS00	a
dn	don	NP00000	don
Habran	Abraham	NP00000	abraham
y	y	CC	y
haver	haber	VAN0000	haber
declarado	declarado	VMP0000	declarar
el	el	DA0MS0	el
Paso	paso	NCMS000	paso
,	.	Fp	.
y	Y	CC	y
por	por	SPS00	por
no	no	RN	no
conocer	conocer	VMN0000	conocer
al	al	SPS00+DA0MS0	a+el
otro	otro	PI0MS000	otro
,	,	Fc	,
io	yo	PP1CSN00	yo
resulte	resulté	VMIS1S0	resultar
reo	reo	NCMS000	reo
	,	Fc	,
cuia	cuya	PU0FS000	cuyo
causa	causa	NCFS000	causa
fue	fue	VSIS3S0	ser
motivo	motivo	NCMS000	motivo
para	para	SPS00	para
lo	lo	DA0NS0	el
que	que	PR0CN000	que
vmd	VM	NP00000	VM
vera	verá	VMIF3S0	ver
en	en	SPS00	en
la	la	DA0FS0	el
otra	otra	PI0FS000	otro
,	.	Fp	.
perdi	Perdí	VMIS1S0	perder
mi	mi	DP1CSS	mi
acomodo	acomodo	NCMS000	acomodo
por	por	SPS00	por
lo	lo	DA0NS0	el
preste	presente	AQ0CS0	presente
	,	Fc	,
mi	mi	DP1CSS	mi
estimazon	estimación	NCFS000	estimación
	,	Fc	,
un	un	DI0MS0	uno
Curato	curato	NCMS000	cuarto
qe	que	PR0CN000	que
estaban	estaban	VMII3P0	estar
para	para	SPS00	para
presentarme	presentarme	VMN0000+PP1CS000	presentar+me
,	,	Fc	,
y	y	CC	y
no	no	RN	no
me	me	PP1CS000	me
ordenare	ordenaré	VMIF1S0	ordenar
en	en	SPS00	en
muchos	muchos	DI0MP0	mucho
as	años	NCMP000	año
acaso	acaso	RG	acaso
;	.	Fp	.
con	Con	SPS00	con
cuio	cuyo	PU0MS000	cuyo
motivo	motivo	NCMS000	motivo
todos	todos	PI0MP000	todo
me	me	PP1CS000	me
tiravan	tiraban	VMII3P0	tirar
como	como	CS	como
a	a	SPS00	a
rrs	reales	NCMP000	real
de	de	SPS00	de
henemigo	enemigo	NCMS000	enemigo
	;	Fx	;
algun	algún	DI0MS0	alguno
dinero	dinero	NCMS000	dinero
qe	que	PR0CN000	que
devia	debía	VMII0S0	deber
	,	Fc	,
me	me	PP1CS000	me
apremiaron	apremiaron	VMIS3P0	apremiar
por	por	SPS00	por
el	él	PP3MS000	él
,	;	Fx	;
y	y	CC	y
finalmte	finalmente	RG	finalmente
	,	Fc	,
me	me	PP1CS000	me
veo	veo	VMIP1S0	ver
tan	tan	RC	tan
avatido	abatido	VMP00SM	abatir
qe	que	CS	que
	,	Fc	,
a	a	SPS00	a
haver	haber	VAN0000	haber
savido	sabido	VMP0000	saber
ciertamte	ciertamente	RG	ciertamente
de	de	SPS00	de
su	su	DP3CS0	su
Paradero	paradero	NCMS000	paradero
	,	Fc	,
me	me	PP1CS000	me
ubiera	hubiera	VASI0S0	haber
marchado	marchado	VMP0000	marchar
,	.	Fp	.
y	Y	CC	y
aun	aún	RG	aun
estoi	estoy	VMIP1S0	estar
en	en	SPS00	en
ese	ese	DD0MS0	ese
animo	ánimo	NCMS000	ánimo
y	y	CC	y
solo	sólo	RG	sólo
me	me	PP1CS000	me
detiene	detiene	VMIP3S0	detener
el	el	DA0MS0	el
