Arahal	Arahal	NP00000	arahal
	,	Fc	,
y	y	CC	y
Juno	junio	NCMS000	junio
20	20	Z	20
de	de	SPS00	de
1774	1774	Z	1774
Mui	Muy	RQ	muy
Sr	señor	NP00000	señor
mio	mío	DP1MSS	mío
.	.	Fp	.
La	La	DA0FS0	el
sincera	sincera	AQ0FS0	sincero
manifestacion	manifestación	NCFS000	manifestación
de	de	SPS00	de
vmd	VM	NP00000	VM
en	en	SPS00	en
su	su	DP3CS0	su
carta	carta	NCFS000	carta
del	del	SPS00+DA0MS0	de+el
17	17	Z	17
del	del	SPS00+DA0MS0	de+el
ya	ya	RG	ya
citado	citado	VMP00SM	citar
,	,	Fc	,
su	su	DP3CS0	su
contexto	contexto	NCMS000	contexto
produce	produce	VMIP3S0	producir
mayor	mayor	AQ0CS0	mayor
motivo	motivo	NCMS000	motivo
para	para	SPS00	para
cerciorarme	cerciorarme	VMN0000+PP1CS000	cerciorar+me
mas	más	RC	más
en	en	SPS00	en
la	la	DA0FS0	el
docilidad	docilidad	NCFS000	docilidad
de	de	SPS00	de
su	su	DP3CS0	su
genio	genio	NCMS000	genio
y	y	CC	y
de	de	SPS00	de
la	la	DA0FS0	el
Sra	señora	NCFS000	señor
y	e	CC	y
interezar	interesar	VMN0000	interesar
en	en	SPS00	en
todo	todo	DI0MS0	todo
quanto	cuanto	PR0MS000	cuanto
fuese	fuese	VSSI0S0	ser
de	de	SPS00	de
su	su	DP3CS0	su
agrado	agrado	NCMS000	agrado
mi	mi	DP1CSS	mi
valimento	valimiento	NCMS000	valimiento
.	.	Fp	.
Celebro	Celebro	VMIP1S0	celebrar
el	el	DA0MS0	el
feliz	feliz	AQ0CS0	feliz
regreso	regreso	NCMS000	regreso
y	y	CC	y
que	que	CS	que
del	del	SPS00+DA0MS0	de+el
viaje	viaje	NCMS000	viaje
no	no	RN	no
rezultara	resultara	VMSI0S0	resultar
quebranto	quebranto	NCMS000	quebranto
para	para	SPS00	para
seguir	seguir	VMN0000	seguir
esse	ese	DD0MS0	ese
camino	camino	NCMS000	camino
con	con	SPS00	con
perfecta	perfecta	AQ0FS0	perfecto
salud	salud	NCFS000	salud
,	,	Fc	,
no	no	RN	no
advirtiendo	advirtiendo	VMG0000	advertir
novedad	novedad	NCFS000	novedad
en	en	SPS00	en
la	la	DA0FS0	el
mia	mía	PX1FS0S0	mío
y	y	CC	y
de	de	SPS00	de
mi	mi	DP1CSS	mi
familia	familia	NCFS000	familia
,	,	Fc	,
cuios	cuyos	PU0MP000	cuyo
indibiduos	individuos	NCMP000	individuo
saludan	saludan	VMIP3P0	saludar
a	a	SPS00	a
vmd	VM	NP00000	VM
y	y	CC	y
Sa	señora	NP00000	señor
Da	doña	NP00000	don
Maria	María	NP00000	maría
,	,	Fc	,
à	a	SPS00	a
quien	quien	PR0CS000	quien
agradecen	agradecen	VMIP3P0	agradecer
la	la	DA0FS0	el
insinuacion	insinuación	NCFS000	insinuación
primorosa	primorosa	AQ0FS0	primoroso
para	para	SPS00	para
la	la	DA0FS0	el
niña	niña	NCFS000	niño
.	.	Fp	.
esta	Ésta	PD0FS000	este
saluda	saluda	VMIP3S0	saludar
a	a	SPS00	a
vmd	VM	NP00000	VM
y	y	CC	y
a	a	SPS00	a
dha	dicha	VMP00SF	decir
Sra	señora	NCMS000	señor
.	.	Fp	.
Me	Me	PP1CS000	me
conformo	conformo	VMIP1S0	conformar
con	con	SPS00	con
el	el	DA0MS0	el
parecer	parecer	NCMS000	parecer
de	de	SPS00	de
vmd	VM	NP00000	VM
(	(	Fba	(
proprio	propio	AQ0MS0	propio
de	de	SPS00	de
su	su	DP3CS0	su
